conflict_id,model_ids,source_ids,locators,vn_ids,conflict_type,form_a,form_b,description_ru,resolution_needed,status
FC-001,MM-INSAR-026;MM-INSAR-014,VKM-SRC-009;VKM-SRC-003;VKM-SRC-004,"VKM-SRC-009 p.4 (печ. 68) [§8 Преобразование фазы в смещения]; VKM-SRC-003 p.21 (печ. 21) [формула (1.7)]; VKM-SRC-004 p.7 (печ. 45) [p.7 (formula stated verbally, no number)]",EV-VN-S009-0023;EV-VN-S003-0073;EV-VN-S004-0038,FORM_CONFLICT (обратная операция),"d_v = d_LOS·cos θ (VKM-SRC-009 §8, как напечатано)",U_Z = U_LOS/cos θ (VKM-SRC-003 ф.(1.7); VKM-SRC-004 p.7),"Пересчёт LOS→вертикаль: Горский–Хоменков (VKM-SRC-009, §8) умножают на cos θ, Бабаянц и др. (VKM-SRC-003/004) делят. Внешняя сверка (XFV-SF-002, XFV-SF-003; XF-SF-013, XF-SF-015): при чисто вертикальном движении d_LOS = cos θ·d_u, т. е. корректно деление; делят все ВКМ-источники, включая Самсонова–Баряха 2020 (Березники). Форма «× cos θ» есть только в VKM-SRC-009 — это Старобинское месторождение (Беларусь, NON_VKM-аналог), поэтому для операторов ВКМ конфликта нет. Что фактически сделано в SARscape у авторов VKM-SRC-009 — UNKNOWN (XF-SF-023). Обе формы сохранены; не усреднять.","Для WorldSpec — нет: оператор — деление (MM-INSAR-014, с флагом SUBVERTICAL). Для аналога VKM-SRC-009 — при необходимости проверить по исходным данным или рис. 9, какая операция фактически применена.",RESOLVED_EXTERNAL
FC-002,MM-CREEP-002;MM-STR-002,VKM-SRC-037;VKM-SRC-012,VKM-SRC-037 p.13 (печ. 24) [Рис. 1.13]; VKM-SRC-012 p.96 (печ. 96) [формула (4.2)],EV-VN-S037-0143;EV-VN-S012-0509,VALUE_CONFLICT (коэффициент длительной прочности),"K_дл: каменная соль 0,60–0,65; сильвинит 0,35–0,40; карналлит 0,20–0,25 (VKM-SRC-025 табл. 6.1, CL-02)","σ_∞ ≈ 0,3σ_сж для красного сильвинита (VKM-SRC-037 рис. 1.13 / текст); общий коэффициент перехода к длительной прочности 0,3 для всех слоёв (Лебедева, VKM-SRC-012 (4.2))","Разные источники дают разные доли длительной прочности; 0,3 у Лебедевой применён ко всем литотипам, что противоречит литотип-зависимым 0,20–0,65. Для сильвинита 0,3 (красный, VKM-SRC-037) vs 0,35–0,40 (VKM-SRC-025) — возможно разные разновидности/методы. Сохранять оба; не усреднять.",Первичные таблицы испытаний; разделить по литотипу/разновидности/методу (прямой vs ускоренный).,OPEN
FC-003,MM-SUBS-012,VKM-SRC-012;VKM-SRC-037,VKM-SRC-012 p.55 (печ. 55) [формула (2.3)]; VKM-SRC-037 p.170 (печ. 338) [формула (8.137)],EV-VN-S012-0262;EV-VN-S037-0930,VALUE_CONFLICT (редакции норматива),"ξ_m = m_ξ·η_m, m_ξ = 0,4 при C ≤ 0,45 (Указания 2022 по VKM-SRC-012)","ξ₀ = a·η₀, a = 0,2–0,26 (VKM-SRC-037 1990/92, воспроизводит методику Указаний 1985 [20])","Коэффициент перехода от максимального оседания к максимальному горизонтальному сдвижению различается почти вдвое. Внешняя сверка (XFV-SF-008 — VARIANT; F-SKRU1-017; FV-SKRU1-005): это смена редакции норматива, а не ошибка: a = 0,2–0,26 в VKM-SRC-037 (1990/92; по контексту — методика Указаний 1985 [20]) → a = 0,4 при C ≤ 0,45 (Указания 2014 и 2022) и a = 0,3 при C > 0,45 (Указания 2014 по Барях–Тенисон–Самоделкина, ГИАБ 2021 № 11; в изложении редакции 2022 у VKM-SRC-012 этой ветви нет). Хранить как DISCRETE_SET по редакциям.",Выбор редакции — по периоду отработки панели СКРУ-1 (MODEL_CHOICE локальной фазы); текст Указаний 2014/2022 (EXT-SRC-032/043) — для подтверждения по первоисточнику.,RESOLVED_EDITION
FC-004,MM-SUBS-010;MM-SUBS-013;MM-SUBS-002,VKM-SRC-037;VKM-SRC-012;VKM-SRC-003,"VKM-SRC-037 p.170 (печ. 338) [§8.5.1, методика типовых кривых; (8.138)-(8.142)]; VKM-SRC-012 p.54 (печ. 54) [§2.4]; VKM-SRC-012 p.14 (печ. 14) [§1.1]; VKM-SRC-003 p.87 (печ. 87) [формула (4.12)]",EV-VN-S037-0933;EV-VN-S012-0257;EV-VN-S012-0026;EV-VN-S003-0330,VALUE_CONFLICT (граничный угол),"δ₀ = 50°, ψ = 55° (VKM-SRC-037 1990/92, воспроизводит методику Указаний 1985 [20]; краевая часть мульды)","δ₀ = 55°, ψ = 55° у междушахтных целиков (Указания 2022, VKM-SRC-012); 55° при построении постоянных предохранительных целиков","Граничный угол для ВКМ различается между редакциями норматива и контекстами. Внешняя сверка (NORM-F-011, NORM-F-016; XFV-SF-012 — VARIANT): δ₀ = 45° (Указания 1972), 50° (1985; в 1994, 2004 и 2008 гг. — 50° с C-зависимыми вариантами при больших C), фиксированные 55° (2014, 2022); ψ = 55° во всех редакциях, кроме 1976 г. (50°). Значит, 50° и 55° — смена редакции, а не ошибка. Открыт вопрос названий углов в редакции 2008: у Барях–Тенисон 2021 55° — граничный, 50° — угол полных сдвижений, у VKM-SRC-037 и Щеголькова 2024/2025 — наоборот (NORM-F-035, F-SKRU1-041); длина полумульды L = H(ctg δ₀ + ctg ψ) от этого не зависит. На ранней стадии процесса (η/η_m < 0,1) фактические граничные углы круче (NORM-F-014). Старобин (δ₀ = 60°) — другое месторождение, не конфликт, а аналог.",Выбор редакции — по периоду отработки СКРУ-1; для названий углов — первичный текст Указаний 2008; натурные граничные углы СКРУ-1 (нивелирование) — только в локальной фазе и без использования данных оценки.,PARTIALLY_RESOLVED
FC-005,MM-SUBS-011;MM-SUBS-015,VKM-SRC-012;VKM-SRC-037,VKM-SRC-012 p.54 (печ. 54) [формула (2.1)]; VKM-SRC-012 p.54 (печ. 54) [формула (2.2) pp.54-55]; VKM-SRC-037 p.169 (печ. 337) [формула (8.135)]; VKM-SRC-037 p.170 (печ. 338) [формула (8.136)],EV-VN-S012-0259;EV-VN-S012-0260;EV-VN-S037-0925;EV-VN-S037-0926,FORM_CONFLICT (редакции норматива),"η_ok = 0,9·m_o·ω·p·(C/0,32)² при C < 0,32; 0,9·m_o·ω·p при C ≥ 0,32 (Указания 2022)","η₀ = 0,9·ΣS_i/(a+b); η₀* = 0,9·S/(a+b)·[1 − A(1 − B)] (VKM-SRC-037 1990/92, воспроизводит методику Указаний 1985 [20])","Редакция 2022 вводит зависимость конечного оседания от степени нагружения целиков C и параметр закладки p; редакция 1990/92 — через A, B без C. Формы не эквивалентны при C < 0,32. Внешняя сверка (XFV-SF-009 — VARIANT): множитель закладки p = 1 − A(1 − B) подтверждён для ред. 2008; ветвь (C/0,32)² известна только по VKM-SRC-012 (ред. 2022); символьно 0,9·S/(a+b) ≡ 0,9·ω·m₀ ⇔ ω = S/((a+b)·m₀) (DERIVATION).",Первичный текст Указаний 2022 (EXT-SRC-043) и определение p.,OPEN
FC-006,MM-ROOF-002;MM-ROOF-017,VKM-SRC-037;VKM-SRC-014,"VKM-SRC-037 p.90 (печ. 178) [§6.2, формула (6.7) (с.178)]; VKM-SRC-037 p.107 (печ. 212) [§6.10.1, формула (6.19), табл. 6.11]; VKM-SRC-014 p.172 (печ. 172) [§7.1, (7.1)-(7.2)]",EV-VN-S037-0563;EV-VN-S037-0654;EV-VN-S014-1002,FORM_CONFLICT (две параметризации одного закона),"T_р = A·exp(−13,5·γH_р/R_c)·√(S/S_р) (§6.2, по ЭВМ-расчётам; VKM-SRC-014 — A = 2020K)","T_р = a₁(h_н/L_р)^a₂·exp(−4,121·γH/σ_сж − 0,197·m/h_в) (§6.10, натурная калибровка 350 сечений)","Два эмпирических закона времени устойчивости выработок в одном нормативе с разной нормировкой нагрузки (R_c vs σ_сж) и коэффициентами (13,5 vs 4,121). Не взаимозаменяемы; не усреднять. Первоисточник закона (коэффициент 13,5; A = 1606 или 2020·K) внешне не найден (XF-SF-026; XFV-SF-010 — NOT_VERIFIABLE); форма §6.10 — обобщение отдельной «Методики…», которой нет в корпусе (PRIMARY_SECONDARY-019).","Локальная фаза: сравнить области применимости (γH/σ), не смешивать.",OPEN
FC-007,MM-ROOF-004;MM-ROOF-012,VKM-SRC-014;VKM-SRC-037,"VKM-SRC-014 p.173 (печ. 173) [§7.1, (7.6), Рис. 7.1]; VKM-SRC-014 p.174 (печ. 174) [§7.1, (7.8), Рис. 7.3]; VKM-SRC-037 p.108 (печ. 214) [§6.10.1, формулы (6.22), (6.23), табл. 6.14]",EV-VN-S014-1006;EV-VN-S014-1009;EV-VN-S037-0664,FORM_CONFLICT,"K_бц = 1 + 0,1(2h/b₁ − 1)^0,4·(L/h)_min^0,25; K_бп = 1 + 0,1(2(L₁+L₂)/Δh − 1)^0,4·(L/h)_min^0,25 (VKM-SRC-014 §7.1)","K_б = A·(b/1,6)^α₁·(c₁/1,6)^α₂·(d/1,6)^α₃ (VKM-SRC-037 (6.22))",Разные эмпирические формы коэффициента пригрузки от соседних выработок (учебное пособие 2013 vs методическое руководство 1992).,Действующий регламент Уралкалия (EXT-SRC-030) для выбора формы.,OPEN
FC-008,MM-ROOF-012,VKM-SRC-037,"VKM-SRC-037 p.108 (печ. 214) [§6.10.1, формулы (6.22), (6.23), табл. 6.14]; VKM-SRC-037 p.118 (печ. 234) [§6.10.4, формула Hпр=H·Kс и (6.43)]",EV-VN-S037-0664;EV-VN-S037-0708,INTERNAL_INCONSISTENCY,"K_с = 1/(0,6 + 1,7L_с·tg(θ/2)/R₀)² (6.23)","K_с = 1 + 1/(0,6 + 1,7L_сi·tg(θ/2)/R₀)² (6.43)",Один и тот же коэффициент пригрузки от сопрягающейся выработки напечатан в двух формах (с «1 +» и без).,Проверка по рендеру страниц 108 и 118 (локально/визуально) и по примерам расчёта.,OPEN
FC-009,MM-HYDTR-001,VKM-SRC-014;VKM-SRC-037,VKM-SRC-014 p.153 (печ. 153) [формула (6.8)]; VKM-SRC-014 p.153 (печ. 153) [формула (6.9)]; VKM-SRC-037 p.179 (печ. 356-357) [формулы (8.180)-(8.182)]; VKM-SRC-037 p.180 (печ. 358-359) [формулы (8.183)-(8.191)],EV-VN-S014-0947;EV-VN-S014-0948;EV-VN-S037-0978;EV-VN-S037-0982,"FORM_CONFLICT (гидротранспорт, контекст)","V_кр = 4,23√Д (d < 1 мм); 4,23√Д + 0,5(d_ср − 1) (d = 1–3 мм) (VKM-SRC-014)","v_кр = 2,0 + 0,75(d_ср − 1) (трубы до 250 мм); v_кр по Смолдыреву (VKM-SRC-037)",Разные эмпирические формулы критической скорости пульпы; контекст (не влияет на физику оседаний).,—,OPEN_LOW_PRIORITY
FC-010,MM-HYDTR-001,VKM-SRC-014,VKM-SRC-014 p.153 (печ. 153) [формула (6.7)],EV-VN-S014-0945,PRINT_ERROR_SUSPECTED,Д = V_п/(2826·V_кр·k_з) (как напечатано),Д = √(V_п/(2826·V_кр·k_з)) (размерно корректная форма; 2826 ≈ 3600·π/4),"Визуально подтверждено, что корень не напечатан; размерность результата — м².",—,RECORDED_AS_PRINTED
