model_id,name_ru,physical_meaning_ru,math_class,equation_plain,equation_latex,variables,assumptions,scale,site_applicability,source_ids,locator,origin,cited_primary,known_variants,conflicting_forms,legibility,intended_role,future_execution,status,confidence,vn_ids,record_kinds,n_records,extraction_methods,group,notes
MM-BACKFILL-001,"Годовой баланс закладки: максимальная масса закладки, образование солеотходов, коэффициент использования солеотходов",Сколько солеотходов может быть размещено в выработанном пространстве при заданной степени заполнения камер.,ALGEBRAIC,Q_з.max = Q_г.р·(1 − α_под)·k_з·ρ_з.м/ρ_руд (6.1); Q_г.с = Q_г.р·(1 − β_KCl − β_Н.О.) (6.2); k_ис = Q_з.max/Q_г.с = k_з·ρ_з.м·(1 − α_под)/(ρ_руд·(1 − β_KCl − β_Н.О.)) (6.3),Q_{з.max}=\frac{Q_{г.р}(1-\alpha_{под})k_з\rho_{з.м}}{\rho_{руд}},Q_з.max:максимальная годовая масса закладки[т]; Q_г.р:годовая добыча руды[т]; α_под:коэффициент добычи руды из подготовительных и капитальных выработок[доли ед.]; k_з:степень заполнения камер[–]; ρ_з.м:плотность закладочного массива[т/м3]; ρ_руд:плотность руды[т/м3],Учебная методика.,DESIGN,GENERAL_METHOD (ВКМ-практика),VKM-SRC-014;VKM-SRC-037,"VKM-SRC-014 p.151 (печ. 151) [формула (6.1)]; VKM-SRC-014 p.151 (печ. 151) [формула (6.2)]; VKM-SRC-014 p.151 (печ. 151) [формула (6.3)]; VKM-SRC-037 p.185 (печ. 369) [§8.6.6, формула (8.216), с.369]; VKM-SRC-037 p.189 (печ. 376) [формулы (8.217), (8.218), с.376]; VKM-SRC-037 p.189 (печ. 376) [формулы (8.219), (8.220), с.376]; VKM-SRC-037 p.189 (печ. 377) [формулы (8.221)-(8.224), с.377]; VKM-SRC-037 p.189 (печ. 377) [формулы (8.225)-(8.227), с.377]",CITED_IN_SOURCE,учебная методика (источник не указан),MM-BACKFILL-003 (степень заполнения),,CLEAR,CONTEXT_ONLY (логистика закладки); косвенно — объём заполнения выработанного пространства,CONTEXT_ONLY,FACT,HIGH,EV-VN-S014-0935;EV-VN-S014-0936;EV-VN-S014-0937;EV-VN-S037-1049;EV-VN-S037-1085;EV-VN-S037-1086;EV-VN-S037-1088;EV-VN-S037-1089,formula,8,OCR_VISUALLY_CONFIRMED;VISUAL_READ,Backfill: balance,VKM-SRC-014 прямо указывает: методики практикума учебные; для реальных расчётов — действующие регламенты предприятий (EV-VN-S014-0012). 
MM-BACKFILL-002,"Гидрозакладочная установка: часовая производительность, подача и плотность пульпы, расход рассола, плотность частиц солеотходов",Расчёт режима приготовления пульпы.,ALGEBRAIC,"Q_ч = Q_г/(T_ф·t_c) (6.4); V_п = Q_ч/ρ_т.с·(Ж + Т) (6.5); ρ_т.с = Σ ρ_k·α_k (6.6); V_р = V_п − Q_ч·(ρ_т.с⁻¹ + 1,15·w_с) (6.10); ρ_п = ρ_р + Q_ч/V_п·(1 − ρ_р/ρ_т.с) (6.11)",Q_ч=\frac{Q_г}{T_ф t_c},Q_ч:часовая производительность[т/ч]; Q_г:годовая производительность установки[т]; T_ф:годовое количество дней работы фабрики (330–340 на ОАО «Уралкалий»)[сут]; t_c:суточное время работы установки (≤20 ч)[ч],"Т_ф = 330–340 сут (Уралкалий), t_c ≤ 20 ч, Ж:Т ≈ 2:1; линейное смешение плотностей.",DESIGN,GENERAL_METHOD (ВКМ-практика),VKM-SRC-014,VKM-SRC-014 p.152 (печ. 152) [формула (6.4)]; VKM-SRC-014 p.153 (печ. 153) [формула (6.5)]; VKM-SRC-014 p.153 (печ. 153) [формула (6.6)]; VKM-SRC-014 p.154 (печ. 154) [формула (6.10)]; VKM-SRC-014 p.154 (печ. 154) [формула (6.11)],CITED_IN_SOURCE,учебная методика,,,CLEAR,CONTEXT_ONLY,CONTEXT_ONLY,FACT,HIGH,EV-VN-S014-0941;EV-VN-S014-0943;EV-VN-S014-0944;EV-VN-S014-0949;EV-VN-S014-0950,formula,5,VISUAL_READ,Backfill: hydraulic plant,VKM-SRC-014 прямо указывает: методики практикума учебные; для реальных расчётов — действующие регламенты предприятий (EV-VN-S014-0012). 
MM-BACKFILL-003,Степень заполнения камер закладкой: k_зап = h_з.м/h_к = 1 − h_з/h_к; средняя по двум пластам — взвешенная по сечениям камер,"Доля высоты камеры, занятая закладочным массивом; незаполненный зазор под кровлей определяет эффективность закладки как опоры.",ALGEBRAIC,k_зап = h_з.м/h_к (6.18); h_з.м = h_к − h_з (6.19); k_зап = 1 − h_з/h_к (6.20); k_зап.ср = (k_зап.в·S_к.в + k_зап.н·S_к.н)/(S_к.в + S_к.н) (6.21),,h_z:unfilled gap backfill-roof[m]; h_k:mean chamber height[m],Высота закладки измеряется косвенно через зазор до кровли.,FIELD/DESIGN,VKM_REGIONAL (в т.ч. двухпластовая отработка АБ+КрII СКРУ-1),VKM-SRC-014;VKM-SRC-037,"VKM-SRC-014 p.161 (печ. 161) [§6.3, формула (6.18)]; VKM-SRC-014 p.161 (печ. 161) [§6.3, формула (6.19)]; VKM-SRC-014 p.161 (печ. 161) [§6.3, формула (6.20)]; VKM-SRC-014 p.161 (печ. 161) [§6.3, формула (6.21)]; VKM-SRC-037 p.72 (печ. 143) [§4.2 (с.143)]; VKM-SRC-037 p.75 (печ. 148) [§4.3 (с.148)]; VKM-SRC-037 p.184 (печ. 367) [формулы (8.214), (8.215), с.367]",ORIGINAL_SOURCE,"Соловьев, Секунцов 2013 §6.3",MM-BACKFILL-004 (незаполняемая высота); параметр закладки p в MM-SUBS-011,,CLEAR,WorldSpec: геометрия закладки (доля заполнения) — вход для задания свойств выработанного пространства (INITIAL/BOUNDARY),INITIAL_CONDITION;BOUNDARY_CONDITION,FACT,HIGH,EV-VN-S014-0968;EV-VN-S014-0969;EV-VN-S014-0970;EV-VN-S014-0971;EV-VN-S037-0476;EV-VN-S037-0480;EV-VN-S037-1045,engineering_rule;formula,7,OCR_VISUALLY_CONFIRMED,Backfill: fill ratio,"VKM-SRC-014 прямо указывает: методики практикума учебные; для реальных расчётов — действующие регламенты предприятий (EV-VN-S014-0012). Зазор ≤1,0 м при механической закладке (EV-VN-S014-0902) — закладка не доходит до кровли."
MM-BACKFILL-004,Средняя незаполняемая высота камеры при гидрозакладке (один порог; несколько порогов; через скважины в МКЦ; через скважины в междупластье),"Геометрия откоса закладочного массива (угол φ, наклон камеры α) определяет средний зазор под кровлей.",GEOMETRIC,"h_з = [L_с·h_т + (L_к − L_с)·h_п.п + 0,5(L_к − L_с)²·tg(φ − α)]/L_к (6.22); h_з = h_п.п + L_к/(2n_п)·sin(φ − α) (6.23); h_з = h_скв + L_к·sin(φ+α)·sin(φ−α)/(2n_скв·sin2φ) (6.24); h_з = L_к·sin(φ+α)·sin(φ−α)/(2n_скв·sin2φ) (6.25)","h_з=\frac{L_с h_т+(L_к-L_с)h_{п.п}+0{,}5(L_к-L_с)^2\,\mathrm{tg}(\varphi-\alpha)}{L_к}",h_z:unfilled height[m]; L_c:distance to pulp discharge point[m]; h_t:technological gap for laying the pulp pipeline[m]; L_k:chamber length[m]; h_p.p:distance from roof to backfill at the threshold[m]; phi:slope angle of backfill mass[deg]; alpha:chamber inclination angle[deg],Плоский откос с углом φ; наклон камеры α.,DESIGN,VKM_REGIONAL,VKM-SRC-014;VKM-SRC-037,"VKM-SRC-014 p.162 (печ. 162) [§6.3, Рис. 6.2, формула (6.22)]; VKM-SRC-014 p.163 (печ. 163) [§6.3, Рис. 6.3, формула (6.23)]; VKM-SRC-014 p.164 (печ. 164) [§6.3, Рис. 6.4, формула (6.24)]; VKM-SRC-014 p.164 (печ. 164) [§6.3, Рис. 6.5, формула (6.25)]; VKM-SRC-037 p.183 (печ. 364) [§8.6.5, формула (8.201), с.364; рис. 8.24]; VKM-SRC-037 p.183 (печ. 365) [формула (8.202), с.365]; VKM-SRC-037 p.183 (печ. 365) [формула (8.203), с.365]; VKM-SRC-037 p.183 (печ. 365) [формула (8.204), с.365; рис. 8.25]; VKM-SRC-037 p.183 (печ. 365) [формула (8.205), с.365]; VKM-SRC-037 p.184 (печ. 366) [формулы (8.206)-(8.208), с.366]; VKM-SRC-037 p.184 (печ. 366) [формула (8.209), с.366]; VKM-SRC-037 p.184 (печ. 366) [формула (8.210), с.366]; VKM-SRC-037 p.184 (печ. 366) [формула (8.211), с.366]; VKM-SRC-037 p.184 (печ. 367) [формулы (8.212), (8.213), с.367]",ORIGINAL_SOURCE,"Соловьев, Секунцов 2013 §6.3",MM-BACKFILL-003,,CLEAR,Геометрия незаполненного пространства под кровлей (вход для модели закладки),INITIAL_CONDITION,FACT,HIGH,EV-VN-S014-0974;EV-VN-S014-0979;EV-VN-S014-0980;EV-VN-S014-0981;EV-VN-S037-1027;EV-VN-S037-1028;EV-VN-S037-1035;EV-VN-S037-1036;EV-VN-S037-1037;EV-VN-S037-1040;EV-VN-S037-1041;EV-VN-S037-1042;EV-VN-S037-1043;EV-VN-S037-1044,formula,14,OCR_VISUALLY_CONFIRMED,Backfill: fill ratio,VKM-SRC-014 прямо указывает: методики практикума учебные; для реальных расчётов — действующие регламенты предприятий (EV-VN-S014-0012). 
MM-BACKFILL-005,"Производительность самоходного вагона при закладке камер (часовая, минутная, цикл, средневзвешенная для двух слоёв)",Темп закладки определяет задержку между выемкой и закладкой (источник это прямо не формулирует).,ALGEBRAIC,Q_ч = 60·Q_мин·K_ст·K_сд (6.26); Q_мин = V/t_ц (6.27); t_ц = L/V_груж + L/V_пор + t_загр + t_разг + t_вс (6.28); Q_ср.вз = [Q_н.с(h_к − h_в.с) + Q_в.с(h_в.с − h_з)]/(h_к − h_з) (6.29),,Q_ch:hourly productivity[t/h]; Q_min:minute productivity[t/min]; K_st:reduction coefficient for cycle-duration instability[-]; K_sd:reduction coefficient for position of unloading points in backfilled chambers[-],,DESIGN,VKM_REGIONAL,VKM-SRC-014;VKM-SRC-037,"VKM-SRC-014 p.167 (печ. 167) [§6.4 «Расчет производительности самоходного вагона при закладке камер», (6.26)]; VKM-SRC-014 p.168 (печ. 168) [§6.4, (6.27)-(6.28)]; VKM-SRC-014 p.169 (печ. 169) [§6.4, (6.29)]; VKM-SRC-037 p.173 (печ. 344-345) [формулы (8.148)-(8.157)]; VKM-SRC-037 p.174 (печ. 347) [формулы (8.158)-(8.160)]; VKM-SRC-037 p.175 (печ. 348-349) [формулы (8.161)-(8.164)]; VKM-SRC-037 p.176 (печ. 350-352) [формулы (8.165)-(8.179)]",ORIGINAL_SOURCE,"Соловьев, Секунцов 2013 §6.4",,опечатка: V_пор определена как «скорость гружёного вагона» (табл. 6.1 — порожнего),CLEAR,CONTEXT_ONLY (темп закладки → хронология),CONTEXT_ONLY,FACT,HIGH,EV-VN-S014-0993;EV-VN-S014-0995;EV-VN-S014-0997;EV-VN-S037-0959;EV-VN-S037-0964;EV-VN-S037-0969;EV-VN-S037-0972,formula,7,OCR_VISUALLY_CONFIRMED,Backfill: rate,VKM-SRC-014 прямо указывает: методики практикума учебные; для реальных расчётов — действующие регламенты предприятий (EV-VN-S014-0012). 
MM-BACKFILL-006,Коэффициент заполнения камеры при механической закладке самоходными вагонами: K_з = 1 − (Δh_з + Δh_к + Δh_г)/h_ср с приведёнными зазорами от пустот между кучами и в горловине,Незаполненный объём = зазор под кровлей + пустоты между кучами (усечённые конусы) + пустота в горловине.,GEOMETRIC,"K_з = 1 − (Δh_з + Δh_к + Δh_г)/h_ср (8.196); Δh_к = (R − r_ср)tgφ[1 − π/(L₁L₂)(R² + R·r_ср + r_ср²)] (8.197); R = 0,5√(0,25L₁² + L₂²) (8.198); Δh_г = H/(2L)(H_з/tgβ − L_г) (8.199); β = β_max ± α, β_max = 8–10° (8.200)",K_з = 1-\frac{\Delta h_з+\Delta h_к+\Delta h_г}{h_{ср}},Kз:коэффициент заполнения камеры[-]; Δhз:средний зазор между вершинами куч и кровлей камеры[м]; Δhк:приведенный зазор от пустоты между кучами[м]; Δhг:приведенный зазор от … [сокращено: дословный текст источника — только в PRIVATE],Сухая закладка вагонами 5ВС-15М.,DESIGN,VKM_REGIONAL,VKM-SRC-037,"VKM-SRC-037 p.182 (печ. 362) [§8.6.4, формула (8.196), с.362; рис. 8.23]; VKM-SRC-037 p.182 (печ. 363) [формула (8.197), с.363]; VKM-SRC-037 p.182 (печ. 363) [формула (8.198), с.363]; VKM-SRC-037 p.182 (печ. 363) [формула (8.199), с.363]; VKM-SRC-037 p.183 (печ. 364) [формула (8.200), с.364]",ORIGINAL_SOURCE,VKM-SRC-037 §8.6.4,"MM-BACKFILL-003 (гидрозакладка/общее определение), MM-BACKFILL-004",(8.197): в общей формуле напечатано (R + R·r_ср + r_ср²) — без квадрата у R; в примере — R² (принят R²),CLEAR,Вход WorldSpec: эффективная доля заполнения выработанного пространства (A в формулах оседаний),INITIAL_CONDITION,MODEL_CHOICE,HIGH,EV-VN-S037-1016;EV-VN-S037-1019;EV-VN-S037-1020;EV-VN-S037-1022;EV-VN-S037-1024,formula,5,OCR_VISUALLY_CONFIRMED,Backfill: fill ratio,VKM-SRC-037 (1990/1992) — нормативно-методическое руководство; более поздние Указания (2014/2017/2022) могут отличаться. 
MM-BLAST-001,Линия наименьшего сопротивления шпуровых и веерных зарядов в соляных породах и параметры веерных скважин,Проектирование БВР.,ALGEBRAIC,"W_o = (1/i_в)·√(α·Q̄·D·l_п/(m·η·J_i)) (8.63); сильвинит W_o = 0,0152√(Q̄D/(mη)); галит 0,0139; карналлит 0,019 (8.64–8.66); W_в = W_o(1 − e^(−d_в/W_o)) (8.67); W = 0,015·K_к·√(Q̄D/(mη)) (8.70); l = l_пр/sin α … A = W/sin α (8.71–8.76)",W_o=\frac{1}{i_\text{в}}\sqrt{\frac{\alpha \bar Q D l_\text{п}}{m\eta J_i}},"W_o:ЛНС при взрывании на неограниченную обнажённую поверхность[м]; i_в:степень дробления породы взрывом[-]; α:коэффициент способа инициирования (0,64 прямое; 0,9 обратное)[-]; Q̄:масса ВВ в 1 м шпура[кг]; D:скорость детонации[м/с]; l_п:предельный эффективный коэффициент удлинения заряда[-]; m:коэффициент сближения шпуров a/W (мелкошпуровая 1,1–1,4; одиночные 1,45–1,65)[-]; η:КИШ (0,95–0,97)[-]; J_i:удельный нормируемый импульс дробления[]; d_в:поперечный размер (диаметр) ограниченной обнажённой поверхности[м]; l_н.з, l_ш:незаряженная часть шпура; длина шпура[м]",,DESIGN,VKM_REGIONAL,VKM-SRC-037,"VKM-SRC-037 p.148 (печ. 294-296) [§8.2.1, ф. (8.63)–(8.69); табл. 8.8]; VKM-SRC-037 p.151 (печ. 300) [формула (8.70)]; VKM-SRC-037 p.151 (печ. 301) [формулы (8.71)-(8.76)]; VKM-SRC-037 p.151 (печ. 301) [§8.2.3, к (8.73)]",ORIGINAL_SOURCE,VKM-SRC-037 §8.2,,"коэффициент 0,015 в (8.70) vs 0,96 в рабочем примере с.302 (conflict_note источника); «m = a/m» — опечатка (a/W)",CLEAR,CONTEXT_ONLY,CONTEXT_ONLY,FACT,HIGH,EV-VN-S037-0821;EV-VN-S037-0833;EV-VN-S037-0835;EV-VN-S037-0836,engineering_rule;formula,4,OCR_VISUALLY_CONFIRMED;VISUAL_READ,Blasting (context),VKM-SRC-037 (1990/1992) — нормативно-методическое руководство; более поздние Указания (2014/2017/2022) могут отличаться. 
MM-CONTACT-001,"Кусочно-линейный закон сдвига контактов соляных пород (пик, разупрочнение, остаточная прочность) с огибающими Кулона для пиковой и остаточной прочности","Сдвиговое напряжение на контакте растёт линейно до пика, затем падает с жёсткостью разупрочнения до остаточного уровня; пиковая/остаточная прочность — по Кулону, при σ → σ_c их отношение → 1.",ALGEBRAIC,"u = f(τ, σ): параметры τ_p, u_p, τ*, u*, K_s, K_m; τ = K_s·u (0 < u ≤ u_p); τ = −K_m·u + K_s·u_p(1 + K_m/K_s) (u_p < u ≤ u*); τ = τ* (u* < u) (5.3); τ_p = C_p + σ·tgφ_p; τ* = C* + σ·tgφ* (5.4); lim_{σ→σc} τ_p/τ* = 1 (5.5); tgφ* − tgφ_p = (C_p − C*)/σ_c, φ_p = φ* + α (5.6); α = arctg(…) (5.7, как напечатано); τ_p = C_p + σ·tg(φ* + α) (5.8); K_m(σ) = (τ_p − τ*)/(u* − u_p); u_m(σ) = τ_p/K_s; u*(σ) = τ*(u₀ₓ − uₓ)/C* + uₓ (5.9)",\tau=\begin{cases}K_s u & 0<u\le u_p\\ -K_m u+K_s u_p(1+K_m/K_s) & u_p<u\le u_*\\ \tau_* & u_*<u\end{cases},"τ:касательное напряжение на контакте[МПа]; u:сдвиговое смещение по контакту[м]; Ks:сдвиговая жёсткость контакта (const)[ГПа/м]; Km:жёсткость разупрочнения[ГПа/м]; up, u*:смещения при пиковой и начале остаточной прочности[м]; τ*:остаточная прочность[МПа]",Справедливо при сжатии; при растяжении K_s = K_n = 0 (первое приближение).,LAB,VKM_REGIONAL (контакты соляных пород),VKM-SRC-025,"VKM-SRC-025 p.144 (печ. 144) [§5.3, формула (5.3)]; VKM-SRC-025 p.134 (печ. 134) [§5.1, Рис. 5.4]; VKM-SRC-025 p.144 (печ. 144) [§5.3, формула (5.4)]; VKM-SRC-025 p.145 (печ. 145) [§5.3, формула (5.5)]; VKM-SRC-025 p.145 (печ. 145) [§5.3, формула (5.6)]; VKM-SRC-025 p.145 (печ. 145) [§5.3, формула (5.7)]; VKM-SRC-025 p.145 (печ. 145) [§5.3, формула (5.8)]; VKM-SRC-025 p.145 (печ. 145) [§5.3, формула (5.9), с.145-146]",ORIGINAL_SOURCE,VKM-SRC-025 §5.3; [44],"MM-CONTACT-002 (нормальная дилатансия), MM-CONTACT-005 (ползучесть контакта), MM-PDE-012 (контакт в МКЭ)",(5.7) в печати противоречит собственному утверждению текста (вероятно перевёрнута дробь); прежние записи EV-RMR-0942/0943 дают иные формы (5.6)–(5.9) — печать приоритетна (FC-022),CLEAR,Кандидатный закон интерфейсов (глинистые прослои/контакты) для слоистой модели — OGS: интерфейсные элементы/Mohr-Coulomb interface (проверить в локальной фазе),COMPUTED_LOCAL;RESEARCH_REQUIRED,MODEL_CHOICE,HIGH,EV-VN-S025-0788;EV-VN-S025-0732;EV-VN-S025-0789;EV-VN-S025-0791;EV-VN-S025-0792;EV-VN-S025-0793;EV-VN-S025-0794;EV-VN-S025-0795,formula,8,OCR_VISUALLY_CONFIRMED;VISUAL_READ,Interfaces: shear,VKM-SRC-025: лабораторный масштаб (LAB); перенос на массив требует явной записи transfer. 
MM-CONTACT-002,"Нормальный (дилатантный) закон контакта σ = K_n·v …; угол дилатансии β = JRC·log(σ_c/σ) (Бартон) и для солей tgβ = tgβ₀·exp{−b[σ/(σ_c − σ)]}, tgβ₀ = 1, b = 1,6…2,0",Разуплотнение контакта при сдвиге убывает с ростом нормального напряжения и исчезает при σ → σ_c.,ALGEBRAIC,σ = K_n·v (0 < u ≤ m·u_p); σ = −K_n[v + tgβ(u − m·u_p)] (m·u_p < u ≤ u*); σ = −K_n[v + tgβ(u* − m·u_p)] (u* < u) (5.10); β = JRC·log(σ_c/σ) (5.11); tgβ = tgβ₀·exp{−b[σ/(σ_c − σ)]} (5.12); при растяжении K_s = K_n = 0,\sigma=\begin{cases}K_n v & 0<u\le m u_p\\ -K_n[v+\mathrm{tg}\beta(u-mu_p)] & mu_p<u\le u_*\\ -K_n[v+\mathrm{tg}\beta(u_*-mu_p)] & u_*<u\end{cases},"Kn:нормальная жёсткость контакта[ГПа/м (не указано)]; v:нормальное смещение (разуплотнение)[м]; m:доля up начала разуплотнения, m < 1[-]; tgβ(σ):максимальное отношение приращения разуплотнения к приращению сдвига[-]","σ_c = 15,0…17,5 МПа; калибровка по рис. 5.10.",LAB,VKM_REGIONAL,VKM-SRC-025,"VKM-SRC-025 p.146 (печ. 146) [§5.3, формула (5.10)]; VKM-SRC-025 p.146 (печ. 146) [§5.3, формула (5.11)]; VKM-SRC-025 p.146 (печ. 146) [§5.3, формула (5.12), Рис. 5.10]; VKM-SRC-025 p.147 (печ. 147) [§5.3, с.147]",ORIGINAL_SOURCE,VKM-SRC-025 §5.3; [44]; Бартон (JRC),MM-CONTACT-001,,CLEAR,Кандидатный закон интерфейсов (дилатансия),RESEARCH_REQUIRED,FACT,HIGH,EV-VN-S025-0797;EV-VN-S025-0798;EV-VN-S025-0799;EV-VN-S025-0802,engineering_rule;formula,4,OCR_VISUALLY_CONFIRMED;VISUAL_READ,Interfaces: normal/dilatancy,VKM-SRC-025: лабораторный масштаб (LAB); перенос на массив требует явной записи transfer. 
MM-CONTACT-003,Пересчёт деформаций образца в смещения по наклонному контакту и напряжения на площадке контакта в трёхосном опыте (как напечатано — с опечатками),"v = (u₁/2)sinφ − (u₃/2)cosφ; u = (u₁/2)cosφ − (u₃/2)sinφ; σ, τ на площадке через направляющие косинусы.",ALGEBRAIC,"v = (u₁/2)·sinφ − (u₃/2)·cosφ; u = (u₁/2)·cosφ − (u₃/2)·sinφ (5.1); σ = σ₁cos²α₁ + σ₃(cos²α₂ + cos²α₃); τ = {σ₂¹cos²α₁ + σ₃²(cos²α₁ + cos²α₂) + [σ]²}^½ (5.2, как напечатано)","v=\frac{u_1}{2}\sin\varphi-\frac{u_3}{2}\cos\varphi,\quad u=\frac{u_1}{2}\cos\varphi-\frac{u_3}{2}\sin\varphi","u1:абсолютная продольная деформация образца[мм]; u3:абсолютная поперечная деформация образца[мм]; v:перемещение перпендикулярно плоскости контакта[мм]; u:перемещение параллельно плоскости контакта[мм]; φ:угол наклона контакта к оси образца (поворот осей X,Y), 30°[°]",φ = 30°; среднее главное напряжение не учитывается.,LAB,GENERAL_METHOD,VKM-SRC-025,"VKM-SRC-025 p.141 (печ. 141) [§5.2, формула (5.1)]; VKM-SRC-025 p.141 (печ. 141) [§5.2, формула (5.2)]",ORIGINAL_SOURCE,VKM-SRC-025 (5.1); «известные формулы» (5.2),формула Коши τ² = σ₁²cos²α₁ + σ₃²(cos²α₂ + cos²α₃) − σ² (учебная),"(5.2) для τ в печати содержит опечатки относительно формулы Коши (индексы, знак «+» вместо «−») — не использовать без исправления (FC-023)",CLEAR,CONTEXT_ONLY (интерпретация испытаний),CONTEXT_ONLY,FACT,MEDIUM,EV-VN-S025-0775;EV-VN-S025-0776,formula,2,VISUAL_READ,Interfaces: test interpretation,VKM-SRC-025: лабораторный масштаб (LAB); перенос на массив требует явной записи transfer. 
