vn_id,source_id,locator,data_class_as_extracted,dc_id,mapping,status,scope,confidence,availability_as_extracted,latency_as_extracted,notes
EV-VN-S001-0004,VKM-SRC-001,p3 [Актуальность проблемы],levelling / high-precision GNSS campaigns,DC18,keyword rule on data_class,FACT,GENERAL_METHOD,HIGH,low operativeness per author,qualitative only; no numbers,
EV-VN-S001-0024,VKM-SRC-001,p9 [факторы некачественных результатов],"InSAR scene time series (C-band ENVISAT era, 2008-2011)",DC20,explicit (cited in DC row),FACT,GENERAL_METHOD,HIGH,seasonal gaps: winter unusable; multi-year series split between satellites with different lifetimes,winter gap is a structural gap in the InSAR observation operator for VKM latitude,
EV-VN-S001-0063,VKM-SRC-001,p18 [текст с.18],InSAR scene / interferometric time series,DC20,explicit (cited in DC row),FACT,GENERAL_METHOD,HIGH,season-by-season; winter motion only inferred across seasons; annual intervals recommended,structural winter gap; multi-season series must use same start/end dates each year,
EV-VN-S001-0070,VKM-SRC-001,p20 [Заключение п.3],archived SAR scenes (retrospective InSAR),DC20,explicit (cited in DC row),FACT,GENERAL_METHOD,HIGH,retrospective reconstruction becomes available only after processing; must not be treated as real-time available at the original acquisition date in a hindcast benchmark,archive-processing latency of several years illustrated by Fig.6б (2004-2008 data in 2012 publication),
EV-VN-S001-0081,VKM-SRC-001,p21 [список публикаций + с.11-13],InSAR subsidence maps for ВКМКС (Сильвинит/Соликамск),DC21,keyword rule on data_class,FACT,VKM_REGIONAL,HIGH,to client (Сильвинит) after contract delivery; publicly 2011-2012 in aggregated/figure form only,2011 season results published within the same year (Маркш. вестник 2011 №3 presumably covers earlier ENVISAT data); raw PS data not public,
EV-VN-S002-0006,VKM-SRC-002,p4 [слайд 4],Sentinel-1 IW SLC scene,DC20,explicit (cited in DC row),FACT,GENERAL_METHOD,HIGH,"open, free; available within days of acquisition via SciHub (at the time); ~7.3-7.6 GB per SLC product","ingestion latency not shown; Sentinel-1B ceased Dec 2021 (external knowledge, not in source)",
EV-VN-S002-0012,VKM-SRC-002,p7 [слайд 7],Sentinel-1 seasonal InSAR stack (2021 example),DC21,manual override (reviewed),FACT,GENERAL_METHOD,HIGH,season-level product available only after the season stack is closed and processed; winter months not covered,"stack design: single reference 28.04.2021, pairs up to 48 days",
EV-VN-S002-0031,VKM-SRC-002,p14 [слайд 14 врезка],multi-season InSAR PS time series over SKRU-1 (2011-2016),DC21,explicit (cited in DC row),FACT,SKRU1,HIGH,season blocks; winter displacement only inferred via polynomial trend; per-season updates at best,inter-season linking method unknown (polynomial curve shown),
EV-VN-S002-0066,VKM-SRC-002,"p12 [слайды 4, 7, 12, 14 (сводно)]",InSAR sensor timeline used by ПНИПУ for VKM (from SRC-001 + SRC-002),DC21,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,"heterogeneous sensors (different λ, LOS geometry, revisit) — series across sensors require cross-calibration; commercial data not openly available",sensor for each SKRU-1 season 2012-2016 not documented in these sources,
EV-VN-S003-0006,VKM-SRC-003,p4 [Введение],InSAR scene / interferogram,DC21,keyword rule on data_class,FACT,GENERAL_METHOD,HIGH,'оперативный мониторинг' claimed; actual latency not quantified on this page,Revisit sets minimum temporal sampling; availability conditioned by coherence/snow/vegetation (p.4),
