geo_id,feature_type,schema_structure_kind,feature_tags,evidence_basis,basis_assignment,observation_method,name_as_printed,location_as_printed,dimensions_as_printed,orientation_as_printed,affected_units,description,source_id,pdf_page,locator,vn_id,existing_evidence_ids,record_kind,status,evidence_type,scope,scale,skru1_relevance,spatial_level,extraction_method,quote_check,confidence,notes,review_note
GEO-0001,fault,fault,fault,MAP_INTERPRETATION,SOURCE_CATALOGUE_CODE,CATALOGUE: выявлен ГР* [гравиметрия],разлом № 1,концы разлома в ячейках рис. 1.46: Б9-Б6,длина 30 км; азимут простирания СЗ 355,СЗ 355,,"разлом № 1: класс по каталогу [BASEMENT+SEDIMENTARY_COVER+ZONE] (ссылка каталога: Нояксова и др., 1990); концы разлома в ячейках рис. 1.46: Б9-Б6; длина 30 км; азимут простирания СЗ 355",VKM-SRC-011,142,"Прил. 1, разлом №1",EV-VN-S011-2473,,spatial_entity,FACT,INTERPRETATION,VKM_REGIONAL,FIELD,REGIONAL,geological_element,OCR_VISUALLY_CONFIRMED,EXACT,MEDIUM,"Row parsed from text layer, visually verified on renders p142-p144 (110 dpi). Location = grid cells of the ends on Рис. 1.46 (letters А–Е × numbers 1–15), not coordinates. Methods: ГР = гравиметрия. '(С)/(Ц)/(З)/(Ю)/(В)/(ЮВ)' = part of the fault confirmed. 'н/п' undefined in legend (probably 'не подтвержден'); '– « –' resolved to the previous characteristic. | Каталог 173 разломов (Прил. 1 SRC-011): положение концов — ячейки сетки рис. 1.46, не координаты; «ГМ» (геологические методы) трактуется как прямое геологическое наблюдение, прочие — интерпретация полей/карт",
GEO-0002,fault,fault,fault,MAP_INTERPRETATION,SOURCE_CATALOGUE_CODE,CATALOGUE: выявлен ГР [гравиметрия],разлом № 2,концы разлома в ячейках рис. 1.46: Б10-В6,длина 38 км; азимут простирания СВ 8,СВ 8,,"разлом № 2: класс по каталогу [BASEMENT+SEDIMENTARY_COVER+ZONE] (ссылка каталога: Нояксова и др., 1990); концы разлома в ячейках рис. 1.46: Б10-В6; длина 38 км; азимут простирания СВ 8",VKM-SRC-011,142,"Прил. 1, разлом №2",EV-VN-S011-2474,,spatial_entity,FACT,INTERPRETATION,VKM_REGIONAL,FIELD,REGIONAL,geological_element,OCR_VISUALLY_CONFIRMED,EXACT,MEDIUM,"Row parsed from text layer, visually verified on renders p142-p144 (110 dpi). Location = grid cells of the ends on Рис. 1.46 (letters А–Е × numbers 1–15), not coordinates. Methods: ГР = гравиметрия. '(С)/(Ц)/(З)/(Ю)/(В)/(ЮВ)' = part of the fault confirmed. 'н/п' undefined in legend (probably 'не подтвержден'); '– « –' resolved to the previous characteristic. | Каталог 173 разломов (Прил. 1 SRC-011): положение концов — ячейки сетки рис. 1.46, не координаты; «ГМ» (геологические методы) трактуется как прямое геологическое наблюдение, прочие — интерпретация полей/карт",
GEO-0003,fault,fault,fault,MAP_INTERPRETATION,SOURCE_CATALOGUE_CODE,CATALOGUE: выявлен ГР [гравиметрия],разлом № 3,концы разлома в ячейках рис. 1.46: В9-В6,длина 29 км; азимут простирания СЗ 358,СЗ 358,,"разлом № 3: класс по каталогу [BASEMENT+SEDIMENTARY_COVER+ZONE] (ссылка каталога: Нояксова и др., 1990); концы разлома в ячейках рис. 1.46: В9-В6; длина 29 км; азимут простирания СЗ 358",VKM-SRC-011,142,"Прил. 1, разлом №3",EV-VN-S011-2475,,spatial_entity,FACT,INTERPRETATION,VKM_REGIONAL,FIELD,REGIONAL,geological_element,OCR_VISUALLY_CONFIRMED,EXACT,MEDIUM,"Row parsed from text layer, visually verified on renders p142-p144 (110 dpi). Location = grid cells of the ends on Рис. 1.46 (letters А–Е × numbers 1–15), not coordinates. Methods: ГР = гравиметрия. '(С)/(Ц)/(З)/(Ю)/(В)/(ЮВ)' = part of the fault confirmed. 'н/п' undefined in legend (probably 'не подтвержден'); '– « –' resolved to the previous characteristic. | Каталог 173 разломов (Прил. 1 SRC-011): положение концов — ячейки сетки рис. 1.46, не координаты; «ГМ» (геологические методы) трактуется как прямое геологическое наблюдение, прочие — интерпретация полей/карт",
GEO-0004,fault,fault,fault,MAP_INTERPRETATION,SOURCE_CATALOGUE_CODE,CATALOGUE: выявлен ГР [гравиметрия],разлом № 4,концы разлома в ячейках рис. 1.46: Д9-Д6,длина 34 км; азимут простирания СЗ 359,СЗ 359,,"разлом № 4: класс по каталогу [BASEMENT+SEDIMENTARY_COVER+ZONE] (ссылка каталога: Нояксова и др., 1990); концы разлома в ячейках рис. 1.46: Д9-Д6; длина 34 км; азимут простирания СЗ 359",VKM-SRC-011,142,"Прил. 1, разлом №4",EV-VN-S011-2476,,spatial_entity,FACT,INTERPRETATION,VKM_REGIONAL,FIELD,REGIONAL,geological_element,OCR_VISUALLY_CONFIRMED,EXACT,MEDIUM,"Row parsed from text layer, visually verified on renders p142-p144 (110 dpi). Location = grid cells of the ends on Рис. 1.46 (letters А–Е × numbers 1–15), not coordinates. Methods: ГР = гравиметрия. '(С)/(Ц)/(З)/(Ю)/(В)/(ЮВ)' = part of the fault confirmed. 'н/п' undefined in legend (probably 'не подтвержден'); '– « –' resolved to the previous characteristic. | Каталог 173 разломов (Прил. 1 SRC-011): положение концов — ячейки сетки рис. 1.46, не координаты; «ГМ» (геологические методы) трактуется как прямое геологическое наблюдение, прочие — интерпретация полей/карт",
GEO-0005,fault,fault,fault,MAP_INTERPRETATION,SOURCE_CATALOGUE_CODE,CATALOGUE: выявлен ГР [гравиметрия],разлом № 5,концы разлома в ячейках рис. 1.46: Е9-Е6,длина 30 км; азимут простирания С 0,С 0,,"разлом № 5: класс по каталогу [BASEMENT+SEDIMENTARY_COVER+ZONE] (ссылка каталога: Нояксова и др., 1990); концы разлома в ячейках рис. 1.46: Е9-Е6; длина 30 км; азимут простирания С 0",VKM-SRC-011,142,"Прил. 1, разлом №5",EV-VN-S011-2477,,spatial_entity,FACT,INTERPRETATION,VKM_REGIONAL,FIELD,REGIONAL,geological_element,OCR_VISUALLY_CONFIRMED,EXACT,MEDIUM,"Row parsed from text layer, visually verified on renders p142-p144 (110 dpi). Location = grid cells of the ends on Рис. 1.46 (letters А–Е × numbers 1–15), not coordinates. Methods: ГР = гравиметрия. '(С)/(Ц)/(З)/(Ю)/(В)/(ЮВ)' = part of the fault confirmed. 'н/п' undefined in legend (probably 'не подтвержден'); '– « –' resolved to the previous characteristic. | Каталог 173 разломов (Прил. 1 SRC-011): положение концов — ячейки сетки рис. 1.46, не координаты; «ГМ» (геологические методы) трактуется как прямое геологическое наблюдение, прочие — интерпретация полей/карт",
GEO-0006,fault,fault,fault,MAP_INTERPRETATION,SOURCE_CATALOGUE_CODE,CATALOGUE: выявлен ГР [гравиметрия],разлом № 6,концы разлома в ячейках рис. 1.46: Е9-Е7,длина 16 км; азимут простирания СЗ 359,СЗ 359,,"разлом № 6: класс по каталогу [BASEMENT+SEDIMENTARY_COVER+ZONE] (ссылка каталога: Нояксова и др., 1990); концы разлома в ячейках рис. 1.46: Е9-Е7; длина 16 км; азимут простирания СЗ 359",VKM-SRC-011,142,"Прил. 1, разлом №6",EV-VN-S011-2478,,spatial_entity,FACT,INTERPRETATION,VKM_REGIONAL,FIELD,REGIONAL,geological_element,OCR_VISUALLY_CONFIRMED,EXACT,MEDIUM,"Row parsed from text layer, visually verified on renders p142-p144 (110 dpi). Location = grid cells of the ends on Рис. 1.46 (letters А–Е × numbers 1–15), not coordinates. Methods: ГР = гравиметрия. '(С)/(Ц)/(З)/(Ю)/(В)/(ЮВ)' = part of the fault confirmed. 'н/п' undefined in legend (probably 'не подтвержден'); '– « –' resolved to the previous characteristic. | Каталог 173 разломов (Прил. 1 SRC-011): положение концов — ячейки сетки рис. 1.46, не координаты; «ГМ» (геологические методы) трактуется как прямое геологическое наблюдение, прочие — интерпретация полей/карт",
GEO-0007,fault,fault,fault,MAP_INTERPRETATION,SOURCE_CATALOGUE_CODE,CATALOGUE: выявлен ГР [гравиметрия],разлом № 7,концы разлома в ячейках рис. 1.46: В10-Г13,длина 32 км; азимут простирания СЗ 334,СЗ 334,,"разлом № 7: класс по каталогу [BASEMENT+SEDIMENTARY_COVER+ZONE] (ссылка каталога: Нояксова и др., 1990); концы разлома в ячейках рис. 1.46: В10-Г13; длина 32 км; азимут простирания СЗ 334",VKM-SRC-011,142,"Прил. 1, разлом №7",EV-VN-S011-2479,,spatial_entity,FACT,INTERPRETATION,VKM_REGIONAL,FIELD,REGIONAL,geological_element,OCR_VISUALLY_CONFIRMED,EXACT,MEDIUM,"Row parsed from text layer, visually verified on renders p142-p144 (110 dpi). Location = grid cells of the ends on Рис. 1.46 (letters А–Е × numbers 1–15), not coordinates. Methods: ГР = гравиметрия. '(С)/(Ц)/(З)/(Ю)/(В)/(ЮВ)' = part of the fault confirmed. 'н/п' undefined in legend (probably 'не подтвержден'); '– « –' resolved to the previous characteristic. | Каталог 173 разломов (Прил. 1 SRC-011): положение концов — ячейки сетки рис. 1.46, не координаты; «ГМ» (геологические методы) трактуется как прямое геологическое наблюдение, прочие — интерпретация полей/карт",
GEO-0008,fault,fault,fault,MAP_INTERPRETATION,SOURCE_CATALOGUE_CODE,CATALOGUE: выявлен ГР [гравиметрия],разлом № 8,концы разлома в ячейках рис. 1.46: Д10-Д12,длина 29 км; азимут простирания СЗ 358,СЗ 358,,"разлом № 8: класс по каталогу [BASEMENT+SEDIMENTARY_COVER+ZONE] (ссылка каталога: Нояксова и др., 1990); концы разлома в ячейках рис. 1.46: Д10-Д12; длина 29 км; азимут простирания СЗ 358",VKM-SRC-011,142,"Прил. 1, разлом №8",EV-VN-S011-2480,,spatial_entity,FACT,INTERPRETATION,VKM_REGIONAL,FIELD,REGIONAL,geological_element,OCR_VISUALLY_CONFIRMED,EXACT,MEDIUM,"Row parsed from text layer, visually verified on renders p142-p144 (110 dpi). Location = grid cells of the ends on Рис. 1.46 (letters А–Е × numbers 1–15), not coordinates. Methods: ГР = гравиметрия. '(С)/(Ц)/(З)/(Ю)/(В)/(ЮВ)' = part of the fault confirmed. 'н/п' undefined in legend (probably 'не подтвержден'); '– « –' resolved to the previous characteristic. | Каталог 173 разломов (Прил. 1 SRC-011): положение концов — ячейки сетки рис. 1.46, не координаты; «ГМ» (геологические методы) трактуется как прямое геологическое наблюдение, прочие — интерпретация полей/карт",
GEO-0009,fault,fault,fault,MAP_INTERPRETATION,SOURCE_CATALOGUE_CODE,CATALOGUE: выявлен ГР [гравиметрия],разлом № 9,концы разлома в ячейках рис. 1.46: Д6-Е6,длина 13 км; азимут простирания СЗ 287,СЗ 287,,"разлом № 9: класс по каталогу [BASEMENT] (ссылка каталога: Нояксова и др., 1990); концы разлома в ячейках рис. 1.46: Д6-Е6; длина 13 км; азимут простирания СЗ 287",VKM-SRC-011,142,"Прил. 1, разлом №9",EV-VN-S011-2481,,spatial_entity,FACT,INTERPRETATION,VKM_REGIONAL,FIELD,REGIONAL,geological_element,OCR_VISUALLY_CONFIRMED,EXACT,MEDIUM,"Row parsed from text layer, visually verified on renders p142-p144 (110 dpi). Location = grid cells of the ends on Рис. 1.46 (letters А–Е × numbers 1–15), not coordinates. Methods: ГР = гравиметрия. '(С)/(Ц)/(З)/(Ю)/(В)/(ЮВ)' = part of the fault confirmed. 'н/п' undefined in legend (probably 'не подтвержден'); '– « –' resolved to the previous characteristic. | Каталог 173 разломов (Прил. 1 SRC-011): положение концов — ячейки сетки рис. 1.46, не координаты; «ГМ» (геологические методы) трактуется как прямое геологическое наблюдение, прочие — интерпретация полей/карт",
GEO-0010,fault,fault,fault,MAP_INTERPRETATION,SOURCE_CATALOGUE_CODE,CATALOGUE: выявлен ГР [гравиметрия],разлом № 10,концы разлома в ячейках рис. 1.46: Г6-Е7,длина 25 км; азимут простирания СЗ 296,СЗ 296,,"разлом № 10: класс по каталогу [BASEMENT] (ссылка каталога: Нояксова и др., 1990); концы разлома в ячейках рис. 1.46: Г6-Е7; длина 25 км; азимут простирания СЗ 296",VKM-SRC-011,142,"Прил. 1, разлом №10",EV-VN-S011-2482,,spatial_entity,FACT,INTERPRETATION,VKM_REGIONAL,FIELD,REGIONAL,geological_element,OCR_VISUALLY_CONFIRMED,EXACT,MEDIUM,"Row parsed from text layer, visually verified on renders p142-p144 (110 dpi). Location = grid cells of the ends on Рис. 1.46 (letters А–Е × numbers 1–15), not coordinates. Methods: ГР = гравиметрия. '(С)/(Ц)/(З)/(Ю)/(В)/(ЮВ)' = part of the fault confirmed. 'н/п' undefined in legend (probably 'не подтвержден'); '– « –' resolved to the previous characteristic. | Каталог 173 разломов (Прил. 1 SRC-011): положение концов — ячейки сетки рис. 1.46, не координаты; «ГМ» (геологические методы) трактуется как прямое геологическое наблюдение, прочие — интерпретация полей/карт",
