process_id,vn_id,kind,source_id,locator,pdf_page,status,evidence_type,scope,scale,confidence,extraction_method,quote_check,role,notes,record_normalization
PC-01,EV-VN-S012-0065,parameter,VKM-SRC-012,VKM-SRC-012 p.26 (Табл. 1.1 [69]),26,FACT,NORMATIVE,VKM_REGIONAL,DESIGN,HIGH,OCR_VISUALLY_CONFIRMED,EXACT,KEY,"Normative E (0.5-1.5 GPa) is an order of magnitude below lab mean E 13.8 GPa on same page: effective/deformation moduli for large-scale calculations, not lab moduli.",
PC-01,EV-VN-S014-0848,parameter,VKM-SRC-014,VKM-SRC-014 p.118 (формула (4.1)),118,ENGINEERING_ASSUMPTION,NORMATIVE,SKRU1,DESIGN,HIGH,TEXT_LAYER,EXACT,SUPPORT,,
PC-01,EV-VN-S029-0161,parameter,VKM-SRC-029,VKM-SRC-029 p.91 (§3.1),91,ENGINEERING_ASSUMPTION,DESIGN_VALUE,VKM_REGIONAL,CALIBRATED_EFFECTIVE_MODEL,MEDIUM,TEXT_LAYER,FUZZY_76,SUPPORT,"Average overburden density assumption, not a measured value.",
PC-01,EV-VN-S037-0881,formula,VKM-SRC-037,"VKM-SRC-037 p.166 (формулы (8.123), (8.124))",166,FACT,NORMATIVE,VKM_REGIONAL,NOT_APPLICABLE,HIGH,OCR_VISUALLY_CONFIRMED,NOT_FOUND,SUPPORT,In (8.124) symbols l' and l both appear; only l' (длина целика) and a' (ширина просека) are defined — possible misprint. Visually confirmed 250 dpi.,
PC-01,EV-VN-S031-0005,formula,VKM-SRC-031,VKM-SRC-031 p.1 (§Методы и подходы),1,FACT,NORMATIVE,VKM_REGIONAL,NOT_APPLICABLE,HIGH,VISUAL_READ,NOT_FOUND,SUPPORT,В этой статье формула без ξ (ср. VKM-SRC-032 формула (1) с ξ и H0). Текстовый слой формулы искажён; прочитано по изображению.,
PC-01,EV-VN-S029-0226,stress_measurement,VKM-SRC-029,"VKM-SRC-029 p.128 (§5.1.1, Рис. 5.2 (станции № 1, 2))",128,FACT,MEASURED,BKPRU2,FIELD,HIGH,OCR_VISUALLY_CONFIRMED,FUZZY_85,SUPPORT,"γH = 7.7 MPa is the author's estimate (DERIVATION), 8.5 MPa is measured tendency. λ = 0.6 is mean over measured points — per Ch.4 concl.6 minimum-component Kaiser estimates may be biased high.",
PC-02,EV-VN-S029-0226,stress_measurement,VKM-SRC-029,"VKM-SRC-029 p.128 (§5.1.1, Рис. 5.2 (станции № 1, 2))",128,FACT,MEASURED,BKPRU2,FIELD,HIGH,OCR_VISUALLY_CONFIRMED,FUZZY_85,KEY,"γH = 7.7 MPa is the author's estimate (DERIVATION), 8.5 MPa is measured tendency. λ = 0.6 is mean over measured points — per Ch.4 concl.6 minimum-component Kaiser estimates may be biased high.",
PC-02,EV-VN-S029-0115,stress_measurement,VKM-SRC-029,"VKM-SRC-029 p.69 (§2.2.1, Рис. 2.8а, refs [73, 82, 83])",69,FACT,MEASURED,VKM_REGIONAL,FIELD,MEDIUM,TEXT_LAYER,FUZZY_83,SUPPORT,Also: first-cycle initial AE due to crushing of asperities/cuttings up to 1-3 MPa ignored; on unloading/reloading AE absent until previous max exceeded (memory).,
PC-02,EV-VN-S029-0160,stress_measurement,VKM-SRC-029,"VKM-SRC-029 p.91 (§3.1, ref [69])",91,ENGINEERING_ASSUMPTION,LITERATURE_CITED,VKM_REGIONAL,CALIBRATED_EFFECTIVE_MODEL,HIGH,OCR_VISUALLY_CONFIRMED,FUZZY_80,SUPPORT,Duplicates EV-RMB-0209/0210.,
PC-02,EV-VN-S029-0242,parameter,VKM-SRC-029,VKM-SRC-029 p.132 (§5.1.2),132,DERIVATION,CALCULATED_BY_AUTHOR,SKRU3,DESIGN,MEDIUM,OCR_VISUALLY_CONFIRMED,FUZZY_77,SUPPORT,Depth H of SKRU-3 panel 12 is not printed — only γH. Text layer lost 'γ'.,
