claim_id,current_claim,claim_category,current_artifact,source_file,source_page_or_sheet_or_layer,source_figure_table_heading,exact_source_evidence,current_interpretation,independent_interpretation,units,sign_convention,temporal_scope,spatial_scope,measurement_method,datum_reference_system,digitization_required,digitization_uncertainty,evidence_tier,verification_status,impact_if_wrong,recommended_action
R2-C001,Линии 1/5/17/6 на SUP01 p.15 — профильные линии СКРУ-1 (датасет SKRU1 использует их как эмпирических доноров),site_attribution,configs/supplementary_source_manifest.csv; configs/scenario_constraints_v2.json; data/scenario_simulation_v2_1/README.md,inputs/sources/supplementary/geokniga-02obrabotka.pdf,"p.15 (и p.12, p.14 для сравнения); SRC05 p.12–13",Заголовок слайда; подпись 'Сводные графики оседаний (мм) по профильным линиям',Шаблонный заголовок: 'застроенной территории СКРУ-1 и СКРУ-2 (Соликамск)'; тот же заголовок на p.12 над картами Березников 2020–2021; подпись p.15 рудник не называет,Профили — материалы СКРУ-1 (доноры SKRU1),"Регион (Соликамск, ВКМ) правдоподобен; конкретный рудник не доказан. Линия 5 частично подтверждается SRC05 Рис.3–4 (Соликамск 2011, карта с надписью СКРУ-1, 'профильная линия №5' той же двугорбой формы); линии 1/17/6 — только шаблонный заголовок",—,—,2011–2016,Соликамск; рудник не установлен,нивелирование/радар,не указан,no,—,TIER_2 (мина не доказана),AMBIGUOUS,Claim domain: 'СКРУ-1 калибровка' может быть 'Соликамская застроенная территория СКРУ-1/СКРУ-2'. Численные значения не меняются,"Переформулировать атрибуцию: 'Соликамск (территория СКРУ-1/СКРУ-2), линия 5 частично подтверждена SRC05'; найти первичную публикацию профилей"
R2-C002,"Легенда: синий=нивелирование 2011–2016, красный=нивелирование 2015–2016, зелёный=радар 2011–2016, фиолетовый=радар 2015–2016; на линии 6 синий=нивелирование 2015–2016, зелёный=радар 2015–2016",series_identity,artifacts/reconstruction/scenario_constraints_v2/canonical_digitization.csv,inputs/sources/supplementary/geokniga-02obrabotka.pdf,"p.15, нативные растры /Image157,159,161,163",Легенды четырёх графиков,Легенда каждого графика; для 'Линия 6' только две серии 2015–2016,"Сопоставление цвет→метод→период выполнено верно, включая линию 6","Независимо подтверждено по нативным растрам: на линии 6 нивелирование +4.2 мм в 0 км, радар −0.8 мм (совпадает с canonical)",мм,negative-down,2011–2016; 2015–2016,4 линии,нивелирование; радар,—,yes,—,TIER_1,SUPPORTED,Перепутанный метод исказил бы доноров,Нет действий
R2-C003,"Ось Y 'Оседания, мм'; отрицательные значения = опускание (negative-down as printed)",sign_units,artifacts/reconstruction/scenario_constraints_v2/scenario_constraints.csv,inputs/sources/supplementary/geokniga-02obrabotka.pdf,p.15,Подпись оси Y всех 4 графиков,"Ось 'Оседания, мм', шкала 0…−400 (л.1), 0…−350 (л.5), 0…−200 (л.17), +10…−60 (л.6)",negative_down_as_printed → positive_down для генератора,"Подтверждено: единицы мм, отрицательный знак = опускание; положительные +1…+4 мм на линии 6 — подъём/шум",мм,negative-down (источник) → positive-down (генератор),интервалы,профили,—,—,no,—,TIER_1,SUPPORTED,Ошибка знака инвертировала бы масштаб,Нет действий
R2-C004,"Серии '2011–2016гг.' и '2015–2016гг.' — накопленное смещение за интервал, не скорость",temporal_semantics,artifacts/reconstruction/scenario_constraints_v2/scenario_constraints.csv,inputs/sources/supplementary/geokniga-02obrabotka.pdf,p.15,Легенды 'Оседания по результатам нивелирования 2011-2016гг.',Легенда: оседания 'по результатам нивелирования 2011-2016гг.',one_displacement_interval_exact_campaign_dates_and_common_datum_unknown,"Согласен: интервальное смещение; точные эпохи начала/конца не опубликованы; даты — тип UNKNOWN (годовые подписи), не OBSERVATION_DATE",мм,negative-down,UNKNOWN endpoints внутри 2011…2016,профили,нивелирование II кл.? (класс не указан на p.15),не указан,no,—,TIER_1,SUPPORTED_WITH_LIMITATIONS,"Если это скорости, масштаб ошибочен в разы",Нет действий; сохранить тип даты UNKNOWN
R2-C005,Номинальная длительность 5 лет (2011–2016) и 1 год (2015–2016),temporal_assumption,artifacts/reconstruction/scenario_constraints_v2/profile_series_inventory.csv; src/skru1/scenario_simulation_v2.py; src/skru1/scenario_simulation_v2_1.py; configs/scenario_simulation_v2_1.json,inputs/sources/supplementary/geokniga-02obrabotka.pdf,p.15; p.14 врезка,Легенды p.15; ось времени врезки p.14,"Годовые подписи; врезка p.14 (радар, СКРУ-1 2016) охватывает май 2011 – ~окт 2016",assumed_from_year_labels_not_exact_dates (явно помечено допущением),Для радара 2011–2016 длительность вероятнее ≈5.3–5.5 лет (если врезка той же обработки); для нивелирования неизвестна; 2015–2016 может быть от нескольких месяцев до ~2 лет. Неопределённость длительности в генератор не передаётся (d фиксировано),годы,—,2011–2016,—,—,—,yes (ось врезки),±1 мес по оси врезки,TIER_4,AMBIGUOUS,Пересчёт окна в скорость смещается на ~10% (5 лет) и до ±50% (1 год),Документировать; в v3 задавать длительность диапазоном
R2-C006,"Ось X — категориальная: печатные подписи 'Расстояние от первого репера, км' не образуют метрической оси",spatial_axis,artifacts/reconstruction/scenario_constraints_v2/scenario_constraints.csv,inputs/sources/supplementary/geokniga-02obrabotka.pdf,p.15,Подписи оси X,"Линия 17: подписи 0.0,0.1,0.2,0.2,0.3,0.3,…; линия 6 — подписи через одну",categorical_order_printed_distance_labels_no_georeference,"Подтверждено: засечки равношаговые (л.1 55.4 px, л.5 32.3 px, л.17 70.5 px, л.6 25.0 px), подписи неравномерны/повторяются. Длина линий (≈1.4/1.2/0.6/3.1 км) доступна приблизительно",км (подписи),—,—,вдоль линий,—,относительно первого репера,no,—,TIER_1,SUPPORTED,Метрическая интерполяция дала бы ложные градиенты,Нет действий
R2-C007,Оцифрованные значения canonical_digitization корректны в пределах границ чтения,digitization_accuracy,artifacts/reconstruction/scenario_constraints_v2/canonical_digitization.csv,inputs/sources/supplementary/geokniga-02obrabotka.pdf,"p.15, нативные растры 900×731",4 графика,Сетка: л.1 1.195 мм/px; л.5 1.046; л.17 0.597; л.6 0.162 мм/px,252/258 числовых значений (253/258 после приоритета Line 1),Независимая оцифровка R2 (собственный код: засечки + цвет серий) совпадает для видимых маркеров в пределах ~0–3 мм (л.1/5/17) и ≤~1 мм (л.6); расхождения — только у перекрытых маркеров,мм,negative-down,интервалы,профили,—,—,yes,R2: 0–3 мм видимые; до ~10 мм перекрытые,TIER_1 (оцифровка),SUPPORTED_WITH_LIMITATIONS,Сдвиг огибающих на мм — несущественно для генератора,Нет действий
R2-C008,Позиции 1–3 л.1 (нивел. 2011–2016) и 7–8 л.17 (нивел. 2011–2016) нечитаемы (unresolved_occlusion),digitization_completeness,artifacts/reconstruction/scenario_constraints_v2/canonical_digitization.csv,inputs/sources/supplementary/geokniga-02obrabotka.pdf,p.15,"Линия 1, Линия 17",Синяя линия л.1 видна между 0 и 0.3 км на уровне ≈−5…−12 мм; синие маркеры л.17 при 0.4 км ≈−106 и ≈−83 мм частично видны,Нечитаемы; генератор ставит floor=0 при unknown,Приблизительно читаемы. На огибающие не влияет (л.1 floor=0 консервативен; л.17 min/max вне этих позиций),мм,negative-down,2011–2016,"л.1, л.17",нивелирование,—,yes,~5–10 мм,TIER_1,PARTIALLY_SUPPORTED,Нет влияния на доноров,"Документировать как 'approximately readable', не менять"
R2-C009,"Границы чтения ±0.5…±20.3 мм — неопределённость оцифровки, не σ нивелирования",uncertainty_semantics,artifacts/reconstruction/scenario_constraints_v2/profile_series_inventory.csv,inputs/sources/supplementary/geokniga-02obrabotka.pdf,p.15,—,—,conservative_reading_envelope_not_sigma,Семантика верна. Величины неоднородны: л.1 (детальное перечтение) 14.4–20.3 мм — избыточно широко для видимых маркеров; л.6 0.5 мм — оптимистично (R2: −49.5 против −48.6±0.5),мм,—,—,—,—,—,yes,см. выше,TIER_4,PARTIALLY_SUPPORTED,Upper envelope может завышаться до ~15 мм (л.1),Документировать; в v3 единая процедура границ
R2-C010,"Семь численных leveling-огибающих: P1-5y [−364.3;−76.4], P1-1y [−73.5;4.2], P17-5y [−177.6;−68.9], P17-1y [−28.1;−11.0], P5-5y [−311.8;−111.2], P5-1y [−59.0;−12.6], P6-1y [−49.1;4.8] мм",numeric_constraint,artifacts/reconstruction/scenario_constraints_v2/scenario_constraints.csv; artifacts/reconstruction/scenario_constraints_v2/profile_series_inventory.csv,inputs/sources/supplementary/geokniga-02obrabotka.pdf,p.15,"4 графика, синие/красные серии",min/max читаемых значений ± граница чтения,ACCEPTED_NUMERIC_CONSTRAINT; allowed_use=interval_displacement_envelope,Арифметика подтверждена по inventory; значения совпадают с независимой оцифровкой R2 (экстремумы: л.1 −349.5; л.5 −309.0; л.17 −175.8; л.6 −49.5),мм,negative-down,2011–2016 / 2015–2016,4 линии,нивелирование,не доказан,yes,см. R2-C007/C009,TIER_1 (регион) / мина AMBIGUOUS,SUPPORTED_WITH_LIMITATIONS,Масштаб 98% сценариев,Сохранить; уточнить атрибуцию (R2-C001)
