path_or_item,kind,classification,reason_ru,depends_on_borehole75,reuse_plan
10_physics_evidence/physical_evidence_v1/README.md,doc,LEGACY_ONLY,Описание пакета PE v1 и цепочки 'источники → PW v1 (2D) → OGS'; цепочка заменена reset'ом на 3D+time WorldSpec. Разделы про принцип UNKNOWN/диапазоны остаются верными.,N,"Хранить как исторический README; принципы (UNKNOWN>выдумка, диапазоны не схлопываются) перенести в WorldSpec governance."
10_physics_evidence/physical_evidence_v1/EVIDENCE_SCHEMA.md,schema,REUSABLE_GENERIC,"Контракт записи (локатор, цитата, метод извлечения, scope/scale/evidence_type, transferability, identifiability). Не зависит от 2D-мира; нет координат и temporal_support/available_from.",N,Смаппить на vkm_world.core.provenance (см. раздел 4 отчёта); добавить spatial_support.entity_id/coords и temporal_support (event/measurement/publication/available_from).
10_physics_evidence/physical_evidence_v1/claims.jsonl,evidence_table,REUSABLE_GENERIC,"3019 записей (2979 активных, 40 withdrawn), 65 источников, 8 потоков; локаторы проверены (VERIFIED_QUOTE 1912, VERIFIED_NUMBERS 394, VISUAL_ONLY_OCR_MISMATCH 579, VISUAL_NOT_CHECKABLE 129, NOT_FOUND 5). От скв.75 зависит только EV-GEO-0202 (одна из 29 скважин табл. 3.1).",N,Импортировать как базовый evidence layer через детерминированный mapper (evidence_type/scale/scope→status/evidence_type/scope/scale нового формата); NOT_FOUND и VISUAL_ONLY_OCR_MISMATCH пометить для повторной визуальной проверки в sweep; withdrawn не импортировать как активные.
10_physics_evidence/physical_evidence_v1/parameters.csv,evidence_table,REUSABLE_GENERIC,"2163 числовые записи PAR-*, проекция claims.jsonl с SI-нормализацией; без привязки к PW-слоям.",N,Использовать как индекс числовых Quantity-кандидатов; пересобрать из импортированных claims (не редактировать вручную).
10_physics_evidence/physical_evidence_v1/claim_corrections.csv,audit_trail,REUSABLE_GENERIC,"321 исправление 202 записей (ADV/ADV2/ORCH-PASS2..4/H-3/PROV-I); последние исправления каждого поля (314, вкл. 40 withdraw) совпадают с claims.jsonl, 7 перекрыты более поздними исправлениями того же поля.",N,"Перенести целиком как журнал исправлений (known_conflicts_and_corrections_carry_forward.csv); при реимпорте claims проверять, что каждое исправление сохранено."
10_physics_evidence/physical_evidence_v1/dedup_log.csv,audit_trail,REUSABLE_GENERIC,"93 дубликата (в т.ч. веб-копии VKM-SRC-012, EXT-SRC-037).",N,"Перенести; sweep-записи сопоставлять с existing_evidence_ids, чтобы не размножать дубликаты."
10_physics_evidence/physical_evidence_v1/conflicts.csv,evidence_table,REUSABLE_GENERIC,"28 конфликтов (26 курированных CF-001…026 + 2 автоматических CF-AUTO); все про источники/определения, не про 2D-мир.",N,Перенести как conflict registry нового evidence layer (см. carry-forward CSV); CF-018/CF-001/CF-019/CF-020 обязательны для 3D-стратиграфии.
10_physics_evidence/physical_evidence_v1/conflicts_curated.csv,evidence_table,REUSABLE_GENERIC,"Курированное подмножество conflicts.csv (26 строк, без CF-AUTO).",N,Сливать с conflicts.csv при переносе (один реестр).
10_physics_evidence/physical_evidence_v1/source_inventory.csv,evidence_table,REUSABLE_GENERIC,"Инвентарь 53 файлов корпуса: SHA-256, страницы, OCR, FULL/PARTIAL/DUPLICATE/LEGACY_RETIRED с причиной; 11 PARTIAL источников (VKM-SRC-003/006/011/014/020/023/024/025/028/040/041).",N,Перенести; статусы PARTIAL — прямой список для полного re-sweep (reset-sweep 65 чанков).
10_physics_evidence/physical_evidence_v1/source_metadata_curated.csv,evidence_table,REUSABLE_GENERIC,Курированные библиографические метаданные 41 источника.,N,Перенести; publication_year → temporal_support.publication_date / available_from (нижняя граница).
10_physics_evidence/physical_evidence_v1/external_sources.csv,evidence_table,REUSABLE_GENERIC,"35 внешних источников EXT-SRC-* (Firecrawl-снимки, статус доступа, DISCOVERY_ONLY для платных).",N,"Перенести; платные DISCOVERY_ONLY (Барях и др. 2005, CL-12/13/17) — приоритет поиска для реологии массива."
10_physics_evidence/physical_evidence_v1/external_captures/,raw_capture,REUSABLE_GENERIC,25 текстовых снимков внешних источников (бинарники не архивированы).,N,Хранить как есть; ссылаться из SourceRef.
10_physics_evidence/physical_evidence_v1/external_search_log.csv,audit_trail,REUSABLE_GENERIC,56 внешних поисковых запросов по GAP-*.,N,Перенести как журнал поиска; не повторять исчерпанные запросы.
10_physics_evidence/physical_evidence_v1/physical_world_taxonomy.csv,taxonomy,REBUILD,"68 компонентов TX-* Physical World 2D (GEOMETRY_GEOLOGY, MATERIAL, MINING, RHEOLOGY, BACKFILL, INITIAL_STATE, BC, OBSERVATION, CONSTRAINT, GOAF_REPRESENTATION, TIME_AXIS). Смешивает мир, процесс, численную постановку (BC, goaf representation) и наблюдение.",N,Перестроить в таксономию WorldSpec с разделением world / process model / observation model / validation; компоненты BC и GOAF_REPRESENTATION перенести в process-model adapter.
10_physics_evidence/physical_evidence_v1/parameter_groups.csv,synthesis,REUSABLE_GENERIC,180 групп по переменной/литологии/единицам с классами сопоставимости и статусом согласованности.,N,Использовать как стартовую группировку для uncertainty (SOURCE_CONFLICT) при синтезе WorldSpec; пересчитать после импорта sweep-записей.
10_physics_evidence/physical_evidence_v1/parameter_groups_curated.csv,synthesis,REUSABLE_GENERIC,3 курированные группы (ручные вердикты согласованности).,N,Перенести вместе с parameter_groups.
10_physics_evidence/physical_evidence_v1/derived_calculations.csv,derivation_table,REUSABLE_GENERIC,"50 производных расчётов: DC-RHO*, DC-K0*, DC-OMEGA*, DC-CREEP*, DC-STRAT-int/depth* — общие; DC-STRAT-base_column_nearest_median — выбор скв.75 (SUPERSEDED); DC-EEQ/DC-EQL — правила эквивалентного слоя блока 6 (process-model). Построчная классификация ниже (kind=derived_calculation).",N,Импортировать построчно как DERIVATION (method+inputs обязательны); выбор скв.75 не импортировать как world-факт.
10_physics_evidence/physical_evidence_v1/derived_calculations.json,derivation_table,REUSABLE_GENERIC,JSON-дубль derived_calculations.csv с результатами.,N,Перенести вместе с CSV.
10_physics_evidence/physical_evidence_v1/derived_inputs/lebedeva_2023_table3_1_borehole_roofs.csv,derived_input,REUSABLE_GENERIC,"Все 29 скважин табл. 3.1 Лебедевой (VKM-SRC-012, PDF с.64–65): глубины кровель 11 толщ + ревизованная привязка к полю/целику по рис. 1.1 (±60 м). Скв.75 — одна строка из 29; таблица сама по себе не зависит от выбора скв.75.",N,"Ключевой вход 3D-стратиграфии: 29 колонок (не 8) → borehole-записи WorldSpec; координаты отсутствуют — нужна оцифровка рис. 3.2 (локальная сетка) / рис. 1.1 в sweep; неполные колонки (многие скважины не доходят до МГ) хранить как частичные, не как нули."
10_physics_evidence/physical_evidence_v1/derived_inputs/derived_calc_spec.json,derivation_spec,REUSABLE_GENERIC,"Декларативная спецификация DC-* (формула, provenance формулы, входы-evidence).",N,Формат годится как шаблон DERIVATION-спецификации WorldSpec; удалить/пометить блок выбора базовой колонки.
10_physics_evidence/physical_evidence_v1/transferability.csv,decision_table,REBUILD,"53 решения TR-* о переносимости на СКРУ-1, но ключ — слои PW L1–L5 и семантика SCENARIO_TRANSFER для условного 2D-разреза; TR-001…005 — диапазоны 8 скважин вокруг целика; TR-010/011/013/016/017 — перенос блока 6 на разрез скв.75.",N,"Перестроить в Transfer-записи (from_scope/to_scope, from_scale/to_scale, method, status) на уровне Quantity; ACCEPT_*/VKM_REGIONAL_PRIOR решения по материалам переносятся почти 1:1, геометрические TR — через spatial_support блоков/панелей."
10_physics_evidence/physical_evidence_v1/layer_aggregation.csv,world_structure,SUPERSEDED_ASSUMPTION,"Схлопывание разреза в 6 механических слоёв L1…L5+L4m с мощностями скв.75 (171.95/40.2/83.35/19.3 м) и огибающей 8 скважин (RD-012, RD-021). Для 3D-мира нужна полная стратиграфия (Q, ПЦТ, ТКТ, СМТ, ПП, ПКС, КЗ, СЗ, ПдКС, МГ, ГАТ) с латеральной изменчивостью.",Y,Не переносить как мир; оставить как пример process-model упрощения (адаптер может агрегировать слои по правилу). Семантика границ (ПП внутри L1/L2 — ADV-014; Б в L3 — ADV-015) → carry-forward в определения stratigraphic_unit.
10_physics_evidence/physical_evidence_v1/layer_property_consolidation.csv,synthesis,REBUILD,"44 кандидата плотности/ν/модулей по слоям с ролями BASE/ENVELOPE/BOUND/CONTEXT/EXCLUDED; значения по литологии переносимы, привязка к L1–L5 — нет.",N,Перестроить по литологии/стратиграфической единице WorldSpec (material_library); роли BASE/ENVELOPE заменить на Quantity с uncertainty.kind и Transfer (LAB→MASSIF запрещён без записи).
10_physics_evidence/physical_evidence_v1/creep_law_registry.csv,evidence_table,REUSABLE_GENERIC,"21 закон ползучести CL-01…21: форма, лаб./массивные параметры, T, диапазон напряжений, литология, участок, статус калибровки; закон массива для СКРУ-1 не идентифицирован.",N,Перенести 1:1 в rheology_law-записи evidence layer; статус status_for_PW_v1 заменить на world_use (REGISTERED/CANDIDATE_LAB/CONTEXT/EXCLUDED); CL-12/13/17 — приоритетные недоступные первичники.
10_physics_evidence/physical_evidence_v1/engineering_rules.csv,evidence_table,REUSABLE_GENERIC,"64 инженерных правила pass 3 (Нестерова 2018, Токсаров–Костин 2017, Уралкалий 1999 ч.2, норматив C) с классом доказательства и применимостью; TEACHING_EXAMPLE и Усольский явно отделены (V22).",N,Перенести в engineering_rule-записи; колонку usable_in_physical_world переписать под WorldSpec (world/process/observation/validation).
10_physics_evidence/physical_evidence_v1/engineering_dependency_graph.csv,evidence_graph,REUSABLE_GENERIC,87 рёбер 'геология/материал → входы → ширина целика → C → допустимость'.,N,Перенести как граф зависимостей инженерных правил.
10_physics_evidence/physical_evidence_v1/equipment_constraints.csv,evidence_table,REUSABLE_GENERIC,"7 технологических ограничений (комбайн → сечение → проход → камера), отделены от геомеханики.",N,Перенести; нужен для реконструкции геометрии камер по блокам/эпохам (GAP-007).
10_physics_evidence/physical_evidence_v1/pillar_method_crosscheck.csv,verification,USEFUL_VERIFICATION,Сверка методик степени нагружения МКЦ (норматив/Усольский/Филатова) по записям MIN; показывает невоспроизводимость C Филатовой строка-в-строку (CF-024).,N,Сохранить как проверку методики C=P/Q для validation-слоя; не использовать как источник значений СКРУ-1.
10_physics_evidence/physical_evidence_v1/research_decisions.csv,decision_table,SUPERSEDED_ASSUMPTION,26 решений RD-001…026 для 2D-мира; большинство — MODEL_CHOICE/ENGINEERING_ASSUMPTION 2D-постановки. Построчная классификация ниже (kind=research_decision).,Y,"Не переносить как решения WorldSpec; переносить только научные выводы (λ как DISCRETE_SET, запрет калибровки, SI, наблюдаемая = u_z) и открытые вопросы."
10_physics_evidence/physical_evidence_v1/evidence_gaps.csv,gap_table,REUSABLE_GENERIC,"15 пробелов GAP-001…015 с статусом локального исчерпания и внешнего поиска; GAP-003/009/013/015 OPEN, GAP-004/007 PARTIALLY; GAP-014 'RESOLVED_BY_RANGE' опирался на 8 скважин вокруг целика.",N,"Перенести; GAP-014 переоткрыть для 3D (нужны все скважины + координаты + поверхности), GAP-006 оставить BOUNDED_ENSEMBLE_DIMENSION, GAP-007 — главный пробел геометрии/хронологии."
10_physics_evidence/physical_evidence_v1/source_graph_nodes.csv,evidence_graph,REUSABLE_GENERIC,"4040 узлов: SOURCE 76, LOCATOR 615, CLAIM 2979, PARAMETER 180, DERIVATION 50, ASSUMPTION 26, APPLICABILITY 53, PW_COMPONENT 61.",N,Перенести SOURCE/LOCATOR/CLAIM/PARAMETER/DERIVATION; узлы PW_COMPONENT/APPLICABILITY/ASSUMPTION заменить узлами WorldSpec (entity/quantity/transfer).
10_physics_evidence/physical_evidence_v1/source_graph_edges.csv,evidence_graph,REUSABLE_GENERIC,"5441 ребро (STATES, HAS_LOCATOR, MEMBER_OF, INPUT_TO, INFORMS, SUPPORTS, ASSUMES, DERIVES, FORMULA_FROM).",N,Перенести рёбра до уровня PARAMETER/DERIVATION; рёбра INFORMS/ASSUMES к PW_COMPONENT пересобрать.
10_physics_evidence/physical_evidence_v1/provenance_verification.csv,audit_trail,REUSABLE_GENERIC,"204 независимые визуальные проверки (роль I): 200 CONFIRMED, 4 CONFIRMED_WITH_CORRECTION, 2 CORRECTION_REJECTED оркестратором.",N,Перенести как visual_check-историю; записи с VISUAL_ONLY_OCR_MISMATCH без такой проверки — в очередь sweep.
10_physics_evidence/physical_evidence_v1/adversarial_review.csv,audit_trail,REUSABLE_GENERIC,"79 находок H-1 (46) и H-2 (33), все RESOLVED; включают ключевые исправления постановки (ADV-007 колонка, ADV-010 профиль №1=СКРУ-2, ADV-021/036 блок 6 не на разрезе).",N,"Перенести как журнал; находки по источникам — в carry-forward, находки по 2D-постановке — как история."
10_physics_evidence/physical_evidence_v1/physical_world_v1_draft.yaml,world_spec_legacy,SUPERSEDED_ASSUMPTION,"Черновик 2D plane-strain мира PW1-SKRU1-TYPE-SECTION-2D (DRAFT_NOT_FROZEN, REVIEW_REQUIRED) на колонке скв.75 с геометрией блока 6; смешивает мир, процесс (эквивалентный слой, λ, BC, домен) и наблюдение. Построчная классификация параметров ниже (kind=pw_parameter).",Y,Не замораживать и не развивать; использовать как чек-лист компонентов и как источник provenance-ссылок при построении WorldSpec; все значения переносить только через evidence layer.
10_physics_evidence/physical_evidence_v1/scenario_identity.yaml,world_spec_legacy,REBUILD,"Реестр 'франкенмодели' FM-01…12: явно фиксирует, что колонка (скв.75, ЮЗ), геометрия (блок 6, СЗ), напряжения (другие рудники) и мониторинг (СКРУ-2) из разных мест. Концепция ценна, содержание 2D-специфично.",Y,Перестроить как автоматическую проверку WorldSpec: у каждой Quantity есть spatial_support; композиция из разных entity_id допускается только с явной Transfer-записью.
10_physics_evidence/physical_evidence_v1/manifest.json,receipt,LEGACY_ONLY,Хеши файлов релиза PE v1.,N,Хранить как квитанцию; для нового слоя — свой манифест.
10_physics_evidence/physical_evidence_v1/validation_report.json,receipt,LEGACY_ONLY,"Отчёт валидатора V01–V28 на финальном состоянии pass 4 (PASS, 3 предупреждения).",N,Хранить.
10_physics_evidence/physical_evidence_v1/reproducibility_receipt.json,receipt,LEGACY_ONLY,"Квитанция воспроизводимости pass 4 (HEAD обоих репозиториев, пайплайн, тесты, OGS 6.5.9, статусы кейсов).",N,Хранить.
10_physics_evidence/physical_evidence_v1/run_pipeline.sh,pipeline,REUSABLE_GENERIC,Детерминированная пересборка пакета (текст/OCR → потоки → слияние/SI → синтез → DC → правила → инвентарь → граф → манифест → валидатор → тесты).,N,Использовать как шаблон пайплайна evidence layer; шаги PW/OGS отделить.
10_physics_evidence/physical_evidence_v1/extraction_protocol/STREAM_PROTOCOL_COMMON.md,protocol,REUSABLE_GENERIC,"Общий протокол потоков извлечения (локатор, цитата, визуальная проверка).",N,Сверить с SWEEP_PROTOCOL.md; не дублировать.
10_physics_evidence/physical_evidence_v1/extraction_protocol/STREAM_ASSIGNMENTS.md,protocol,LEGACY_ONLY,Назначения потоков AUD/GEO/RMR/RMB/MIN/MON/EXT/SYN pass 1.,N,История.
10_physics_evidence/physical_evidence_v1/extraction_protocol/OGS_STREAM_BRIEF.md,protocol,LEGACY_ONLY,Бриф OGS-потока под 2D PW v1.,N,История; требования к лестнице верификации перенести в план локального 3D-этапа.
10_physics_evidence/physical_evidence_v1/stream_outputs/AUD/,raw_stream_snapshot,REUSABLE_GENERIC,"Снимок выходов потока AUD (3 файлов: claims*.jsonl, coverage*.csv, stream_report*.md). Coverage-файлы показывают, какие страницы прочитаны; отчёты содержат errata (L7, L9 — см. errata_frozen_inputs_and_snapshots.md).",N,"Использовать coverage как вход для coverage-master reset-sweep; claims брать из объединённого claims.jsonl, не из снимков."
10_physics_evidence/physical_evidence_v1/stream_outputs/GEO/,raw_stream_snapshot,REUSABLE_GENERIC,"Снимок выходов потока GEO (4 файлов: claims*.jsonl, coverage*.csv, stream_report*.md). Coverage-файлы показывают, какие страницы прочитаны; отчёты содержат errata (L7, L9 — см. errata_frozen_inputs_and_snapshots.md).",N,"Использовать coverage как вход для coverage-master reset-sweep; claims брать из объединённого claims.jsonl, не из снимков."
10_physics_evidence/physical_evidence_v1/stream_outputs/RMR/,raw_stream_snapshot,REUSABLE_GENERIC,"Снимок выходов потока RMR (4 файлов: claims*.jsonl, coverage*.csv, stream_report*.md). Coverage-файлы показывают, какие страницы прочитаны; отчёты содержат errata (L7, L9 — см. errata_frozen_inputs_and_snapshots.md).",N,"Использовать coverage как вход для coverage-master reset-sweep; claims брать из объединённого claims.jsonl, не из снимков."
10_physics_evidence/physical_evidence_v1/stream_outputs/RMB/,raw_stream_snapshot,REUSABLE_GENERIC,"Снимок выходов потока RMB (5 файлов: claims*.jsonl, coverage*.csv, stream_report*.md). Coverage-файлы показывают, какие страницы прочитаны; отчёты содержат errata (L7, L9 — см. errata_frozen_inputs_and_snapshots.md).",N,"Использовать coverage как вход для coverage-master reset-sweep; claims брать из объединённого claims.jsonl, не из снимков."
10_physics_evidence/physical_evidence_v1/stream_outputs/MIN/,raw_stream_snapshot,REUSABLE_GENERIC,"Снимок выходов потока MIN (21 файлов: claims*.jsonl, coverage*.csv, stream_report*.md). Coverage-файлы показывают, какие страницы прочитаны; отчёты содержат errata (L7, L9 — см. errata_frozen_inputs_and_snapshots.md).",N,"Использовать coverage как вход для coverage-master reset-sweep; claims брать из объединённого claims.jsonl, не из снимков."
10_physics_evidence/physical_evidence_v1/stream_outputs/MON/,raw_stream_snapshot,REUSABLE_GENERIC,"Снимок выходов потока MON (4 файлов: claims*.jsonl, coverage*.csv, stream_report*.md). Coverage-файлы показывают, какие страницы прочитаны; отчёты содержат errata (L7, L9 — см. errata_frozen_inputs_and_snapshots.md).",N,"Использовать coverage как вход для coverage-master reset-sweep; claims брать из объединённого claims.jsonl, не из снимков."
10_physics_evidence/physical_evidence_v1/stream_outputs/EXT/,raw_stream_snapshot,REUSABLE_GENERIC,"Снимок выходов потока EXT (13 файлов: claims*.jsonl, coverage*.csv, stream_report*.md). Coverage-файлы показывают, какие страницы прочитаны; отчёты содержат errata (L7, L9 — см. errata_frozen_inputs_and_snapshots.md).",N,"Использовать coverage как вход для coverage-master reset-sweep; claims брать из объединённого claims.jsonl, не из снимков."
10_physics_evidence/physical_evidence_v1/stream_outputs/SYN/,raw_stream_snapshot,REUSABLE_GENERIC,"Снимок выходов потока SYN (5 файлов: claims*.jsonl, coverage*.csv, stream_report*.md). Coverage-файлы показывают, какие страницы прочитаны; отчёты содержат errata (L7, L9 — см. errata_frozen_inputs_and_snapshots.md). SYN-записи — синтезы проекта (Scope=PROJECT).",N,"Использовать coverage как вход для coverage-master reset-sweep; claims брать из объединённого claims.jsonl, не из снимков."
10_physics_evidence/physical_evidence_v1/stream_outputs/_hold_patterns.txt,raw_stream_snapshot,LEGACY_ONLY,Служебные шаблоны.,N,История.
10_physics_evidence/physical_evidence_v1/text_extraction_receipts/,receipt,REUSABLE_GENERIC,Квитанции извлечения текста и OCR (VKM-SRC-001/025/037).,N,Перенести; сверить с OCR reset-sweep (split_ocr_all).
10_physics_evidence/physical_evidence_v1/scripts/evidence_schema.py,script,REUSABLE_GENERIC,Enum-ы и проверки записи доказательства (scope/scale/evidence_type/transferability).,N,Сопоставить с vkm_world.core.provenance; использовать как mapper старых enum → новых.
10_physics_evidence/physical_evidence_v1/scripts/normalize_units.py,script,REUSABLE_GENERIC,"SI-нормализация (единицы как напечатаны → SI), вкл. сут⁻¹, % /сут, МН/м³.",N,Переиспользовать или сверить с vkm_world.core.units; тесты единиц перенести.
10_physics_evidence/physical_evidence_v1/scripts/extract_corpus_text.py,script,REUSABLE_GENERIC,Извлечение текстового слоя PDF/DOCX.,N,Уже есть аналог в run_kit/tools; оставить как reference.
10_physics_evidence/physical_evidence_v1/scripts/ocr_source_pages.py,script,REUSABLE_GENERIC,OCR страниц без текстового слоя.,N,Reference для OCR-пайплайна.
10_physics_evidence/physical_evidence_v1/scripts/merge_streams.py,script,REUSABLE_GENERIC,"Слияние потоков, применение claim_corrections, withdrawn.",N,Шаблон слияния sweep-записей с existing evidence.
10_physics_evidence/physical_evidence_v1/scripts/snapshot_streams.py,script,REUSABLE_GENERIC,Снимок потоков в stream_outputs.,N,Reference.
10_physics_evidence/physical_evidence_v1/scripts/check_stream.py,script,REUSABLE_GENERIC,Проверка потока по схеме.,N,Reference для валидации sweep-чанков.
10_physics_evidence/physical_evidence_v1/scripts/build_synthesis.py,script,REUSABLE_GENERIC,"Группы параметров, авто-скрининг конфликтов (CF-AUTO).",N,Переиспользовать логику сопоставимости (класс scope|scale|type) при синтезе.
10_physics_evidence/physical_evidence_v1/scripts/derived_calculations.py,script,REUSABLE_GENERIC,Детерминированные DC-*; содержит выбор колонки скв.75 (nearest-median) рядом с общими формулами.,N,Переиспользовать общие DC; блок выбора базовой колонки не переносить.
10_physics_evidence/physical_evidence_v1/scripts/build_engineering_rules.py,script,REUSABLE_GENERIC,Сборка engineering_rules.csv.,N,Reference.
