edge_id,source,observation_or_claim,extraction,transformation,current_artifact,evidence_class,r2_status
P01,"SUP01 p.15 (/Image157,159,161,163)",14 серий профилей (4 линии × метод × период),"Ручная оцифровка (handoff, автор не записан) → data/published_figure_digitization_v1",Нормализация → atlas profile_*/points.csv; детальное перечтение Line 1,artifacts/reconstruction/musikhin_profiles_2011_2016_v1; musikhin_line1_2011_2016_v1,DIGITIZED,SUPPORTED_WITH_LIMITATIONS
P02,atlas + Line 1 reread,canonical positions (приоритет Line 1),src/skru1/empirical_constraints_v2.py,min/max ± граница → envelope,"artifacts/reconstruction/scenario_constraints_v2/{canonical_digitization,profile_series_inventory,scenario_constraints}.csv",DERIVED,SUPPORTED
P03,profile_series_inventory (7 numeric_calibration=True),Масштаб A_p в окне d,scenario_simulation_v2.catalog,"latent_surface: field/ref, пик 70–100%","data/scenario_simulation_v2_1/evaluator (latent), causal_history",SYNTHETIC_LATENT,SUPPORTED (механизм)
P04,SUP01 p.15 формы,4 структурные формы,ручная классификация,"shape_values (gauss, 2 lobes, gradient)",latent fields v2.1,ORDINAL,SUPPORTED
P05,SRC03 p.14,3–5 см весеннее смещение крыш,текст,"thermal_amplitude_source_bounds_mm 30–50 → волна day75+90, сброс 1 янв",reflector_seasonal observations,SOURCE-SCALED STRESS,PARTIALLY (волна/календарь CONTRADICTED)
P06,SRC03 p.14,нет данных ноя–дек 2021 (снег),текст,"reflector_missing_months=[11,12]",missing_reason=reflector_snow_unavailability,DESIGN,CONTRADICTED (реальный сезон ноя–апр)
P07,SRC03 p.9/13,почти постоянная скорость; критерии ускорения,текст,motivation строк семейств uniform/smooth/saturating,scenario_catalog.process_motivation,LITERATURE-INFORMED,SUPPORTED_WITH_LIMITATIONS
P08,SRC01 рис.13б,Плановая топология,Цветовая сегментация красной графики,538 полигонов (pixel) → аффинная привязка по рис.14,GPKG zone_pol; artifacts/reconstruction/filatova_figure13b_geometry_v1,DIGITIZED/RECONSTRUCTED,PARTIALLY_SUPPORTED
P09,SRC01 рис.14–18,Якоря COORD/GEOM/TECH/DISP/NAT,Ручная транскрипция,seed/published_anchors_transcribed.csv,v3.2 tables; integrated_features_reconstructed,PUBLISHED (transcribed),PARTIALLY (TECH-14 CONTRADICTED)
P10,SRC01 рис.22,Поле накопленного оседания (легенда 0–4300 мм),Цифровка цветовой шкалы,rank-power подгонка к Disp рис.18,field_grid_50m; settlement_anchor_map_mm,RECONSTRUCTED,AMBIGUOUS (Disp_min floor)
P11,Проектные правила,"Сеть 14 профилей, шаг 190 м, REF",reproduce_v3.py,Точки на контуре,survey_points.csv → point_roster (v2.1),DESIGNED,PARTIALLY (класс RECONSTRUCTED завышен)
P12,Проектный дизайн v3.2,29 кампаний 2018–2025,reproduce_v3_2.py,campaign_point_membership (исправленный),data/scenario_simulation_v2_1/campaign_catalog.csv,DESIGN,SUPPORTED (как дизайн)
P13,data/reconstruction_research_v1/next_planned_features_all.csv,normalized chainage,чтение point_id+chainage,roster,point_roster,RECONSTRUCTED/DESIGN,SUPPORTED
P14,latent + ошибки,Синтетические наблюдения,observation_arrays,ordinary/gross/datum/thermal; missingness,"causal_history, model_features, sequence_windows",SYNTHETIC_OBSERVATION,SUPPORTED (кроме reflector календаря)
P15,v2 elapsed-day bug,31 283 ячейки −1 день,validator,exact_elapsed_days,data/scenario_simulation_v2_1,DERIVED,SUPPORTED_WITH_LIMITATIONS
P16,SRC05 p.12–13; SUP01 p.14,Модальные сравнения; карта 2016,текст/чтение,constraints context rows,scenario_constraints.csv (context_only),CONTEXT,SUPPORTED
P17,SRC05 p.16 рис.6б; SUP01 p.14 врезка; SRC04 §3.4,Многолетние ряды; региональные скорости,НЕ ИЗВЛЕЧЕНО ранее (R2 — впервые),—,нет,UNUSED_EVIDENCE,NEW (R2)
P18,SRC01 гл.2 (физика),"σv, σh, конвергенция, проницаемость",—,не использовано в v2.1,—,UNUSED (к счастью),CONTRADICTED/UNSUPPORTED как site-specific
P19,"EXT01–EXT05 (веб, R2)","UCS, Нортон, углы мульды, хронология блока 129, формы законов",R2 чтение,только evidence map,docs/research/r2_adversarial_audit/07_PHYSICAL_EVIDENCE_INVENTORY.csv,LITERATURE/REGIONAL,NEW (R2)
