row_id,catalog,category,subcategory,item,value_as_printed,unit,site_attribution,scope,spatial_level,depth_or_unit_context,time_context,status,evidence_type,scale,skru1_transfer,evidence_strength,confidence,relevance_normal_skru1,relevance_accident_scenario,worldspec_role,source_ids,locator,vn_ids,prev_evidence_ids,extraction_method,quote_check,visual_recheck,conflict_ref,notes
THM-001,thermal_evidence_catalog,SURFACE_CLIMATE,,"Климат района: среднегодовая температура воздуха +0,7 °С; январь −16,0 °С; июль +17,5 °С; абсолютный максимум +35 °С, минимум −50 °С","+0,7; −16,0; +17,5; +35; −50",°С,ВКМКС (метеостанция и период не указаны),VKM_REGIONAL,deposit,,,FACT,MEASURED,NOT_APPLICABLE,REGIONAL_PRIOR,MODERATE,HIGH,LOW,LOW,BOUNDARY_CONDITION,VKM-SRC-011;VKM-SRC-023,VKM-SRC-011 p.6 (§1.1) | VKM-SRC-023 p.26 (rendered p.26; §2.1),EV-VN-S011-0034;EV-VN-S023-0077,,TEXT_LAYER,EXACT,,,"Верхнее тепловое ГУ (воздух, не грунт). Для механики солей на глубине 250–400 м не значимо; значимо для сезонности наблюдений (промерзание реперов, снег/когерентность InSAR, конденсация в выработках)."
THM-002,thermal_evidence_catalog,SURFACE_CLIMATE,,"Нормативная глубина промерзания грунта 1,75 м (территория наблюдательной станции, район Соликамска)","1,75",м,наблюдательная станция в районе междушахтных целиков СКРУ-1–СКРУ-2 и СКРУ-2–СКРУ-3 (район Соликамска),SOLIKAMSK_GROUP,site,,,FACT,NORMATIVE,DESIGN,GROUP_INCLUDES_SKRU1,MODERATE,HIGH,MEDIUM,LOW,OBSERVATION_OPERATOR,VKM-SRC-012,VKM-SRC-012 p.41 (§2.1),EV-VN-S012-0198,,TEXT_LAYER,EXACT,,,"Норматив, не измерение. Значим для устойчивости грунтовых реперов и сезонной компоненты нивелирования (оператор наблюдения), а не для массива. Область (D-17, 26.09.2026): наблюдательная станция SRC-012 (§2.1) охватывает район обоих междушахтных целиков, СКРУ-1–СКРУ-2 и СКРУ-2–СКРУ-3 → SOLIKAMSK_GROUP (прежняя совместная метка СКРУ-1/СКРУ-2 упразднена)."
THM-003,thermal_evidence_catalog,SURFACE_CLIMATE,,"Аналог (Гремячинское): промерзание 50–70 см (декабрь–апрель), максимум 1,2 м (февраль–март); осадки 300–420 мм/год","0,5–0,7 м; max 1,2 м",м,Гремячинское месторождение,OTHER_POTASH_SITE,deposit,,,FACT,DESCRIPTIVE,NOT_APPLICABLE,NON_VKM_ANALOGUE,WEAK,HIGH,NONE,NONE,CONTEXT_ONLY,VKM-SRC-024,VKM-SRC-024 p.93 (Прил.1 §1.1 pp.93-94),EV-VN-S024-0253,,TEXT_LAYER,NOT_FOUND,,,Другой климатический район; только для сравнения.
THM-004,thermal_evidence_catalog,SURFACE_THERMAL_RS,,"Космическая тепловая съёмка: Landsat-5/7 канал 6 — 120 м (как напечатано), Landsat-8 TIRS каналы 10–11 — 100 м; MODIS MOD11_A2 — 8-суточный композит LST, 1 км",120 м; 100 м; 1 км,м,общее,GENERAL_METHOD,unstated,,,FACT,DESCRIPTIVE,NOT_APPLICABLE,METHOD_ONLY,WEAK,MEDIUM,LOW,LOW,OBSERVATION_OPERATOR,VKM-SRC-006,"VKM-SRC-006 p.83 (§6.5 p.83) | VKM-SRC-006 p.51 (§5.1, рис. 5.2) | VKM-SRC-006 p.79 (§6.4 pp.79–80)",EV-VN-S006-0193;EV-VN-S006-0122;EV-VN-S006-0186,,OCR_VISUALLY_CONFIRMED,FUZZY_85,,,"Возможный источник температуры поверхности как ГУ/ковариаты. Разрешение ETM+ в источнике 120 м — общая справка указывает 60 м (вне корпуса, не исправлено). Тепловые аномалии над сейсмоактивными разломами (Тронин 2011) — NON_VKM."
THM-005,thermal_evidence_catalog,ROCK_TEMPERATURE,,"БКПРУ-3 (середина 1980-х): температура соли на уровне очистных работ +9…+10 °С (измерена); температура поступавших в 1986 г. рассолов +7,5 °С; расчётная (по геотермии Н.Д. Лужецкой) температура рассолов над блоком № 8 на глубине 300 м — +8 °С","+9…+10 (соль); +7,5 (рассолы); +8 (расчёт, 300 м)",°С,"БКПРУ-3, блок № 8 (Березники)",BKPRU3,block,уровень очистных работ; 300 м ≈ контакт солей,1986 (середина 1980-х),FACT,MEASURED,FIELD,OTHER_VKM_SITE_ANALOGUE,MODERATE,HIGH,MEDIUM,MEDIUM,PARAMETER_PRIOR,VKM-SRC-011,VKM-SRC-011 p.39 (текст с.77),EV-VN-S011-0726,EV-GEO-0138,TEXT_LAYER,EXACT,"SRC-011 p39 рендер 110 dpi: «+9–10°C», «+7,5°С», «+8°С», «300 м» CONFIRMED",,Единственная температура массива соли ВКМ в корпусе; ДРУГОЙ рудник (не СКРУ-1). «+8 °С» — DERIVATION автора (не измерение). Глубина уровня очистных работ БКПРУ-3 не указана. Предыдущий релиз: GAP-005 PARTIALLY_RESOLVED этим же приором.
THM-006,thermal_evidence_catalog,ROCK_TEMPERATURE,,Температура рассолов рассольного (приконтактового) горизонта 4–6 °С,4–6,°С,ВКМС (рассолообильные участки у кровли солей),VKM_REGIONAL,geological_element,кровля солей / СМТ,,FACT,MEASURED,NOT_APPLICABLE,REGIONAL_PRIOR,MODERATE,HIGH,LOW,MEDIUM,BOUNDARY_CONDITION,VKM-SRC-011,VKM-SRC-011 p.39 (текст с.76),EV-VN-S011-0715,,TEXT_LAYER,EXACT,SRC-011 p39 CONFIRMED,THM-CF1,Глубина/скважины измерения не указаны. Возможное верхнее ГУ соляной толщи (на кровле солей).
THM-007,thermal_evidence_catalog,ROCK_TEMPERATURE,,Современная температура подземных вод близка к +10 °С (по [12]); принята автором как температура древних агрессивных вод,≈ +10,°С,ВКМС (горизонт/глубина не указаны),VKM_REGIONAL,unstated,,,FACT,LITERATURE_CITED,FIELD,REGIONAL_PRIOR,WEAK,MEDIUM,LOW,LOW,PARAMETER_PRIOR,VKM-SRC-011,VKM-SRC-011 p.123 (стр. 245),EV-VN-S011-2053,,TEXT_LAYER,EXACT,,THM-CF1,Вторичная ссылка; водоносный горизонт и глубина не указаны.
THM-008,thermal_evidence_catalog,ROCK_TEMPERATURE_ANALOGUE,,"Аналог (Старобинское, Беларусь; предыдущий релиз, EXT): естественная температура соляных пород 14,0±0,3 … 18,7±0,3 °С на 420–900 м; установившаяся температура воздуха выработок 17,8 °С (420 м), 19,0 °С (600 м), 20,8 °С (785 м) как прокси температуры массива","14,0–18,7 °С (420–900 м); 17,8/19,0/20,8 °С (420/600/785 м)",°С,Старобинское месторождение (Солигорск),OTHER_POTASH_SITE,mine,420–900 м,,FACT,LITERATURE_CITED,FIELD,NON_VKM_ANALOGUE,MODERATE,MEDIUM,LOW,LOW,PARAMETER_PRIOR,EXT-SRC-019,EXT-SRC-019 (см. physical_evidence_v1/claims.jsonl),NONE (previous release; see prev_evidence_ids),EV-EXT-0181;EV-EXT-0182;EV-EXT-0183;EV-EXT-0184,PREVIOUS_RELEASE_EXT,SEE_PREVIOUS_RELEASE,,,"Не из merged sweep (vn_id нет): внешний источник предыдущего релиза. Глубины больше, чем у СКРУ-1 (≈250–400 м) — не переносить; только порядок величин и форма (температура растёт с глубиной)."
THM-009,thermal_evidence_catalog,THERMAL_GAP_NEGATIVE,,Негативный результат внешнего поиска (предыдущий релиз): докторская диссертация Зайцева (2019) по тепловому режиму рудников не содержит работ на ВКМ; определение T_m — температуры нетронутого массива — используется в расчётах охлаждения,NEGATIVE FINDING,,ВКМ,VKM_REGIONAL,deposit,,,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,GAP,MODERATE,HIGH,MEDIUM,LOW,GAP,EXT-SRC-020,EXT-SRC-020 (предыдущий релиз),NONE (previous release; see prev_evidence_ids),EV-EXT-0186;EV-EXT-0187,PREVIOUS_RELEASE_EXT,SEE_PREVIOUS_RELEASE,,,GAP-005 предыдущего релиза: LOCAL_EXHAUSTED; EXT DONE_NOT_FOUND (3 попытки).
THM-010,thermal_evidence_catalog,MINE_AIR_TEMPERATURE,,Невысокая стабильная температура воздуха в горных выработках калийных рудников от +7 до +10 °С при пониженной относительной влажности,+7 … +10,°С,"калийные рудники ВКМ (рудник и глубина не указаны), Руководство 1992",VKM_REGIONAL,working,,~1990,FACT,FIELD_OBSERVATION,FIELD,REGIONAL_PRIOR,MODERATE,HIGH,MEDIUM,LOW,BOUNDARY_CONDITION,VKM-SRC-037,"VKM-SRC-037 p.42 (§2.8, с.82)",EV-VN-S037-0337,,OCR_VISUALLY_CONFIRMED,EXACT,SRC-037 p42 рендер 250 dpi: диапазон +7…+10 °С CONFIRMED,THM-CF2,"Воздух, не порода; вне зоны сезонного влияния (см. строку 2–2,5 км) может служить прокси температуры массива — это ИНТЕРПРЕТАЦИЯ (по аналогии с EXT-SRC-019), не утверждение источника."
THM-011,thermal_evidence_catalog,MINE_AIR_TEMPERATURE,,Опыт хранения картофеля в рудниках ПО «Сильвинит» (СКПРУ-1/2/3): для долговременной сохранности нужно снизить температуру воздуха до +1…3 °С (т.е. естественная выше),требуется +1…3 °С,°С,рудники ПО «Сильвинит» (включая СКРУ-1),VKM_REGIONAL,mine,,,FACT,FIELD_OBSERVATION,NOT_APPLICABLE,REGIONAL_PRIOR,WEAK,MEDIUM,LOW,NONE,CONTEXT_ONLY,VKM-SRC-037,"VKM-SRC-037 p.42 (§2.8, с.82)",EV-VN-S037-0338,,OCR_VISUALLY_CONFIRMED,FUZZY_89,,,"Косвенное ограничение снизу; рудник опыта не уточнён (ПО «Сильвинит» = СКПРУ-1, -2, -3)."
THM-012,thermal_evidence_catalog,MINE_AIR_TEMPERATURE,,Установившаяся температура на рудниках Т = 12–20 °С (контекст выбора гидравлического масла для машин),12–20,°С,калийные рудники (без рудника и глубины),VKM_REGIONAL,working,,,FACT,DESCRIPTIVE,NOT_APPLICABLE,REGIONAL_PRIOR,WEAK,LOW,LOW,NONE,CONTEXT_ONLY,VKM-SRC-028,VKM-SRC-028 p.137 (§2.3.7),EV-VN-S028-0109,,TEXT_LAYER,EXACT,,THM-CF2,Не ясно — воздух или порода; инженерное пособие по оборудованию (1999).
THM-013,thermal_evidence_catalog,MINE_AIR_TEMPERATURE,,"Требуемый температурно-влажностный режим выработок t = 16–18 °С, φ = 60–70 % для минимизации растворения солей и коррозии",16–18 °С; 60–70 %,°С; %,горные выработки ВКМКС (без ссылки),UNSTATED,working,,,FACT,DESCRIPTIVE,NOT_APPLICABLE,GAP,WEAK,LOW,LOW,NONE,CONTEXT_ONLY,VKM-SRC-023,VKM-SRC-023 p.38 (rendered p.38; §2.4),EV-VN-S023-0190,,DOCX_TEXT,NOT_FOUND,,THM-CF2,"Требование (без ссылки в ВКР), не измерение; противоречит «+7…+10 °С естественной» — разные категории (норма режима vs наблюдение)."
THM-014,thermal_evidence_catalog,MINE_AIR_NORM,,Нормативный предел температуры воздуха в действующих выработках ≤ 26 °С (ЕПБ); при превышении — спецмеры,≤ 26,°С,рудники (ЕПБ),VKM_REGIONAL,working,,,FACT,NORMATIVE,DESIGN,REGIONAL_PRIOR,MODERATE,HIGH,NONE,NONE,CONTEXT_ONLY,VKM-SRC-020,VKM-SRC-020 p.36 (§1.6),EV-VN-S020-0188,,TEXT_LAYER,EXACT,,,Норматив ≠ измерение; не описывает массив.
THM-015,thermal_evidence_catalog,MINE_AIR_DESIGN,,"Паспортный диапазон температуры окружающей среды для комбайна Урал-10А: +5…+35 °С (ГОСТ 15150-69, исполнение У, кат. 5); подогрев подаваемого в ствол воздуха калориферами",+5 … +35,°С,оборудование ВКМ,GENERAL_METHOD,working,,,FACT,DESIGN_VALUE,DESIGN,METHOD_ONLY,WEAK,HIGH,NONE,NONE,CONTEXT_ONLY,VKM-SRC-020,"VKM-SRC-020 p.134 (§4.1.2, с.134) | VKM-SRC-020 p.57 (§1.9)",EV-VN-S020-0323;EV-VN-S020-0199,,TEXT_LAYER,EXACT,,,Подогрев воздуха зимой — техногенное тепловое ГУ приствольной зоны (значения не даны).
THM-016,thermal_evidence_catalog,MINE_CLIMATE_ZONE,,"По Н.Д. Лужецкой параметры климата вентиляционной струи меняются на первых 2,0–2,5 км от воздухоподающего ствола, далее температура и влажность рудничного воздуха практически постоянны","2,0–2,5 км",км,рудники ВКМ (БКПРУ-2 на рис. 5.2),VKM_REGIONAL,mine,,,FACT,FIELD_OBSERVATION,FIELD,REGIONAL_PRIOR,MODERATE,HIGH,MEDIUM,LOW,BOUNDARY_CONDITION,VKM-SRC-037,VKM-SRC-037 p.80 (§5.1 (с.157–158)),EV-VN-S037-0511,,OCR_VISUALLY_CONFIRMED,EXACT,SRC-037 p80 рендер 110 dpi CONFIRMED,,"Результат: сезонное тепловлажностное ГУ действует только в приствольной зоне ~2–2,5 км; на СКРУ-1 фланговая схема проветривания (EV-VN-S014-0444) — положение этой зоны относительно панелей UNKNOWN."
THM-017,thermal_evidence_catalog,MINE_CLIMATE_SEASONAL,,"Сезонный цикл: летом конденсация влаги на породах (насыщение приконтурных пород, растворение солей и глинистых прослоев), зимой — осушение; максимум ГДЯ зимой; корреляция ГДЯ с влагосодержанием r = 0,95 (надёжность 0,1, как напечатано); фон вне зоны климата ~3 ГДЯ/год (БКПРУ-2)","r = 0,95; ~3 явления/год",,ВКМ; БКПРУ-2 (рис. 5.2); рис. 5.1 смешивает ВКМ и Старобин,VKM_REGIONAL,mine,,,FACT,FIELD_OBSERVATION,FIELD,REGIONAL_PRIOR,MODERATE,MEDIUM,MEDIUM,LOW,BOUNDARY_CONDITION,VKM-SRC-033;VKM-SRC-037,"VKM-SRC-037 p.80 (§5.1 (с.157–158)) | VKM-SRC-037 p.80 (§5.1 (с.158)) | VKM-SRC-037 p.81 (Рис. 5.1, 5.2 (с.161)) | VKM-SRC-033 p.1 (Введение)",EV-VN-S037-0511;EV-VN-S037-0512;EV-VN-S037-0519;EV-VN-S033-0006,,OCR_VISUALLY_CONFIRMED,EXACT,SRC-037 p80–81 рендер 110 dpi CONFIRMED (графики не оцифровывались),,"Термогидрологическая связь: сезон → влажность контура → свойства → динамические события — единственный документированный механизм, где температура влияет на поведение массива ВКМ в нормальном режиме (через влагу, не через ползучесть). Кривая 2 рис. 5.1 включает Старобинское (ANALOGUE внутри рисунка)."
THM-018,thermal_evidence_catalog,THERMOPHYSICAL,,Удельная теплоёмкость каменной соли 2557 Дж/(кг·К) и масса 1 м³ каменной соли 2160 кг — использованы автором в оценке адиабатического разогрева ΔT = Q/(c·m),c = 2557 Дж/(кг·К); m(1 м³) = 2160 кг,Дж/(кг·К); кг,оценка автора (без ссылки),GENERAL_METHOD,unstated,,,FACT,LITERATURE_CITED,LAB,METHOD_ONLY,WEAK,HIGH,LOW,NONE,PARAMETER_PRIOR,VKM-SRC-011,VKM-SRC-011 p.109 (p.216),EV-VN-S011-1774;EV-VN-S011-1775;EV-VN-S011-1773,,OCR_VISUALLY_CONFIRMED,EXACT,,THM-CF3,"UNIT_DOUBT (sweep): 2557 Дж/(кг·К) ≈ в 3 раза выше типичного справочного значения для галита (~0,86 кДж/(кг·К), общая справка вне корпуса) — не использовать без проверки. Текстовый слой p.109 подтверждает напечатанное «2557»."
THM-019,thermal_evidence_catalog,THERMOPHYSICAL,,"Каменная соль обладает «аномально высокой теплопроводностью» (качественно, в аргументе о рассеянии тепла деформации)","качественно, без числа",,общее утверждение,GENERAL_METHOD,unstated,,,FACT,INTERPRETATION,LAB,METHOD_ONLY,WEAK,HIGH,LOW,NONE,PARAMETER_PRIOR,VKM-SRC-011,VKM-SRC-011 p.109 (текст с.216–217),EV-VN-S011-1780,,TEXT_LAYER,EXACT_TEXT_LAYER_THIS_STREAM,,,"Цитата взята этим потоком из текстового слоя /work/corpus/VKM-SRC-011/p0109.txt (отдельной merged-записи нет; связанная запись EV-VN-S011-1780). Аналог: теплообмен соль–воздух в 2,5–3,3 раза быстрее, чем в угольных шахтах (EV-EXT-0185, Старобин). Численная теплопроводность в корпусе отсутствует (GAP)."
THM-020,thermal_evidence_catalog,THERMOPHYSICAL,,"Оценка автора: адиабатический разогрев солей при складкообразовании (ε ≈ 0,6) не превышает 3,2 °С → гипотеза термодинамометаморфизма требует внешнего тепла","ΔT ≤ 3,2",°С,зоны предполагаемых надвигов (оценка),VKM_REGIONAL,geological_element,,,DERIVATION,CALCULATED_BY_AUTHOR,NOT_APPLICABLE,METHOD_ONLY,WEAK,MEDIUM,NONE,NONE,CONTEXT_ONLY,VKM-SRC-011,VKM-SRC-011 p.109 (p.217),EV-VN-S011-1780,,TEXT_LAYER,FUZZY_82,,,Геологическое прошлое; основано на теплоёмкости с UNIT_DOUBT (THM-CF3).
THM-021,thermal_evidence_catalog,THERMOPHYSICAL,,Коэффициент диффузии KCl в водном растворе 2·10⁻⁵ см²/с при 25 °С (напечатано «210⁻⁵»),2·10⁻⁵,см²/с,справочные ([142]),GENERAL_METHOD,unstated,,,FACT,LITERATURE_CITED,LAB,METHOD_ONLY,WEAK,MEDIUM,NONE,LOW,PARAMETER_PRIOR,VKM-SRC-011,"VKM-SRC-011 p.106 (p.210, [142]) | VKM-SRC-011 p.106 (§3.4, p.210)",EV-VN-S011-1748;EV-VN-S011-1747,,VISUAL_READ,EXACT,,,Температурно-зависимый транспортный параметр (для растворения/диффузии в аварийном сценарии).
