rheo_id,law_name,law_family,math_class,equation_as_printed,equation_number,parameters_and_units,calibration_experiment,lithology,stress_range,time_range,temperature_assumption,scale,site_scope,source_id,locator,vn_ids,prev_evidence_ids,relation_to_v1_registry,original_or_cited,status,evidence_type,extraction_method,visual_confirmation,confidence,applicability_SKRU1,planned_role,notes
MR-RHEO-CL-01,"steady-state power law in normalised stress (Norton-type, reference stress = short-term strength)",Norton-type power law in normalised stress K=σ/σпр,ODE,"ė = 3·K^6.3517 [1/сут], K = σ/σпр (eq. 6.1)",,"LAB: A = 3 1/сут, n = 6.3517 (regression over ≈8 points of Fig. 6.5 at K≈0.2–0.6, visual count by the adversarial review; source does not state n) | MASSIF/EFFECTIVE: none",LAB_REGRESSION,carnallite,"fit K = σ/σпр ≈ 0.2–0.6 spans decaying (≈0.2), steady (≈0.3) and accelerating (≥0.4) stages of carnallite (Лебедева p.18 summary of the same tests) — ""steady-state"" label holds only near K ≈ 0.3",see stress_range/notes,not stated (lab temperature not given),LAB,VKM_REGIONAL (mine not stated),VKM-SRC-025,see v1 evidence ids,EV-VN-S025-0856;EV-VN-S025-0857;EV-VN-S025-0858,EV-RMR-1106;EV-RMR-1107;EV-RMR-1108,= CL-01,see v1 claims,DERIVATION,CALCULATED_BY_AUTHOR,GRAPH_DIGITIZED_APPROX/VISUAL_READ,v1 (see provenance_verification.csv),per v1,lab level only; not transferable to massif without an explicit scale model; K is relative to the SAME sample's strength,"CANDIDATE_LAB_LAW (carnallite L3), REGISTERED_NOT_USED; unit check CLOSED (1/сут confirmed on the rendered p.157 by provenance SPECIAL-01 and adversarial review)","[fix 26.09 DOCS_LEAKAGE-011/D-01] status «FACT (law as reported)»→DERIVATION; evidence_type (v1 calibration_status «LAB_REGRESSION», kept in calibration_experiment)→CALCULATED_BY_AUTHOR. K above the carnallite long-term strength ratio (0.20–0.25, CL-02) is outside steady creep | ADV-032: earlier mapping factor 2/3 was wrong (would under-predict creep by 1/3); ADV-033: ≈8 points, stage mixing. | OGS mapping (v1): CreepBGRa with Q = 0, σ0 = σпр of the same sample, A_BGRa = A_uniaxial (factor 1: for uniaxial stress σ_eq = σ and ε̇_11 = A(σ/σ0)^n in the verified CASE 04 form) after 1/сут → 1/s; von Mises generalisation = ENGINEERING_ASSUMPTION"
MR-RHEO-CL-02,long-term strength threshold (not a rate law),long-term strength threshold,ALGEBRAIC,K_дл = σ∞/σпр (Table 6.1); σ∞ per h/d (Table 6.2),,"LAB: K_дл: rock salt 0.60–0.65, sylvinite 0.35–0.40, carnallite 0.20–0.25; СКРУ-1 КрII sylvinite (Монолит-1) σ∞ = 7.7–24.5 MPa for h/d = 2.5…0.5 | MASSIF/EFFECTIVE: none",LAB_MEASURED,rock salt; sylvinite; carnallite,creep/relaxation tests (direct and accelerated methods),see stress_range/notes,not stated,LAB,"VKM_REGIONAL; Table 6.2 Монолит-1 = SITE_SPECIFIC (СКРУ-1, lab)",VKM-SRC-025,see v1 evidence ids,EV-VN-S025-0848;EV-VN-S025-0854;EV-VN-S025-0855;EV-VN-S025-0873;EV-VN-S025-0874;EV-VN-S025-0875;EV-VN-S025-0876;EV-VN-S025-0882;EV-VN-S025-0894,EV-RMR-1113;EV-RMR-1114;EV-RMR-1115;EV-RMR-1116;EV-RMR-1117;EV-RMR-1118;EV-RMR-1119;EV-RMR-1120,= CL-02,see v1 claims,FACT,LAB_TEST,GRAPH_DIGITIZED_APPROX/OCR_VISUALLY_CONFIRMED/VISUAL_READ,v1 (see provenance_verification.csv),per v1,lab level; h/d dependence must be carried with the value,"CONSTRAINT_CHECK — LAB long-term strength ratio; applying it to homogenized-layer or massif stresses is a lab→massif step WITHOUT an evidenced scale factor (pass-4 caveat, agent A)","[fix 26.09 TRANSFER-002] the Табл. 6.2 values inside this threshold law (σ∞, K_t∞, Монолит-1/-2) are DERIVATION (accelerated method), only Табл. 6.1 direct-method K_дл are measured. [fix 26.09 DOCS_LEAKAGE-011/D-01] status «FACT (law as reported)»→FACT; evidence_type (v1 calibration_status «LAB_MEASURED», kept in calibration_experiment)→LAB_TEST.  | OGS mapping (v1): post-check of pillar/layer stress vs long-term strength (damage onset); no direct OGS input"
MR-RHEO-CL-03,engineering steady creep law of a technological interseam layer (linear in Q/E × exponential in load degree),"exponential in loading degree (steady creep, empirical)",ODE,ε̇мп = δ0·A1·(Qмп/Eд)·exp(β·Cмп) [%/сут] (eq. 7.34),,"LAB: none | MASSIF/EFFECTIVE: recommended method values: δ0 = 0.0183 1/сут, A1 = 1.5e-2 %, β = 13.53, Eд = 1.33e3 MPa",CALIBRATED_EFFECTIVE (origin of calibration not stated on the page),interseam rock salt / sylvinite layers,Cмп as used in the methodology (worked example Cмп ≈ 0.20),see stress_range/notes,not stated,CALIBRATED_EFFECTIVE_MODEL,VKM_REGIONAL (method); worked example СКРУ-3,VKM-SRC-014,see v1 evidence ids,EV-VN-S014-1070;EV-VN-S014-1079;EV-VN-S014-1080;EV-VN-S014-1081,EV-RMR-1164;EV-RMR-1167;EV-RMR-1168;EV-RMR-1169,= CL-03,"CITED: Методическое руководство по ведению горных работ на рудниках ОАО «Сильвинит» (отв. ред. В.А. Соловьев). — Новосибирск: Наука, 2011, 487 с. — per the preface of VKM-SRC-014 (p.7); not in corpus",DERIVATION,MODEL_CALIBRATED,OCR_VISUALLY_CONFIRMED/TEXT_LAYER,v1 (see provenance_verification.csv),per v1,"effective/engineering level only; parameters belong to the method, not to a material law",CONSTRAINT_CHECK / STRUCTURAL_ALTERNATIVE,"[fix 26.09 PRIMARY_SECONDARY-011] VKM-SRC-014 (2013) reproduces the 2011 guide (ch.1–7); secondary. [fix 26.09 DOCS_LEAKAGE-011/D-01] status «FACT (law as reported)»→DERIVATION; evidence_type (v1 calibration_status «CALIBRATED_EFFECTIVE (origin of calibration not stated on the page)», kept in calibration_experiment)→MODEL_CALIBRATED.  | OGS mapping (v1): no built-in equivalent (exponential in a structural load degree); usable as an independent time-to-stability check"
MR-RHEO-CL-04,semi-empirical time-hardening convergence law of stope roofs,power law in time (t^0.3) × exponential in stress level (empirical convergence),ODE,U(t)/Lp = U0/Lp + A1·(b/h)^-0.5·(1.7+ω)·(1-ω)^0.5·exp(5.48·√(ωγH/σ̄сж))·t^0.3 (eq. 7.18),,"LAB: none | MASSIF/EFFECTIVE: A1 = 1.10e-2, A2 = 4.33e-2 (calibrated constants)",CALIBRATED_EFFECTIVE (field-calibrated method),stope roof (salt rocks),"geometry/stress via ω, γH/σ̄сж",see stress_range/notes,not stated,CALIBRATED_EFFECTIVE_MODEL,VKM_REGIONAL,VKM-SRC-014,see v1 evidence ids,EV-VN-S014-1047;EV-VN-S014-1063,EV-RMR-1175;EV-RMR-1176,= CL-04,"CITED: Методическое руководство по ведению горных работ на рудниках ОАО «Сильвинит» (отв. ред. В.А. Соловьев). — Новосибирск: Наука, 2011, 487 с. — per the preface of VKM-SRC-014 (p.7); not in corpus",DERIVATION,MODEL_CALIBRATED,OCR_VISUALLY_CONFIRMED/VISUAL_READ,v1 (see provenance_verification.csv),per v1,effective level only,CONTEXT_ONLY,"[fix 26.09 PRIMARY_SECONDARY-011] VKM-SRC-014 (2013) reproduces the 2011 guide (ch.1–7); secondary. [fix 26.09 DOCS_LEAKAGE-011/D-01] status «FACT (law as reported)»→DERIVATION; evidence_type (v1 calibration_status «CALIBRATED_EFFECTIVE (field-calibrated method)», kept in calibration_experiment)→MODEL_CALIBRATED. time exponent 0.3 is a structural (room-scale) result | OGS mapping (v1): not a constitutive law; comparison target for time exponent of room closure only"
MR-RHEO-CL-05,Drucker–Prager strain-hardening creep (Abaqus form),Drucker–Prager strain-hardening creep (power law),ODE,ε̇cr = (A·σcr^n·[(m+1)·εcr]^m)^(1/(m+1)) (eq. 2),,"LAB: none | MASSIF/EFFECTIVE: sylvinite: A = 3e-10 (units not stated), n = 1, m = −0.3 — model table values 'according to' a cited SPMI report (Ермашов 2015), calibrated to field data",CALIBRATED_EFFECTIVE_MODEL (secondary),sylvinite (БКПРУ-4 model),not stated,see stress_range/notes,not used,CALIBRATED_EFFECTIVE_MODEL,OTHER_VKM_SITE (БКПРУ-4),VKM-SRC-016,see v1 evidence ids,EV-VN-S016-0027;EV-VN-S016-0032;EV-VN-S016-0040;EV-VN-S016-0041;EV-VN-S016-0054;EV-VN-S016-0072,EV-RMB-0008;EV-RMB-0014;EV-RMB-0015;EV-RMB-0027,= CL-05,see v1 claims,DERIVATION,MODEL_CALIBRATED,TEXT_LAYER/VISUAL_READ,v1 (see provenance_verification.csv),per v1,model-specific; not transferable to СКРУ-1 without the primary calibration source,REFERENCE_PROBLEM_ONLY (reproduction target),"[fix 26.09 DOCS_LEAKAGE-011/D-01] status «FACT (law as reported)»→DERIVATION; evidence_type (v1 calibration_status «CALIBRATED_EFFECTIVE_MODEL (secondary)», kept in calibration_experiment)→MODEL_CALIBRATED. primary calibration source (Ермашов 2015) not in corpus — BIBLIOGRAPHIC gap | OGS mapping (v1): no native OGS equivalent (strain-hardening form); would require re-fitting to a supported law — not done"
MR-RHEO-CL-06,linear hereditary (Abel power kernel) creep,linear hereditary (Abel power kernel),HEREDITARY,K(t−τ) = δ(t−τ)^−α; Φ = δ·t^(1−α)/(1−α) (eqs 1.4–1.5),,"LAB: none | MASSIF/EFFECTIVE: normative: α = 0.7, δ = (5e-4 … 5e-3) s^(−1+α) (Указания [69], WPS-integrity methodology for anomaly groups II–III)",NORMATIVE_DESIGN,generic salt rocks (deposit-wide),linear in stress (hereditary superposition),see stress_range/notes,not stated,DESIGN,VKM_REGIONAL (normative),VKM-SRC-012,see v1 evidence ids,EV-VN-S012-0039;EV-VN-S012-0040;EV-VN-S012-0041;EV-VN-S012-0042;EV-VN-S012-0045;EV-VN-S012-0046,EV-RMB-0040;EV-RMB-0041;EV-RMB-0047;EV-RMB-0048,= CL-06,see v1 claims,FACT,NORMATIVE,OCR_VISUALLY_CONFIRMED/TEXT_LAYER,v1 (see provenance_verification.csv),per v1,normative massif-scale values; not lab parameters and not SKRU-1-specific,STRUCTURAL_ALTERNATIVE (normative),"[fix 26.09 DOCS_LEAKAGE-011/D-01] status «FACT (law as reported)»→FACT; evidence_type (v1 calibration_status «NORMATIVE_DESIGN», kept in calibration_experiment)→NORMATIVE.  | OGS mapping (v1): not built-in; approximable by a Prony series of Kelvin units (generalised Kelvin chain) — derivation required"
MR-RHEO-CL-07,diffusion (Coble) creep on geological time; water-enhanced,"diffusion (Coble)/pressure-solution creep, qualitative",OTHER,qualitative mechanism; rate ∝ grain-boundary diffusivity (×1e5 with brine),,LAB: none | MASSIF/EFFECTIVE: none,AUTHOR_INTERPRETATION,rock salt,geological strain rates,see stress_range/notes,not quantified,NOT_APPLICABLE,VKM_REGIONAL,VKM-SRC-011,see v1 evidence ids,EV-VN-S011-1518;EV-VN-S011-1740;EV-VN-S011-1983;EV-VN-S011-1985;EV-VN-S011-1987;EV-VN-S011-3930;EV-VN-S011-3931;EV-VN-S011-3955;EV-VN-S011-3957,EV-GEO-0169;EV-RMR-1179;EV-RMR-1181;EV-RMR-1188,= CL-07,see v1 claims,FACT,INTERPRETATION,TEXT_LAYER,v1 (see provenance_verification.csv),per v1,not transferable to mining time scale,CONTEXT_ONLY,"[fix 26.09 DOCS_LEAKAGE-011/D-01] status «FACT (law as reported)»→FACT; evidence_type (v1 calibration_status «AUTHOR_INTERPRETATION», kept in calibration_experiment)→INTERPRETATION.  | OGS mapping (v1): not applicable at engineering time scale"
MR-RHEO-CL-08,pseudo-rheology by stepwise modulus reduction (not a creep law),pseudo-rheology (stepwise modulus reduction),ALGEBRAIC,E(2020) = 0.07·E_model; E(2026) = 0.9·E(2020); E(2031) = 0.8·E(2020) for salt strata (Table 4.1),,LAB: none | MASSIF/EFFECTIVE: reduction factors chosen from observed subsidence growth (calibrated),CALIBRATED_EFFECTIVE_MODEL,all strata,elastic,see stress_range/notes,none,CALIBRATED_EFFECTIVE_MODEL,OTHER_VKM_SITE / MODEL_SPECIFIC (Лебедева FE sections along lines №1 and №2; observations mostly СКРУ-2),VKM-SRC-012,see v1 evidence ids,EV-VN-S012-0525;EV-VN-S012-0526;EV-VN-S012-0539;EV-VN-S012-0544;EV-VN-S012-0546;EV-VN-S012-0547;EV-VN-S012-0548;EV-VN-S012-0549;EV-VN-S012-0550;EV-VN-S012-0551;EV-VN-S012-0552;EV-VN-S012-0553;EV-VN-S012-0554;EV-VN-S012-0559;EV-VN-S012-0588;EV-VN-S012-0740;EV-VN-S012-0743,EV-SYN-0011;EV-SYN-0012;EV-SYN-0013,= CL-08,see v1 claims,DERIVATION,MODEL_CALIBRATED,OCR_VISUALLY_CONFIRMED/TEXT_LAYER,v1 (see provenance_verification.csv),per v1,model-specific; must not be transferred as material behaviour,EXCLUDED_AS_INPUT (documented calibration practice),"[fix 26.09 DOCS_LEAKAGE-011/D-01] status «FACT (law as reported)»→DERIVATION; evidence_type (v1 calibration_status «CALIBRATED_EFFECTIVE_MODEL», kept in calibration_experiment)→MODEL_CALIBRATED.  | OGS mapping (v1): not a constitutive law; not used"
MR-RHEO-CL-09,tabulated steady (BC-segment) creep rate vs loading degree K = σ/σпр (no law stated by the authors; exponential approximation shown in Fig. 8 without coefficients),"tabulated steady creep rate vs K (exponential approximation, no coefficients)",EMPIRICAL_TABLE,Table 2: ε̇1^BC [10^-2 сут^-1] at K = 0.3/0.4/0.5/0.6/0.7/0.8 = 0.0126/0.0271/0.155/0.228/1.353/3.295 (ВКМКС column),,"LAB: orchestrator log-log fit (DC-CREEP-SYLV-SKRU3-FIT-*): n = 5.77 (K 0.3–0.8, R² 0.96) or 6.78 (K 0.4–0.8, R² 0.97); A = 9.6e-7 … 1.5e-6 1/s at K = 1; σпр = 19.2±2.6 MPa; Kдл = 0.39 (σдл ≈ 7.5 MPa) | MASSIF/EFFECTIVE: none",LAB_MEASURED,sylvinite (banded),"K = 0.3–0.8 of instantaneous uniaxial strength; ≤35 days; stages differ: 0.3 decaying, 0.4 steady, ≥0.5–0.6 progressive",see stress_range/notes,not stated (room-temperature lab tests assumed by nothing in the text → UNKNOWN),LAB,"OTHER_VKM_SITE (СКРУ-3 monolith, 28 specimens)",EXT-SRC-011,see v1 evidence ids,,EV-EXT-0072;EV-EXT-0073;EV-EXT-0074;EV-EXT-0075;EV-EXT-0076;EV-EXT-0077;EV-EXT-0078;EV-EXT-0079;EV-EXT-0088;EV-EXT-0089,= CL-09,EXTERNAL (v1 EXT stream),FACT,LAB_TEST,v1,v1 (see provenance_verification.csv),per v1,lab level only; OTHER_VKM_SITE → at most an analogue prior for СКРУ-1 sylvinite lab behaviour; no scale-up to massif,"CANDIDATE_LAB_LAW (analogue, sylvinite L4); used only in the creep-hypothesis register","[fix 26.09 DOCS_LEAKAGE-011/D-01] status «FACT (law as reported)»→FACT; evidence_type (v1 calibration_status «LAB_MEASURED», kept in calibration_experiment)→LAB_TEST. Primary data behind Морозов 2021 (CL-10). Sylvinite at the same K creeps ~10x slower than the carnallite law CL-01 (at K=0.3: 1.3e-4 vs 1.4e-3 1/сут) — lithology contrast, not a conflict (CL-01 unit check pending in provenance pass). | A is defined at K = 1, an extrapolation beyond the tested range 0.3–0.8 (ADV-030). | OGS mapping (v1): could be expressed as CreepBGRa with σ0 = σпр and Q = 0 (von Mises generalisation = ENGINEERING_ASSUMPTION); NOT done — lab level only"
MR-RHEO-CL-10,Norton steady-state power law in absolute stress,Norton power law (absolute stress),ODE,"ε̇^cr = k·σ^n (σ in MPa, ε̇ in сут^-1)",,"LAB: sylvinite k = 3.18e-17 MPa^-n·сут^-1, n = 10.93; carnallite k = 9.35e-17, n = 6.22 (regression on 30 specimens, R² 0.93) | MASSIF/EFFECTIVE: none",LAB_REGRESSION (pooled deposits),sylvinite; carnallite,"σ/σпр ≈ 0.4–0.8 (Fig. 1–2), ≤30 days",see stress_range/notes,none (not temperature dependent),LAB,NON_VKM_ANALOG/pooled: the cited primary [12] = EXT-SRC-011 tests sylvinite of Гремячинское (33) and СКРУ-3 (28) and contains NO carnallite,EXT-SRC-007;EXT-SRC-011,see v1 evidence ids,,EV-EXT-0038;EV-EXT-0039;EV-EXT-0040;EV-EXT-0041;EV-EXT-0042;EV-EXT-0043,= CL-10,EXTERNAL (v1 EXT stream),DERIVATION,CALCULATED_BY_AUTHOR,v1,v1 (see provenance_verification.csv),per v1,not transferable: deposit mix (ВКМ creep rates up to ~12x those of ГМКС at the same K) and unresolved carnallite provenance,INSUFFICIENT_EVIDENCE,"[fix 26.09 DOCS_LEAKAGE-011/D-01] status «FACT (law as reported)»→DERIVATION; evidence_type (v1 calibration_status «LAB_REGRESSION (pooled deposits)», kept in calibration_experiment)→CALCULATED_BY_AUTHOR. Pass-2 check of the primary source (ORCH-PASS2-EXT011) downgraded EV-EXT-0039..0043 from VKM_REGIONAL. | ADV-034: the source defines eq.(1) with σ in Па and k in Па^-n·с^-1 but reports k in МПа^-n·сут^-1 and plots against RELATIVE stress σ1/σпр (Fig. 2); the k values are only consistent with σ in MPa — stress normalisation ambiguous in the source. If σ in MPa: A_SI = k·(1e6)^(−n)/86400 = 9.7e-88 Pa^-10.93·s^-1 (sylvinite), 5.2e-59 Pa^-6.22·s^-1 (carnallite) — kept out of parameters.csv SI (NOT_CONVERTIBLE, needs n). | OGS mapping (v1): CreepBGRa-compatible form (A, n, Q=0) — not used"
