model_id,family,environment_id,registry_status,screen_status,screen_passed,advanced_to_robustness,checks_json,observed_json,reason
B3_profile_robust_trend,profile_robust_trend,b6_cpu,FROZEN_COMPARATOR,FROZEN_COMPARATOR_ADVANCED_DESPITE_SCREEN,False,True,"{""all_11_folds_complete"":true,""all_inner_selections_passed_guardrails"":false,""finite_exact_predictions"":true,""median_mae_within_10_percent_b1"":false,""no_fold_exceeds_2x_b1"":true,""no_worker_or_convergence_failure"":true,""pooled_mae_within_10_percent_b1"":false}","{""inner_selection_rejected_folds"":7,""max_fold_mae_ratio_vs_b1"":1.390240124318,""median_fold_mae_ratio_vs_b1"":1.256098763782,""pooled_mae"":7.301072800201,""pooled_mae_ratio_vs_b1"":1.156881190307,""rolling_folds"":11}",
B5_fixed_kalman,fixed_kalman,b6_cpu,FROZEN_COMPARATOR,FROZEN_COMPARATOR_ADVANCED_DESPITE_SCREEN,False,True,"{""all_11_folds_complete"":true,""all_inner_selections_passed_guardrails"":false,""finite_exact_predictions"":true,""median_mae_within_10_percent_b1"":true,""no_fold_exceeds_2x_b1"":true,""no_worker_or_convergence_failure"":true,""pooled_mae_within_10_percent_b1"":true}","{""inner_selection_rejected_folds"":2,""max_fold_mae_ratio_vs_b1"":1.189284122239,""median_fold_mae_ratio_vs_b1"":0.987204789069,""pooled_mae"":6.300812393074,""pooled_mae_ratio_vs_b1"":0.998386338649,""rolling_folds"":11}",
M1_ridge,ridge,b6_cpu,FROZEN_COMPARATOR,FROZEN_COMPARATOR_ADVANCED_DESPITE_SCREEN,False,True,"{""all_11_folds_complete"":true,""all_inner_selections_passed_guardrails"":false,""finite_exact_predictions"":true,""median_mae_within_10_percent_b1"":true,""no_fold_exceeds_2x_b1"":true,""no_worker_or_convergence_failure"":true,""pooled_mae_within_10_percent_b1"":true}","{""inner_selection_rejected_folds"":2,""max_fold_mae_ratio_vs_b1"":1.115545161025,""median_fold_mae_ratio_vs_b1"":1.031766742613,""pooled_mae"":6.220874446247,""pooled_mae_ratio_vs_b1"":0.98571988406,""rolling_folds"":11}",
M2_extra_trees,extra_trees,b6_cpu,FROZEN_COMPARATOR,FROZEN_COMPARATOR_ADVANCED_DESPITE_SCREEN,False,True,"{""all_11_folds_complete"":true,""all_inner_selections_passed_guardrails"":false,""finite_exact_predictions"":true,""median_mae_within_10_percent_b1"":true,""no_fold_exceeds_2x_b1"":true,""no_worker_or_convergence_failure"":true,""pooled_mae_within_10_percent_b1"":true}","{""inner_selection_rejected_folds"":4,""max_fold_mae_ratio_vs_b1"":1.475660142635,""median_fold_mae_ratio_vs_b1"":1.051007290785,""pooled_mae"":6.209402666766,""pooled_mae_ratio_vs_b1"":0.983902139426,""rolling_folds"":11}",
Z02_huber,huber,b6_cpu,PREREGISTERED_CANDIDATE,REJECTED_TEMPORAL_SCREEN,False,False,"{""all_11_folds_complete"":true,""all_inner_selections_passed_guardrails"":false,""finite_exact_predictions"":true,""median_mae_within_10_percent_b1"":true,""no_fold_exceeds_2x_b1"":true,""no_worker_or_convergence_failure"":true,""pooled_mae_within_10_percent_b1"":true}","{""inner_selection_rejected_folds"":1,""max_fold_mae_ratio_vs_b1"":1.394218227489,""median_fold_mae_ratio_vs_b1"":1.040265462383,""pooled_mae"":6.317564964652,""pooled_mae_ratio_vs_b1"":1.001040843744,""rolling_folds"":11}",
Z03_rbf_svr,rbf_svr,b6_cpu,PREREGISTERED_CANDIDATE,REJECTED_TEMPORAL_SCREEN,False,False,"{""all_11_folds_complete"":true,""all_inner_selections_passed_guardrails"":false,""finite_exact_predictions"":true,""median_mae_within_10_percent_b1"":false,""no_fold_exceeds_2x_b1"":true,""no_worker_or_convergence_failure"":true,""pooled_mae_within_10_percent_b1"":true}","{""inner_selection_rejected_folds"":3,""max_fold_mae_ratio_vs_b1"":1.846247534005,""median_fold_mae_ratio_vs_b1"":1.168122931777,""pooled_mae"":6.490079061483,""pooled_mae_ratio_vs_b1"":1.028376321577,""rolling_folds"":11}",
Z04_gaussian_process,gaussian_process,b6_cpu,PREREGISTERED_CANDIDATE,REJECTED_TEMPORAL_SCREEN,False,False,"{""all_11_folds_complete"":true,""all_inner_selections_passed_guardrails"":false,""finite_exact_predictions"":true,""median_mae_within_10_percent_b1"":false,""no_fold_exceeds_2x_b1"":true,""no_worker_or_convergence_failure"":true,""pooled_mae_within_10_percent_b1"":true}","{""inner_selection_rejected_folds"":7,""max_fold_mae_ratio_vs_b1"":1.453058631496,""median_fold_mae_ratio_vs_b1"":1.132551592142,""pooled_mae"":6.568353118208,""pooled_mae_ratio_vs_b1"":1.040779126807,""rolling_folds"":11}",
Z05_gaussian_gee,gaussian_gee,b6_cpu,PREREGISTERED_CANDIDATE,REJECTED_TEMPORAL_SCREEN,False,False,"{""all_11_folds_complete"":true,""all_inner_selections_passed_guardrails"":false,""finite_exact_predictions"":true,""median_mae_within_10_percent_b1"":true,""no_fold_exceeds_2x_b1"":true,""no_worker_or_convergence_failure"":true,""pooled_mae_within_10_percent_b1"":true}","{""inner_selection_rejected_folds"":1,""max_fold_mae_ratio_vs_b1"":1.229724114742,""median_fold_mae_ratio_vs_b1"":1.077435838989,""pooled_mae"":6.338309250271,""pooled_mae_ratio_vs_b1"":1.004327850256,""rolling_folds"":11}",
Z06_hist_gradient_boosting,hist_gradient_boosting,b6_cpu,PREREGISTERED_CANDIDATE,REJECTED_TEMPORAL_SCREEN,False,False,"{""all_11_folds_complete"":true,""all_inner_selections_passed_guardrails"":false,""finite_exact_predictions"":true,""median_mae_within_10_percent_b1"":true,""no_fold_exceeds_2x_b1"":true,""no_worker_or_convergence_failure"":true,""pooled_mae_within_10_percent_b1"":true}","{""inner_selection_rejected_folds"":1,""max_fold_mae_ratio_vs_b1"":1.28007743835,""median_fold_mae_ratio_vs_b1"":1.056978226106,""pooled_mae"":6.166274604993,""pooled_mae_ratio_vs_b1"":0.977068343242,""rolling_folds"":11}",
Z07_quantile_hist_gradient_boosting,quantile_hist_gradient_boosting,b6_cpu,PREREGISTERED_CANDIDATE,REJECTED_TEMPORAL_SCREEN,False,False,"{""all_11_folds_complete"":true,""all_inner_selections_passed_guardrails"":false,""finite_exact_predictions"":true,""median_mae_within_10_percent_b1"":false,""no_fold_exceeds_2x_b1"":true,""no_worker_or_convergence_failure"":true,""pooled_mae_within_10_percent_b1"":true}","{""inner_selection_rejected_folds"":4,""max_fold_mae_ratio_vs_b1"":1.607707637902,""median_fold_mae_ratio_vs_b1"":1.186238554186,""pooled_mae"":6.562835657059,""pooled_mae_ratio_vs_b1"":1.039904865285,""rolling_folds"":11}",
