conflict_id,topic,value_a,value_b,source_ids,vn_ids,resolution,status,confidence,locators,scope,scale,notes,quote_vn_id
MCF-01,первый цикл нивелирования линии №8 (СКРУ-2),01.08.1991 (текст p.53: ~106 циклов 1991–2021),01.08.97 — первая эпоха легенды рис. 2.10 (13 эпох),VKM-SRC-012,EV-VN-S012-0247; EV-VN-S012-0242,OPEN: рисунок показывает выборку эпох; первая дата наблюдений по тексту 1991 — хранить обе,FACT,HIGH,VKM-SRC-012 p53; VKM-SRC-012 p52,SKRU2,NOT_APPLICABLE,оба значения сохранены; усреднение запрещено,EV-VN-S012-0247
MCF-02,начало наблюдений и период данных на профильной линии №1 (м/ш целик СКРУ-1–СКРУ-2),наблюдения с 1977 г. (p.34),данные только по 30 реперам с 2003 г. (p.57); на рис. 2.8 эпохи с 09.08.00; рис. 4.8 — эпохи ≈1980–2020,VKM-SRC-012,EV-VN-S012-0170; EV-VN-S012-0279; EV-VN-S012-0240; EV-VN-S012-0561,OPEN: разные подмножества/представления одной линии; нулевая эпоха не указана,FACT,HIGH,VKM-SRC-012 p34; VKM-SRC-012 p57; VKM-SRC-012 p51; VKM-SRC-012 p103,SKRU1_SKRU2,NOT_APPLICABLE; FIELD,оба значения сохранены; усреднение запрещено,EV-VN-S012-0170
MCF-03,"согласие линий №3 (ПНИПУ, II класс) и №23 (Уралкалий, IV класс) на одном створе",«практически полное соответствие»: ~85 мм (2012–2020) vs max 82 мм (2009–2020) (p.48–49),"систематическое среднее расхождение ~20 мм, Уралкалий меньше (p.50, рис. 2.6)",VKM-SRC-012,EV-VN-S012-0232; EV-VN-S012-0234; EV-VN-S012-0235,KEEP BOTH: разные базовые эпохи/периоды; смещение между производителями — компонент модели ошибок наблюдения,FACT,HIGH,VKM-SRC-012 p48; VKM-SRC-012 p49; VKM-SRC-012 p50,SKRU2,NOT_APPLICABLE,оба значения сохранены; усреднение запрещено,EV-VN-S012-0232
MCF-04,максимальное оседание по линии №3 2012–2020,"≤90 мм (текст p.44, сглаженные данные, район целика)","≈−95…−97 мм в зоне 3ЮВ/4ЮВ СКРУ-2 (рис. 2.2, графическое чтение)",VKM-SRC-012,EV-VN-S012-0217; EV-VN-S012-0222,KEEP BOTH: текст относится к целику/сглаженным значениям; график — к другой зоне,FACT,MEDIUM,VKM-SRC-012 p44; VKM-SRC-012 p46,SKRU2,NOT_APPLICABLE,оба значения сохранены; усреднение запрещено,EV-VN-S012-0217
MCF-05,"коэффициент корреляции InSAR–нивелирование, линия №5 (Соликамск, 2011)","0,913 (текстовый слой)","0,95 (рисунок, визуально)",VKM-SRC-001,EV-VN-S001-0041,"RESOLVED VISUALLY: 0,95 (VCHK-ML-03); 0,913 — ошибка текстового слоя",FACT,HIGH,VKM-SRC-001 p13,VKM_REGIONAL,FIELD,оба значения сохранены; усреднение запрещено,EV-VN-S001-0041
MCF-06,период InSAR-данных по АГКМ (аналог вне ВКМ),2008–2010 (подпись рис. 1),10.2004–09.2010 (легенда рис. 2),VKM-SRC-001,EV-VN-S001-0031; EV-VN-S001-0030,OPEN,FACT,HIGH,VKM-SRC-001 p11,NON_VKM,NOT_APPLICABLE; FIELD,оба значения сохранены; усреднение запрещено,EV-VN-S001-0031
MCF-07,скорость в новой области оседаний Березников (2021),"до 75 мм/год, локально до 100 мм/год (аннотация)",100–125 мм/год на отдельных участках (p.9),VKM-SRC-004,EV-VN-S004-0004; EV-VN-S004-0057,KEEP BOTH,FACT,HIGH,VKM-SRC-004 p1; VKM-SRC-004 p9,OTHER_VKM_SITE,FIELD,оба значения сохранены; усреднение запрещено,EV-VN-S004-0004
MCF-08,дата окончания серии TerraSAR-X 2021 (Березники),08.10.2021 (таблица дат),08.11.2021 (текст),VKM-SRC-004,EV-VN-S004-0026; EV-VN-S004-0027,OPEN (таблица визуально подтверждена; SRC-003 тоже даёт 08.10.2021),FACT,MEDIUM,VKM-SRC-004 p5,OTHER_VKM_SITE,FIELD,оба значения сохранены; усреднение запрещено,EV-VN-S004-0026
MCF-09,длительность наблюдений здания №39 (гидростатика),6 лет (текст),"7,0 лет (табл. 1)",VKM-SRC-017,EV-VN-S017-0030; EV-VN-S017-0023,KEEP BOTH,FACT,HIGH,VKM-SRC-017 p5; VKM-SRC-017 p4,OTHER_VKM_SITE,FIELD,оба значения сохранены; усреднение запрещено,EV-VN-S017-0030
MCF-10,номер здания на рис. 3 (гидростатика),«Здание № 34» (текст),здание 36 (подпись рис. 3 и табл. 1),VKM-SRC-017,EV-VN-S017-0028,OPEN,FACT,HIGH,VKM-SRC-017 p5,OTHER_VKM_SITE,FIELD,оба значения сохранены; усреднение запрещено,EV-VN-S017-0028
MCF-11,число датчиков гидростатической системы,"4–16 датчиков на контур (EV-MON-0089, прежний дайджест)",6–16 на здание (текст и табл. 1),VKM-SRC-017,EV-VN-S017-0017; EV-VN-S017-0023,CORRECTION: табл. 1 не поддерживает 4–16 на контур,FACT,HIGH,VKM-SRC-017 p3; VKM-SRC-017 p4,OTHER_VKM_SITE,FIELD,оба значения сохранены; усреднение запрещено,EV-VN-S017-0017
MCF-12,"диапазон 13-суточных смещений (Старобин, аналог)",−9…+4 см (p.5),"−8,7…+3,2 см (выводы p.8); «до 9 / до 5 см» (p.9); легенда до −11 см",VKM-SRC-009,EV-VN-S009-0027; EV-VN-S009-0039; EV-VN-S009-0045,KEEP ALL (источник неоднозначен),FACT,HIGH,VKM-SRC-009 p5; VKM-SRC-009 p8; VKM-SRC-009 p11,OTHER_POTASH_SITE,FIELD; NOT_APPLICABLE,оба значения сохранены; усреднение запрещено,EV-VN-S009-0027
MCF-13,пересчёт LOS → вертикаль,"× cos θ (Старобин, как напечатано)",÷ cos θ при допущении чисто вертикального движения (стандартная геометрия; «субвертикальные» смещения ИФЗ РАН),VKM-SRC-009; VKM-SRC-003,EV-VN-S009-0023; EV-VN-S009-0024; EV-VN-S003-0122,OPEN (методическая заметка); оператор WorldSpec должен явно задавать проекцию,FACT,MEDIUM,VKM-SRC-009 p4; VKM-SRC-003 p35,OTHER_POTASH_SITE; GENERAL_METHOD; VKM_REGIONAL,NOT_APPLICABLE,оба значения сохранены; усреднение запрещено,EV-VN-S009-0023
MCF-14,единица скорости оседания солеотвалов (Старобин),"~5 м в год (напечатано, визуально подтверждено)",мм/год (единица в прежнем дайджесте EV-MON-0120),VKM-SRC-009,EV-VN-S009-0003; EV-VN-S009-0004,RESOLVED VISUALLY: м/год (без ссылки на первоисточник); к оседанию над выработками не относится,FACT,HIGH,VKM-SRC-009 p1,OTHER_POTASH_SITE,NOT_APPLICABLE,оба значения сохранены; усреднение запрещено,EV-VN-S009-0003
MCF-15,точность InSAR: несопоставимые характеристики,PS: точность средней скорости — первые мм/год (обзор),"предел точности 10–15 мм для зданий (SRC-017); СКО 10,7 мм vs нивелирование II кл. (линия №5, 2011); фон ±1 см за 13 сут (Старобин); «миллиметровая точность» (заявления без данных)",VKM-SRC-003; VKM-SRC-017; VKM-SRC-001; VKM-SRC-009,EV-VN-S003-0079; EV-VN-S017-0008; EV-VN-S001-0041; EV-VN-S009-0040; EV-VN-S009-0042,KEEP ALL: разные величины (скорость/смещение/расхождение с нивелированием); не усреднять,FACT,HIGH,VKM-SRC-003 p24; VKM-SRC-017 p2; VKM-SRC-001 p13; VKM-SRC-009 p9; VKM-SRC-009 p10,GENERAL_METHOD; OTHER_VKM_SITE; VKM_REGIONAL; OTHER_POTASH_SITE,NOT_APPLICABLE; FIELD,оба значения сохранены; усреднение запрещено,EV-VN-S003-0079
MCF-16,ошибка восстановления вертикали по двум орбитам,≤10 мм (выводы),≤35 мм при максимуме 700 мм (§4.2.4 p.93),VKM-SRC-003,EV-VN-S003-0402; EV-VN-S003-0401,KEEP BOTH (абсолютная vs относительная формулировка),FACT,HIGH,VKM-SRC-003 p115,GENERAL_METHOD,NOT_APPLICABLE; CALIBRATED_EFFECTIVE_MODEL,оба значения сохранены; усреднение запрещено,EV-VN-S003-0402
MCF-17,длина волны Sentinel-1,"5,55 см (табл. 1.1)","5,6 см (p.28); 6 см (учебник)",VKM-SRC-003; VKM-SRC-006,EV-VN-S003-0091; EV-VN-S006-0019,KEEP (округления),FACT,HIGH,VKM-SRC-003 p28; VKM-SRC-006 p10,GENERAL_METHOD,NOT_APPLICABLE,оба значения сохранены; усреднение запрещено,EV-VN-S003-0091
MCF-18,ГСЗГШ (аналог): оседание репера 14.1,−25 мм (табл. Пр.8),−32 мм (рис. 25),VKM-SRC-024,EV-VN-S024-0455; EV-VN-S024-0220,KEEP BOTH,FACT,HIGH,VKM-SRC-024 p154; VKM-SRC-024 p82,OTHER_POTASH_SITE,FIELD,оба значения сохранены; усреднение запрещено,EV-VN-S024-0455
MCF-19,"ГСЗГШ (аналог): какая величина ±7·10⁻³ (интервалы 4.3–5.3, 5.3–6.3)",горизонтальная деформация ε (текст p.81),подколонка 2 = «наклоны i» по порядку столбцов табл. Пр.8,VKM-SRC-024,EV-VN-S024-0460; EV-VN-S024-0457,OPEN,FACT,MEDIUM,VKM-SRC-024 p156,OTHER_POTASH_SITE,NOT_APPLICABLE; FIELD,оба значения сохранены; усреднение запрещено,EV-VN-S024-0460
MCF-20,приборы маркшейдерской службы Гремячинского ГОКа (аналог),"TS-16/TS-15/TS-06, NA532, GRP121 (основной текст)","TS16(1""), TS07(5""), NA520, GPR111, GX1220, P20 (приложение)",VKM-SRC-024,EV-VN-S024-0450; EV-VN-S024-0449; EV-VN-S024-0086,KEEP BOTH,FACT,HIGH,VKM-SRC-024 p150; VKM-SRC-024 p33,OTHER_POTASH_SITE,NOT_APPLICABLE,оба значения сохранены; усреднение запрещено,EV-VN-S024-0450
