idc_id,tier,phenomenon_class,phenomenon,mechanism_causal_path,location_scale,site_scope,quantitative_evidence,linked_mech_rows,linked_rheo_rows,causal_relevance,evidence_strength,status,evidence_type,source_id,locator,vn_ids,prev_evidence_ids,extraction_method,confidence,applicability_SKRU1,notes
MR-IDC-0001,A_SYNTHESIS,clay_interlayer_mechanics,Clay interlayers reduce strength and stiffness of salt specimens (composite КрII sylvinite + pressed МГ clay),"single mid-height interlayer: −20 % strength; interlayer at end faces (contact with platen): strength ≈4× lower; total interlayer thickness ~13 mm: −70 %; stabilisation at 0,3–0,4 σсж when interlayers ≈15–20 % of height; Kс(δс) law (4.12) αс = 0,86, βс = 0,7281; normative Указания curve coincides for small hг/h and differs ≈2× at hг/h = 0,2",specimen (LAB) → implication for pillars,VKM_REGIONAL,"40 + 11 composite specimens, hг 2,5–13,0 мм, 3 мм interlayers, 1–5 interlayers",interface rows VKM-SRC-025 pp.113-120 (Табл. 4.6-4.8),,DIRECT: clay interlayers reduce pillar/interseam bearing capacity and stiffness → higher loading degree C → faster pillar creep → faster subsidence; also control roof delamination; clay at pillar–roof/floor contacts is much more detrimental than inside the pillar,LAB (51 specimens),FACT,LAB_TEST,VKM-SRC-025,"§4.4 pp.111-120, Табл. 4.6-4.8, eq. (4.12), Рис. 4.17",EV-VN-S025-0634;EV-VN-S025-0651;EV-VN-S025-0588;EV-VN-S025-0611;EV-VN-S025-0631;EV-VN-S025-0639;EV-VN-S025-0652;EV-VN-S025-0655;EV-VN-S025-0654;EV-VN-S025-0635;EV-VN-S025-0404,,OCR_VISUALLY_CONFIRMED,HIGH,VKM_REGIONAL LAB; transfer to real pillar geometry is an open question (EV-VN-S025-0656),Conflict with normative curve kept (see mech_rheo_conflicts.csv).
MR-IDC-0002,A_SYNTHESIS,clay_interlayer_mechanics,Pillar bearing capacity reduction by clay interlayers (model + normative factor),"FE: the three lowest clay interlayers dominate the reduction of pillar bearing capacity; relative loading degree c = Cгл/Cод; normative factor K3 = k3(m/mпр) in pillar capacity (8.125); clay moisture reduces clay stiffness 1,5–2×",pillar (MODEL/NORMATIVE),VKM_REGIONAL,"Σ hгл = 0,44 м (5 interlayers, example); clay-increase of load degree rows; K3 curve",interface rows VKM-SRC-033 pp.1-4; VKM-SRC-037 p.167 (pillar_clay_capacity_factor),,DIRECT: clay interlayers reduce pillar/interseam bearing capacity and stiffness → higher loading degree C → faster pillar creep → faster subsidence; also control roof delamination,"MODEL (FE, Барях–Ломакин 2011) + NORMATIVE",DERIVATION,CALCULATED_BY_AUTHOR,VKM-SRC-033; VKM-SRC-037,"SRC-033 pp.1-4 eq.(1), Рис. 3, 5; SRC-037 §8.4 p.166-167 (8.125)",EV-VN-S033-0003;EV-VN-S033-0004;EV-VN-S033-0005;EV-VN-S033-0015;EV-VN-S033-0016;EV-VN-S033-0024;EV-VN-S037-0884;EV-VN-S037-0898,EV-MIN-1060;EV-MIN-1061;EV-MIN-1064;EV-MIN-1065;EV-MIN-1068;EV-MIN-1339;EV-MIN-1350,OCR_VISUALLY_CONFIRMED/TEXT_LAYER/VISUAL_READ,HIGH,method VKM_REGIONAL; SKRU-1 clay-interlayer geometry per panel UNKNOWN,"[fix 26.09 global rule] status FACT→DERIVATION: model/normative calculations of the sources, not observations"
MR-IDC-0003,A_SYNTHESIS,bedding_contact_slip_delamination,"Bedding contacts are the weakest link of the layered salt massif: shear softening, dilatancy, rate dependence, tension (lab)","three-segment piecewise-linear shear law (5.3) with Coulomb peak/residual envelopes (5.4); τp/τ* ≈ 2 decreasing with σ; dilatancy law (5.10)-(5.12) b = 1,6…2,0 at σc = 15,0…17,5 МПа; contact tensile strength 1,5× lower; strength reduction 1,5–2,0× due to contact; asperity angle 4°<α<8°; rate-dependent τp (5.13)",specimen (LAB),VKM_REGIONAL,"contact shear parameter sets Табл. 5.1-5.3 (σ = 0; 2,5; 5,0 МПа)",interface rows VKM-SRC-025 pp.131-148,MR-RHEO-N03,DIRECT/INDIRECT: slip and separation on bedding contacts change overburden bending stiffness and time-dependent roof/interseam deformation (surface trough shape and delay),LAB (direct shear + triaxial ВНИМИ БВ-21),FACT,LAB_TEST,VKM-SRC-025,"Гл. 5 pp.131-148, eqs (5.1)-(5.13)",EV-VN-S025-0706;EV-VN-S025-0707;EV-VN-S025-0708;EV-VN-S025-0726;EV-VN-S025-0727;EV-VN-S025-0729;EV-VN-S025-0731;EV-VN-S025-0758;EV-VN-S025-0763;EV-VN-S025-0766;EV-VN-S025-0770;EV-VN-S025-0779;EV-VN-S025-0786;EV-VN-S025-0787;EV-VN-S025-0788;EV-VN-S025-0789;EV-VN-S025-0795;EV-VN-S025-0797;EV-VN-S025-0799,EV-RMR-0940;EV-RMR-0941;EV-RMR-0943;EV-RMR-0944;EV-RMR-0946,OCR_VISUALLY_CONFIRMED/VISUAL_READ,HIGH,VKM_REGIONAL LAB; normal stresses ≤5 МПа,v1 contact-model transcription errors (5.6)-(5.10) corrected by the sweep (EV-VN-S025-0796).
MR-IDC-0004,A_SYNTHESIS,bedding_contact_slip_delamination,Time-dependent slip (creep) on thin clay contacts above a threshold τн = σ·tgφн,"creep only when τ > σ·tgφн (tgφн = 0,43); Abel-kernel creep α = 0,7, δ = 0,013 с^(α−1) (unit doubt); creep rate ↑ with τ and ↓ with σ; onset coincides with plastic deformation on the contact diagram",specimen (LAB),VKM_REGIONAL,"3 specimens, σ 0,3–0,7 МПа, τ 0,15–0,70 МПа, ≈33 сут",rheology_param rows VKM-SRC-025 pp.149-150,MR-RHEO-N02,DIRECT/INDIRECT: slip and separation on bedding contacts change overburden bending stiffness and time-dependent roof/interseam deformation (surface trough shape and delay); source: undermined layered massif carries long-term high shear on contacts,LAB (3 specimens),FACT,LAB_TEST,VKM-SRC-025,§5.5 pp.149-151,EV-VN-S025-0825;EV-VN-S025-0909;EV-VN-S025-0820;EV-VN-S025-0826;EV-VN-S025-0833,,OCR_VISUALLY_CONFIRMED/VISUAL_READ,HIGH,LAB interface law; massif normal stresses far higher → extrapolation unverified,"[fix 26.09 D-01] evidence_type MODEL_CALIBRATED→LAB_TEST: the threshold creep of clay contacts is observed in 3 lab tests (FACT); the law parameters α, δ, tgφн are the author's lab-curve fit (DERIVATION, MR-RHEO-N02) Visual re-check p.149-151 done (see visual_rechecks.csv)."
MR-IDC-0005,A_SYNTHESIS,roof_failure,"Roof slab separation (заколы, отслоения) and falls (вывалы) along clay partings («коржи») in workings and stopes; staged roof caving at СКПРУ-1..3, БКПРУ-1","time-dependent roof sag (creep) of layered roof with clay partings → critical displacement Uкр = 0,1045 Lр exp(−0,256 Σmi/n) → separation of the first «корж»; for СКПРУ-1, -2, -3 and БКПРУ-1 staged simultaneous collapse of a pack of layers along thick (1–5 см) clay partings up to h′ = 0,7a, increasing chamber/pillar height (C 0,4 instead of 0,3); separation of the first and even second «корж» is NOT loss of stope stability (normative)",working/chamber (FIELD experience + NORMATIVE),VKM_REGIONAL (explicitly incl. СКПРУ-1),"clay partings 1–5 см; h′ = 0,7a; zone h = 0,7Lр","roof_caving_mode, roof_layer_* rows VKM-SRC-037 p.169",MR-RHEO-N22; MR-RHEO-N27; MR-RHEO-CL-04,"INDIRECT/LOCAL: roof falls change effective span and fill chambers with bulked rock (reduces void convergence); primarily workings stability; changes effective extraction height → pillar loading degree (C 0,3 → 0,4 per source)",FIELD experience statement for named mines + NORMATIVE,FACT,NORMATIVE,VKM-SRC-037; VKM-SRC-014; VKM-SRC-020; VKM-SRC-028; VKM-SRC-040,"SRC-037 §8.4.3 p.169 (printed 336), §6.2 p.89; SRC-014 §7.2 pp.185-186; SRC-020 pp.23-24, 76, 250",EV-VN-S037-0919;EV-VN-S037-0920;EV-VN-S037-0908;EV-VN-S037-0558;EV-VN-S014-1044;EV-VN-S014-1045;EV-VN-S014-1046;EV-VN-S020-0159;EV-VN-S020-0227;EV-VN-S020-0434;EV-VN-S028-0190;EV-VN-S040-0347;EV-VN-S037-1003,EV-MIN-0232;EV-MIN-1359;EV-RMR-1174,OCR_VISUALLY_CONFIRMED/TEXT_LAYER/VISUAL_READ,HIGH,SKRU-1 named in the staged-caving statement → direct relevance; roof-layer geometry per panel UNKNOWN,"[fix 26.09 COVERAGE_DUPLICATES-008] source_id += VKM-SRC-028, VKM-SRC-040 (sources of vn_ids used as evidence)"
MR-IDC-0006,A_SYNTHESIS,clay_interlayer_mechanics,"Weak interlayer near a working accelerates convergence; effect vanishes beyond (0,7–1,0)Lр","weak interlayer within the pressure arch h = 0,7Lр reduces interlayer cohesion → convergence rate ↑ (lateral ×2, roof–floor ×12–15) → shorter time of stable state; interlayer at ≥(0,7–1,0)Lр practically no influence; rule Σmi/n < 3 in roof and floor","working (empirical, «установлено»)",VKM_REGIONAL,convergence factors 2 and 12–15; weak-interlayer content M = (mк+mп+mб)/(hк+hп+2hв)·100 %,convergence_rate_factor row VKM-SRC-037 p.104,MR-RHEO-N16; MR-RHEO-N17,DIRECT: clay interlayers reduce pillar/interseam bearing capacity and stiffness → higher loading degree C → faster pillar creep → faster subsidence; also control roof delamination (workings scale),EMPIRICAL (data not printed),FACT,INTERPRETATION,VKM-SRC-037,§6.8 pp.104-105 (printed 207-209),EV-VN-S037-0645;EV-VN-S037-0646;EV-VN-S037-0639;EV-VN-S037-0643;EV-VN-S037-0642,,OCR_VISUALLY_CONFIRMED,HIGH,VKM regional rule,
MR-IDC-0007,A_SYNTHESIS,interseam_failure,Interseam (междупластье) delamination/failure in multi-seam mining and its effect on subsidence,"load Qмп vs capacity Pмп → Cмп; Cмп ≤ 0,2 stable; above → steady creep (7.34) until ε*мп = 0,3hмп/min(a1,a2) → delamination; misaligned (non-coaxial) chambers → interseam failure and upper pillar punching into the lower chamber; field: interseam failure 1984–85 → sharp increase of surface subsidence rates over block 129 (profile line since 1968); BKPRU-4 site: interseam stable, delamination ≤ 20 мм; interseam failure redistributes load on pillars",interseam/panel (FIELD + NORMATIVE + MODEL),VKM_REGIONAL; block 129 site UNSTATED; BKPRU4,"Cмп 0,2 threshold; ε* 0,3hмп/min(a); delamination ≤20 мм (BKPRU4); worked example SKRU-3 16,78→15,74 yr",interseam_delamination row VKM-SRC-034 p.2; normalized_shear_stress_intensity VKM-SRC-032,MR-RHEO-CL-03; MR-RHEO-N24,"DIRECT (multi-seam): interseam failure transfers load between seams, increases effective extraction height and pillar height → loading degree ↑; the only field-documented subsidence-rate jump caused by interseam failure (block 129)","FIELD (block 129, BKPRU-4) + NORMATIVE + MODEL",FACT,FIELD_OBSERVATION,VKM-SRC-014; VKM-SRC-021; VKM-SRC-032; VKM-SRC-034; VKM-SRC-040; VKM-SRC-016; VKM-SRC-020,SRC-014 §7.3 pp.193-197; SRC-021 p.3; SRC-032 pp.3-5; SRC-034 p.2; SRC-040 p.141; SRC-016 p.3,EV-VN-S014-1070;EV-VN-S014-1069;EV-VN-S014-1071;EV-VN-S014-1078;EV-VN-S014-1088;EV-VN-S021-0033;EV-VN-S032-0019;EV-VN-S032-0022;EV-VN-S032-0028;EV-VN-S034-0019;EV-VN-S034-0020;EV-VN-S040-0362;EV-VN-S040-0363;EV-VN-S016-0016;EV-VN-S020-0142,EV-MIN-0241;EV-MIN-0242;EV-MIN-0243;EV-MIN-0246;EV-MIN-0251;EV-MIN-0283;EV-MIN-1031;EV-MIN-1047;EV-MIN-1086;EV-RMR-1161;EV-RMR-1163;EV-RMR-1182;EV-SYN-0023,OCR_VISUALLY_CONFIRMED/TEXT_LAYER,HIGH,SKRU-1 mines АБ + КрII (and Вк) → multi-seam relevance; SKRU-1 interseam thicknesses per panel needed; block 129 attribution to a mine UNSTATED,[fix 26.09 COVERAGE_DUPLICATES-008] source_id += VKM-SRC-020 (sources of vn_ids used as evidence) SRC-021 block 129 lies in the same zoning example as panels 129/2 ЮЗП and 1 ЮВП–159 (mine not named in the extracted text).
MR-IDC-0008,A_SYNTHESIS,pillar_failure_progressive_creep,Pillar regimes: rigid vs yielding; transition to progressive (tertiary) creep at critical strain; damage accumulation,"«жёсткие» parameters: pillars do not deform or deform without loss of bearing capacity and without progressive creep; «податливые»: designed by deformation up to a critical value after which pillars enter progressive creep; field: constant pillar strain rate and subsidence rate before critical strain (~5 %), damage growth → strength loss → accelerating creep; ε⊥/ε∥ = 1,6",pillar (FIELD + NORMATIVE),VKM_REGIONAL; BKPRU4 + unnamed site,"C = 0,32 and 0,4 (site 1, 7 yr); ε_crit ≈ 5 %; pillar longitudinal strain 1,6–2,8 % (АБ), 4,1–5,0 % (КрII)",pillar_longitudinal_strain rows VKM-SRC-034,MR-RHEO-N26; MR-RHEO-N28,"DIRECT: pillar creep/failure regime (rigid vs yielding, tertiary creep) governs the rate and possible acceleration of surface subsidence",FIELD (one site 7 yr + one site 2010–2022) + NORMATIVE,FACT,FIELD_OBSERVATION,VKM-SRC-037; VKM-SRC-034; VKM-SRC-023; VKM-SRC-016,SRC-037 §8.4 p.166; SRC-034 pp.1-4; SRC-023 p.36,EV-VN-S037-0878;EV-VN-S037-0879;EV-VN-S037-0545;EV-VN-S034-0020;EV-VN-S034-0021;EV-VN-S034-0029;EV-VN-S034-0041;EV-VN-S023-0175;EV-VN-S023-0201;EV-VN-S016-0017,EV-MIN-0291;EV-MIN-0299;EV-MIN-0300;EV-MIN-0301;EV-MIN-1086;EV-MIN-1087;EV-MIN-1093;EV-MIN-1335,DOCX_TEXT/OCR_VISUALLY_CONFIRMED/TEXT_LAYER,HIGH,regime concept applies to SKRU-1 pillars (КрII yielding / АБ rigid in the SRC-037 example on p.110 for БКПРУ-2); SKRU-1 regime per panel UNKNOWN,[fix 26.09 COVERAGE_DUPLICATES-008] source_id += VKM-SRC-016 (sources of vn_ids used as evidence)
MR-IDC-0009,A_SYNTHESIS,pillar_failure_progressive_creep,"1995 mass sudden collapse of pillars at СКРУ-2 (1-2 СВП) next to the СКРУ-1–СКРУ-2 intermine pillar: Solikamsk earthquake Ms = 4,2, 4,5 m surface drop, trough 650×850 m, sinkholes","mass (dynamic) failure of interchamber pillars at C ≈ 0,32–0,36 in a lithological transition (seam В sylvinite ↔ carnallite) zone with elevated gas content and reduced strength → roof collapse of working seams → technogenic earthquake → 4,5 m subsidence, open cracks at trough edge; later subsidence reached the southern boundary of the СКРУ-1–СКРУ-2 pillar; the part of the СКРУ-1–СКРУ-2 pillar next to the 1995 sinkhole (which kept developing) is, per the author, very strongly weakened; this weakening is NOT included in the FE calculations of VKM-SRC-012 (p.113; left for a separate study)",panel / mine field / surface (FIELD),SKRU2 (adjacent to SKRU1),"date 1995-01-05 12:46; Ms 4,2; subsidence 4,5 м; trough 650×850 м; C ≈ 0,32–0,36",,,"DIRECT (catastrophic regime analogue at the SKRU-1 boundary): shows that pillars designed as rigid (C ≈ 0,32–0,36) can fail dynamically in transition/weak zones → sudden subsidence of metres","FIELD_OBSERVED (seismology + surveying), cited",FACT,FIELD_OBSERVATION,VKM-SRC-012; VKM-SRC-023; VKM-SRC-025; VKM-SRC-011,"SRC-012 pp.31-34, 113; SRC-023 p.36; SRC-025 p.169; SRC-011 p.32",EV-VN-S012-0142;EV-VN-S012-0146;EV-VN-S012-0147;EV-VN-S012-0155;EV-VN-S012-0158;EV-VN-S012-0286;EV-VN-S012-0600;EV-VN-S012-0687;EV-VN-S023-0177;EV-VN-S025-0936;EV-VN-S011-0571,EV-GEO-0190;EV-GEO-0191;EV-MIN-0012;EV-MIN-0014;EV-MIN-0015;EV-MIN-0301;EV-SYN-0018,DOCX_TEXT/OCR_VISUALLY_CONFIRMED/TEXT_LAYER/VISUAL_READ,HIGH,"NOT SKRU-1 (neighbour mine), but spatially adjacent: boundary condition / hazard prior for the southern SKRU-1 field","[fix 26.09 TRANSFER-022] mechanism text corrected: the pillar weakening next to the 1995 sinkhole is a qualitative statement of the author, not a part of the FE model (p.113). C range from a student thesis citing [27] (secondary)."
MR-IDC-0010,A_SYNTHESIS,flooding_dissolution_sinkhole,СКРУ-2 sinkholes 2014 and 2018 and fresh-water inflow since 2014; distance ≈800 m to the СКРУ-1–СКРУ-2 pillar; forecast of new sinkholes 400–450 m NW,ВЗТ breach → supra-salt water inflow (reduced to 100–500 м³/сут) → dissolution → sinkholes; backfilling interrupted after 2014/2018 sinkholes; forecast new sinkholes NW of existing ones (towards SKRU-1),mine field / surface (FIELD),SKRU2,inflow 100–500 м³/сут; ≈800 м to pillar; forecast 400–450 м NW,,,DIRECT for catastrophic regime (flooding/dissolution/sinkholes); NOT the normal SKRU-1 regime unless evidence of inflow; hazard directed towards the SKRU-1–SKRU-2 pillar,FIELD_OBSERVED (cited),FACT,FIELD_OBSERVATION,VKM-SRC-012; VKM-SRC-021; VKM-SRC-040; VKM-SRC-023,"SRC-012 pp.33-34, 44; SRC-021 p.2; SRC-040 p.36; SRC-023 p.10",EV-VN-S012-0159;EV-VN-S012-0167;EV-VN-S012-0174;EV-VN-S012-0215;EV-VN-S012-0216;EV-VN-S021-0012;EV-VN-S040-0100;EV-VN-S023-0025,EV-GEO-0355;EV-MIN-0015;EV-MIN-0021;EV-MIN-0287;EV-MON-0019,DOCX_TEXT/TEXT_LAYER,HIGH,neighbour mine; relevant as boundary hazard for SKRU-1,Dates of SKRU-2 inflow differ between sources (2006 and 2014 in SRC-023) — see conflicts.
