id,repo,path,issue_type,severity,evidence,proposed_fix
RPR-001,PRIVATE,10_physics_evidence/physical_evidence_v1/manifest.json; scripts/build_manifest.py,MANIFEST_FAILS_ON_CLEAN_CLONE,HIGH,"validate_physical_evidence.py --report <outside> on clean worktree of 9e4bf11: status FAIL, 4 hard errors V20 'manifest lists missing file .pytest_cache/{.gitignore,CACHEDIR.TAG,README.md,v/cache/nodeids}'. Committed validation_report.json says PASS (produced on a dirty tree). build_manifest.py enumerates PKG.rglob('*') on disk, not git ls-files; manifest n_files=1371 vs 1367 committed package files. With --no-manifest-check the validator PASSes (0 hard errors, 3 warnings).","build_manifest.py and validator V20: enumerate files via `git ls-files -- <pkg>` (fallback: skip .pytest_cache and any git-ignored path); run_pipeline.sh: pytest with -p no:cacheprovider; add .pytest_cache/ to .gitignore; regenerate manifest.json in the local phase (text-only commit, no LFS)."
RPR-002,PRIVATE,.gitattributes,CRLF_BREAKS_HASHES_ON_WINDOWS,HIGH,"No text/eol policy at all (only LFS lines). Index: 1222 LF, 63 CRLF, 64 mixed text files, all hashed by manifest/V23/V26/V27. Simulated Git-for-Windows checkout (git -c core.autocrlf=true worktree add): validator FAIL with 1462 hard errors (V23 'historical file modified' x241, V20 manifest hash mismatch x238+, V26 x12, V27 lock violations x9); README.md becomes CRLF, *.sh would get CRLF. User workstation is Windows (E:\Диплом). Fix verified: same simulated autocrlf checkout with an extra attributes file containing `* -text` -> README.md stays LF and the validator reports only the 4 known V20 .pytest_cache errors (identical to Linux).","Prepend to PRIVATE .gitattributes: `* -text` (byte-exact checkout for every file; the existing LFS lines below keep filter=lfs). This is the only option that preserves CRLF/mixed CSVs without renormalization; index bytes do not change, so no hashes move. Optionally add `*.sh text eol=lf` only for files not hash-pinned."
RPR-003,PRIVATE,.gitignore,IGNORE_GAPS_VENV_CACHE,HIGH,"git check-ignore: .venv-ogs/, .venv-research/, .pytest_cache/, .tmp_fetch/, 00_registry/GITHUB_BOOTSTRAP_HASHES.csv are NOT ignored. CLAUDE.md provisioning snippet runs `python3 -m venv .venv-ogs` in the repo root; import_remaining_local_only.ps1 and all 3 workflows use `git add -A` -> a venv with non-LFS .so binaries would be committed. .pytest_cache already leaked into manifest.json (see MANIFEST_FAILS_ON_CLEAN_CLONE).","Add `.venv*/`, `.pytest_cache/`, `.tmp_fetch/`, `**/__pycache__/` to PRIVATE .gitignore; change the CLAUDE.md snippet to `python3 -m venv work/.venv-ogs` (as ogs/run_all.sh already expects work/ogs/.venv-ogs)."
RPR-004,BOTH,(cloud network policy) lfs.github.com; PRIVATE local branch claude/practical-volta-l67oia,LFS_UPLOAD_BLOCKED_CLOUD,HIGH,"curl CONNECT lfs.github.com:443 -> 403 (agent proxy recentRelayFailures 2026-09-26T11:28Z). LFS downloads work (52 PRIVATE / 17 PUBLIC objects materialized), uploads do not. PRIVATE local branch claude/practical-volta-l67oia = 292655a diverges from origin/claude/practical-volta-l67oia and holds LFS object bd983e29...(ocr_VKM-SRC-025_037_tesseract_rus_300dpi.zip) that exists only in this VM (`git lfs push --dry-run` lists it). Any commit that stages a file matching LFS patterns (PRIVATE: pdf/zip/7z/rar/docx/xlsx/xls/gpkg/tab/dat/map/id/shp/shx/dbf/tif/tiff/bin/djvu; PUBLIC: zip/xlsx/xls/gpkg/pdf/docx/pt/.../npz and data/scenario_simulation_v2*/**/*.gz) makes the whole push fail at pre-push; pushing with --no-verify/GIT_LFS_SKIP_PUSH would publish pointers without objects and break every clone (filter.lfs.required=true).","Cloud rule: never stage LFS-pattern files (add a pre-commit hook: fail if `git lfs ls-files --staged` is non-empty when running in cloud); commit binaries only from the workstation; do not push local branch claude/practical-volta-l67oia (delete it locally, OCR text already pushed in 75d51ba); regenerate word-confidence TSV on the workstation; document in both CLAUDE.md and DATA_AND_PATH_POLICY_RU.md §5 (already partially)."
RPR-005,PUBLIC,scripts/verify_canonical_repository.py,LFS_POINTER_FALSE_FAIL,MEDIUM,"Worktree checked out with LFS smudge skipped: exit 1, status FAIL, 16 errors kind=hash_or_size on data/scenario_simulation_v2{,_1}/**/*.csv.gz (pointer files hashed instead of payload); no hint about LFS. README/README_FIRST do not mention `git lfs pull`. Materialized worktree: PASS (197 main + 12 private files, 7 manifests, 61 md files).","In check(): if the first bytes are `version https://git-lfs.github.com/spec/v1`, append error kind `lfs_pointer_not_materialized` with hint `git lfs install --local && git lfs pull`; add the LFS step to README.md/README_FIRST.md."
RPR-006,PUBLIC,scripts/verify_canonical_repository.py,EXIT0_WITHOUT_EXTERNAL_CHECK,MEDIUM,"Without VKM_RESOURCES_ROOT and without a sibling resources checkout: status PASS_CORE_EXTERNAL_UNCHECKED, 26 externalized inputs unchecked, exit code 0, while the same payload declares active_external_evidence_required: true.",Add `--require-external` (default on; `--allow-missing-external` for public-only clones) and return non-zero when resources_root is None; print which env var to set.
RPR-007,BOTH,PUBLIC scripts/verify_canonical_repository.py (ACTIVE_EXTERNAL_PREFIX_MAP); PRIVATE 08_data_archives/main_repo_snapshots/**,CROSS_REPO_COUPLING_VIA_DUPLICATES,MEDIUM,"PUBLIC verifier resolves inputs/sources/{primary,supplementary}/* only through PRIVATE 08_data_archives/main_repo_snapshots/inputs_sources/* (12 files hash-checked). These 12 files have the same LFS OIDs as canonical registered paths (e.g. 01006516068.pdf == 02_dissertations/Musikhin_2012_authorabstract.pdf, ВКР_Филатова_М_С.docx == 01_primary_sources/Filatova_VKR_SKRU1.docx, geokniga-02obrabotka.pdf == 01_primary_sources/Musikhin_VKM_radar_interferometry_slides.pdf) and are not in SOURCE_REGISTER.csv.","Change the verifier to resolve an externalized input by sha256 via PRIVATE 00_registry/SOURCE_REGISTER.csv (sha -> canonical_path), then `git rm -r 08_data_archives/main_repo_snapshots` in PRIVATE (removal needs no LFS upload). Keep a mapping table old_name -> VKM-SRC id in the registry."
RPR-008,PUBLIC,scripts/verify_inputs.py; scripts/bootstrap_repo.sh; scripts/bootstrap_repo.ps1,BROKEN_LEGACY_VERIFIER_MUTATES_TREE,MEDIUM,"On scratch worktree: `checked 16, passed 0, failed 16`, exit 1 (5 retired inputs/bootstrap/*.zip from configs/input_manifest.csv + 11 externalized inputs/sources/primary/* from configs/source_manifest.csv). Writes INPUT_VERIFICATION.json into the repo root, which is not git-ignored (`?? INPUT_VERIFICATION.json`). bootstrap_repo.sh/.ps1 call it and print 'Open Codex'. verify_inputs.py itself is hash-pinned by the frozen chain (musikhin_line1 manifest), so it cannot simply be deleted.",Delete bootstrap_repo.sh/.ps1 (not pinned); keep verify_inputs.py bytes frozen but mark historical in docs; add `INPUT_VERIFICATION.json` to .gitignore; in the reset move the whole frozen v2.1 chain (incl. this script) to `legacy` and pin it by SHA only.
RPR-009,PUBLIC,.gitattributes (* text=auto),EOL_NOT_PINNED_FOR_SCRIPTS,MEDIUM,"*.sh, *.js, *.toml, *.txt, .python-version, .gitignore have text=auto without eol (10 files). Simulated Windows checkout (core.autocrlf=true): docs/reset_2026_09/run_kit/localize_paths.sh becomes CRLF -> `set: pipefail: invalid option name`; pyproject.toml CRLF. Hash-pinned files are safe: verifier PASS and tests/world 29 passed on the CRLF checkout (pinned files are -text or eol=lf; PNGs auto-detected binary).","Add `*.sh text eol=lf`, `*.js text eol=lf`, `*.toml text eol=lf`, `*.txt text eol=lf`, `.python-version text eol=lf`, `*.ps1 text eol=crlf`, `*.png binary`. None of these files is hash-pinned; index bytes are already LF, so no renormalization diff."
RPR-010,PUBLIC,.gitattributes,STALE_ATTRIBUTES_RETIRED_PATHS,LOW,"23 path-specific patterns match no tracked file: SKRU1_ACTUAL_DATA_TABLES_v1/**, inputs/**, codex/**, repo_bootstrap/**, docs/user/**, CHANGELOG_v2.md, BUNDLE_MANIFEST.csv, CHECKSUMS.sha256, data/scenario_simulation_v1/** (+2 gz LFS lines), artifacts/data_quality/scenario_simulation_v2/** (x2), artifacts/data_quality/scenario_simulation_v2_freeze/** (x2), scripts/{generate_scenario_v1,audit_scenario_v2,validate_scenario_v2,build_data_foundation_v2_report,finalize_data_foundation_v2,recheck_scenario_v2_release}.py, docs/reports/{DATA_FOUNDATION_V2_RU.html,SCENARIO_SIMULATION_V2_FREEZE_RU.md}.",Prune these lines in the reset commit (bytes of tracked files unaffected); keep generic LFS patterns as a guard; keep -text/-eol lines for every still-tracked hash-pinned path.
