edge_id,from_stage,to_stage,graph,edge_type,relation_ru,lag_as_stated,evidence_vn_ids,source_ids,locators,scope,status,confidence,notes
E001,P01,P02,physical,physical,последовательность онтогенеза,геологическое время,EV-VN-S011-1707,VKM-SRC-011,VKM-SRC-011 p100,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E002,P02,P03,physical,physical,наложение тектонических деформаций на диагенетическую неоднородность,геологическое время,EV-VN-S011-1476; EV-VN-S012-0136,VKM-SRC-011; VKM-SRC-012,VKM-SRC-011 p72; VKM-SRC-012 p30,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E003,P03,P04,physical,physical,разломы/структуры контролируют выщелачивание кровли солей,геологическое время,EV-VN-S011-2033,VKM-SRC-011,VKM-SRC-011 p111,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E004,P01,I01,information,cross,природный объект → открытие (1925),—,EV-VN-S011-0016,VKM-SRC-011,VKM-SRC-011 p4,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E005,I01,I02,information,information,ранние контуры → стадийная разведка,годы–десятилетия,EV-VN-S011-2686,VKM-SRC-011,VKM-SRC-011 p147,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E006,I02,I03,information,information,бурение → керн/описание,при бурении,EV-VN-S011-3502,VKM-SRC-011,VKM-SRC-011 p166,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E007,I03,I04,information,information,керн/монолиты → лабораторные испытания,7–10 сут до изготовления образцов; испытания до ~40 сут,EV-VN-S025-0215; EV-VN-S025-0841,VKM-SRC-025,VKM-SRC-025 p34; VKM-SRC-025 p153,VKM_REGIONAL,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E008,I02,I05,information,information,скважины → каротаж,при бурении,EV-VN-S012-0535,VKM-SRC-012,VKM-SRC-012 p70,SKRU1_SKRU2,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E009,I02,I07,information,information,"скважины → структурные карты, подсчёт запасов",годы,EV-VN-S011-0237; EV-VN-S024-0348,VKM-SRC-011; VKM-SRC-024,VKM-SRC-011 p13; VKM-SRC-024 p109,VKM_REGIONAL; OTHER_POTASH_SITE,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
E010,I04,I07,information,information,свойства образцов → модель свойств (LAB→MASSIF через перенос),годы,EV-VN-S012-0290,VKM-SRC-012,VKM-SRC-012 p61,GENERAL_METHOD,FACT,HIGH,связь описана в указанных записях; для cross — физическое → информационное
