node_id,label_ru,layer,layer_name,node_class,scenario,branch,state_variables,worldspec_link,process_ids,status,scope,scale,confidence,source_ids,locator,vn_ids,quote_check,notes
GEO_STRAT,"Стратиграфия и литология разреза (Q, ПЦТ, ТКТ, СМТ, ПП, ПКС, сильв.-карн. зона, КрII, ПдКС)",0,geology,physical,NORMAL,main,"литология(z), мощности",geology.stratigraphy.StratigraphicUnit,PC-01;PC-06,FACT,SKRU1,CALIBRATED_EFFECTIVE_MODEL,HIGH,VKM-SRC-012;VKM-SRC-014,VKM-SRC-012 p.83 (§3.5); VKM-SRC-014 p.77 (§3.1),EV-VN-S012-0463;EV-VN-S014-0454,EXACT,
GEO_CLAY,"Глинистые прослои, «коржи», контакты (МГ, глинисто-ангидритовые)",0,geology,physical,NORMAL,interfaces,положение/мощность прослоев,"geology.stratigraphy (interlayer, contact)",PC-26;PC-27;PC-09,FACT,VKM_REGIONAL,MASSIF,MEDIUM,VKM-SRC-025;VKM-SRC-015,VKM-SRC-025 p.111 (§4.3 p.111); VKM-SRC-015 p.8 (§Результаты),EV-VN-S025-0588;EV-VN-S015-0048,EXACT,
GEO_FAULTS,"Разломы, ослабленные и геодинамически активные зоны",0,geology,physical,NORMAL,main,геометрия зон,geology.horizons (structures),PC-35;PC-71,FACT,SKRU1,FIELD,HIGH,VKM-SRC-011;VKM-SRC-018;VKM-SRC-012,"VKM-SRC-011 p.130 (стр. 259-261; Рис. 4.6, 4.7); VKM-SRC-018 p.2 (Введение); VKM-SRC-012 p.30 (§1.4.2, [58])",EV-VN-S011-2655;EV-VN-S018-0007;EV-VN-S012-0137,EXACT,
GEO_FOLDS_REPL,"Складчатость, зоны замещения, фациальная смена пласта В (сильвинит↔карналлит)",0,geology,physical,NORMAL,main,контуры аномалий,"geology.horizons (structures, anomalies)",PC-08,FACT,SKRU1_SKRU2_PILLAR,LAB,MEDIUM,VKM-SRC-025;VKM-SRC-012;VKM-SRC-011,"VKM-SRC-025 p.129 (§4.6 p.129); VKM-SRC-012 p.33 (§1.4.2, [42]); VKM-SRC-011 p.23 (§1.3.2 II комплекс)",EV-VN-S025-0703;EV-VN-S012-0155;EV-VN-S011-0366,EXACT,
GEO_SALT_MIRROR,"Соляное зеркало, природный соляной карст, кепроки, выщелачивание пластов",0,geology,physical,NORMAL,hydro,отметка кровли соли,geology.horizons.Horizon,PC-46,FACT,SKRU1,FIELD,HIGH,VKM-SRC-037;VKM-SRC-020,VKM-SRC-037 p.37 (рис. 2.7 легенда 6); VKM-SRC-020 p.10 (§1.1),EV-VN-S037-0309;EV-VN-S020-0092,EXACT,
GEO_AQUIFERS,Водоносные горизонты надсолевой толщи и рассольный горизонт,0,geology,physical,NORMAL,hydro,"K_ф, напоры",physics.processes (hydro BC),PC-41,FACT,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,VKM-SRC-014;VKM-SRC-011,VKM-SRC-014 p.21 (§1.4); VKM-SRC-011 p.37 (текст с.72),EV-VN-S014-0290;EV-VN-S011-0691,FUZZY_78,
GEO_GEOTHERM,Геотермическое поле,0,geology,physical,NORMAL,thermal,T(z),physics.processes (thermal IC),PC-48,ANALOGUE,BKPRU3,NOT_APPLICABLE,LOW,VKM-SRC-011,VKM-SRC-011 p.39 (текст с.77),EV-VN-S011-0726,EXACT,только аналог БКПРУ-3
GEO_TECTONIC,"Региональный тектонический режим (сжатие с востока, фундаментные разломы)",0,geology,physical,NORMAL,main,"σH, азимут",physics.processes (initial stress),PC-04,UNKNOWN,SOLIKAMSK_GROUP,FIELD,LOW,VKM-SRC-037;VKM-SRC-030;VKM-SRC-012,"VKM-SRC-037 p.6 (§1.1.3); VKM-SRC-030 p.5 (Табл. 2); VKM-SRC-012 p.31 (§1.4.2, [58])",EV-VN-S037-0059;EV-VN-S030-0053;EV-VN-S012-0141,EXACT,
GEO_TOPO,Рельеф (уступ долины Камы),0,geology,physical,NORMAL,main,"z_s(x,y)","spatial (DEM, not in corpus)",PC-05,FACT,SKRU1,NOT_APPLICABLE,HIGH,VKM-SRC-023,VKM-SRC-023 p.48 (Рис.25а (image27.png)),EV-VN-S023-0318,EXACT_ADJACENT_PAGE,
GEO_GAS,"Газоносность пластов, газовые скопления (карналлит Вк, приконтактные)",0,geology,physical,NORMAL,dynamics,"газосодержание, давление",physics.processes (dynamics),PC-55,FACT,SKRU1,LAB,HIGH,VKM-SRC-037;VKM-SRC-014,"VKM-SRC-037 p.16 (Табл. 1.6, рудник СКПРУ-1); VKM-SRC-014 p.26 (§1.5)",EV-VN-S037-0178;EV-VN-S014-0330,NOT_FOUND,
