finding_id,outcome,files_and_rows_changed,how_verified,notes
COVERAGE_DUPLICATES-003,FIXED,"mechanics_evidence_catalog.csv: new columns layer_or_unit_as_printed, condition_key (filled in 1 183 rows) and duplicate_of; builder scripts/mr_row_keys.py (new) + post-id block of scripts/mr_build_mech.py; 32 leftover key cells in review_fixes.csv; MECHANICS_RHEOLOGY_EVIDENCE_RU.md §2.1","validate_mech_rheo.py check ""rows distinguishable without quote"" with the reviewer grouping: 974 rows in non-unique groups before, 0 after; the reviewer examples (Табл. 2.3 0151/0175/0181, Табл. 6.2 0939… h/d, Табл. 4.8 0504/0776 brine soak) are distinct; OCR→printed layer labels checked on renders SRC-025 p.60, p.62, p.143","Column names follow the task brief (layer_or_unit_as_printed, condition_key) instead of table_row_key/table_col_key; keys are short labels, not source sentences (≤90/≤110 chars, validator); the seam pair of interseam layers (e.g. КрI–II / КС) is carried in layer_or_unit_as_printed, the unit_seam code is unchanged. PUBLIC uniqueness test (tests/world, build_public_catalogues.py) belongs to the coordinator."
COVERAGE_DUPLICATES-004,FIXED,"mechanics_evidence_catalog.csv: variable of MR-MECH-0931, 0932, 1672, 1661, 1653, 0353, 0731, 0036, 0046, 1677 (review_fixes.csv); scripts/validate_mech_rheo.py BAD_UNIT check","each value re-read against its unit and the linked rheology rows (MR-RHEO-N06, CL-03, CL-06); validator unit/variable check passes (6 violations in the old release)",1677 renamed stability_time_relative_change (more specific than relative_change_percent: −17 % change of the time of stable state); 0046 kept in mechanics as fluid_density (category density_backfill_or_fluid).
COVERAGE_DUPLICATES-005,FIXED,"mechanics_evidence_catalog.csv: MR-MECH-0548 (pdf_page 121, printed_page, locator, lithology каменная соль, LITERATURE_CITED, CITED [37]); new rows MR-MECH-1721/1722 (σсж/σр −6–7 %, E −20–21 %; origin REVIEW_FIX_ADDITION, EV-VN-S025-0665); 0086/0087/0547 original_or_cited/site_as_printed/locator (builder rule); 0013 original_or_cited; 0015–0017 status ENGINEERING_ASSUMPTION, evidence_type DESIGN_VALUE, original_or_cited UNSTATED_CONSTANT","VKM-SRC-025 p.121–122 text ([37] = Константинова, Габдрахимов, 1980) and p.123 (densities adopted for the calculation); validator LITERATURE_CITED⇒CITED passes (14 violations in the old release)","ASSUMED_CONSTANT is not an EvidenceType value, so DESIGN_VALUE + ENGINEERING_ASSUMPTION + original_or_cited UNSTATED_CONSTANT is used; 0013 stays LITERATURE_CITED with «CITED (implicit, reference not given) … UNSTATED_CONSTANT»."
COVERAGE_DUPLICATES-008,FIXED,"interfaces_damage_catalog.csv: source_id of MR-IDC-0005 (+VKM-SRC-028, -040), 0007 (+020), 0008 (+016), 0016 (+026) (builder rule, A rows); rheology_evidence_catalog.csv: MR-RHEO-CL-12 (+VKM-SRC-005, -039)","validator rule ""sources of vn_ids ⊆ source_id"" for rheology and interface synthesis rows passes (5 violations in the old release)","DC*, PC*, OO-05 rows belong to PHYSICS_CAUSAL / MONITORING_LIFECYCLE."
DOCS_LEAKAGE-011,FIXED,"rheology_evidence_catalog.csv: CL-01…CL-21 status «FACT (law as reported)» → FACT (5) or DERIVATION (16), evidence_type mapped to EvidenceType (v1 calibration status kept in calibration_experiment), CL-18…21 scale → CALIBRATED_EFFECTIVE_MODEL (scripts/mr_build_rheo.py); interfaces_damage_catalog.csv: MR-IDC-0122, 0254 INTERPRETATION → DERIVATION, MR-IDC-0476 one status (DERIVATION, composition in notes), MR-IDC-0426–0428 evidence_type MODEL_CHOICE → DESCRIPTIVE/INTERPRETATION with status MODEL_CHOICE (scripts/mr_build_idc.py)","validator: status ⊆ 7 values in all four catalogues; evidence_type ⊆ EvidenceType for mechanics, rheology and interfaces","The global rule maps «FACT (law as reported)» → FACT; for laws calibrated by back-analysis or fitted by regression D-01 / the global model-product rule take precedence → DERIVATION. CDE, GEO and FACT_BY_REFERENCE rows belong to GEOLOGY_COORDS."
ATTRIBUTION-002,FIXED,"mechanics_evidence_catalog.csv: MR-MECH-1678 site_scope SKRU1 → UNSTATED, site_as_printed, status FACT → ANALOGUE, scale MASSIF → CALIBRATED_EFFECTIVE_MODEL, original_or_cited CITED [24] Демин и др., transfer NON_TRANSFERABLE | UNKNOWN_PROVENANCE, status_if_used NOT_USABLE_AS_SITE_VALUE, notes without the CONSTRAINT_CHECK recommendation (builder rule), pdf_page 35 (review_fixes.csv); MECHANICS_RHEOLOGY_EVIDENCE_RU.md §3 п.2, п.7",corpus VKM-SRC-023 p.35: the paragraph reports a result of geomechanical modelling and ends with reference [24]; neither СКРУ-1 nor ВКМ is named,"Status ANALOGUE as proposed in TRANSFER-007 (not UNKNOWN). SKRU1 rows now 43 (not 47), because the 4 teaching examples of TRANSFER-006 also left SKRU1."
ATTRIBUTION-004,FIXED,"rheology_evidence_catalog.csv: MR-RHEO-N35 law_name, site_scope (VKM_REGIONAL, generic statement), lithology (salt rocks, generic), applicability_SKRU1",sweep record EV-VN-S023-0162 and SRC-023 §2.3 text: generic statement on creep and relaxation of salt rocks; SKRU-1 not named,"GEO-0815, GEO-0819, GEO-0820 belong to GEOLOGY_COORDS."
ATTRIBUTION-006,FIXED,"mechanics_evidence_catalog.csv: MR-MECH-0782/0783 site_scope SKRU1_SKRU2 → SOLIKAMSK_GROUP, transfer «SOLIKAMSK_GROUP_PRIOR (pooled СКРУ-1+2+3; SKRU-1 use needs Transfer); LAB→MASSIF transfer required», status_if_used ANALOGUE; status FACT → DERIVATION and evidence_type → CALCULATED_BY_AUTHOR (regression coefficients, global rule); builder: scope_from_prev / transfer_for / status_for_skru1 in scripts/mr_build_mech.py + per-record table scripts/mr_scope.py","VKM-SRC-025 p.126–128: regression (4.13) over 127 (АБ) / 171 (КрII) boreholes of all ОАО «Сильвинит» mines; Табл. 4.10: СКРУ-1 = 23/115 and 45/158; validator: no legacy SKRU1_SKRU2, scope ⊆ vkm_world Scope","SOLIKAMSK_GROUP (the D-17 value for a pooled СКРУ-1+2+3 sample) is used instead of the proposed VKM_REGIONAL. MON, BHG, SE, CDE, CHR, GEO, HYD, SGP rows belong to other streams; the catalogue test «SKRU1_SKRU2 only with a pillar reference» is covered here by the removal of the label (validator)."
TRANSFER-002,FIXED,"mechanics_evidence_catalog.csv: MR-MECH-0939…0950 status FACT → DERIVATION, evidence_type MODEL_CALIBRATED → CALCULATED_BY_AUTHOR, transfer «ACCEPT_RANGE | SITE_SPECIFIC_SKRU1 (specimen); LAB→MASSIF transfer required; derived by accelerated creep–relaxation method», status_if_used «DERIVATION (LAB)»; SKRU-3 rows 0951–0962 get the LAB→MASSIF flag; builder rule for all VKM-SRC-025 lab-curve fits + final pass «scale LAB ⇒ LAB→MASSIF flag»; MECHANICS_RHEOLOGY_EVIDENCE_RU.md §3 п.2, §5.2",VKM-SRC-025 p.162–163 (method (6.2)–(6.5); Табл. 6.2 visually re-checked); validator LAB⇒LAB→MASSIF passes (24 LAB rows without the flag in the old release),The same rule covers all 32 VKM-SRC-025 lab-curve fits typed MODEL_CALIBRATED (see TRANSFER-026).
TRANSFER-003,FIXED,mechanics_evidence_catalog.csv: MR-MECH-0782/0783 (see ATTRIBUTION-006); MECHANICS_RHEOLOGY_EVIDENCE_RU.md §3 table recomputed with the D-17 scopes,VKM-SRC-025 p.126–128 and Табл. 4.10; report table recomputed from the catalogue,SOLIKAMSK_GROUP instead of VKM_REGIONAL (see ATTRIBUTION-006). MM-PETRO-005 belongs to FORMULAS.
TRANSFER-004,FIXED,"mechanics_evidence_catalog.csv: MR-MECH-1330 scale FIELD → LAB, transfer «SITE_SPECIFIC_SKRU1 (regression-zoned LAB σсж); LAB→MASSIF transfer required», notes on the bias stated on p.128 (review_fixes.csv); MECHANICS_RHEOLOGY_EVIDENCE_RU.md §3 п.2",VKM-SRC-025 p.128–129 (map of Рис. 4.20 built from regression (4.13); p.128 says the regression gives underestimated means for all mines),Status INTERPOLATION kept.
TRANSFER-005,FIXED,"scripts/mr_build_mech.py test_method(): lab cues (лаборатор, керн, образц, laborator, specimen) or scale LAB are checked before field cues, and «скважин»/«кайзер» no longer mean in_situ; mechanics_evidence_catalog.csv: 115 rows in_situ → uniaxial_compression (114) and triaxial (MR-MECH-1389)",validator: 0 rows with scale LAB and test_method in_situ (115 in the old release); remaining 48 in_situ rows are field tests,
TRANSFER-006,FIXED,"mechanics_evidence_catalog.csv: MR-MECH-1663…1666 evidence_type TEACHING_EXAMPLE, status ANALOGUE, site_scope GENERAL_METHOD (site_as_printed kept), transfer TEACHING_EXAMPLE_NOT_A_SITE_VALUE, status_if_used NOT_USABLE_AS_SITE_VALUE; the same builder rule covers the worked examples of VKM-SRC-014 pp.189–192, 196–197 and all 29 TEACHING_EXAMPLE rows (D-02); MECHANICS_RHEOLOGY_EVIDENCE_RU.md §3 п.7, §9","VKM-SRC-014 pp.178–184 («Пример 1»: inputs set by «примем»), pp.189–191 (Примеры 2, 3), pp.196–197 (planned SKRU-3 block); validator D-02 check",
TRANSFER-007,FIXED,"mechanics_evidence_catalog.csv: MR-MECH-1678 (see ATTRIBUTION-002): scope UNSTATED, scale CALIBRATED_EFFECTIVE_MODEL, status ANALOGUE, evidence_type LITERATURE_CITED kept, notes «model output cited from [24]», transfer NON_TRANSFERABLE, pdf_page 35",corpus VKM-SRC-023 p.35,UNSTATED rather than NON_VKM: the primary [24] is not in the corpus.
TRANSFER-022,FIXED,interfaces_damage_catalog.csv: MR-IDC-0128/0129/0130/0132 FACT → DERIVATION with model-output applicability; 0121/0124/0125 applicability «model choice of the source …»; 0132 notes with the p.113 caveat; builder rule «SITE-SPECIFIC SKRU-1 only for scope SKRU1 with FACT/DERIVATION and not for model outputs»; further B rows CALCULATED_BY_AUTHOR+FACT → DERIVATION (19); MR-IDC-0131 scope SKRU1 → SKRU1_SKRU2_PILLAR (builder); MR-IDC-0009 mechanism text corrected (review_fixes.csv); MECHANICS_RHEOLOGY_EVIDENCE_RU.md §6 п.6,VKM-SRC-012 pp.101–113 and p.117 read (p.113: the weakening of the pillar part next to the 1995 sinkhole is not included in the calculations); validator check «SITE-SPECIFIC applicability»,"While re-reading p.113, the report sentence and MR-IDC-0009 were found to claim the opposite (weakening included in the FE calibration); both corrected. GEO-0687/0689 belong to GEOLOGY_COORDS."
TRANSFER-023,FIXED,"legacy SKRU1_SKRU2 removed from all four catalogues: mechanics_evidence_catalog.csv 15 rows (13 SOLIKAMSK_GROUP, 2 SKRU1_SKRU2_PILLAR), interfaces_damage_catalog.csv 10 record rows (5 SOLIKAMSK_GROUP, 4 PILLAR, 1 SKRU1 = SE part of the SKRU-1 field, block 115) + 2 synthesis scope strings, rheology_evidence_catalog.csv MR-RHEO-N11 → SOLIKAMSK_GROUP; per-record basis in scripts/mr_scope.py; builder transfer/status_if_used rules; MECHANICS_RHEOLOGY_EVIDENCE_RU.md §3, §9","source text of every recoded record checked (VKM-SRC-012 pp.33, 101–113, 117; VKM-SRC-025 pp.126–128; VKM-SRC-011 p.32); validator: 0 legacy labels, scope ⊆ vkm_world Scope","Schema, check_site_use and tests belong to the coordinator; MON, CMP and CHR rows to other streams."
TRANSFER-026,FIXED,"mechanics_evidence_catalog.csv: all 94 MODEL_CALIBRATED+FACT rows: 55 → DERIVATION at scale CALIBRATED_EFFECTIVE_MODEL (EXT-SRC-013, VKM-SRC-036 viscosities/times, VKM-SRC-005), 32 VKM-SRC-025 lab-curve fits → CALCULATED_BY_AUTHOR / LAB / DERIVATION, 7 fixed inputs of the specimen FE model (MR-MECH-0530, 0550, 0821…0825) → DESIGN_VALUE / MODEL_CHOICE; VKM-SRC-011 model-I load cases → DESIGN_VALUE; builder rule + validator D-01 checks; rheology D-01 rows",validator D-01: 0 violations (94 in the old release); VKM-SRC-036 text: specimen-model inputs have no stated origin; VKM-SRC-025 p.162 (method),"D-01 was also extended to the 18 cited calibrated values of VKM-SRC-016 (scale CALIBRATED_EFFECTIVE_MODEL, FACT → DERIVATION; the same law MR-RHEO-CL-05 is DERIVATION)."
TRANSFER-027,FIXED,"mechanics_evidence_catalog.csv: MR-MECH-0590…0593 variable standard_strength_normative, scale MASSIF → LAB, transfer «VKM_REGIONAL_PRIOR; normative/design value, not a measurement; LAB→MASSIF transfer required (shape/scale/structural weakening)», original_or_cited CITED [69] 2022, duplicate_of MR-MECH-0853…0856, notes (review_fixes.csv)",VKM-SRC-012 p.26 Табл. 1.2 and its bibliography entry [69]; VKM-SRC-037 Табл. 8.25,Entering [69] into primary_source_targets belongs to CITATIONS / the coordinator.
