lineage_id,row_type,version_order,item_type,item_label,source_id,locator,vn_ids,attributed_to,form_or_value,distortion_type,difference_vs_reference,verdict,original_in_corpus,prior_conflict_ids,cited_work_ids,status,scope,scale,confidence,notes
LIN-01,SUMMARY,0,formula+normative_threshold,Степень нагружения МКЦ C и допустимое [C],VKM-SRC-012;VKM-SRC-019;VKM-SRC-023;VKM-SRC-027;VKM-SRC-031;VKM-SRC-032;VKM-SRC-034;VKM-SRC-037,,,VKM-SRC-037 (УФ ВНИИГ 1992) §8 — старейшая версия в корпусе; действующие редакции «Указаний» 2014/2022 в корпусе ОТСУТСТВУЮТ (EXT-SRC-032/043 DISCOVERY_ONLY; формула 2014 известна по EXT-SRC-036/038),,ATTRIBUTION_VAGUE;CONTEXT_SHIFT;EDITION_DRIFT;SIMPLIFICATION,,"Формула менялась между редакциями норм (1992: C=γH(a+b)/[σ″сж(K1/K2)K3K4K5(b−Δb)]; 2014 ТР: C=ξγH0(a+b)/(b·kf·σm)); одно и то же число 0,3/0,4 означает разные условия (1992: без/с обрушением кровли; 2014: сильвинитовые пласты вне застройки и аномальных зон = 0,4; КБС в каменной соли = 0,30). Вторичные тексты упрощают формулу (023 теряет множитель (a+b)/b и коэффициент формы). Для WorldSpec: хранить C как ENGINEERING-правило с редакцией нормы и определением; значения из разных редакций не смешивать.",PARTIAL,CF-024;CF-006,,DERIVATION,PROJECT,NOT_APPLICABLE,MEDIUM,"lineage summary (stream CITATIONS); verdict is this stream's analysis, not a source statement"
LIN-01,VERSION,1,formula+normative_threshold,Степень нагружения МКЦ C и допустимое [C],VKM-SRC-037,"pdf p.166-167, ф.(8.123)-(8.128)",EV-VN-S037-0880;EV-VN-S037-0881;EV-VN-S037-0884;EV-VN-S037-0891;EV-VN-S037-0898,"собственный норматив (УФ ВНИИГ); K1,K2 по [20]","C=Q/P=γH(a+b)/[σ″сж(K1/K2)K3K4K5(b−Δb)] ≤ [C]; жёсткие целики: [C]≤0,3 без учёта обрушения кровли, ≤0,4 с учётом",REFERENCE,"базовая версия 1992 г. (5 поправочных коэффициентов, ослабленная краевая зона Δb)",,PARTIAL,CF-024;CF-006,,FACT,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,quote_check: NOT_FOUND
LIN-01,VERSION,2,formula+normative_threshold,Степень нагружения МКЦ C и допустимое [C],"EXT-SRC-038 (Барях, Ломакин, Самоделкина, Тенисон 2023; внешний захват предыдущего релиза)","текст захвата, ф.(1)",,действующий технологический регламент [22] (=«Указания» ред. 2014/2017),C=ξ·γ·H0·(a+b)/(b·kf·σm) (методика Турнера–Шевякова),EDITION_DRIFT,"вместо K1..K5 и Δb — единый kf и агрегатная прочность σm; добавлен ξ (пригрузка, опорное давление)",,PARTIAL,CF-024;CF-006,,FACT,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,external capture of previous release (no merged record)
LIN-01,VERSION,3,formula+normative_threshold,Степень нагружения МКЦ C и допустимое [C],EXT-SRC-036 (Зубов и др. 2019; внешний захват),"текст захвата, усл.(1)",,"действующие нормативные документы [9,11,12]","C≤[C]; [C]=0,4 для сильвинитовых пластов вне городской/поселковой застройки и аномальных зон ВЗТ",CONTEXT_SHIFT,"то же число 0,4, что в 1992 г., но условие другое (застройка/аномальные зоны вместо обрушения кровли)",,PARTIAL,CF-024;CF-006,,FACT,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,external capture of previous release (no merged record)
LIN-01,VERSION,4,formula+normative_threshold,Степень нагружения МКЦ C и допустимое [C],VKM-SRC-032,"pdf p.1, ф.(1)",EV-VN-S032-0003;EV-VN-S032-0004,[1] «Указания» 2014,C=ξγH0(a+b)/(b·kf·σm)≤[C],NONE_VERBATIM,совпадает с формой ТР 2014 (EXT-SRC-038),,PARTIAL,CF-024;CF-006,,FACT,VKM_REGIONAL,NOT_APPLICABLE,HIGH,"quote_check: FUZZY_60,NOT_FOUND"
LIN-01,VERSION,5,formula+normative_threshold,Степень нагружения МКЦ C и допустимое [C],VKM-SRC-031,pdf p.1,EV-VN-S031-0002;EV-VN-S031-0005,[6-7] Турнер–Шевяков,C=γH(a+b)/(b·kf·σm); C=P/Q [1],SIMPLIFICATION,ξ опущен (неявно ξ=1),,PARTIAL,CF-024;CF-006,,FACT,GENERAL_METHOD,NOT_APPLICABLE,HIGH,"quote_check: FUZZY_93,NOT_FOUND"
LIN-01,VERSION,6,formula+normative_threshold,Степень нагружения МКЦ C и допустимое [C],VKM-SRC-019,"pdf p.2, п.5",EV-VN-S019-0014,[3] «Указания» ред. 2014 (введ. 2017),"[C]=0,30 для МКЦ при отработке пласта каменной соли (КБС)",CONTEXT_SHIFT,"0,30 — для камер в каменной соли; совпадает численно с 1992 «без обрушения кровли», но условие иное",,PARTIAL,CF-024;CF-006,,FACT,VKM_REGIONAL,NOT_APPLICABLE,HIGH,quote_check: EXACT
LIN-01,VERSION,7,formula+normative_threshold,Степень нагружения МКЦ C и допустимое [C],VKM-SRC-027,pdf p.3,EV-VN-S027-0018;EV-VN-S027-0019,«методика ПАО Уралкалий» (без номера ссылки),"допустимая C=0,4 при отсутствии аномальных зон (5 ЮВП Усольского КК)",ATTRIBUTION_VAGUE,"значение согласуется с ред. 2014 для сильвинита, но источник не назван",,PARTIAL,CF-024;CF-006,,FACT,OTHER_VKM_SITE,NOT_APPLICABLE,MEDIUM,quote_check: EXACT
LIN-01,VERSION,8,formula+normative_threshold,Степень нагружения МКЦ C и допустимое [C],VKM-SRC-012,"pdf p.54-55, ф.(2.1)-(2.3)",EV-VN-S012-0259;EV-VN-S012-0260;EV-VN-S012-0262,[69] «Указания (мероприятия)» 2022,"C используется как аргумент расчёта оседаний: η_ок=0,9m0ωp(C/0,32)^2 при C<0,32; m_ξ=0,4 при C≤0,45",CONTEXT_SHIFT,"пороги 0,32/0,45 — параметры расчёта оседаний, не допустимые [C]; не путать",,PARTIAL,CF-024;CF-006,,FACT,VKM_REGIONAL,NOT_APPLICABLE,HIGH,"quote_check: EXACT,FUZZY_66,NOT_FOUND"
LIN-01,VERSION,9,formula+normative_threshold,Степень нагружения МКЦ C и допустимое [C],VKM-SRC-034,pdf p.2,EV-VN-S034-0023,методика «Указаний» 2022 (по контексту),"расчётная C: пласт АБ 0,35; КрII 0,4",NONE,значения расчётные (DERIVATION) для участка,,PARTIAL,CF-024;CF-006,,DERIVATION,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,quote_check: EXACT
