contradiction_id,topic,source_a,claim_a,source_b,claim_b,same_layer_or_object,same_period,method_difference,lab_vs_massif,r2_assessment,status,related_claims
R2-X01,Атрибуция профилей p.15,SUP01 p.15 заголовок,СКРУ-1 и СКРУ-2 (Соликамск),Проект (SKRU1),Доноры СКРУ-1,нет,да,—,—,Заголовок — шаблон; p.12 с тем же заголовком содержит Березники. Линия 5 частично подтверждена SRC05,AMBIGUOUS,"R2-C001, C017, C027"
R2-X02,Заголовок vs подписи,SUP01 p.12 заголовок,СКРУ-1 и СКРУ-2,SUP01 p.12 подписи,Березники 2020–2021,нет,—,—,—,Подписи рисунка приоритетнее шаблона слайда,CONTRADICTED (заголовок),R2-C017
R2-X03,Сезон доступности радара,v2.1 config,недоступны только 11–12 мес.,SRC01 §2.1; SRC04 §3.4; SUP01 p.14; SRC05 p.15,снег ноябрь–апрель; сезоны ~26.04–28.10; сцены ~май–окт,регион ВКМ,разные годы,—,—,Генератор наблюдает отражатель в янв–апр; источники этого не допускают,CONTRADICTED,"R2-C022, C023"
R2-X04,Хронология блока 57П/101,SEED TECH-14,"отработка 1958–1959; закладка 1971–1972, 1993–1998…",SRC01 рис.17; workbook v1,"отработка 1958–1959, 1971–1972; закладка 1993–1998, 20…",да,да,—,—,Регрессия при переносе в v3.2,CONTRADICTED,R2-C038
R2-X05,Номер блока COORD-03,SEED v3.2,68,workbook v1; R2 чтение рис.14,58,да,—,—,—,Глиф частично закрыт,AMBIGUOUS,R2-C039
R2-X06,Корреляция линии №5 (2011),SRC05 OCR-слой,0.913,SRC05 изображение рис.4,0.95,да,да,—,—,OCR-ошибка текстового слоя скана,RESOLVED (изображение),R2-C027
R2-X07,Глубина/мощность/падение СКРУ-1,SRC01 §2.3,глубины 140–461 м; мощность ~72 м; падение до 15°,SRC01 §2.4,глубины 250–350 м; мощность 30–50 м; падение 3–8°,частично (разный охват?),—,—,—,Внутреннее противоречие без ссылок; блоковые таблицы (рис.15/17: 190–310 м) — надёжнее,CONTRADICTED,R2-C047
R2-X08,Ширина камер/целиков,SRC01 §2.4,"камеры 6–8 м, целики 8–10 м",SRC01 рис.17 / рис.15 / §2.1,15–16/11–12 м (1950–70-е); 5/8.5 м (1989–91); 5.5/6.4 м (1 СЗП); общий диапазон 3–16/3–20 м,разные блоки/эпохи,разные,—,—,Нет единого значения; параметры блоко-специфичны,CONTRADICTED (как единое значение),R2-C053
R2-X09,Горизонтальные напряжения,SRC01 §2.3 [23],σh = 1.2–1.5 γH на СКРУ-1,Происхождение ссылки [23],"карьер (Кольский), не соль",нет,—,—,—,Перенос с другого объекта/пород; для соли литература ожидает близкое к изотропному состояние (требует источника),CONTRADICTED (site-specificity),R2-C048
R2-X10,Классы целиков,SRC01 §2.4,жёсткие 0.3≤C<0.7; обрушающиеся C>0.7,EXT03,жёсткие C≤0.4; податливые C=0.7 (разрушение 5–7 лет),ВКМ,—,—,—,Рецензируемая статья приоритетнее,CONTRADICTED,R2-C051
R2-X11,Disp_min как минимум участка,v3.2 METHODOLOGY,точный опубликованный минимум,SRC01 рис.18 (R2),≈100.00x мм в 7/8 строк — порог интерполяции,да,да,—,—,Артефакт растра,AMBIGUOUS,R2-C037
R2-X12,Границы чтения линии 1,Атлас профилей,±3.6 мм,Детальное перечтение Line 1,±14.4…20.3 мм,да,да,разная процедура,—,Проект сам фиксировал; R2: видимые маркеры читаются до ~1–3 мм,AMBIGUOUS (процедурное),R2-C009
R2-X13,Граница чтения линии 6 (позиция 19),canonical,−48.6 ± 0.5 мм,R2 оцифровка,≈−49.5 мм,да,да,разный алгоритм,—,Расхождение 0.9 мм > заявленной границы,MINOR CONTRADICTION,R2-C009
R2-X14,Динамика 2015–2016 vs 2011–2016,"SUP01 p.15 (отношение, AMBIGUOUS datum)","последний год ≤ среднегодового (л.5, л.17 замедление ~25–30%)",SUP01 p.14 врезка,лёгкое ускорение 2015–2016 в неизвестной точке,нет (разные точки),да,нивелирование vs радар,—,Не противоречие в строгом смысле; объекты разные,AMBIGUOUS,"R2-C012, C016"
R2-X15,Закон ползучести соли,EXT02 Морозов,Нортон хорошо описывает установившуюся ползучесть (0.4–0.8 σ/σпр),EXT05 Козловский,степенной закон не проходит при σi >18.8 МПа; sinh лучше,разные породы/объекты,—,разные диапазоны напряжений,оба лабораторные (+EXT05 верификация по выработкам),Форма закона зависит от диапазона напряжений — не усреднять,CONTEXT-DEPENDENT,—
R2-X16,Прочность сильвинита,Указания (через EXT01),нормативная 23.0 МПа,EXT01 табл.1,34% проб <20 МПа; ЕвроХим-УКК в 1.5–2 раза ниже средней,ВКМ,—,—,лаборатория,Нормативное значение ≠ распределение; пространственная изменчивость,CONTEXT-DEPENDENT,—
R2-X17,Модель сезонного эффекта отражателя,SRC03,весеннее замедление 3–5 см; обратный ход не наблюдался,v2.1 генератор,постоянный кажущийся подъём с середины июня до 31.12 и мгновенный сброс 1 января,—,—,—,—,Сброс 1 января не мотивирован источником,UNSUPPORTED,R2-C023
R2-X18,Наличие временных траекторий,DATA_FOUNDATION_V2,нет реальных траекторий (0%),SRC05 рис.6б; SUP01 врезка,есть многолетние ряды (нивелирование+радар; радар),—,—,—,—,0% идентифицированных законов верно; отсутствие данных — нет,CONTRADICTED,R2-C034
