row_id,row_kind,mine_as_printed,mine_scope,spatial_entity_ids,object,panel_block,seam,depth_m_as_printed,depth_or_horizon_as_printed,period_as_printed,chamber_width_m,pillar_width_m,chamber_height_m,chamber_length_m,axis_spacing_m,extraction_ratio_as_printed,loading_degree_C,panel_width_m,panel_length_m,block_width_m,block_length_m,interseam_thickness_m,protective_layer_m,seam_thickness_as_printed,mining_system,seam_sequence_order,backfill_as_printed,rule_text,other_parameters_as_printed,design_actual_label,label_basis,visual_recheck,conflict_ids,skru1_relevance,source_ids,locators,vn_ids,existing_evidence_ids,status,evidence_type,scope,scale,confidence,extraction_method,quote_check,notes
MGEO-0001,mining_geometry,"none (hypothetical, Starobin-type)",общий метод,,synthetic model longwall (лава),,sylvinite seam (generic),600,,,,,1.75,900,,,,,,D0_block_width_Oy_m=260,,,,extracted_thickness_m=1.75,,,,,"{""advance_m"": 900, ""advance_duration"": ""~half a year"", ""a0"": 0.3}",TEACHING_EXAMPLE,evidence_type=TEACHING_EXAMPLE (учебный/типовой пример),,,NOT_A_SITE_VALUE (TEACHING_EXAMPLE),VKM-SRC-003,"pdf p.89 (printed 89); §4.2.2, параметры модельной лавы",EV-VN-S003-0342,,ANALOGUE,TEACHING_EXAMPLE,GENERAL_METHOD,DESIGN,HIGH,TEXT_LAYER,EXACT,"Synthetic scenario for InSAR accuracy test; not a real VKM or Starobin panel. chamber_height field used for extracted thickness 1.75 m. | [review-fix 26.09.2026] D-02: учебный пример → status ANALOGUE, scope GENERAL_METHOD (в записи: MODEL_CHOICE, OTHER_POTASH_SITE); не факт о руднике"
MGEO-0002,mining_geometry,"рудник Дехканабадского калийного завода (Тюбегатан, по метке рис.2)",аналог: другое калийное месторождение,AN:OTHER_POTASH,"пласт Нижний II разделён в расчётной схеме на два слоя Н-IIа и Н-IIб; по профилю чередуются выработанное пространство и целики (околоскважинные у скв.89, СКВ.47, BZK-8; предохранительный у главных выработок; околоствольный у скв.55)","Панели №11, №5, №1, Опытная","Нижний II (Н-IIа, Н-IIб)",,,,,,,,,,,,,,,,,,,,,,"{""note"": ""размеры камер/целиков и коэффициент извлечения не приведены""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики/литературная ссылка; проект vs фактическое исполнение не различены источником,,,ANALOGUE_NOT_TRANSFERABLE_WITHOUT_REVIEW,VKM-SRC-005,pdf p.4 (printed 42); Рис.3 (нижняя полоса),EV-VN-S005-0036,EV-RMB-0116,FACT,DESCRIPTIVE,OTHER_POTASH_SITE,NOT_APPLICABLE,MEDIUM,VISUAL_READ,NOT_FOUND,
MGEO-0003,mining_geometry,Belaruskali mines (3rd mine administration area in field test),аналог: другое калийное месторождение,AN:OTHER_POTASH,longwall face (забой лавы),,unstated,,,,,,,,,,,,,,,,,,mining_system=longwall (лава) — as implied by 'забой лавы',,,,"{""note"": ""No depths, seam names, panel geometry given""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики/литературная ссылка; проект vs фактическое исполнение не различены источником,,,ANALOGUE_NOT_TRANSFERABLE_WITHOUT_REVIEW,VKM-SRC-009,"pdf p.5 (printed 69); §8, Рис. 9",EV-VN-S009-0028,,ANALOGUE,DESCRIPTIVE,OTHER_POTASH_SITE,NOT_APPLICABLE,MEDIUM,TEXT_LAYER,NOT_FOUND,"KEY transferability flag: Starobin troughs come from active longwall faces (fast, full-extraction subsidence), unlike SKRU-1 room-and-pillar with long-term pillar creep. Time/magnitude numbers are ANALOGUE only."
MGEO-0004,mining_geometry,БКПРУ-4,БКПРУ-4,MF:BKPRU4,recumbent 3rd-order fold of КрI–А–Б seams crossed by underground boreholes and chamber workings,"labels at base (blurred): 'Кам. бл.№3 Левый ход' (−176,2) and 'Кам. бр.№1 Правый ход' (−174,4)","КрI, А, Б, Б-В, В",,,,,,,,elevation_axis_m=−160 … −175 (absolute),,,,,,,,,,,,,,"{""scale"": ""0–4 m"", ""fold_height"": ""≈10 m (visual, recumbent fold of КрI)""}",ACTUAL,evidence_type=FIELD_OBSERVATION (натурное наблюдение/измерение),,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-011,pdf p.23 (printed 44-45); рис. 1.34,EV-VN-S011-0371,,FACT,FIELD_OBSERVATION,BKPRU4,FIELD,MEDIUM,VISUAL_READ,EXACT,400-dpi render; working labels partly illegible (raster); shows how underground drilling resolves folds at chamber scale
MGEO-0005,mining_geometry,БКПРУ-4,БКПРУ-4,MF:BKPRU4,chambers 1 and 3 (faces),4-й западный блок 1-й ЮВП (юго-восточной панели),,,,,,,,,,,,,,,,,,,,,,,"{""note"": ""only naming of panel/block/chambers; no dimensions""}",UNRESOLVED,evidence_type=LITERATURE_CITED: описание практики/литературная ссылка; проект vs фактическое исполнение не различены источником,,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-011,"pdf p.27 (printed 52-53); цитата [73, с. 44]",EV-VN-S011-0479,,FACT,LITERATURE_CITED,BKPRU4,NOT_APPLICABLE,MEDIUM,TEXT_LAYER,EXACT,
MGEO-0006,mining_geometry,БКПРУ-3,БКПРУ-3,MF:BKPRU3,room-and-pillar chamber layout around sinkhole,"8 бл. (левый/правый выемочный штрек, 8 бл. конв. штрек); 6 Западный панельный вент. штрек; 6 Западный панельный разв.(разд.?) штрек; Северный панельный вент. штрек; Сев.-вост. разв. штрек; вент. сбойка; укл. на АБ; укл. № 6; укл. № 5",АБ? (уклон на АБ),,,,,,,,,,,,,,,,,,layout=parallel chambers perpendicular to block drifts on both sides; large 'отработанные площади' to the E,,,,"{""scale"": ""0–100–200 m bar"", ""boreholes"": ""1р–11р, 429, 433, 1559""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики/литературная ссылка; проект vs фактическое исполнение не различены источником,,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-011,pdf p.33 (printed 64-65); Рис. 1.58,EV-VN-S011-0597,,FACT,DESCRIPTIVE,BKPRU3,NOT_APPLICABLE,MEDIUM,VISUAL_READ,NOT_FOUND,"Labels read at 300 dpi; small font, some uncertain. Chamber dimensions could be digitized later (not in phase 1)."
MGEO-0007,mining_geometry,СКРУ-3,СКРУ-3,MF:SKRU3,panels/blocks with secant fractures,"8-я панель — блоки 4, 6, 8–10; 4-я панель — блок 2","АБ (mainly), КрII (less)",,,,,,,,,,,,,,,,,,,,,,"{""feature"": ""many open secant fractures exposed by workings; shear fractures most dangerous; detailed in §2.5 (near fault 117)""}",ACTUAL,evidence_type=FIELD_OBSERVATION (натурное наблюдение/измерение),,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-011,pdf p.34 (printed 66-67); текст с.67; рис. 1.63,EV-VN-S011-0626,,FACT,FIELD_OBSERVATION,SKRU3,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,
MGEO-0008,mining_geometry,БКПРУ-1,БКПРУ-1,MF:BKPRU1,extraction areas of seams КрII and В; panel labels,"6 ВП, 7 ВП, 8 ВП, 9 ВП, 10 ВП","КрII, В",,,state_date=май 1999,,,,,,,,,,,,,,,layout=hatched mined areas; boundary (dash-dot purple) of extraction; southern part (grey) unmined; sinkhole lines (red) along southern edge of mined area,,,,,UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики/литературная ссылка; проект vs фактическое исполнение не различены источником,,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-011,pdf p.36 (printed 70-71); Рис. 1.66,EV-VN-S011-0667,,FACT,DESCRIPTIVE,BKPRU1,NOT_APPLICABLE,MEDIUM,VISUAL_READ,EXACT,
MGEO-0009,mining_geometry,БКПРУ-2,БКПРУ-2,MF:BKPRU2,lithological plan of seam Б from mapping of all development and stoping workings,"западные фланги 2-й, 4-й и 6-й западных панелей",Б,,,,,,,,,,,,,,,,,,,,,,"{""map_scale_bar"": ""0–250–500 м"", ""legend"": ""8 section types""}",ACTUAL,evidence_type=FIELD_OBSERVATION (натурное наблюдение/измерение),,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-011,pdf p.48 (printed 94-95); §2.2 с.94; Рис. 2.12,EV-VN-S011-0953,,FACT,FIELD_OBSERVATION,BKPRU2,FIELD,HIGH,TEXT_LAYER,FUZZY_84,
MGEO-0010,mining_geometry,СКРУ-2,СКРУ-2,MF:SKRU2,southern ventilation drift of panel,2-я юго-восточная панель (2 ЮВП),КрII,,horizon=220 м (printed without sign),,,,,,,,,,,,,,,,,,,,,UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики/литературная ссылка; проект vs фактическое исполнение не различены источником,,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-011,pdf p.49 (printed 96-97); текст стр. 97,EV-VN-S011-0989,,FACT,DESCRIPTIVE,SKRU2,FIELD,HIGH,TEXT_LAYER,EXACT,
