conflict_id,variable,conflict_type,values_kept,handling,affected_processes,prev_release_refs,status,scope,confidence,source_ids,locator,vn_ids,quote_check,notes
PCF-01,коэффициент бокового распора λ (K0) в соляном массиве ВКМ,VALUE,"A: 0,45 — нормативный коэффициент в ф. (8.130) послойного расчёта кровли камер (Методическое руководство 1992, p.168/печ.335; NORMATIVE, не измерение; визуально подтверждено PVC-01) | B: 0,6 — среднее по измерениям гидродомкрат+АЭ, БКПРУ-2, 350 м (Бельтюков) | C: 0,6 — принято в модели Бельтюкова по [69] | D: 0,71 — среднее по акустоэмиссионному эффекту памяти (Кайзера), ГИ УрО РАН [1], цит. Лебедевой; согласуется со щелевой разгрузкой | E: ≈1,0 — «близко к гидростатическому» по натурным гидроразрыву, электрометрии и измерениям на большой базе (Барях и др. [8], цит. Лебедевой); 1,0 — MODEL_CHOICE гидростатика (ВНИИГ 3D-расчёты сопряжений; модель Лебедевой) | F: σh=1,2–1,5γH — приписано массиву СКРУ-1 у Филатовой, но цитировано из не-ВКМ источника [23] | G: 0,9–1,0 — Гремячинское, ~1100 м (OTHER_POTASH_SITE, аналог)","DISCRETE_SET {0,45 (NORMATIVE, ф. 8.130); 0,6; 0,71; ≈1,0}; F исключено как вторичное не-ВКМ (ANALOGUE, misattributed); G — аналог другой глубины; для СКРУ-1 — UNKNOWN",PC-03;PC-24;PC-34,CF-011;CF-026;GAP-006,UNKNOWN,BKPRU2,HIGH,VKM-SRC-037;VKM-SRC-029;VKM-SRC-012;VKM-SRC-023,"VKM-SRC-037 p.168 (формула (8.130)); VKM-SRC-029 p.128 (§5.1.1, Рис. 5.2 (станции № 1, 2)); VKM-SRC-029 p.91 (§3.1, ref [69]); VKM-SRC-012 p.27 (§1.4.1, [8], [2], [1]); VKM-SRC-037 p.99 (§6.7, с. 196); VKM-SRC-012 p.27 (§1.4.1); VKM-SRC-023 p.35 (rendered p.35; §2.3); VKM-SRC-029 p.142 (§5.4, Рис. 5.14 б-г, 5.15)",EV-VN-S037-0910;EV-VN-S029-0226;EV-VN-S029-0160;EV-VN-S012-0071;EV-VN-S037-0617;EV-VN-S012-0073;EV-VN-S023-0163;EV-VN-S029-0275,NOT_FOUND,значения не усреднялись
PCF-02,преобразование LOS → вертикаль при одной геометрии,FORMULA,"A: U_Z = U_LOS / cosθ (Бабаянц 2023, VKM-SRC-003 p.21; VKM-SRC-004 p.7) | B: d_vert = d_LOS × cosθ (как напечатано, Горский–Хоменков 2012, VKM-SRC-009 p.4)",в операторе наблюдений использовать прямую проекцию u·ê_LOS (OO-05); обратные конверсии — только как производный продукт с флагом источника,PC-63,,FACT,GENERAL_METHOD,HIGH,VKM-SRC-003;VKM-SRC-004;VKM-SRC-009,"VKM-SRC-003 p.21 (формула (1.7)); VKM-SRC-004 p.7 (p.7 (formula stated verbally, no number)); VKM-SRC-009 p.4 (§8 Преобразование фазы в смещения); VKM-SRC-009 p.4 (§8 vs standard LOS geometry)",EV-VN-S003-0073;EV-VN-S004-0038;EV-VN-S009-0023;EV-VN-S009-0024,FUZZY_93,значения не усреднялись
PCF-03,длительная прочность (σ∞/σсж) каменной соли и сильвинита,VALUE,"A: Kдл каменной соли 0,60–0,65 (прямой), 0,65 (ускоренный); сильвинит 0,35–0,40 / 0,36 (Барях и др., табл. 6.1) | B: σ∞=0,4σсж неравномернозернистая каменная соль; 0,3σсж красный сильвинит (Соловьёв 1992, рис. 1.13)","хранить оба; возможные причины — разные разновидности соли, методики и годы; не усреднять",PC-18;PC-13;PC-14,CL-02,FACT,VKM_REGIONAL,MEDIUM,VKM-SRC-025;VKM-SRC-037,"VKM-SRC-025 p.162 (Табл. 6.1); VKM-SRC-025 p.162 (Табл. 6.1); VKM-SRC-037 p.12 (§1.2.1, длительная прочность, Рис. 1.13)",EV-VN-S025-0874;EV-VN-S025-0875;EV-VN-S037-0138,NOT_FOUND,значения не усреднялись
PCF-04,коэффициент Пуассона сильвинита,VALUE,"A: 0,2 — нормативно (Указания, через Лебедеву табл. 1.1) | B: 0,30–0,45 — литературная сводка по соляным породам разных бассейнов (VKM-SRC-025 §2.3, [30, 15, 24, 46, 54, 57, 62, 69, 70]; GENERAL_METHOD), не лабораторный диапазон ВКМ","хранить оба (NORMATIVE ВКМ vs литературная сводка по разным бассейнам, GENERAL_METHOD); ν=0,2 ниже диапазона сводки; лабораторного ν сильвинита именно ВКМ в этой паре нет",PC-06,CF-016,FACT,GENERAL_METHOD,HIGH,VKM-SRC-012;VKM-SRC-025,VKM-SRC-012 p.26 (Табл. 1.1 [69]); VKM-SRC-025 p.31 (§2.3),EV-VN-S012-0065;EV-VN-S025-0182,EXACT,значения не усреднялись
PCF-05,температура в выработках / массиве,DEFINITIONAL,"A: воздух выработок +7…+10 °C, стабильно (Соловьёв 1992) | B: установившаяся температура на рудниках (воздух) 12–20 °C (Уралкалий 1999, для выбора масла) | C: требуемый режим 16–18 °C, φ=60–70 % (Филатова, без ссылки) | D: соль на уровне очистных работ +9–10 °C (БКПРУ-3, 1980-е)","разные величины (воздух/массив; измерение/требование); для массива СКРУ-1 — UNKNOWN, аналог D",PC-48;PC-49;PC-51,GAP-005,UNKNOWN,BKPRU3,MEDIUM,VKM-SRC-037;VKM-SRC-028;VKM-SRC-023;VKM-SRC-011,"VKM-SRC-037 p.42 (§2.8, с.82); VKM-SRC-028 p.137 (§2.3.7 Гидравлическое оборудование самоходного вагона); VKM-SRC-023 p.38 (rendered p.38; §2.4); VKM-SRC-011 p.39 (текст с.77)",EV-VN-S037-0337;EV-VN-S028-0108;EV-VN-S023-0190;EV-VN-S011-0726,EXACT,значения не усреднялись
PCF-06,удельный вес/плотность надсолевой толщи,VALUE,"A: 2,5 т/м3 — принято в формуле (4.1) для СКРУ-1 (ENGINEERING) | B: ρ=2200 кг/м3 — среднее по разрезу в модели Бельтюкова (ENGINEERING) | C: нормативные γ соляных пород 0,020–0,022 МН/м3 | D: измерено σv≈8,5 МПа при γH=7,7 МПа (БКПРУ-2, 350 м)",диапазон; постратонные плотности надсолевой толщи — UNKNOWN (GAP-001),PC-01;PC-02,CF-015;CF-017;GAP-001,ENGINEERING_ASSUMPTION,BKPRU2,MEDIUM,VKM-SRC-014;VKM-SRC-029;VKM-SRC-012,"VKM-SRC-014 p.118 (формула (4.1)); VKM-SRC-029 p.91 (§3.1); VKM-SRC-012 p.26 (Табл. 1.1 [69]); VKM-SRC-029 p.128 (§5.1.1, Рис. 5.2 (станции № 1, 2))",EV-VN-S014-0848;EV-VN-S029-0161;EV-VN-S012-0065;EV-VN-S029-0226,EXACT,значения не усреднялись
PCF-07,классификация разлома №98 (СКРУ-1),INTERNAL,"A: разлом фундамента с установленной активностью (Прил. 1, по магнитометрии) | B: разлом надсолевой толщи (текст с.258–259, рис. 4.7а)",хранить обе интерпретации; для модели — зона ослабления в надсолевой толще с позиционной неопределённостью ≈150 м,PC-35,,FACT,SKRU1,MEDIUM,VKM-SRC-011,"VKM-SRC-011 p.143 (Прил. 1 №98 vs стр. 258-260); VKM-SRC-011 p.130 (стр. 259-261; Рис. 4.6, 4.7); VKM-SRC-011 p.130 (стр. 259)",EV-VN-S011-2651;EV-VN-S011-2655;EV-VN-S011-2090,EXACT,значения не усреднялись
PCF-08,«установившийся» нортоновский закон карналлита,INTERNAL,"A: ε̇=3·K^6,3517 [1/сут] аппроксимирует K≈0,2–0,6 | B: по тем же испытаниям установившаяся стадия карналлита только при K≈0,3; затухающая при 0,2; выше — ускоряющаяся","закон — CANDIDATE_LAB_LAW со смешением стадий (ADV-033); применять только около K≈0,3",PC-15,CL-01,FACT,VKM_REGIONAL,HIGH,VKM-SRC-025;VKM-SRC-012,"VKM-SRC-025 p.157 (§6.1, (6.1)); VKM-SRC-025 p.154 (§6.1, с.154, Рис. 6.3); VKM-SRC-012 p.18 (§1.2, испытания на ползучесть [8])",EV-VN-S025-0857;EV-VN-S025-0848;EV-VN-S012-0044,NOT_FOUND,значения не усреднялись
PCF-09,отношение горизонтального сдвижения к оседанию ξ/η (нормативно),VALUE,"A: ξ_m(t)=m_ξ·η_m(t), m_ξ=0,4 при C≤0,45 (Лебедева по нормативу) | B: ξ0=a·η0, a=0,2–0,26 (Соловьёв 1992; визуально подтверждено PVC-02)",разные версии нормативов (1990/92 vs более поздние); хранить оба; для InSAR-оператора горизонталь — неопределённый параметр,PC-69;PC-63,,FACT,VKM_REGIONAL,HIGH,VKM-SRC-012;VKM-SRC-037,VKM-SRC-012 p.55 (формула (2.3)); VKM-SRC-037 p.170 (формула (8.137)),EV-VN-S012-0262;EV-VN-S037-0930,NOT_FOUND,значения не усреднялись
PCF-10,прогноз оседаний по линии №1 (СКРУ-1–СКРУ-2) на 2026/2031,MODEL_VS_OBSERVATION,"A: модель: очень малое (по оценке автора) развитие оседаний к 2026/2031 (разброс кривых ≲50 мм) | B: наблюдения: средняя скорость роста оседаний 29–35 мм/год в 2015–2020 по реперам линии №1 на стороне СКРУ-2 (рис. 4.8: реперы 13–30, 1СВП-143; на стороне СКРУ-1 замеров нет, рис. 4.12), процесс не стабилизирован","хранить; модель откалибрована по оседаниям (упругая, с понижающими коэффициентами) — не является независимой проверкой",PC-68;PC-32,,FACT,SKRU1_SKRU2_PILLAR,MEDIUM,VKM-SRC-012,"VKM-SRC-012 p.107 (pp.103,107,109); VKM-SRC-012 p.109 (§4.3 p.109); VKM-SRC-012 p.104 (§4.2 p.104)",EV-VN-S012-0583;EV-VN-S012-0589;EV-VN-S012-0564,FUZZY_66,значения не усреднялись
