finding_id,outcome,files_and_rows_changed,how_verified,notes
COVERAGE_DUPLICATES-010,FIXED,geology_evidence.csv: GEO-0695 feature_type/schema_structure_kind fault→fold (builder FT_OVR); GEO-0218/GEO-0695/GEO-0802 review_note — перекрёстная ссылка «та же структура» (review_fixes.csv),текст строк GEO-0218/0695/0802 (одинаковые название и размеры); FIX_DIFF.md,"Часть потока. Слияние дублей узлов spatial_hierarchy и пересчёт числа узлов — потоки MINING/DOCS. Строки геокаталога — свидетельства разных источников, они не сливаются."
COVERAGE_DUPLICATES-017,FIXED,"geology_evidence.csv: новые GEO-0996…GEO-1001 (EV-VN-S011-0313, -0320, -0342, -0343, -0616 — structure_surface, INTERPOLATION; EV-VN-S011-1593 — weak_layer); stratigraphic_thickness_observations.csv: новые STO-0628 (EV-VN-S011-1026, СКРУ-3 блок 5), STO-0629…0631 (EV-VN-S037-0323, СКПРУ-2 гор. −220), STO-0632…0633 (EV-VN-S037-0406, БКЗ-4)",все 9 vn_id присутствуют в каталогах (grep); маршрутизация совпадает с BOREHOLES build/horizon_pick_routing.csv; validate_catalogues.py 0 ошибок,"GEO-0333.interseam_thickness_m (mining_geometry) — поток MINING. Отметки структурных карт — INTERPOLATION (факт — только существование карты), числа не пересчитывались."
DOCS_LEAKAGE-010,FIXED,"правило D-02 в scripts/review_rules.py (все три каталога строк): coordinate_datum_evidence.csv CDE-0036, 0071, 0072, 0256, 0257, 0433, 0436, 0437; geology_evidence.csv GEO-0865, 0951, 0952, 0953, 0971, 0972, 0974; stratigraphic_thickness_observations.csv STO-0234, 0461, 0582, 0595, 0596 → ANALOGUE (UNKNOWN остаётся UNKNOWN), scope GENERAL_METHOD, исходная привязка — в review_note","validate_catalogues.py: 0 строк FACT+TEACHING_EXAMPLE, все TEACHING — ANALOGUE/UNKNOWN + GENERAL_METHOD","Строки BF-*, GEO-0115… (mining_geometry), CHR-0367 — поток MINING; тест каталогов — координатор."
DOCS_LEAKAGE-011,FIXED,"coordinate_datum_evidence.csv CDE-0027, 0051, 0226, 0252 INTERPRETATION→DERIVATION, CDE-0239 → INTERPOLATION; geology_evidence.csv GEO-0245, 0246, 0703 → DERIVATION, GEO-0699 → INTERPOLATION (record_recode.csv); stratigraphic_units.csv: 12 единиц FACT_BY_REFERENCE → FACT + новые колонки status_basis, definition_source_ids","validate_catalogues.py: статусы ⊂ 7 во всех 4 каталогах; 172 единицы проходят StratigraphicUnit/Provenance (FACT со ссылкой на источник), column_errors() = []","Разрезы между скважинами (S014-0169) отнесены к INTERPOLATION, а не к DERIVATION. MR-IDC-*, MR-RHEO-* — поток MECH_RHEO."
DOCS_LEAKAGE-015,FIXED,"geology_evidence.csv: 65 строк RULE_BASED со scope SKRU1/SKRU1_SKRU2 просмотрены вручную → basis_assignment MANUAL_REVIEW_SELFCHECK (SELFCHECK_BASIS в build_geology.py); evidence_basis исправлен у GEO-0383 (→DIRECT_OBSERVATION), GEO-0858 (→MAP_INTERPRETATION), GEO-0912 (→DIRECT_OBSERVATION); области применимости — по находкам ATTRIBUTION; GEOLOGY_EVIDENCE_RU.md §0 исправлен",пересчёт: все 80 строк со scope SKRU1/SKRU1_SKRU2_PILLAR/SOLIKAMSK_GROUP имеют MANUAL_REVIEW или MANUAL_REVIEW_SELFCHECK; FIX_DIFF.md,Правка handoff P2-02 — поток DOCS (координатор). Строки RULE_BASED вне СКРУ-1 (726) по-прежнему требуют просмотра перед WorldSpec — так и записано в отчёте.
DOCS_LEAKAGE-019,NOT_FIXED,—,пересечение GEO-0001…0563 подтверждено (mining_geometry_catalog.csv ↔ geology_evidence.csv); в каталогах потока голых ссылок на GEO-id геометрии нет,"Правка не в этом потоке: id geology_evidence стабильны (D-14, правило 3), префикс геометрии переименовывает MINING (GEO- → MGEO-), тест глобальной уникальности — координатор. Пример вреда: в ATTRIBUTION-006 GEO-0178/0179/0238/0358/0531 — строки mining_geometry, не геологии."
ATTRIBUTION-001,FIXED,"geology_evidence.csv GEO-0764 и coordinate_datum_evidence.csv CDE-0287: scope SKRU1→VKM_REGIONAL (record_recode.csv EV-VN-S018-0032), skru1_relevance→REGIONAL_WITH_SKRU1_MENTION, relevance HIGH→MEDIUM, текст «(SKRU-1)» заменён (review_fixes.csv), review_note с UNKNOWN-наложением (CDE-0290)","SRC-014 p.8 (текстовый слой): «СКРУ-1 (Соликамский и Ново-Соликамский участки), СКРУ-2 (Соликамский и Ново-Соликамский участки)»; текстовый слой SRC-018 p.5 без упоминания СКРУ",SE:S018-0032 (spatial_hierarchy) — поток MINING. Вместо REGIONAL_PRIOR использовано значение словаря потока REGIONAL_WITH_SKRU1_MENTION.
ATTRIBUTION-003,FIXED,"geology_evidence.csv GEO-0841: status FACT→DERIVATION (обобщение автора; record_recode.csv), description — 13,5 м отнесено к СКРУ-3 (review_fixes.csv), review_note со ссылками MC-SP-14/HYD-028/131/STO-0580","SRC-023 p.35 (текстовый слой): «Минимальная толщина водозащитной толщи на некоторых участках СКРУ-3 составляла всего 13.5 м … [25]»; p.39, p.109 — без рудника",Статус INTERPRETATION недопустим (7 статусов) → DERIVATION; scope SKRU1 оставлен для качественной части (объект ВКР). MR-IDC-0231 — поток MECH_RHEO.
ATTRIBUTION-004,FIXED,"geology_evidence.csv GEO-0815: scope→VKM_REGIONAL, spatial_level→geological_element, scale→MASSIF; GEO-0819, GEO-0820: scope→VKM_REGIONAL, spatial_level→deposit (record_recode.csv); skru1_relevance по правилу (REGIONAL_WITH_SKRU1_MENTION / REGIONAL)",SRC-023 p.35 (текстовый слой) — общая формулировка для соленосной толщи; сверено с HYD-029 (VKM_REGIONAL),MR-RHEO-N35 — поток MECH_RHEO. Значения CONTEXT/REGIONAL_PRIOR нет в словаре потока — использованы REGIONAL(_WITH_SKRU1_MENTION).
ATTRIBUTION-005,FIXED,"geology_evidence.csv GEO-0688: scope SKRU1→SKRU1_SKRU2_PILLAR, skru1_relevance→SKRU1_SKRU2_PILLAR_AREA; GEO-0691: →SKRU1_SKRU2_PILLAR (review_note: провал — со стороны СКРУ-2)","SRC-012 p.113 — «участка целика СКРУ-1 – СКРУ-2, примыкающего к провалу»; pp.33, 58 — провал со стороны СКРУ-2 (по GEO-0691)","Вопрос касается части целика → SKRU1_SKRU2_PILLAR (не SKRU2). CHR-0178, CC-05 — поток MINING."
