source_id,canonical_title,authors,year,type,local_path,external_url_or_doi,sha256_if_local,primary_secondary_method,site_specificity,reviewed_pages_sections,claims_supported,citation_admissibility,verification_status,r2_review_status
SUP01,Использование радарной интерферометрии для мониторинга оседаний земной поверхности на месторождениях полезных ископаемых (презентация),"Мусихин В.В. (докладчик), каф. МДГиГИС ПНИПУ",не установлен (материалы ≥2021; ссылки до 2017),"slide deck (PDF, 17 с.)",inputs/sources/supplementary/geokniga-02obrabotka.pdf,получено с geokniga (файлообменник); первичная публикация графиков не найдена,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,"primary (слайды автора), непрорецензировано",Соликамск (СКРУ-1/СКРУ-2) для p.14–15; Березники p.12,"все 17 страниц отрендерены; p.1,10–16 изучены; p.15 нативные растры переоцифрованы; p.14 врезка проанализирована","R2-C001…C019, C024, C034, C058, C066, C073, C074",DISCOVERY_ONLY,SUPPORTED_WITH_LIMITATIONS,FULLY_REVIEWED
SRC01,Геоинформационное моделирование оседаний земной поверхности при разработке ВКМКС (ВКР),Филатова М.С.; рук. Акматов Д.Ж.,2026,"ВКР специалиста, МИСИС",inputs/sources/primary/ВКР_Филатова_М_С.docx,—,45978d5fc446fa35d0b3e271c44a5790bc5b4101321b20f8078ff83dc8ae2931,secondary compilation of enterprise data (TIER_1 для рисунков-таблиц; TIER_5 для физических параметров со ссылками на не-ВКМ),СКРУ-1,"весь текст извлечён (858 блоков); гл.1–3.3 прочитаны; рис.12–18, 13, 22 проверены визуально; гл.4 — выборочно","R2-C022, C035–C053, C071",FINAL_OK (как ВКР) / NEEDS_REPLACEMENT для физических параметров,PARTIALLY_SUPPORTED,PARTIALLY_REVIEWED
SRC02,Горные и маркшейдерские работы при разработке Гремячинского месторождения калийных солей (ВКР),Бобровицкий Г.А.,не установлен,ВКР,inputs/sources/primary/НК 26 Бобровицкий Григорий.pdf,—,b83204aabdbb5902a8936a3b4d7393220ae4de0384b34b4db22b218df352ea59,other site,Гремячинское,"ключевой поиск параметров (сильвинит, прочность, мощность, углы)",—,"FINAL_OK (как ВКР, другой объект)",NOT_RELEVANT,PARTIALLY_REVIEWED
SRC03,Мониторинг оседаний на территории г. Березники… II. Метод устойчивых отражателей,"Бабаянц И.П., Барях А.А., Михайлов В.О. и др.",2023,"статья, Геофизические исследования 24(2):39–57",inputs/sources/primary/03-GR-24-2.pdf,doi:10.21455/gr2023.2-3,e134fc6d506d1e7ffcdabf4bd6da9e9a27554ce14139105310440490c7c86fda,primary peer-reviewed,Березники (регион ВКМ),текстовый слой всех 19 с.; pp.39–53 (печ.) прочитаны,R2-C020–C025,FINAL_OK,SUPPORTED,PARTIALLY_REVIEWED
SRC04,Поля смещений природных и техногенных объектов по данным спутниковой радарной интерферометрии (дисс. канд.),Бабаянц И.П.,2023,"диссертация, ИФЗ РАН",inputs/sources/primary/Babayants-Disser.pdf,—,a80ae607e33ddf25f49073400fa138aeba67a86dd5abac7d131732c9491eff21,primary,Березники; СКРУ-2 (§3.4),§3.3–3.4 (pp.40–70) прочитаны; pp.72–74 не перечитаны,"R2-C022, C026, C070",FINAL_OK,SUPPORTED,PARTIALLY_REVIEWED
SRC05,Мониторинг процессов оседаний… на основе интерферометрической обработки… (автореферат канд. дисс.),Мусихин В.В.,2012,"автореферат, Пермь",inputs/sources/primary/01006516068.pdf,—,faf80647870baa85d11569ecec7a70989990dd607ab307e9141f30a9d1d77e4d,primary,"ВКМКС (Соликамск 2011), Астрахань","pp.10–18 прочитаны; рис.3, 4, 6 проверены по рендеру (скан; OCR-слой ненадёжен)","R2-C024, C027–C031, C034",FINAL_OK,SUPPORTED,PARTIALLY_REVIEWED
SRC06,Настройка геомеханической модели подработанной толщи с учётом данных радарной интерферометрии,"Губанова Е.А., Глебова П.А.",2022,"статья, Горное эхо №4(89):39–43",inputs/sources/primary/106_Губанова__Глебова.pdf,doi:10.7242/echo.2022.4.6,2a4ff431d272cce17c873b65db589f41933332905ace3fd1abb550fb5c346350,primary (метод) / other site,Тюбегатан,весь текст,R2-C032; TRACK B метод,FINAL_OK,SUPPORTED,FULLY_REVIEWED
SRC07,Спутниковый мониторинг геодинамики (учебник),Гусев А.П.,2022,учебник,inputs/sources/primary/Гусев_АП_Спутниковый_мониторинг_геодинамики.pdf,—,c6fb2be70b04f8d868929b44de746729615eeb97375a9b442816cb022b200770,method,общая,ключевой поиск,—,FINAL_OK (метод),NOT_RELEVANT,NOT_RELEVANT
SRC08,Опыт мониторинга оседаний… на примере Санкт-Петербурга,Ширшова В.Ю.,2020,статья,inputs/sources/primary/Shirshova (1).pdf,—,887d802ec7b7a0a8788b2527ac1240432cb353b655ed00dc51fd8d8269aa21bf,method / other site,СПб,ключевой поиск,—,FINAL_OK (метод),NOT_RELEVANT,NOT_RELEVANT
SRC09,Спутниковая радарная интерферометрия: информационно-вычислительные аспекты,Шокин Ю.И. и др.,2016,статья,inputs/sources/primary/sputnikovaya_radarnaya_interferometriya_informatsionno_vychislitelnye.pdf,—,fd03e70d87017a58b5f32533efb80861aeb0c3910f7c828ac18c6485037a4d0b,method,Кузбасс,ключевой поиск,—,FINAL_OK (метод),NOT_RELEVANT,NOT_RELEVANT
