row_id,catalog,category,subcategory,item,value_as_printed,unit,site_attribution,scope,spatial_level,depth_or_unit_context,time_context,status,evidence_type,scale,skru1_transfer,evidence_strength,confidence,relevance_normal_skru1,relevance_accident_scenario,worldspec_role,source_ids,locator,vn_ids,prev_evidence_ids,extraction_method,quote_check,visual_recheck,conflict_ref,notes
HYD-001,hydro_evidence_catalog,SURFACE_HYDROLOGY,,Главная дрена района — р. Кама (западная часть месторождения); подпор Камского водохранилища до широты Соликамска; урез водохранилища +108 м,Кама — главный водоток; подпор до широты г. Соликамска; урез +108 м абс.,м абс.,ВКМКС (весь район),VKM_REGIONAL,deposit,,,FACT,DESCRIPTIVE,NOT_APPLICABLE,REGIONAL_PRIOR,MODERATE,HIGH,MEDIUM,MEDIUM,BOUNDARY_CONDITION,VKM-SRC-011;VKM-SRC-023;VKM-SRC-040,VKM-SRC-011 p.6 (§1.1) | VKM-SRC-040 p.11 (§1.1) | VKM-SRC-023 p.26 (rendered p.26; §2.1 (rendered p.25-26)),EV-VN-S011-0033;EV-VN-S040-0021;EV-VN-S023-0075,,TEXT_LAYER,FUZZY_76,,,Региональная дрена задаёт базис дренирования надсолевых водоносных горизонтов (сток ТКТ на запад к Каме — HYD строки ТКТ). Для нормального сценария СКРУ-1 — только внешнее ГУ гидро-модели; координаты уреза/подпора относительно поля СКРУ-1 не даны. SRC-040 и SRC-023 — вторичные компиляции Кудряшова.
HYD-002,hydro_evidence_catalog,CLIMATE_RECHARGE,,Годовые осадки 600–700 мм; зона избыточного увлажнения; осадки > испарения; снежный покров ноябрь–апрель; переход через 0 °С в середине апреля,600–700 мм/год; снег XI–IV; весеннее снеготаяние с середины апреля,мм/год,ВКМКС,VKM_REGIONAL,deposit,,,FACT,MEASURED,NOT_APPLICABLE,REGIONAL_PRIOR,MODERATE,MEDIUM,MEDIUM,LOW,BOUNDARY_CONDITION,VKM-SRC-011;VKM-SRC-023,VKM-SRC-011 p.6 (§1.1) | VKM-SRC-023 p.26 (rendered p.26; §2.1),EV-VN-S011-0035;EV-VN-S023-0077,,TEXT_LAYER,NOT_FOUND,,HYD-CF1,"Питание надсолевых вод — атмосферные осадки (см. также SRC-014 p.21). Сезонность (снег, половодье) важна также как фактор сезонности наблюдений (нивелирование, InSAR). Период климатических норм и метеостанция не указаны."
HYD-003,hydro_evidence_catalog,CLIMATE_RECHARGE,,Годовые осадки 600–960 мм (другая компиляция),600–960 мм,"мм (в год, подразумевается)",ВКМКС,VKM_REGIONAL,deposit,,,FACT,DESCRIPTIVE,NOT_APPLICABLE,REGIONAL_PRIOR,WEAK,MEDIUM,LOW,LOW,BOUNDARY_CONDITION,VKM-SRC-014,VKM-SRC-014 p.21 (§1.4),EV-VN-S014-0289,,TEXT_LAYER,FUZZY_70,,HYD-CF1,"Верхняя граница 960 мм не совпадает с 600–700 мм у Кудряшова (SRC-011). Оба значения сохраняются, не усредняются."
HYD-004,hydro_evidence_catalog,GROUNDWATER_REGIME,,Режим уровней подземных вод надсолевой толщи: сезонные максимумы в весеннее снеготаяние и летне-осенние дожди,сезонные пики уровня (без чисел),,ВКМКС (надсолевая толща),VKM_REGIONAL,deposit,,,FACT,MEASURED,NOT_APPLICABLE,REGIONAL_PRIOR,MODERATE,MEDIUM,LOW,MEDIUM,BOUNDARY_CONDITION,VKM-SRC-011,VKM-SRC-011 p.38 (текст с.74),EV-VN-S011-0701,,TEXT_LAYER,EXACT,,,Нет рядов наблюдений уровней (пьезометрии) по СКРУ-1 в корпусе — см. GAP.
HYD-005,hydro_evidence_catalog,HYDROSTRATIGRAPHY,,"Два гидрогеологических этажа (надсолевой и подсолевой), разделённые соляной толщей-водоупором",верхний (надсолевой) / нижний (подсолевой) этажи; соляная толща = региональный водоупор,,ВКМКС,VKM_REGIONAL,deposit,,,FACT,DESCRIPTIVE,NOT_APPLICABLE,REGIONAL_PRIOR,STRONG,HIGH,HIGH,HIGH,INITIAL_CONDITION,VKM-SRC-011;VKM-SRC-014;VKM-SRC-037;VKM-SRC-040,VKM-SRC-014 p.21 (§1.4) | VKM-SRC-040 p.16 (§1.1 Гидрогеология и карст) | VKM-SRC-037 p.8 (§1.1.4) | VKM-SRC-011 p.176 (English SUMMARY 1.3.3 The Fractures; 1.4 Hydrogeology; 2.1),EV-VN-S014-0290;EV-VN-S040-0045;EV-VN-S037-0105;EV-VN-S011-3874,,TEXT_LAYER,FUZZY_78,,,"Согласовано в 4 независимых по изданию источниках (1992, 2013, 2013, 2017). Для СКРУ-1 — региональный приор (не SITE_SPECIFIC)."
HYD-006,hydro_evidence_catalog,HYDROSTRATIGRAPHY,,Промышленные пласты внутри соляной толщи в естественных условиях абсолютно гидрогеологически изолированы; отложения соляной толщи безводны,абсолютная изоляция в естественных условиях; соляная толща безводна,,ВКМКС,VKM_REGIONAL,deposit,,,FACT,DESCRIPTIVE,NOT_APPLICABLE,REGIONAL_PRIOR,MODERATE,HIGH,HIGH,HIGH,INITIAL_CONDITION,VKM-SRC-014;VKM-SRC-020,VKM-SRC-014 p.21 (§1.4) | VKM-SRC-014 p.22 (§1.4) | VKM-SRC-020 p.9 (§1.1),EV-VN-S014-0290;EV-VN-S014-0295;EV-VN-S020-0091,,TEXT_LAYER,FUZZY_78,,HYD-CF2,Утверждение «абсолютная изоляция» относится к естественному (догорному) состоянию; противоречит ли оно данным о внутрисолевых рассолах и проницаемых глинистых прослоях — см. HYD-CF2 (не противоречие по сути: разные масштабы/состояния).
HYD-007,hydro_evidence_catalog,HYDROSTRATIGRAPHY,,"Вся надсолевая толща (кроме зоны аэрации) водонасыщена; водоносные комплексы слабо изолированы друг от друга, гидравлически связаны между собой и с поверхностными водами",водонасыщена; комплексы слабо изолированы,,ВКМКС,VKM_REGIONAL,deposit,,,FACT,DESCRIPTIVE,NOT_APPLICABLE,REGIONAL_PRIOR,MODERATE,HIGH,MEDIUM,HIGH,INITIAL_CONDITION,VKM-SRC-011;VKM-SRC-014;VKM-SRC-040,VKM-SRC-014 p.21 (§1.4) | VKM-SRC-040 p.16 (§1.1 Гидрогеология и карст) | VKM-SRC-011 p.38 (текст с.75),EV-VN-S014-0291;EV-VN-S040-0045;EV-VN-S011-0706,,TEXT_LAYER,EXACT,,HYD-CF3,SRC-011 p.38: пресные воды гидравлически связаны с минерализованными (подтягивание при интенсивных откачках). Противоречит формулировке SRC-037 p.9 «плохо сообщающиеся» (HYD-CF3).
HYD-008,hydro_evidence_catalog,HYDROSTRATIGRAPHY,,Пермские воды — разобщённые водоносные горизонты со слабой взаимной гидравлической связью (формулировка Руководства 1992),плохо сообщающиеся горизонты,,ВКМКС,VKM_REGIONAL,deposit,,,FACT,DESCRIPTIVE,NOT_APPLICABLE,REGIONAL_PRIOR,MODERATE,HIGH,MEDIUM,HIGH,INITIAL_CONDITION,VKM-SRC-037,"VKM-SRC-037 p.9 (djvu-разворот, с.16), §1.1.4",NONE (visual read this stream; no merged record),,VISUAL_READ_THIS_STREAM,TRANSCRIBED,"CONFIRMED: рендер p9 300 dpi (clip), 2026-09-26",HYD-CF3,Новая запись этого потока (в merged нет отдельной записи). Противоречие с HYD строкой «слабо изолированы» (SRC-014/040/011) — сохраняются обе формулировки.
HYD-009,hydro_evidence_catalog,HYDROSTRATIGRAPHY,,"Гидростратиграфические подразделения надсолевой толщи (Иконников, 1990): четвертичный аллювиальный; палеоген-неогеновый; шешминский дренированный; шешминский слабоводоносный; соликамская терригенно-карбонатная свита (водоносная)",5 подразделений сверху вниз; основные ресурсы — соликамская свита и слабоводоносный шешминский комплекс,,ВКМКС,VKM_REGIONAL,deposit,,,FACT,LITERATURE_CITED,NOT_APPLICABLE,REGIONAL_PRIOR,MODERATE,HIGH,MEDIUM,HIGH,INITIAL_CONDITION,VKM-SRC-011,VKM-SRC-011 p.37 (текст с.72),EV-VN-S011-0691,,TEXT_LAYER,EXACT,,,Нижняя граница верхнего этажа = кровля солей (региональный водоупор).
HYD-010,hydro_evidence_catalog,AQUIFER,,"Четвертичный горизонт: песчано-гравийные отложения наиболее водообильны, дебиты 0,1–5 л/с и более; минерализация 0,5–30 г/л","дебиты 0,1–5 л/с и более; минерализация 0,5—30 г/л",л/с; г/л,ВКМКС,VKM_REGIONAL,geological_element,Q,,FACT,DESCRIPTIVE,FIELD,REGIONAL_PRIOR,MODERATE,MEDIUM,LOW,MEDIUM,PARAMETER_PRIOR,VKM-SRC-014;VKM-SRC-037,VKM-SRC-014 p.21 (§1.4) | VKM-SRC-037 p.9 (§1.1.4),EV-VN-S014-0292;EV-VN-S037-0106,,TEXT_LAYER,FUZZY_62,"SRC-037 p9: 0,5—30 г/л подтверждено (рендер 110/300 dpi)",,Верхний предел 30 г/л для четвертичных вод выглядит высоким для пресной зоны; как напечатано (SRC-037).
