path,kind,size_bytes,n_files,classification,reason_ru,reusable_parts,depends_on,referenced_by
.gitattributes,repo_config,3978,1,REBUILD,"~40 правил относятся к путям, которых нет в дереве (codex/**, inputs/**, repo_bootstrap/**, SKRU1_ACTUAL_DATA_TABLES_v1/**, data/scenario_simulation_v1/**, scripts/generate_scenario_v1.py и др.) или к v2/v2.1, которые уходят из main",общие LFS-паттерны (*.zip/*.pdf/*.npz/*.parquet/*.joblib…) и eol=lf для *.py/*.md/*.csv/*.json/*.yaml,,CLOUD_TO_LOCAL_HANDOFF_RU.md;artifacts/research/r2_adversarial_audit/source_inventory.csv;docs/architecture/REPOSITORY_ARCHITECTURE_RU.md;docs/reports/MUSIKHIN_LINE1_ACCEPTANCE_20260923.json;docs/reset_2026_09/run_kit/workflows/repo_audit.js
.gitignore,repo_config,1444,1,KEEP_CURRENT,"корректно исключает work/, venv, секреты, retired-деревья; мелкая правка: убрать inputs/holdout_candidates/*, добавить .venv-*/",,,artifacts/research/r2_adversarial_audit/source_inventory.csv;docs/architecture/REPOSITORY_ARCHITECTURE_RU.md;docs/reports/RECONSTRUCTION_ATLAS_V1_RU.md;docs/reset_2026_09/run_kit/workflows/repo_audit.js
.python-version,repo_config,8,1,KEEP_CURRENT,3.13.13 совпадает с requires-python; VM использует 3.13.12 — допустимо,,,artifacts/research/r2_adversarial_audit/source_inventory.csv;docs/architecture/REPOSITORY_ARCHITECTURE_RU.md;docs/reset_2026_09/run_kit/workflows/repo_audit.js
AGENTS.md,root_doc,2766,1,REBUILD,"обязательный список чтения указывает на документы, уходящие в legacy (experiment_protocol.yaml, acceptance_criteria.yaml, MODEL_RESEARCH_PROGRAM); описывает цепочку Physical World v1/OpenGeoSys","блок 'Обязательные ограничения' (относительные пути, work/, no test/evaluator truth, receipt на каждое преобразование, historical scores не переносятся)",,CLAUDE.md;CLOUD_TO_LOCAL_HANDOFF_RU.md;README.md;README_FIRST.md;artifacts/research/r2_adversarial_audit/reviewed_file_hashes.csv;artifacts/research/r2_adversarial_audit/source_inventory.csv;docs/architecture/REPOSITORY_ARCHITECTURE_RU.md;docs/governance/PATH_POLICY.md;…(+1)
CLAUDE.md,root_doc,4360,1,REBUILD,описывает старую цепочку 'PW v1 -> OGS reference case' и cloud-провижининг OGS как текущий приоритет; противоречит reset (solvers = будущие адаптеры),правила FACT/DERIVATION/MODEL_CHOICE/ENGINEERING_ASSUMPTION/UNKNOWN; 'analogue не становится SITE_SPECIFIC'; 'ranges не схлопываются'; two-repository rule,,CLOUD_TO_LOCAL_HANDOFF_RU.md;docs/architecture/REPOSITORY_ARCHITECTURE_RU.md;docs/reset_2026_09/run_kit/workflows/repo_audit.js
CLOUD_TO_LOCAL_HANDOFF_RU.md,root_doc,34028,1,KEEP_CURRENT,актуальный журнал передачи reset-фазы; после завершения Stage 1 перенести в docs/reset_2026_09/ (не держать в корне),,,docs/reset_2026_09/NIGHT_RUN_LEDGER_RU.md
README.md,root_doc,5580,1,REBUILD,описывает v2.1 stress lab / R1 / R2 / Gate B3 как текущие слои и 2D/2.5D → OGS; Windows-путь E:\Диплом в примере,описание двух репозиториев и LEGACY_RETIRED-границы,,.gitignore;artifacts/data_quality/scenario_representation_v2/independent_validation.json;artifacts/data_quality/scenario_representation_v2_1/acceptance_receipt.json;artifacts/data_quality/scenario_representation_v2_1/independent_origin_validation.json;artifacts/data_quality/scenario_simulation_v2_1/correction_receipt.json;artifacts/data_quality/scenario_simulation_v2_1/output_parity.csv;artifacts/data_quality/scenario_simulation_v2_1/two_run_receipt.json;artifacts/inventory/run_01_eda_targets_v1.csv;…(+27)
README_FIRST.md,root_doc,3382,1,REBUILD,"'Current stress lab: v2.1', 'Следующий этап — Physical Evidence Consolidation … 2D/2.5D'; Windows-путь E:\Диплом",перечень LEGACY_RETIRED и правило 'frozen manifests не переписываются',,.gitattributes;AGENTS.md;CLAUDE.md;README.md;artifacts/research/r2_adversarial_audit/reviewed_file_hashes.csv;artifacts/research/r2_adversarial_audit/source_inventory.csv;docs/reports/MUSIKHIN_LINE1_ACCEPTANCE_20260923.json
pyproject.toml,repo_config,521,1,REBUILD,"имя 'skru1-research', packages.find находит и legacy skru1; после удаления skru1 переименовать (vkm-world), оставить numpy/pandas/PyYAML/pydantic; pytest-конфиг пригоден",[tool.pytest.ini_options] addopts/testpaths/pythonpath,,CLOUD_TO_LOCAL_HANDOFF_RU.md;README.md;artifacts/research/r2_adversarial_audit/source_inventory.csv;docs/architecture/REPOSITORY_ARCHITECTURE_RU.md;scripts/build_gate_a1_notebook.py;scripts/build_gate_b0_b1_notebook.py;scripts/build_gate_b2_notebook.py;scripts/build_gate_b3_notebook.py;…(+1)
schemas/worldspec_vnext.schema.json,schema,66643,1,KEEP_CURRENT,"новая JSON-схема WorldSpec vNext (commit e9f3a57), генерируется scripts/export_worldspec_schema.py",,src/vkm_world/worldspec,docs/reset_2026_09/NIGHT_RUN_LEDGER_RU.md;docs/worldspec/WORLD_SPEC_VNEXT_RU.md;scripts/export_worldspec_schema.py;src/vkm_world/worldspec/io.py
