finding_id,outcome,files_and_rows_changed,how_verified,notes
DOCS_LEAKAGE-004,FIXED,"MATHEMATICAL_MODEL_REGISTRY.csv: MM-DER-001 (name_ru, physical_meaning_ru, equation_plain, variables, assumptions, site_applicability, locator, known_variants, intended_role, confidence HIGH→MEDIUM, notes); MATHEMATICAL_FOUNDATION_CATALOGUE_RU.md §5 строка «Стратиграфия», §1","Прочитаны MM-DER-001 и §5; сверено с D-05 (PHASE1_DESIGN_DECISIONS_RU.md) и legacy_pw_ogs_classification.csv (RD-021 стр. 266, DC-STRAT-base_column_nearest_median стр. 273 = SUPERSEDED_ASSUMPTION); после сборки строка не содержит argmin как роли WorldSpec","Правило argmin (RD-021) сохранено только в known_variants с меткой LEGACY_RETIRED и в locator как история; роль — интервалы мощностей по каждой скважине (DERIVATION), представительная скважина не выбирается. PUBLIC-копию отчёта (docs/science) обновляет координатор."
DOCS_LEAKAGE-005,FIXED,"MATHEMATICAL_MODEL_REGISTRY.csv: MM-DER-004 (name_ru, physical_meaning_ru, conflicting_forms, intended_role, future_execution INITIAL_CONDITION→CONTEXT_ONLY, status MODEL_CHOICE→DERIVATION, notes); MM-DER-005 (name_ru, intended_role LEGACY, future_execution→CONTEXT_ONLY, notes); MM-DER-006 (intended_role, assumptions, notes); FORMULA_CONFLICTS.csv: FC-033.form_a, FC-038.form_a; отчёт §3 п.5, п.8, §5 строки «Начальное поле» и «Эквивалентный слой»","Сверено с legacy_pw_ogs_classification.csv: DC-K0-elastic-nu0.2/0.3/0.4 (стр. 289–291) SUPERSEDED; RD-015 (260), DC-EEQ-* (296–299) SUPERSEDED; RD-024 (269) LEGACY_ONLY; RD-018/DC-EQL-* (263, 310–321) USEFUL_VERIFICATION","H-λ1 исключена из ансамбля IC (λ ∈ {0,45; 0,60; 0,71; 1}); MM-DER-005 — только сравнение; MM-DER-006 — кандидатное правило адаптера процесса, «вход OGS reference case» удалён."
TRANSFER-001,FIXED,MATHEMATICAL_MODEL_REGISTRY.csv: MM-DER-001 (как DOCS_LEAKAGE-004; confidence HIGH→MEDIUM); отчёт §5 «Стратиграфия»,"То же, что DOCS_LEAKAGE-004; borehole_catalog (BOREHOLES): 29 скважин табл. 3.1, атрибуция по рисунку (DERIVATION)",site_applicability больше не утверждает SKRU1 для колонки: атрибуция к руднику — по каждой скважине.
TRANSFER-028,FIXED,"MATHEMATICAL_MODEL_REGISTRY.csv: MM-DER-005 и MM-DER-006 (scale CALIBRATED_EFFECTIVE_MODEL→DESIGN, confidence HIGH→MEDIUM, site_applicability → VKM_REGIONAL (правило) с оговоркой об ω UNRESOLVED/design, intended_role, notes); FORMULA_CONFLICTS.csv: FC-038.form_a",Сверено: ничего не калибровалось (идеализация RD-015/RD-018 над нормативным E); ω СКРУ-1 — строки ГИС UNRESOLVED (GEO-0196…0212) и проектные сетки Вк (DC-OMEGA-SKRU1-Vk-17/18),"Роль MM-DER-006 — адаптер процесса, не часть мира."
PRIMARY_SECONDARY-003,FIXED,"MATHEMATICAL_MODEL_REGISTRY.csv: MM-PILLAR-001 (origin→TEXTBOOK_STANDARD, cited_primary); MM-PILLAR-002 (origin→CITED_IN_SOURCE, cited_primary [20] 1985, known_variants — цепочка редакций); MM-PILLAR-003 (name_ru, origin→CITED_IN_SOURCE, cited_primary, site_applicability, known_variants, conflicting_forms; записи EV-VN-S019-0014 и EV-VN-S021-0025 перенесены); новая строка MM-PILLAR-003-B (ред. 2014: [C]=0,30 для каменной соли; правило районирования VKM-SRC-021); MM-PILLAR-010.known_variants; RECORD_TO_MODEL_MAP.csv: EV-VN-S019-0014, EV-VN-S021-0025 → MM-PILLAR-003-B","OCR VKM-SRC-037 p.166 (K1 «по графикам [20]», K2 [20], K5 [20]), p.230 ([20] = Указания ВНИИГ 1985, 232 с.); VKM-SRC-019 p.1–2 (Указания [3], [C]=0,30) и p.5 ([3] = ред. 2014, введ. 30.03.2017); VKM-SRC-032 p.1 (Турнер–Шевяков, [1])",Строка разделена по редакциям (рекомендация находки). Связь редакций 1985 → 1990/92 → 2014 → 2022 записана в MM-PILLAR-002/003/010.
PRIMARY_SECONDARY-007,FIXED,"MATHEMATICAL_MODEL_REGISTRY.csv: MM-WPS-004 (origin→CITED_IN_SOURCE, cited_primary); cited_primary у MM-WPS-003/005/006, MM-SUBS-015/017, MM-SUBS-010/012, MM-PILLAR-004, MM-ROOF-021; MM-SUBS-015 (name_ru, site_applicability, known_variants); FORMULA_CONFLICTS.csv: form_b FC-003/005/028/029, form_a FC-004","OCR VKM-SRC-037 p.13 (с. 25: разд. 8.4 и 8.5 — действовавшие методики; табл. 1.5 [20]), p.172 (h_в и зона смягчения — по [20]); у самих (8.135), (8.136), (8.143)–(8.147) прямой ссылки нет","Вердикт PLAUSIBLE: формулировка осторожная («по контексту воспроизводит Указания 1985 [20]»), origin формул без прямой ссылки оставлен ORIGINAL_SOURCE. Распространено на весь §8.4 (MM-PILLAR-004, MM-ROOF-021). Внешний поток NORMATIVE подтверждает, что отдельной редакции Указаний 1990/92 не было (редакции 1972, 1976, 1985, 1994, 2004, 2008, 2014, 2022)."
PRIMARY_SECONDARY-008,FIXED,"MATHEMATICAL_MODEL_REGISTRY.csv: MM-STR-009 (site_applicability, cited_primary)","OCR VKM-SRC-025: p.31 (E растяжения 2,5–4,5 ГПа; ν 0,30–0,45), p.61 (E 1,0–38,0 ГПа, ср. 13,8), p.107 табл. 4.2 (2,54 ГПа); список VKM-SRC-029 [94] = VKM-SRC-025",Часть MECH_RHEO (MR-MECH-0528/0549) и CITATIONS (LIN-04) — у своих потоков.
PRIMARY_SECONDARY-009,FIXED,"MATHEMATICAL_MODEL_REGISTRY.csv: MM-CREEP-018…021 (origin→TEXTBOOK_STANDARD, cited_primary; вместе с D-01: status→DERIVATION, scale→CALIBRATED_EFFECTIVE_MODEL, notes); MM-NUM-001 (origin→TEXTBOOK_STANDARD, cited_primary); MM-CONTACT-001 (origin→CITED_IN_SOURCE, cited_primary); MM-CONTACT-002 (name_ru, equation_plain, origin→CITED_IN_SOURCE, cited_primary, known_variants; запись EV-VN-S025-0798 перенесена); новая строка MM-CONTACT-002-B ((5.11) Бартон, TEXTBOOK_STANDARD); MM-CONTACT-003 (origin→TEXTBOOK_STANDARD, cited_primary); MM-CONTACT-005 (origin→CITED_IN_SOURCE, cited_primary); RECORD_TO_MODEL_MAP.csv: EV-VN-S025-0798 → MM-CONTACT-002-B","VKM-SRC-036 all.txt: стр. 337 (return mapping [12,13,14]), 474 (Bingham [12]), 1213 (Duvaut–Lions [14]), 1982 (Perzyna [12,13,14]), 2860 (Perić [8]); список [8] Findley 1989, [12] de Souza Neto 2008, [14] de Borst 2012; OCR VKM-SRC-025 p.141 («известные формулы»), p.143 (Линьков [44]), p.146 ((5.10) по схеме [44]; (5.11); (5.12)), p.151 ((5.17) по [64]); список [44] Линьков 1979, [64] Работнов 1977","Уточнение относительно находки: (5.10) тоже по схеме [44] (с. 146), поэтому основная строка MM-CONTACT-002 — CITED_IN_SOURCE, а (5.12) отмечена в cited_primary как оригинал авторов. Вероятная ошибка ссылки [8] для закона Перича записана в cited_primary и notes MM-CREEP-021. MR-RHEO-CL-18…21 — поток MECH_RHEO."
PRIMARY_SECONDARY-011,FIXED,"build_registry.py: правило VKM-SRC-014 (SRC014_NOTE); MATHEMATICAL_MODEL_REGISTRY.csv: cited_primary у 22 строк с VKM-SRC-014 (MM-BACKFILL-001…005, MM-CREEP-003/004, MM-GASDYN-001, MM-HYDTR-001, MM-IS-001/002, MM-MINE-009, MM-ROOF-002…010, MM-STR-003, MM-VENT-001); origin ORIGINAL_SOURCE→CITED_IN_SOURCE у MM-BACKFILL-003/004/005","Корпус VKM-SRC-014 p.7 (предисловие: основа — «Методическое руководство… ОАО «Сильвинит»» 2011, 487 с.; оригинальна гл. 8); оглавление p.5 (гл. 8 с с. 199, строк реестра из гл. 8 нет); EXT-SRC-031 = это руководство (physical_evidence_v1/external_sources.csv)","Системная правка в сборщике, а не построчно. Каталоги механики/реологии/горной геометрии — потоки MECH_RHEO и MINING."
PRIMARY_SECONDARY-016,FIXED,"MATHEMATICAL_MODEL_REGISTRY.csv: MM-LAB-005 (name_ru, equation_plain, origin→TEXTBOOK_STANDARD, cited_primary, known_variants; записи EV-VN-S037-0130, EV-VN-S025-0418 перенесены); новая строка MM-LAB-005-B (Θ = σ_i/σ_сж, опыты Титова, CITED_IN_SOURCE); RECORD_TO_MODEL_MAP.csv: EV-VN-S037-0130, EV-VN-S025-0418 → MM-LAB-005-B","OCR VKM-SRC-025 p.80 (опыты Б.В. Титова [53]); список [53] = VKM-SRC-037 (Недра, 1992), [17]–[19] = ГОСТ 21153.2-84, 21153.3-85, 28985-91","Строка разделена, чтобы у определений (ГОСТ) и у (3.7) были разные origin. MR-MECH-1333/1553 — поток MECH_RHEO."
