"architecture","family","paper_year","venue_status","irregular_time_native","missingness_handling","short_history_suitability","uncertainty_support","parameter_efficiency","implementation_maturity","fit_with_frozen_representation","scientific_distinctness_from_IMM","main_downside","recommendation","key_sources"
"C01-v2.1-TA: GRU + GRU-D-style hidden-state decay + valid/missing flags + horizon-conditioned head + B1 anchor + 3 quantiles","recurrent (time-aware)","2014/2018/2026 (GRU; GRU-D decay; GRUwE)","PR components","partial: Δt as input + structural decay γ(Δt)","value_valid and missing_campaign flags as inputs; frozen imputation stays flagged","high: recursion over 3–13 train tokens, natural extension to 14–16","quantile head {0.025,0.5,0.975} + CQR on calibration role; seed spread as diagnostic","high: 2 131 / 5 603 / 17 155 params","high: plain PyTorch GRUCell loop; Gate C1 deterministic precedent","high: 5 frozen channels + masks; horizon/target type from allowlisted fold tabular state; new model spec, no new representation","medium: learned recursive filter without physics","estimand mismatch (observed-target training); can learn generator/calendar; OOD systematic step","PRIMARY","S01;S03;S06;S07;S78;S79"
"T01-v2.1-CTB: compact time-token Transformer, continuous-time ALiBi bias, target-time query, pre-LN","transformer (irregular-time adapted)","2017/2022/2020 (Transformer; ALiBi; TiSASRec/mTAN ideas)","PR components","yes: relative time bias in years + gap channel; no absolute time","key-padding mask; valid/missing flags","medium-high: relative bias extrapolates to longer windows","same head + CQR","medium: 10 339–70 339 params","medium: custom float attention bias via SDPA; ~150 lines","high","high: non-recursive content-adaptive aggregation of the window","more design degrees of freedom; little capacity benefit at ≤16 tokens; straw-man risk if misdesigned","SECONDARY","S09;S20;S22;S23;S30"
"Vanilla GRU (C01 v2.1 construction, Δt only as input)","recurrent","2014","PR","no (index time)","none (historical C01 ignored masks)","high","none (point)","high (~1.1k)","high","high but lacks horizon and value_valid inputs","medium","no horizon; bounded output cannot extrapolate rate level","REJECT","S01"
"LSTM (compact)","recurrent","1997","PR","no","none","high","none","high","high","high","medium","redundant with GRU; no new scientific question","REJECT","S02"
"GRU-D (original)","recurrent (missingness-aware)","2018","PR (Scientific Reports)","partial: per-variable δ","input decay to empirical mean + masks","high","none","high","medium (community code)","low: input decay inactive (missed campaigns are not tokens); mean reversion wrong for cumulative settlement","medium","semantics mismatch; useful hidden decay already in PRIMARY","REJECT","S03;S06"
"T-LSTM","recurrent (time-aware)","2017","PR (KDD)","partial: fixed g(Δt)=1/log(e+Δt)","none","high","none","high","low","medium","medium","hand-fixed decay form designed for EHR visits; nested by learned decay","REJECT","S04"
"Phased LSTM","recurrent (time-gated)","2016","PR (NeurIPS)","yes (oscillating time gate)","none","low: designed for high-rate asynchronous event streams","none","high","medium","low","medium","periodic gate meaningless for 3–16 tokens at 42–1099 day gaps","REJECT","S05"
"GRUwE (GRU with exponential basis functions)","recurrent (time-aware)","2026","PR (TMLR)","partial: time-triggered reset","zero imputation + masks","high","none built-in (acknowledged)","high","medium (paper pseudocode)","high","medium","mechanism adopted in PRIMARY; separate implementation adds nothing","REJECT","S06"
"Causal TCN (historical C03)","convolutional","2018","PR","no","valid mask on slots","medium","none","high","high","medium","medium","convolution over left-padded slots assumes regular step","REJECT",""
"LSTNet / DLinear-style linear model","linear/hybrid","2018/2023","PR","no","none","medium","none","very high","high","low (slot-based)","low","slot mixing invalid under irregular time; linear-path idea used via B1 anchor","REJECT","S07;S13"
"Vanilla compact Transformer with index positional encoding","transformer","2017","PR","no","padding mask only","low: positions 1–3 never trained (train ≤13), no physical time","none","medium","high","medium","high","index ≠ time; untrained positions; poor length extrapolation","REJECT","S09;S20"
"Temporal Fusion Transformer (TFT)","transformer (multi-horizon)","2021","PR (IJF)","no","none native","low: decoder collapses to one step","quantiles","low (hidden ~160 typical)","high (libraries)","low","medium","multi-horizon + known-future machinery unused; VSN/attention weights are not physical explanation","REJECT","S18;S25;S26"
"PatchTST","transformer (patching)","2023","PR (ICLR)","no","none","very low: one patch at L≤16","none","medium","high","very low","low","patching benefit requires long regular lookback","REJECT","S14"
"iTransformer","transformer (variate tokens)","2024","PR (ICLR)","no","none","very low","none","medium","high","very low","low","attention over 5 deterministically linked channels; time handled by slot MLP","REJECT","S15"
"Informer","transformer (LTSF)","2021","PR (AAAI)","no","none","very low","none","low","high","very low","low","solves O(L²) at L~1000; irrelevant at L=16","REJECT","S10"
"Autoformer","transformer (LTSF)","2021","PR (NeurIPS)","no","none","very low","none","low","high","very low","low","decomposition/autocorrelation need regular grid and periods","REJECT","S11"
"FEDformer","transformer (LTSF)","2022","PR (ICML)","no","none","very low","none","low","high","very low","low","frequency representation undefined on 3–16 irregular points","REJECT","S12"
"TimesNet","CNN/transformer (period 2D)","2023","PR (ICLR)","no","none","very low","none","low","high","very low","low","needs regular grid and multiple periods","REJECT","S16"
"TSMixer","MLP-mixer","2023","PR (TMLR)","no","none","low","none","high","high","low","low","time-mixing over irregular left-padded slots","REJECT","S17"
"mTAN","irregular attention (VAE)","2021","PR (ICLR)","yes (learned time embedding)","set of observed points","medium","VAE likelihood","medium","medium","medium","high","designed for asynchronous channels/interpolation; sinusoids extrapolate poorly; target-time query idea reused in T01","REJECT","S30"
"SeFT","set functions","2020","PR (ICML)","yes","set of (t, channel, value)","medium","none","medium","medium","low (5× tokens for synchronous channels)","high","wrong geometry","REJECT","S32"
"STraTS","irregular transformer (triplets)","2022","PR (TKDD)","yes (CVE)","triplets","medium","none","medium","medium","low","high","triplets redundant for synchronous channels; self-supervision on ~99 shapes adds little","REJECT","S33"
"Raindrop","graph-guided irregular","2022","PR (ICLR)","yes","sensor graph message passing","low","none","medium","medium","low","high","classification; 5-channel graph meaningless","REJECT","S34"
"Warpformer","irregular transformer (warping)","2023","PR (KDD)","yes","masks","low","none","low","medium","low","high","multi-scale warping undefined on 3–13 points","REJECT","S35"
"PrimeNet","irregular pretraining","2023","PR (AAAI)","yes","density-aware sampling","low","none","low","medium","low","high","pretraining corpus would be the same ~99 synthetic shapes","REJECT","S36"
"Tripletformer","irregular attention (probabilistic)","2023","PR (IEEE BigData)","yes","triplets","low","yes (probabilistic)","medium","medium","low","high","interpolation task, not forecasting","REJECT","S37"
"GraFITi","graph (IMTS forecasting)","2024","PR (AAAI)","yes","sparsity bipartite graph","low","none","medium","medium (official code)","low","high","graph degenerate for 5 synchronous channels","REJECT","S38"
"t-PatchGNN","patch + graph (IMTS)","2024","PR (ICML)","yes (transformable patches)","masks","low","none","medium","medium (official code)","low","high","patches over 3–13 points and 5-node graph degenerate","REJECT","S39"
"ContiFormer","continuous-time transformer","2023","PR (NeurIPS)","yes (ODE inside attention)","continuous trajectories","medium","none","low (costly)","low","medium","high","expensive; models latent paths between observations not needed for one integral target","REJECT","S40"
"IMTS-Mixer / APN (2025 simple IMTS baselines)","MLP (IMTS)","2025","PP","yes","channel-wise encoders","medium","none","high","low (preprint code)","low","medium","evidence that simple ≈ complex; no separate value","REJECT","S41;S42"
"Neural ODE / ODE-RNN / Latent ODE","continuous-time","2018/2019","PR (NeurIPS)","yes","ODE between observations","medium","VAE (Latent ODE)","medium","medium","medium","medium","smooth autonomous latent dynamics artificially favoured by deterministic synthetic laws; costly/unstable","REJECT","S44;S45"
"GRU-ODE-Bayes / Neural Flows","continuous-time","2019/2021","PR (NeurIPS)","yes","Bayesian update / flows","medium","partial","medium","medium","medium","medium","complexity without estimand-specific gain","REJECT","S46;S54"
"Neural CDE (linear control path, fixed-step)","continuous-time controlled","2020","PR (NeurIPS)","yes: Δt enters linearly; refinement invariance","cumulative missed-campaign channel","medium: reduces to increment-driven residual RNN at ≤16 synchronous tokens","readout head (as PRIMARY)","medium (~16–18k)","medium: torchcde prototype; Diffrax/JAX has no native Windows GPU; plain PyTorch feasible","high: increments of frozen tokens; no new tokens","medium: filter-like (linear CDE contains stationary Kalman–Bucy)","forecast beyond last observation is only a readout; close to PRIMARY; solver DOF","REJECT","S47;S48;S49;S50;S58"
"Log-NCDE / SLiCE","continuous-time controlled (long sequences)","2024/2025","PR (ICML/NeurIPS)","yes","path","low: built for up to ~50k observations","none","medium","medium","medium","medium","efficiency gains only for long sequences","REJECT","S51;S52"
"Neural SDE (stable)","stochastic continuous-time","2024","PR (ICLR)","yes","path + masks","medium","yes (stochastic)","low","medium","medium","medium","synthetic latent has no process noise; unstable and costly","REJECT","S53"
"CRU / NCDSSM (neural continuous-discrete Kalman)","neural state-space","2022/2023","PR (ICML)","yes","Kalman update skips missing","medium","native","medium","low: CRU repo AGPL-3.0 and archived 2025-01-20; adaptation to integral target non-trivial","medium","low (hybrid with state-space bias)","not an independent learned-function comparator; high implementation risk; best future bridge study","REJECT","S55;S56"
"KalmanNet / Deep State Space Models","hybrid Kalman","2022/2018","PR (IEEE TSP / NeurIPS)","partial","via filter","medium","partial","high","medium","medium","low","improvement of the Kalman family rather than independent comparator","REJECT","S57;S90"
"DeepAR","probabilistic autoregressive RNN","2020","PR (IJF)","no","none","low","yes (likelihood)","medium","high","low","medium","autoregression on a regular grid","REJECT","S89"
"Chronos / Chronos-Bolt","TSFM","2024","PR (TMLR)","no (regular grid)","none/implicit","very low (context 512–2048)","quantiles/samples","very low (tens–hundreds of M)","high","incompatible without resampling","n/a","grid, domain, integral target","REJECT","S59"
"Chronos-2","TSFM (universal)","2025","PP + OR (Apache-2.0)","no (step index)","binary mask + zero fill","very low (context up to 8192)","quantiles","very low (120M)","high","incompatible without resampling","n/a","regular grid; no geodesy in pretraining","REJECT","S60"
"TimesFM 2.5 / 3.0","TSFM","2024–2026","PR (ICML 2024) + OR","no","implicit","very low (patch 32; repo guidance context ≥32)","quantiles","very low (~200M)","high","incompatible","n/a","3.0 weights non-commercial non-production; context too short","REJECT","S61;S62"
"Moirai 1.x / 2.0","TSFM","2024–2025","PR (ICML 2024) / PP","no","patch masks","very low","distribution/quantiles","very low","high","incompatible","n/a","CC-BY-NC-4.0 weights; regular grid","REJECT","S63;S64"
"Lag-Llama","TSFM","2023","PP","no (frequency lags)","none","very low (lags need long history)","Student-t","low","medium","incompatible","n/a","lag features presuppose frequency and long context","REJECT","S65"
"TimeGPT","TSFM (closed API)","2023","PP","no","unknown","unknown","intervals","unknown","closed","incompatible","n/a","cloud API prohibited by governance; not reproducible","REJECT","S66"
"Toto / Toto 2.0","TSFM (observability)","2025–2026","PP + OR (Apache-2.0)","no","masks","very low","distribution","very low","medium","incompatible","n/a","observability domain; regular grid","REJECT","S67"
"TiRex","TSFM (xLSTM)","2025","PR (NeurIPS) + OR","no","implicit","low","quantiles","low (35M)","medium","incompatible","n/a","NXAI community license; regular grid","REJECT","S68"
"Sundial","TSFM (flow matching)","2025","PR (ICML)","no","implicit","very low","generative","very low","medium","incompatible","n/a","regular grid; generic pretraining","REJECT","S69"
"TabPFN-2.5 / TabPFN-TS","tabular foundation model","2025","PR (Nature, v2) + OR","n/a (tabular)","feature-level","n/a","distribution","very low","medium","partial (16 tabular features only; ≤50k rows by design)","low","not a sequence model; license; expands model zoo","REJECT","S70"
