correction_id,origin,target_type,target_ids,source_id,pdf_page,field,old_value,new_value,reason,severity,ledger_ref,status,confidence,affected_catalogues,basis
QA-C-M001,QA_MANUAL,OLD_EV,EV-RMR-1102,VKM-SRC-025,94,pdf_page,94,45,p.94 shows Рис.3.20 (lateral-pressure effects); Рис.2.13 caption is on p.45 (OCR p0045 l.37; new record EV-VN-S025-0255 EXACT),MAJOR,OLD:EV-RMR-1102 (QA-M-0061),PROPOSED,HIGH,mechanics_evidence_catalog.csv; rheology_evidence_catalog.csv; physical_evidence_v1 claims,QA-M-0061: OCR_SEARCH->RENDER120(p94)->NEW_RECORDS(p45); render VKM-SRC-025 p94 @120 dpi
QA-C-M002,QA_MANUAL,OLD_EV,EV-RMR-1102,VKM-SRC-025,45,locator_verification,NOT_FOUND,VERIFIED_QUOTE (caption on p.45),caption text matches OCR of p.45,MINOR,OLD:EV-RMR-1102 (QA-M-0061),PROPOSED,MEDIUM,mechanics_evidence_catalog.csv; rheology_evidence_catalog.csv; physical_evidence_v1 claims,QA-M-0061: OCR_SEARCH->RENDER120(p94)->NEW_RECORDS(p45); render VKM-SRC-025 p94 @120 dpi
QA-C-M003,QA_MANUAL,OLD_EV,EV-RMR-1109,VKM-SRC-025,159,pdf_page,159,160-161,"(6.2) and Рис.6.6 are on p.160, (6.3)-(6.4) and Рис.6.7 on p.161; p.159 is prose only",MAJOR,OLD:EV-RMR-1109 (QA-M-0062),PROPOSED,HIGH,mechanics_evidence_catalog.csv; rheology_evidence_catalog.csv; physical_evidence_v1 claims,"QA-M-0062: OCR->RENDER130(p159,p160,p161)->NEW_RECORDS; render VKM-SRC-025 p161 @130 dpi"
QA-C-M004,QA_MANUAL,OLD_EV,EV-RMR-1109,VKM-SRC-025,160-161,verbatim_quote,"OCR garbage ('ко] Дб К =, (6.2) ...')",visual transcription: K_t1^корр = Δσ_t/Δσ_пол (6.2); σпр − σ∞ = (σпр − σ∞_t1)/K_t1^корр (6.3); K_t^∞ = 1 − (1/K_t1^корр)[1 − K_t^1] (6.4),quote field must be verbatim and legible; OCR string is not a quote,MAJOR,OLD:EV-RMR-1109 (QA-M-0062),PROPOSED,HIGH,mechanics_evidence_catalog.csv; rheology_evidence_catalog.csv; physical_evidence_v1 claims,"QA-M-0062: OCR->RENDER130(p159,p160,p161)->NEW_RECORDS; render VKM-SRC-025 p161 @130 dpi"
QA-C-M005,QA_MANUAL,OLD_EV,EV-RMR-1177,VKM-SRC-014,188,pdf_page,188,188-191,"example spans p.188-191 (22,09 МПа on p.190; 21,99 on p.191)",MINOR,OLD:EV-RMR-1177 (QA-M-0064),PROPOSED,MEDIUM,mechanics_evidence_catalog.csv; rheology_evidence_catalog.csv; physical_evidence_v1 claims,QA-M-0064: TL
QA-C-M006,QA_MANUAL,OLD_EV,EV-RMR-1162,VKM-SRC-014,194,pdf_page,194,194-195,(7.31) is on p.195,MINOR,OLD:EV-RMR-1162 (QA-M-0063),PROPOSED,MEDIUM,mechanics_evidence_catalog.csv; rheology_evidence_catalog.csv; physical_evidence_v1 claims,QA-M-0063: TL(equation numbers)->PROSE
QA-C-M007,QA_MANUAL,OLD_EV,EV-RMR-1103 EV-RMR-1104 EV-RMR-1105 EV-RMR-1159 EV-GEO-0329 EV-GEO-0330 EV-GEO-0331 EV-GEO-0332 EV-GEO-0333 EV-GEO-0334 EV-GEO-0335,VKM-SRC-025,12-15;153-154,extraction_method,OCR,OCR_VISUALLY_CONFIRMED,OCR-only numbers confirmed on rendered pages (130/110 dpi),MINOR,"QA_MANUAL (S025 p153/154, p12-15) (QA-M-0034)",PROPOSED,MEDIUM,mechanics_evidence_catalog.csv; rheology_evidence_catalog.csv; physical_evidence_v1 claims; geology_evidence.csv; borehole_catalog.csv,QA-M-0034: OCR->RENDER130->FIGURE->PROSE; render VKM-SRC-025 p153 @130 dpi
QA-C-M008,QA_MANUAL,OLD_EV,EV-GEO-0180 EV-GEO-0181,VKM-SRC-011,131,locator_verification,VISUAL_NOT_CHECKABLE,"VISUAL_CONFIRMED (скв.128 174,40; 129-220 160,77; 2010 max ≈1090 мм at Rp 64)","rendered at 200/400 dpi and independently digitized; attribution (блок 201 СКРУ-1, профильная линия 12, наблюдения с 1989) confirmed in p.130 text layer",MAJOR,QA_MANUAL S011 p131 (QA-M-0039),PROPOSED,HIGH,geology_evidence.csv; borehole_catalog.csv; physical_evidence_v1 claims,QA-M-0039: TL(p130 prose)->RENDER200->CROP400->DIGITIZATION->CAPTION->LEGEND; render VKM-SRC-011 p131 @400 dpi crop
QA-C-M009,QA_MANUAL,OLD_EV,EV-GEO-0181,VKM-SRC-011,131,epistemic_status,FACT (graphic reading),"DERIVATION (digitized from levelling graph, ±~15 мм); underlying levelling = FACT of the company survey (secondary reproduction)",digitized curve values are derivations,MAJOR,QA_MANUAL S011 p131 (QA-M-0039),PROPOSED,HIGH,geology_evidence.csv; borehole_catalog.csv; physical_evidence_v1 claims,QA-M-0039: TL(p130 prose)->RENDER200->CROP400->DIGITIZATION->CAPTION->LEGEND; render VKM-SRC-011 p131 @400 dpi crop
QA-C-M010,QA_MANUAL,OLD_EV,EV-MIN-0302..EV-MIN-0328,VKM-SRC-023,42-43,locator_verification,VISUAL_NOT_CHECKABLE,VISUAL_CONFIRMED,Рис.14-18 re-read at 150/300 dpi; all values identical,MINOR,QA_MANUAL S023 p42/p43 (QA-M-0001),PROPOSED,MEDIUM,mining_geometry_catalog.csv; physical_evidence_v1 claims,QA-M-0001: TL(none)->RENDER150->CROP300->CAPTION->PROSE; render VKM-SRC-023 p42 @300 dpi crop
