finding_id,outcome,files_and_rows_changed,how_verified,notes
COVERAGE_DUPLICATES-008,FIXED,"scripts/common.py (derive extra_ids, row_sources_complete); scripts/build_matrix.py, build_obs.py, build_conflicts.py (sources of equation/model vn_ids in source_ids + validator); physics_coverage_and_execution_matrix.csv source_ids: PC-11 +VKM-SRC-038, PC-23 +VKM-SRC-031, PC-34 +VKM-SRC-038, PC-57 +VKM-SRC-025, PC-67 +VKM-SRC-031, PC-68 +VKM-SRC-038; observation_operator_design.csv OO-05 +VKM-SRC-009",re-check: scan of all vn_ids in every row vs source_ids reproduced exactly the 7 rows of the finding; after rebuild selfcheck.py rows_with_uncited_sources = [] in all 5 catalogues with source_ids; builders fail on any new violation,"only the PHYSICS_CAUSAL rows of the finding (DC*, MR-* belong to MONITORING_LIFECYCLE / MECH_RHEO); rule now also checked for graph nodes/edges and conflicts"
TRANSFER-011,FIXED,"scripts/common.py (tiered status-aware derive: scope and SKRU-1 counts only from evidential records = status FACT/DERIVATION/INTERPOLATION, evidence_type not NORMATIVE/DESIGN_VALUE/TEACHING_EXAMPLE/MODEL_CALIBRATED/MODEL_CHOICE); scripts/build_matrix.py (+columns n_pillar_scoped_evidence, n_skru1_model_or_assumption); matrix: n_skru1_scoped_evidence changed in 29 rows, best_evidence_scope in 20 rows (PC-01 SKRU1→BKPRU2, PC-03 →BKPRU2, PC-06/10/11/19/25/32/42/72 →VKM_REGIONAL, PC-16 →GENERAL_METHOD, PC-21 →SKRU3, PC-62 SKRU1→SKRU2, …); review_fixes.csv: PC-01 readiness READY_FOR_LOCAL→PARAMETERS_MISSING + notes, PC-02 readiness READY_FOR_LOCAL→PARAMETERS_MISSING + notes; PHYSICS_COVERAGE_RU.md §1, §1.1, §4, §8, §10","re-check against all_records.jsonl: PC-01's only SKRU1 record EV-VN-S014-0848 = ENGINEERING_ASSUMPTION/NORMATIVE (VKM-SRC-014 p.118 «принимается равным 2,5 т/м3»), PC-03's EV-VN-S012-0073 MODEL_CHOICE, PC-62's EV-VN-S023-0473 MODEL_CHOICE — confirmed; after rebuild: 0 matrix rows whose best_evidence_scope comes from a non-evidential record when an evidential one exists; §8 recount from process_evidence_links.csv (SKRU1 58 links, 49 evidential; PILLAR 9; SOLIKAMSK_GROUP 20; SKRU2 25; VKM_REGIONAL 248)","PC-01 best_evidence_scope became BKPRU2 (not VKM_REGIONAL as estimated in the finding): its only evidential record is the σv≈γH measurement at BKPRU2 (EV-VN-S029-0226). PC-02 readiness changed by the same rule (σv derived from the same UNKNOWN densities, GAP-001). Report docs/science copy is the coordinator's (DOCS)"
TRANSFER-012,PARTIAL,"scripts/common.py (derive tiers, cap_status: declared FACT needs ≥1 FACT record), scripts/build_graph.py (design_ok for design/info/obs rows; tier-aware scale with DESIGN for normative-only; node HIGH needs evidential SKRU1; physical edge HIGH needs evidential support); scripts/graph_defs.py (AE_MULTISEAM EV-VN-S011-2655→EV-VN-S011-2087; CE-064 −EV-VN-S011-2655); scripts/record_label_overrides.csv (EV-VN-S023-0162 SKRU1→GENERAL_METHOD); review_fixes.csv (MS_DENSITY confidence→LOW+notes, AE_GEOMETRY confidence→LOW+notes, AE_MULTISEAM/PE_PLASTIC/CE-064/CE-074 notes); causal_graph_nodes.csv 27 rows, causal_graph_edges.csv 60 rows, causal_graph.json, causal_graph_validation.json (+status_capped_by_record_status); CAUSAL_GRAPH_RU.md §1.2, §1.3, §8","re-check of every named node/edge against all_records.jsonl (status, evidence_type, scope). Result: MS_DENSITY FACT/VKM_REGIONAL/DESIGN/LOW; AE_GEOMETRY VKM_REGIONAL/LOW; AE_MULTISEAM SKRU1 via EV-VN-S011-2087 (FACT, «Участок подработан пластами КрII и В карналлитового состава», VKM-SRC-011 p.130); CE-064 VKM_REGIONAL/DESIGN/MEDIUM; CE-016 UNKNOWN; CE-077/086 MODEL_CHOICE; CE-115 GENERAL_METHOD; CE-019 SOLIKAMSK_GROUP. networkx validation VALID (C1–C10)","Not applied after check: PE_PLASTIC and CE-074 kept FACT (proposal: MODEL_CHOICE) — besides Lebedeva's MODEL_CHOICE record they cite EV-VN-S037-0551 (FACT/NORMATIVE, VKM_REGIONAL, MASSIF: inelastic zone forms around openings beyond a depth); scope lowered to VKM_REGIONAL, confidence to MEDIUM, notes added. The generic cap rule also lowered 10 more rows (OR_BENDING, OR_VZT_DAMAGE, CE-007/082/132/135/136/161 → DERIVATION; CE-124/198/199 → MODEL_CHOICE) — all FACT claims supported only by model outputs, interpretations or method descriptions"
TRANSFER-018,FIXED,"review_fixes.csv: observation_operator_design.csv OO-01 skru1_data_availability (СКРУ-1 явно / PARTIAL / UNATTRIBUTED), OO-05 skru1_data_availability; physics_coverage_and_execution_matrix.csv PC-60, PC-63, PC-68 local_evidence; PHYSICS_COVERAGE_RU.md §2.1 п.3","render VKM-SRC-002 p.14 (axis «Май 2011 … Август 2016», 6 seasonal clusters to ≈−390 mm, polynomial curve); EV-VN-S002-0030 measurement_date 2011-05/2016-08; VKM-SRC-012 p.107 Fig. 4.12 (benchmarks 2–8 in pillar, 9+ on 1СВП-143, no SKRU-1-side levelling); slide 15 title «территории СКРУ-1 и СКРУ-2 (Соликамск)»",point location of the PS series is not indicated (added to the text)
TRANSFER-021,FIXED,PHYSICS_COVERAGE_RU.md §2.1 п.4 (rewritten per proposal) and §2.6 (same over-generalisation: «на СКРУ-1 таких событий в корпусе нет»),"VKM-SRC-014 p.11 text layer «Аварийные обстановки были зафиксированы также в пределах шахтных полей СКРУ-1 и СКРУ-2»; HYD-065/066/068, SGP-009/010 in the canonical HYDRO_THERMAL_GEOPHYS catalogues",SGP-010 «до 500 ГДЯ ежегодно» is a pooled figure for СКПРУ-1 and БКПРУ-1 — stated so in the text
TRANSFER-025,FIXED,"review_fixes.csv: physics_coverage_and_execution_matrix.csv PC-03 local_evidence, required_parameters; physics_conflicts.csv PCF-01 values_kept (A, D, E), handling; PHYSICS_COVERAGE_RU.md §2.4 (λ row), §6","VKM-SRC-012 p.27 text layer: 0,71 — «акустоэмиссионного эффекта памяти» (ГИ УрО РАН [1]), согласуется со щелевой разгрузкой; гидроразрыв/электрометрия/большая база — «близко к гидростатическому» (Барях и др. [8]); VKM-SRC-037 p.168 (8.130): λ=0,45 in the roof-layer formula (visual PVC-01)","own part only; PROJECT_STATE §3 п.5 and D-04 (composition of the λ set, see also DOCS_LEAKAGE-006) are the coordinator's (DOCS). PCF-01 had the same method conflation as PC-03 and was corrected too"
PRIMARY_SECONDARY-002,FIXED,"review_fixes.csv: physics_conflicts.csv PCF-04 values_kept (B), handling; PCF-04 scope VKM_REGIONAL→GENERAL_METHOD via tiered derive (EV-VN-S025-0182 is LITERATURE_CITED/GENERAL_METHOD); PHYSICS_COVERAGE_RU.md §6","OCR VKM-SRC-025 p.30–31: §2.3 «Общая характеристика свойств соляных пород» — literature [30, 15, 24, 46, 54, 57, 62, 69, 70], «значительный их разброс для различных бассейнов», then E 14–20 / 12–23 ГПа and ν 0,30–0,45","MR-MECH-*, MR-CONF-032 and MECHANICS_RHEOLOGY_EVIDENCE_RU.md are MECH_RHEO/DOCS"
PRIMARY_SECONDARY-004,FIXED,"scripts/record_label_overrides.csv: EV-VN-S023-0303 status FACT→DERIVATION (process_evidence_links.csv PC-53/EV-VN-S023-0303; also used by OO-16, PCF-13, OBS_SEISMIC_MON); review_fixes.csv: PC-53 local_evidence + notes (cited_primary), OO-16 skru1_data_availability + notes (cited_primary), PCF-13 notes (cited_primary)","VKM-SRC-023 caption Рис. 24в «Es на 2023 год [33]»; external FULL_TEXT_READ captures EXTWEB-SKRU1_SPECIFIC-001 (F-SKRU1-007: «прогнозная карта Es_max» 2023, p.80–81 рис. 5) and EXTWEB-GEOPHYS_GPR-007 (F-SEIS-008)","own part only (MON-0365, CDE-0330, CMP-026, SGP-005 are other streams). The matrix row PC-53 (process «техногенная сейсмичность») keeps status FACT — the process is documented (1995 event, VKM monitoring); only the map record became DERIVATION. My own attempt to open the PDF failed (Firecrawl: insufficient credits)"
PRIMARY_SECONDARY-024,FIXED,"review_fixes.csv: physics_conflicts.csv PCF-13 values_kept (B), handling, status UNKNOWN→FACT, notes; physics_visual_checks.csv PVC-03 result CONFIRMED→CONFIRMED_AS_PRINTED_IN_SECONDARY, notes; observation_operator_design.csv OO-16 («проверить единицы» removed, primary named); physics_coverage_and_execution_matrix.csv PC-53 notes; PHYSICS_COVERAGE_RU.md §3, §6, §7","two independent external FULL_TEXT_READ captures of [33] (EXTWEB-GEOPHYS_GPR-007/F-SEIS-008: legend «Es_max, Дж/100 кв.м.», Es per one-year interval; EXTWEB-SKRU1_SPECIFIC-001/F-SKRU1-007: zones Es_max > 20 Дж/100 м²); own PDF check impossible (Firecrawl 402 insufficient credits)","verdict was PLAUSIBLE. Proposed status RESOLVED_BY_PRIMARY is outside the 7-status vocabulary → PCF-13 status FACT (unit established by the primary as read externally), handling says to re-check the Fig. 5 legend when the PDF is accessible. SGP-049 belongs to HYDRO_THERMAL_GEOPHYS"
ATTRIBUTION-021,FIXED,"PHYSICS_COVERAGE_RU.md §2.1 п.3; review_fixes.csv: PC-68 local_evidence, PCF-10 values_kept (B); scripts/record_label_overrides.csv EV-VN-S012-0589 and EV-VN-S012-0564 → SKRU2","VKM-SRC-012 p.103 (Fig. 4.8: benchmarks 13–30), p.107 (Fig. 4.12 render: 2–8 in pillar, 9+ on 1СВП-143, no data on the SKRU-1 side), p.109 (29–35 мм/год)",finding owned by DOCS (report sentence); fixed in this stream's report and in the stream rows that repeat the number
