ledger_id,qa_origin,qa_depth,source_id,pdf_page,printed_page,figure_table,vn_ids,old_ev_ids,record_kind,issue_type,quote_verdict,critical,existing_value,text_layer_value,ocr_value,visual_value,surrounding_context_result,cross_source_result,corrected_value,confidence,affected_downstream,status,record_status,scope,scale,check_chain,render_png,qa_recheck_ref,notes,unresolved_class
QA-M-0001,QA_MANUAL,MANUAL_RENDER,VKM-SRC-023,42,,"Рис.14 (Centoids_zone_pol), Рис.15 (Параметры_шахтного_поля_СКРУ1)",EV-VN-S023-0213 EV-VN-S023-0214 EV-VN-S023-0215 EV-VN-S023-0216 EV-VN-S023-0217 EV-VN-S023-0218 EV-VN-S023-0219 EV-VN-S023-0220 EV-VN-S023-0222 EV-VN-S023-0224 EV-VN-S023-0225 EV-VN-S023-0226 EV-VN-S023-0228,,claim;coordinate_system;mining_geometry;spatial_entity,TABLE_FROM_IMAGE,VISUAL_READ_LEGIT (table is a raster screenshot; no text layer for cells),Y,"xcoord/ycoord of 8 zone centroids (e.g. 138: 24700,24467/41936,96624; zone 4: 27226,78022/40430,63224); Рис.15: 301,9/3,19; 310,8(312,3)/5,49; 307,0/5,30; 5,5; 6,4",(raster; caption only),,"all 8 complete rows re-read at 300 dpi: digits identical to records; 9th row cut off (see EV-VN-S023-0403, not usable)","prose p.42 describes table schema; coordinates are local mine CS, axis orientation/units not stated in text","no second source for these centroids (MapInfo-derived, VKR = secondary)",,HIGH,"spatial hierarchy SKRU-1 zones; EV-MIN-0302..0307, EV-MIN-0322..0328",RESOLVED,,,,TL(none)->RENDER150->CROP300->CAPTION->PROSE,$VKM_WORK/run/img/VKM-SRC-023_p42_300_clip.png,,"Values OK. Semantics: coordinates in unstated local CS (UNKNOWN orientation/units) - keep coordinate_system UNKNOWN until CS documented. VKR is secondary evidence of MapInfo tables, not primary field truth.",
QA-M-0002,QA_MANUAL,MANUAL_RENDER,VKM-SRC-023,43,,Рис.16/17/18 (Участки_признаки),EV-VN-S023-0229 EV-VN-S023-0230 EV-VN-S023-0231 EV-VN-S023-0232 EV-VN-S023-0233 EV-VN-S023-0234 EV-VN-S023-0235 EV-VN-S023-0236 EV-VN-S023-0237 EV-VN-S023-0238 EV-VN-S023-0239 EV-VN-S023-0240 EV-VN-S023-0242 EV-VN-S023-0243 EV-VN-S023-0244 EV-VN-S023-0245 EV-VN-S023-0246 EV-VN-S023-0247 EV-VN-S023-0248 EV-VN-S023-0249 EV-VN-S023-0250 EV-VN-S023-0251 EV-VN-S023-0252 EV-VN-S023-0253 EV-VN-S023-0254 EV-VN-S023-0255 EV-VN-S023-0256 EV-VN-S023-0257 EV-VN-S023-0258 EV-VN-S023-0259 EV-VN-S023-0260 EV-VN-S023-0261 EV-VN-S023-0262 EV-VN-S023-0263 EV-VN-S023-0264 EV-VN-S023-0265 EV-VN-S023-0266 EV-VN-S023-0267 EV-VN-S023-0268 EV-VN-S023-0269 EV-VN-S023-0270 EV-VN-S023-0271 EV-VN-S023-0272 EV-VN-S023-0273 EV-VN-S023-0274 EV-VN-S023-0275 EV-VN-S023-0276 EV-VN-S023-0277,,backfill;chronology_event;mining_geometry;monitoring_observation;spatial_entity,TABLE_FROM_IMAGE,VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,"X/Y, H_krov, widths, load C, axial dist, mining/backfill dates, Disp_mean/min/max for 14 zone rows",(raster),,"Fig.17 re-read at 300 dpi: all values match records (e.g. 57П блок 101: 195|5|8,5|0,277|13,5|1989-1991; 220|16|11|0,303|27|1958-1959, 1971-1972). Fig.18 Disp values match (195,35/100,016/408,821 ...). Truncated cells ""2("" in exel_Year_zaklad are truncated in the image itself (recorded as 2[...]).",prose p.43 says rows with missing values were deleted; Disp units not stated (mm assumed by records?),3П-88 and 19П-88 have identical Disp stats although geometry differs (already flagged NUMBER_CONFLICT EV-VN-S023-0241) - likely a join artefact in the VKR table,,HIGH,SKRU-1 zone catalogue (depth/geometry/mining+backfill chronology); Disp statistics must not be treated as independent observations,RESOLVED,,,,TL(none)->RENDER150->CROP300->CAPTION->PROSE->XROW,$VKM_WORK/run/img/VKM-SRC-023_p43_300_clip.png,,Disp_min ~100 for 5 of 7 zones suggests a selection threshold (zones with subsidence >100 [units?]) - selection bias; Disp unit UNIT_DOUBT (not printed).,
QA-M-0003,QA_MANUAL,MANUAL_TEXT_LAYER,VKM-SRC-023,,,docx body text,EV-VN-S023-0018 EV-VN-S023-0022 EV-VN-S023-0023 EV-VN-S023-0028 EV-VN-S023-0031 EV-VN-S023-0033 EV-VN-S023-0035 EV-VN-S023-0036 EV-VN-S023-0039 EV-VN-S023-0040 EV-VN-S023-0041 EV-VN-S023-0045 EV-VN-S023-0051 EV-VN-S023-0052 EV-VN-S023-0053 EV-VN-S023-0056 EV-VN-S023-0059 EV-VN-S023-0060 EV-VN-S023-0062 EV-VN-S023-0066 EV-VN-S023-0067 EV-VN-S023-0068 EV-VN-S023-0069 EV-VN-S023-0071 EV-VN-S023-0072 EV-VN-S023-0073 EV-VN-S023-0074 EV-VN-S023-0075 EV-VN-S023-0077 EV-VN-S023-0079 EV-VN-S023-0080 EV-VN-S023-0081 EV-VN-S023-0084 EV-VN-S023-0121 EV-VN-S023-0122 EV-VN-S023-0123 EV-VN-S023-0124 EV-VN-S023-0125 EV-VN-S023-0126 EV-VN-S023-0127 EV-VN-S023-0128 EV-VN-S023-0129 EV-VN-S023-0141 EV-VN-S023-0142 EV-VN-S023-0146 EV-VN-S023-0153 EV-VN-S023-0154 EV-VN-S023-0155 EV-VN-S023-0157 EV-VN-S023-0158 EV-VN-S023-0159 EV-VN-S023-0160 EV-VN-S023-0162 EV-VN-S023-0163 EV-VN-S023-0167 EV-VN-S023-0178 EV-VN-S023-0190 EV-VN-S023-0193 EV-VN-S023-0195 EV-VN-S023-0228 EV-VN-S023-0288 EV-VN-S023-0289 EV-VN-S023-0291 EV-VN-S023-0308 EV-VN-S023-0311 EV-VN-S023-0312 EV-VN-S023-0313 EV-VN-S023-0314 EV-VN-S023-0319 EV-VN-S023-0321 EV-VN-S023-0322 EV-VN-S023-0328 EV-VN-S023-0329 EV-VN-S023-0342 EV-VN-S023-0346 EV-VN-S023-0348 EV-VN-S023-0349 EV-VN-S023-0351 EV-VN-S023-0360 EV-VN-S023-0361 EV-VN-S023-0362 EV-VN-S023-0363 EV-VN-S023-0364 EV-VN-S023-0365 EV-VN-S023-0366 EV-VN-S023-0367 EV-VN-S023-0369 EV-VN-S023-0370 EV-VN-S023-0371 EV-VN-S023-0372 EV-VN-S023-0389 EV-VN-S023-0391 EV-VN-S023-0393 EV-VN-S023-0397 EV-VN-S023-0402 EV-VN-S023-0404 EV-VN-S023-0420 EV-VN-S023-0433 EV-VN-S023-0453 EV-VN-S023-0459 EV-VN-S023-0468 EV-VN-S023-0471 EV-VN-S023-0473 EV-VN-S023-0492 EV-VN-S023-0493 EV-VN-S023-0502 EV-VN-S023-0504 EV-VN-S023-0511 EV-VN-S023-0515 EV-VN-S023-0520 EV-VN-S023-0522 EV-VN-S023-0525,,backfill;citation;claim;conflict_note;coordinate_system;engineering_rule;formula;geophysics;hydro;information_lifecycle;mining_geometry;monitoring_observation;open_question;parameter;process_mechanism;spatial_entity;stratigraphic_unit;stress_measurement;thermal;visual_check,QUOTE_NOT_IN_TEXT_LAYER,"LEGIT_DOCX_TEXT (quote present verbatim in docx-derived all.md/all.txt; merge checker compared against LibreOffice-rendered PDF page text, where pagination/equations differ)",N,,not on rendered-PDF page text,,,found in all.md/all.txt (exact or c4>=0.9),,,HIGH,,RESOLVED,,,,DOCX_TEXT->all.md,,,Merge quote_check NOT_FOUND/FUZZY is an artefact of checking docx quotes against the rendered PDF; no evidence defect.,
QA-M-0004,QA_MANUAL,MANUAL_TEXT_LAYER,VKM-SRC-023,,,various,EV-VN-S023-0001 EV-VN-S023-0002 EV-VN-S023-0047 EV-VN-S023-0048 EV-VN-S023-0049 EV-VN-S023-0085 EV-VN-S023-0130 EV-VN-S023-0147 EV-VN-S023-0297 EV-VN-S023-0307 EV-VN-S023-0326 EV-VN-S023-0345 EV-VN-S023-0353 EV-VN-S023-0373 EV-VN-S023-0376 EV-VN-S023-0379 EV-VN-S023-0385 EV-VN-S023-0387 EV-VN-S023-0428 EV-VN-S023-0532 EV-VN-S023-0536,,chronology_event;claim;coordinate_system;information_lifecycle;monitoring_observation;parameter;spatial_entity;visual_check,QUOTE_NOT_IN_TEXT_LAYER,LEGIT (visual-read quote also present in docx text),N,,,,,,,,HIGH,,RESOLVED,,,,all.md,,,,
QA-M-0005,QA_MANUAL,MANUAL_TEXT_LAYER,VKM-SRC-023,44-77,,"equations (1.1)-(1.7), (2.x), (3.9), (4.1)-(4.5) and 2 claim/lifecycle digests",EV-VN-S023-0283 EV-VN-S023-0284 EV-VN-S023-0285 EV-VN-S023-0286 EV-VN-S023-0287 EV-VN-S023-0327 EV-VN-S023-0330 EV-VN-S023-0332 EV-VN-S023-0333 EV-VN-S023-0334 EV-VN-S023-0335 EV-VN-S023-0336 EV-VN-S023-0337 EV-VN-S023-0338 EV-VN-S023-0339 EV-VN-S023-0340 EV-VN-S023-0347 EV-VN-S023-0368 EV-VN-S023-0392 EV-VN-S023-0396 EV-VN-S023-0398 EV-VN-S023-0399 EV-VN-S023-0400,,claim;formula;information_lifecycle;lifecycle_stage,EQUATION_ILLEGIBLE,"LEGIT_TRANSCRIPTION (OMML equations blank in rendered PDF; transcribed from docx LaTeX into Unicode, so char-gram check fails)",N,Unicode transcriptions of docx OMML equations,equation objects missing/blank on rendered PDF p.44-77,,rendered page blank where equations are,checked (4.1)/(4.3)/(4.5)/(2.6)/(3.9) against all.md LaTeX: structurally identical,Eq.(4.1) printed WITHOUT minus sign in exponent; the thesis appendix code (all.md l.1570: torch.exp(-((x - c) ** 2)/(2*sigma**2+1e-5))) uses the minus -> confirms source typo in the printed equation (record EV-VN-S023-0396 correctly keeps as-printed + note),(4.1) intended: μA(x)=exp(-(x-c)^2/(2σ^2)) [source typo; as-printed kept],HIGH,none physical (ML/fuzzy method formulas; MODEL_CHOICE/GENERAL_METHOD),RESOLVED,,,,RENDER->DOCX(all.md)->APPENDIX_CODE,,,Equations are method (ANFIS/relief measures) formulas of the VKR; not physics parameters.,
QA-M-0006,QA_MANUAL,MANUAL_RENDER,VKM-SRC-023,37,,Рис.10 (upper 3D scheme + lower design sheet),EV-VN-S023-0182 EV-VN-S023-0183 EV-VN-S023-0196 EV-VN-S023-0181,,information_lifecycle;mining_geometry;visual_check,UNCLEAR_MINE_ATTRIBUTION,VISUAL_READ_LEGIT,Y,records scoped SKRU2 (title block) / UNSTATED (3D scheme),caption [→quote] (no mine named); thesis is about SKRU-1,,"title block at 400 dpi reads [→quote]; A-A dims 5500/7000/5500/7000/5500; upper 3D scheme has English labels 'AB-seam', 'Kr.II-seam', 'Field Horizon', 400 m dims",§2.4 prose gives chamber widths generically; figure not SKRU-1 specific,"design sheet (course-project style, empty signatures) - DESIGN, not as-built; upper scheme reproduced from uncited English paper","scope SKRU2 (lower sheet), UNSTATED (upper scheme); never SKRU1",HIGH,mining_geometry catalogue: 5.5/7.0 m chamber/pillar must not be attached to SKRU-1 panels,RESOLVED,,,,TL(caption)->RENDER150->CROP400(title block)->PROSE,$VKM_WORK/run/img/VKM-SRC-023_p37_400_clip.png,,Attribution trap: SKRU-2 design drawing inside SKRU-1 thesis.,
QA-M-0007,QA_MANUAL,MANUAL_RENDER,VKM-SRC-023,46;69;73,,Рис.22 [→quote] [→quote],EV-VN-S023-0293 EV-VN-S023-0294 EV-VN-S023-0381 EV-VN-S023-0380 EV-VN-S023-0375,,monitoring_observation;parameter;visual_check,OK_CONFIRMED,VISUAL_READ_LEGIT,Y,subsidence_max legend 4 300 mm; max isoline label 4000 mm; status FACT,(raster maps),,"Legend '4 300' (p.46, p.73) confirmed; max isoline label '4000' at 400 dpi crop (p.73), neighbours 3700/3800/3600/3400; trough max region S-centre of field",Caption of Рис.22 explicitly says 'Интерполяция'; epoch/reference period of cumulative subsidence not stated; interpolation method not stated,no independent SKRU-1 max-subsidence value in this QA stream; values not comparable to point levelling,status FACT -> INTERPOLATION for the subsidence values (legend max 4300 = raster max of interpolated surface; 4000 = contour label),HIGH,"observation catalogue: must be typed as INTERPOLATION product (derived map), not as levelling/benchmark observation; any 'max subsidence of SKRU-1 ~4.0-4.3 m' claim",CORRECTED,,,,RENDER150->CROP400->CAPTION->PROSE,$VKM_WORK/run/img/VKM-SRC-023_p73_400_clip.png,,interpolation != observation; values legible and correct as printed.,
QA-M-0008,QA_MANUAL,MANUAL_RENDER,VKM-SRC-012,67,,"Рис.3.3 / Рис.3.4 (isochore maps, borehole labels)",EV-VN-S012-0370 EV-VN-S012-0371 EV-VN-S012-0372 EV-VN-S012-0373 EV-VN-S012-0374 EV-VN-S012-0375 EV-VN-S012-0376 EV-VN-S012-0377 EV-VN-S012-0378 EV-VN-S012-0379 EV-VN-S012-0380 EV-VN-S012-0381 EV-VN-S012-0382 EV-VN-S012-0383 EV-VN-S012-0384 EV-VN-S012-0385 EV-VN-S012-0386 EV-VN-S012-0387 EV-VN-S012-0388 EV-VN-S012-0389 EV-VN-S012-0390 EV-VN-S012-0391 EV-VN-S012-0392 EV-VN-S012-0393 EV-VN-S012-0394 EV-VN-S012-0395 EV-VN-S012-0396 EV-VN-S012-0397 EV-VN-S012-0398 EV-VN-S012-0399 EV-VN-S012-0400,,borehole,GRAPH_DIGITIZED,"LEGIT (quote = caption + bracketed label; positions digitized, not printed numbers)",Y,"31 borehole label positions x/y (e.g. 75: 23170/38200; 74: 21400/38130; 1409: 29650/33310; 1405: 28410/30470), status FACT",caption only,,"independent re-digitization at 200 dpi (77.5 px/1000 units, both axes): 75 -> 23194/38206; 74 -> 21413/38129; 23 -> 23774/38284; 1036 -> 22226/37523; 1409 -> 29684/33303; 1405 -> 28445/30452 (all within +-40 units of records)","label ""140?"" at right frame is clipped (last digit partially hidden) - read as 1407; prose p.70/p.72 lists boreholes 1402,1404,1405,1407,1409 -> 1407 confirmed as existing borehole; label position (not collar marker) digitized","map grid is unnamed (21000-29000 x 30000-38000, 1000 ticks); relation to mine local CS of VKM-SRC-023 (x 23000-28000, y 40000-42000) NOT established","status FACT -> DERIVATION (digitized label-centre position, +-150 map units, unnamed CRS); keep CRS UNKNOWN",HIGH,"borehole catalogue (incl. borehole 75 - NOT SKRU-1 by itself), any 2D/3D geometry placement of the intermine-pillar area",CORRECTED,,,,"TL(caption)->RENDER200->INDEPENDENT_DIGITIZATION->CROP400(1407)->PROSE(p70,p72)",$VKM_WORK/run/img/VKM-SRC-012_p67_200.png,,Digitization is reproducible; values fine. Epistemic status must be DERIVATION not FACT; label centre != collar.,
QA-M-0009,QA_MANUAL,MANUAL_TEXT_LAYER,VKM-SRC-012,67,,Рис.3.3/3.4 axis grid,EV-VN-S012-0369,,coordinate_system,OK_CONFIRMED,LEGIT (bracketed axis labels),N,,,,"axis labels 21000..29000 / 30000..38000, legends 65.71-123.83 (SMT_PP) and 16.70-35.26 (PP_PKS) confirmed",,,,HIGH,,RESOLVED,,,,RENDER200,,,"Thickness ranges are grid (interpolated) extremes -> INTERPOLATION (records already INTERPOLATION). Legend header SMT_PP vs title ""переходная пачка"" flagged by sweep (MAP_ATTRIBUTION).",
QA-M-0010,QA_MANUAL,MANUAL_RENDER,VKM-SRC-011,47,,"Рис.2.10 inset ""Расположение профиля"" (BKPRU-4)",EV-VN-S011-0882 EV-VN-S011-0883 EV-VN-S011-0884 EV-VN-S011-0885 EV-VN-S011-0886 EV-VN-S011-0887 EV-VN-S011-0888 EV-VN-S011-0889 EV-VN-S011-0890 EV-VN-S011-0891 EV-VN-S011-0892 EV-VN-S011-0893 EV-VN-S011-0894 EV-VN-S011-0895 EV-VN-S011-0896 EV-VN-S011-0897 EV-VN-S011-0898 EV-VN-S011-0899 EV-VN-S011-0900 EV-VN-S011-0901 EV-VN-S011-0902 EV-VN-S011-0903 EV-VN-S011-0904 EV-VN-S011-0921,,borehole,VISUAL_NOT_CHECKABLE,"LEGIT (quote = inset caption; borehole numbers are raster labels, not in text layer)",N,"23 borehole IDs from inset grid (132, 213, 504, 505, 463, 506, 466, 468, 458, 507, 214, 473, 475, 126, 508, 480, 482, 483, 496, 489, 99, 127, 186) + 642 (Рис.2.11)",labels absent,,"400 dpi crop: all IDs legible as recorded except 6/8 ambiguity in low-resolution raster for 458 (or 456), 126 (or 128), 186 (or 188), 466/468 pair; 132/213/504/99 clear","caption: BKPRU-4 mine field; prose p.93 confirms profile boreholes 467, 488, 462, 484",not cross-checked (no coordinates in this source),,MEDIUM,borehole ID catalogue (BKPRU-4 only; not SKRU-1),UNRESOLVED,,,,TL->RENDER200->CROP400->CAPTION->PROSE,$VKM_WORK/run/img/VKM-SRC-011_p47_400_clip.png,,IDs with 6/8 ambiguity must carry confidence MEDIUM; scope BKPRU4 correct. No numeric parameters involved.,INTRINSIC_LIMITATION
