finding_id,outcome,files_and_rows_changed,how_verified,notes
COVERAGE_DUPLICATES-007,FIXED,"borehole_catalog.csv: +BH-SHS1-stvol_1 (307 m, Ø 5 m, SRC-037 табл.1.7, spatial_entity_id SKRU1:SHAFT:1, MC-SP-09 in total_depth_note); BH-SHS1-stvol_2 (spatial_entity_id SKRU1:SHAFT:2, total_depth 289, total_depth_note, provenance += EV-VN-S037-0192, locators, n_mentions, identity SAME_NAMED_SHAFT/HIGH, usable_reason, notes, quote); BH-SHS1-stvol_2-bis (spatial_entity_id SKRU1:SHAFT:2BIS, total_depth_note 395,9 vs 295,6 misprint MC-SP-08, provenance += EV-VN-S037-0192, identity_confidence MEDIUM->HIGH as declared in the curated union, identity_basis text, notes, quote); new column spatial_entity_id. borehole_identity_issues.csv ISS-SHAFT-2BIS: evidence_against_identity, vn_ids, locators, description. Builder: build_boreholes.py (SHAFT_TABLE attach, MANUAL_UNIONS text), build_outputs.py (shaft columns, union confidence), build_write.py (ISS-SHAFT-2BIS).","SRC-037 p18 rendered at 200 dpi (Табл. 1.7 СКПРУ-1: 1: 307/5 «Реконструкция»; 2: 289/5; 2-бис: 295,6/7 with concrete 266,1—395,9); OCR_VISUAL_QA QA-C-M041 / QA-M-0016 / QA-M-0093 (295,6 probable misprint); SRC-014 p39 text layer Табл. 2.1 (hoist 2-бис 402 m); MINING spatial_hierarchy nodes SKRU1:SHAFT:1/2/2BIS exist; self_check.py check ""SKRU-1 shaft rows linked to MINING nodes"" OK; FIX_DIFF.md.","Values parsed from the record quote as printed (parse_shaft_table fails loudly on layout change); table record adds no picks. MINING must add borehole_id to SKRU1:SHAFT:1/2/2BIS (BH-SHS1-stvol_1/-stvol_2/-stvol_2-bis). SKRU1:SHAFT:3 (label only on SRC-037 рис.2.7, DOUBTFUL) not added: no depth or section. Catalogue row confidence of the shaft rows rose to HIGH by the existing rule (highest record confidence)."
COVERAGE_DUPLICATES-017,FIXED,"build/horizon_pick_routing.csv (new, 48 rows: 14 ATTACHED_TO_BOREHOLE_ROW, 1 ISSUE_ONLY, 33 NOT_A_BOREHOLE_PICK with category and proposed owner; the 9 records flagged NOT_IN_ANY_PHASE1_CATALOGUE); build_write.py (routing + partition check); report §1 «Полнота». No rows added to borehole_picks.csv.","grep of all 48 horizon_pick vn_ids over PRIVATE canonical CSVs: EV-VN-S011-0313, -0320, -0342, -0343, -0616, -1026, -1593, EV-VN-S037-0323, -0406 only in QA/index files; each record read in all_records.jsonl — structure maps (isohypses), mine block/working sections, a design schematic, a relative position without depth; none is an observation at a borehole. self_check.py ""horizon_pick routing complete"" OK.","BOREHOLES part only: these records are not borehole picks, so they are routed, not added here. GEOLOGY_COORDS must add the 9 rows (geology_evidence / stratigraphic_thickness_observations; GEO-0333.interseam_thickness_m = 8 from EV-VN-S037-0323) as proposed in the finding."
DOCS_LEAKAGE-025,FIXED,"BOREHOLE_AND_3D_RECONSTRUCTION_RU.md §1 (merges are rule-based; confidence HIGH 85 / MEDIUM-HIGH 89 / MEDIUM 100 of 274 merged rows; MEDIUM merges incl. 5 curated boundary unions 74/109/221/232/297 to be checked on the source figures before 3D and georeferencing; anchor rule >= MEDIUM-HIGH or visually confirmed), §5 п.5; borehole_catalog.csv identity_confidence: curated unions take their declared confidence (BH-SHS1-stvol_2-bis MEDIUM->HIGH; the 5 map/plan unions stay MEDIUM); borehole_identity_issues.csv ISS-MAP135-SOL: issue_status RESOLVED_BY_EVIDENCE->OPEN, evidence_against_identity, what_would_resolve.","build/report_stats.txt (merged rows 274: HIGH 85, MEDIUM-HIGH 89, MEDIUM 100; curated unions listed); FIX_DIFF.md.","Handoff §5.1 / P2-03 wording is DOCS (coordinator); numbers for it: 274 merged rows — HIGH 85, MEDIUM-HIGH 89, MEDIUM 100 (was 273: 83/89/101; +shaft 2 SAME_NAMED_SHAFT HIGH, 2-бис MEDIUM->HIGH)."
ATTRIBUTION-006,FIXED,"borehole_catalog.csv scope: BHG-S025-0686 SKRU1_SKRU2->SOLIKAMSK_GROUP; BH-SOL-1036, -120s, -122, -163s, -222, -234s, -Ug1 SKRU1_SKRU2->SKRU1_SKRU2_PILLAR; BHI-S011-2094, BHG-S012-0085 ->SKRU1 (ATTRIBUTION-016). borehole_picks.csv scope: 43 pillar picks ->SKRU1_SKRU2_PILLAR, PK-00390…00397 ->SKRU1. Builder: bh_common.py (SOL default UNSTATED, ALLOWED_SCOPES), build_boreholes.sol_site (pillar rules), build_outputs.py (RECORD_SCOPE_RECODE, fail-loud guard), build_write.py (vocabulary guard).","SRC-025 табл. 4.10 pooled SKRU-1/2/3 (record EV-VN-S025-0686 data: АБ 23/59/33, КрII 45/52/61); PE-v1 reviewer site column «СКРУ-1–СКРУ-2 целик» for the 6 pillar holes; self_check.py: 0 exact cells and 0 tokens SKRU1_SKRU2 in all 4 CSVs; scopes within the D-17 vocabulary.","BOREHOLES part of a multi-stream PROCESS finding. For (б) the finding proposed VKM_REGIONAL; the newer D-17 vocabulary has SOLIKAMSK_GROUP for exactly this pooled case, so SOLIKAMSK_GROUP is used. The pillar scope is now set only from explicit pillar evidence (reviewer «целик» / figure «pillar»); the build stops on any SKRU1_SKRU2."
ATTRIBUTION-010,FIXED,"borehole_catalog.csv BH-SOL-2, BH-SOL-132g, BH-SOL-890: scope SKRU1->UNSTATED, mine_or_site «вне горного отвода СКРУ-1 (…; рудник/участок не указан)», site_attribution_status FACT + site_attribution_method «figure: вне горного отвода СКРУ-1, рудник/участок не указан», site_attribution_basis (builder rule sol_site «outside»); location_description prefix «СКРУ-1:» removed via review_fixes.csv (3 rows).","SRC-014 p78 rendered at 100 and 250 dpi: labels 2, 132г and 890 lie north of the bold allotment boundary 148а–5–33–232; apply_review_fixes.py checked the 3 old values; FIX_DIFF.md.",UNSTATED rather than VKM_REGIONAL: the holes are in the Solikamsk area but no mine/participation is stated.
ATTRIBUTION-016,FIXED,"borehole_catalog.csv BHI-S011-2094: scope SKRU1_SKRU2->SKRU1, mine_or_site «СКРУ-1, блок 201 (SRC-011 p.130)», site_attribution_status FACT + method «text p.130», basis; status INTERPOLATION kept; collar_elevation_status ->INTERPOLATION. borehole_picks.csv PK-00390…PK-00397 scope ->SKRU1 (status INTERPOLATION kept). BHG-S012-0085: scope ->SKRU1, mine_or_site «СКРУ-1» (SRC-012 рис.1.1, 5 ЮЗП). Builder: SOL-area GRP/INTERP rows go through positional attribution (sol_site) before any area default.","SRC-011 p130 text layer: участок №1 is in block 201 of the SKRU-1 field (fig. 4.6), fig. 4.7 is its section; record EV-VN-S012-0085 mine_or_area «СКРУ-1, 5 ЮЗП»; FIX_DIFF.md.","Consistent with STO-0609…0616 (GEOLOGY_COORDS, scope SKRU1)."
DOCS_LEAKAGE-007,FIXED,BOREHOLE_AND_3D_RECONSTRUCTION_RU.md §3 (numeric SKRU-1 picks for six boreholes 23/30/74/75/134 + 128; shafts; point 129-220) and §4 п.1 («одна из шести…»; outside the southern strip only the graphic section of 128 and shaft 2-бис). No catalogue cell states otherwise (grep of all CSVs).,build/report_stats.txt «SKRU1 numeric STRAT/SEAM picks»: BH-SOL-23/30/74/75/134/128 (FACT) + shaft 2-бис (2) + BHI-S011-2094 (INTERPOLATION).,Coordinator key item (owner DOCS). PROJECT_STATE §3 п.2 and handoff §5.1 are the coordinator's.
DOCS_LEAKAGE-008,FIXED,"BOREHOLE_AND_3D_RECONSTRUCTION_RU.md §3 («У 109, 232, 221 и 297 … нет ни координат, ни отбивок. У 74 есть 6 отбивок … (21 400; 38 150), DERIVATION, ±150–200 м … MEDIUM, ISS-MAP135-SOL») and §5 п.5 (74 = first anchor after visual confirmation); borehole_identity_issues.csv ISS-MAP135-SOL evidence_against_identity / what_would_resolve / issue_status OPEN.","BH-SOL-74 row: x 21400, y 38150, n_pick_rows 6, identity CURATED_UNION MEDIUM; BH-SOL-109/221/232/297: no x, 0 picks.",Coordinator key item (owner DOCS). The BH-SOL-74 catalogue row was already correct.
ATTRIBUTION-014,FIXED,"BOREHOLE_AND_3D_RECONSTRUCTION_RU.md §3 and §4 п.1: «у целика» -> «юго-западная и южная части поля, 70–800 м к северу от целика» (134 ≈70 м, 30 ≈200 м, 74/75/23 480–800 м); 128 and shaft 2-бис listed.",site_attribution_basis of BH-SOL-23/30/74/75/134 (PE-v1 reviewer distances).,Owner DOCS; only the sentences of this stream report were corrected.
TRANSFER-014,FIXED,BOREHOLE_AND_3D_RECONSTRUCTION_RU.md §4 п.1 and §3 («В остальной части поля … только графический разрез скв. 128 и стволы»).,as DOCS_LEAKAGE-007.,Owner DOCS; stream report only.
