conflict_id,variable_or_topic,values_as_printed,sources_locators,vn_ids,linked_ids,conflict_type,assessment,resolution_status,impact_on_worldspec
MR-CONF-001,"long-term strength ratio σ∞/σпр (sylvinite, rock salt, carnallite)","A: Барях и др. 2008 Табл. 6.1 K_дл rock salt 0,60–0,65; sylvinite 0,35–0,40; carnallite 0,20–0,25 | B: Соловьёв 1992 p.12-13 σ∞ = 0,3σсж (красный сильвинит), 0,4σсж (неравномернозернистая каменная соль) | C: Лебедева 2023 (4.2) factor 0,3 for ALL salt strata | D: Кудряшов 2013 p.109 σсж.дл < 0,75σсж (literature) | E: СКРУ-1 Монолит-1 K_t∞ 0,36–0,50 (h/d 2,5–0,5); СКРУ-3 Монолит-2 0,49–0,62",VKM-SRC-025 p.157-163; VKM-SRC-037 p.12-13; VKM-SRC-012 p.96; VKM-SRC-011 p.109,EV-VN-S025-0848;EV-VN-S037-0143;EV-VN-S012-0509;EV-VN-S025-0895,MR-RHEO-CL-02;MR-RHEO-N07;MR-RHEO-N10;MR-RHEO-N11;MR-RHEO-N12,VALUE;DEFINITION;METHOD,"Different test methods (direct creep vs accelerated creep–relaxation vs creep-rupture curve), different reference strengths (σпр at 1 мм/мин vs σсж), shape (h/d) dependence and lithology pooling (C). Rock salt 0,4 (B) vs 0,60–0,65 (A) is a genuine VALUE disagreement for the same lithology class. Not averaged.",KEEP_ALL (discrete hypotheses per lithology),Long-term-strength constraint checks must carry the hypothesis id; LAB→MASSIF transfer of any ratio is not evidenced.
MR-CONF-002,LAB→MASSIF transfer of stiffness/strength (scale effect),"A: Барях 2008 p.31: in-situ compressive/flexural strengths of salt rocks CLOSE to lab values; in-situ E of carnallite 2× HIGHER than lab [13] | B: Лебедева 2023 p.101: massif properties should be 10–20× LOWER than core; calibrated structural weakening Kстр = 15 | C (EXT, v1 CL-14): steady-state creep parameters transfer lab→massif without correction, primary creep needs 3–5× reduction",VKM-SRC-025 p.31; VKM-SRC-012 p.99-101; EXT-SRC-012,EV-VN-S025-0190;EV-VN-S025-0191;EV-VN-S012-0539;EV-VN-S012-0544;EV-VN-S012-0524,MR-MECH rows scale_shape_effect (VKM-SRC-025 p.31; VKM-SRC-012 p.100-101);MR-RHEO-CL-14;MR-RHEO-CL-08,SCALE;DEFINITION;METHOD,"A compares in-situ vs lab measurements of the same property (and in-situ E likely dynamic/at small volume), B is a back-analysis effective factor for a 3,7×0,5 км elastic FE section that also absorbs goaf representation and time effects; C is a different deposit. Directions are opposite; none is a direct scale law for SKRU-1.",OPEN (no evidenced scale law),Any LAB→MASSIF transfer in the WorldSpec must be an explicit Transfer record with status ENGINEERING_ASSUMPTION or MODEL_CHOICE.
MR-CONF-003,Time of stable state of unsupported workings — prefactor and section correction,"A: Соловьёв–Секунцов 2013 (7.1) Тр = 2020K·exp(−13,5γH/σ̄сж)·√(12/Sр), K = exp[0,5(h/L − 0,75)] | B: Соловьёв 1992 (6.5)-(6.7) Tр = A exp(−13,5γHр/Rс)√(S/Sр), A = 1606 год (rectangular S = 12 м²), other shapes/machines different A (e.g. 5097 ПК-8)","VKM-SRC-014 p.172; VKM-SRC-037 pp.89-90, 97",EV-VN-S014-1002;EV-VN-S037-0560;EV-VN-S037-0561;EV-VN-S037-0563,MR-RHEO-N15;MR-RHEO-N16,VALUE;DEFINITION,"Same exponential family and coefficient 13,5; prefactors differ (2020·K vs 1606) and the section factor is written differently (√(12/Sр) vs √(S/Sр)); SRC-014 cites no source. Probably different editions/normalisations of one methodology.",KEEP_BOTH (edition question OPEN),Only as empirical constraint for workings; not a subsidence law.
MR-CONF-004,Stope-roof convergence law (7.18) constants,"A: (7.18) and Пример 1: A1 = 1,10·10^−2, exp coefficient 5,48 | B: Пример 2 p.191: A1 = 1,0·10^−2, coefficient 5,98","VKM-SRC-014 pp.186, 189, 191",EV-VN-S014-1063;EV-VN-S014-1047,MR-RHEO-CL-04;MR-RHEO-N23,INTERNAL,Internal inconsistency in a teaching manual; the original methodology is not identified.,KEEP_BOTH (A as printed law),Context-only law.
MR-CONF-005,Uniaxial strength of СКРУ-1 salts: cylinder σсж vs design cube σ,"A: Соловьёв 1992 Табл. 1.3 (СКРУ-1): КрII сл.1 26,9*; сл.3 27,5; сл.5 21,8; А 16,2–21,0*; Б 19,0*; В–Г 28,5; подстилающая к.соль 21,1–36,7* МПа (* данные Г.И. Ширко) | B: Табл. 6.12 (СКПРУ-1) «ориентировочные» кубиковые σ: КрII 31–34; АБ 26; к.соль 34 МПа","VKM-SRC-037 p.14 (printed 26-27), p.107 (printed 213)",EV-VN-S037-0152;EV-VN-S037-0153;EV-VN-S037-0154;EV-VN-S037-0155;EV-VN-S037-0156;EV-VN-S037-0157;EV-VN-S037-0158;EV-VN-S037-0657,MR-MECH rows VKM-SRC-037 p.14 SKRU1 and p.107,DEFINITION,Cube (weighted) strength for design vs test σсж; the guidance itself converts σсж = σ·Kн.о (6.20). Both visually re-checked. Not a contradiction of measurements; must not be pooled.,EXPLAINED_DEFINITIONAL (keep both),СКРУ-1 strength inputs must state which definition is used.
MR-CONF-006,Stress level γHпр/σсж for СКПРУ-1 carnallite (Табл. 6.18),"stopes: min 0,46 / mean 0,94 / max 0,41 (as printed; max < mean)",VKM-SRC-037 p.110 (printed 218),EV-VN-S037-0682,MR-MECH row stress_level_ratio SKRU1,INTERNAL,"Printed max lower than mean — probable misprint (e.g. 1,41); visually confirmed as printed.",OPEN (printed anomaly kept),Do not use the carnallite max for СКПРУ-1 without the original table.
MR-CONF-007,Time unit of Abel-kernel parameter δ for clay-contact creep,"δ = 0,013 с^(α−1) (printed) while creep curves (Рис. 5.12) use T in сутки",VKM-SRC-025 pp.149-151,EV-VN-S025-0833;EV-VN-S025-0831,MR-RHEO-N02,UNIT,"Visual re-check confirms the printed unit «с^(α−1)» and the сут axis. If the fit was done in days, δ in seconds would be different by 86400^(1−α) ≈ 30,3 (not computed further here). UNIT_DOUBT stands.",OPEN (UNIT_DOUBT),Parameter unusable until the time unit is resolved.
MR-CONF-008,Definition of σдл in Ch. III–IV tables vs Ch. VI σ∞ (Барях и др. 2008),Ch. II/III/IV: σдл = stress at elastic limit on the conditionally-instantaneous curve (also εу) | Ch. VI: σ∞ = creep-based long-term strength (accelerated creep–relaxation method),"VKM-SRC-025 pp.50, 76, 115, 157-163",EV-VN-S025-0269;EV-VN-S025-0522;EV-VN-S025-0721;EV-VN-S025-0401,MR-MECH long_term_strength rows VKM-SRC-025;MR-RHEO-N08;MR-RHEO-CL-02,DEFINITION,Two different quantities share the name «предел длительной прочности». Pooling them would mix an elastic-limit stress with a creep threshold.,OPEN (definition must be confirmed per table),Keep separate variables (σдл_elastic_limit vs σ∞_creep).
MR-CONF-009,Initial lateral stress coefficient λ (K0) at ВКМ,"λ = 0,71 (core Kaiser, ГИ УрО РАН / Асанов–Токсаров [62], via Лебедева and Бельтюков) | λ = 0,6 (hydro-jack + AE, БКПРУ-2, 350 м, Бельтюков) | λ = 1 (Соловьёв §6.7 3D ГИУ; Ломакин 2022 hydrostatic model) | λ = 0,45 (Соловьёв §8.4.3 roof layers) | 1,2–1,5 γH horizontal (Филатова citing Kola open-pit paper) | 0,9–1,0 (Гремячинское месторождение, ~1100 м, hydro-jack + AE, Бельтюков; OTHER_POTASH_SITE) | Соликамская впадина deep wells: σHmax 25–40 МПа < σv 50–60 МПа at 1,9–2,4 км","VKM-SRC-012 p.27; VKM-SRC-029 pp.44-45, 91, 128-129, 142-143; VKM-SRC-037 pp.99, 168; VKM-SRC-032 p.2; VKM-SRC-023 PARA 215; VKM-SRC-030 p.5",EV-VN-S029-0063;EV-VN-S037-0618;EV-VN-S030-0062;EV-VN-S029-0279,MR-MECH in_situ_stress rows;v1 CF-011;v1 CF-026,VALUE;METHOD;SITE;MODEL_CHOICE,"Measured values (0,6 at БКПРУ-2; 0,71 core-Kaiser, method criticised) vs model choices (1; 0,45) vs secondary/non-salt citations (1,2–1,5). No SKRU-1 measurement exists (EV-VN-S029-0393).",KEEP_ALL as DISCRETE_SET hypotheses (v1 H60/H71/HHYD) + model-choice values flagged,λ for SKRU-1 is UNKNOWN; any value is ANALOGUE or MODEL_CHOICE.
MR-CONF-010,Normative vs lab clay-interlayer strength reduction,"lab law (4.12) vs normative «Указания» [77] curve: coincide for small hг/h, differ ≈2× at hг/h = 0,2",VKM-SRC-025 p.119-120,EV-VN-S025-0655;EV-VN-S025-0654;EV-VN-S025-0652,MR-IDC A_SYNTHESIS clay interlayers,METHOD;SCALE,Specimen-scale lab law vs pillar-scale normative curve.,KEEP_BOTH,Pillar capacity reduction by clay is uncertain by up to ×2 at thick interlayers.
