finding_id,outcome,files_and_rows_changed,how_verified,notes
COVERAGE_DUPLICATES-006,FIXED,"mining_chronology_catalog.csv: новые столбцы event_key, canonical_mention (все 446 строк; 385 событий; 21 группа из нескольких упоминаний, напр. EVT-SKRU1-SHAFT1-LAYING-1927 = CHR-0023*, CHR-0024; EVT-SKRU1-COMMISSIONING-1930 = CHR-0025, CHR-0027*; EVT-SKRU1-SHAFT1-SINKING-CEMENTATION = CHR-0353*, CHR-0383; EVT-SKRU2-1995-MASS-COLLAPSE = CHR-0177, 0178, 0179, 0180*, 0181, 0351, 0376; EVT-BKPRU1-2006-FLOOD = CHR-0209…0216, 0218…0222, 0119.2, 0124.2, 0370, 0375; EVT-BKPRU3-1986-FLOOD = CHR-0118…0125, 0128*, 0129, 0130, 0151, 0370.3; EVT-VKM-DISCOVERY-1925 = CHR-0010, 0012, 0013, 0015.3, 0018*); mine_attribution_scope/scope CHR-0060, 0094, 0176, 0218, 0221, 0227 → БКПРУ-1, CHR-0118, 0125, 0129 → БКПРУ-3 (build_chron.py: EVENT_GROUPS, правило OTHER_VKM_SITE + один названный рудник); backfill_event_catalog.csv BF-0095 scope → BKPRU1 (через CHR-0176)",self_check.py: SELF-CHECK OK (у каждого event_key ровно одна строка canonical_mention=YES; 446/385); FIX_DIFF.md (0 ячеек без основания); ручной просмотр групп по руднику/типу/году,"Группы шире предложенных: добавлены упоминания, найденные при разбиении перечней (CHR-0119.2, 0124.2, 0370, 0370.3, 0015.3) и строки с датой по контексту (CHR-0351, 0375, 0376 — отнесение DERIVATION, пометка в notes). Формулировку «384 строки-упоминания (N уникальных событий)» в CLOUD_TO_LOCAL_PHASE2_HANDOFF_RU.md и PROJECT_STATE_RU.md делает координатор (DOCS): теперь 446 строк / 385 событий."
COVERAGE_DUPLICATES-007,FIXED,"spatial_hierarchy.csv: новый столбец borehole_id (SKRU1:SHAFT:1 ↔ BH-SHS1-stvol_1, SKRU1:SHAFT:2 ↔ BH-SHS1-stvol_2, SKRU1:SHAFT:2BIS ↔ BH-SHS1-stvol_2-bis); SKRU1:SHAFT:2BIS dimensions_as_printed (395,9 м; 295,6 м SRC-037 — опечатка) + notes; SKRU1:SHAFT:1 notes; mining_conflicts.csv MC-SP-08 resolution_status → RESOLVED_BY_VISUAL_CHECK, assessment (build_spatial.py, build_conflicts.py)","self_check.py: SELF-CHECK OK; FIX_DIFF.md (0 ячеек без основания); разрешение MC-SP-08 по записям визуальной проверки потока OCR_VISUAL_QA (QA-C-M041, QA-M-0016/0092/0093): интервал бетонной крепи той же строки 266,1–395,9 м и высота подъёма 402 м","Часть в borehole_catalog.csv / borehole_identity_issues.csv (столбец spatial_entity_id, глубина BH-SHS1-stvol_2 = 289 м, примечание к stvol_2-bis, ISS-SHAFT-2BIS, новая строка BH-SHS1-stvol_1) — поток BOREHOLES. Значение 295,6 сохранено как напечатанное в MC-SP-08."
COVERAGE_DUPLICATES-010,FIXED,"spatial_hierarchy.csv: новый столбец superseded_by у 12 узлов-дублей (SE:S011-3859, SE:S014-0163, SE:S023-0144 → SE:S011-0306; SE:S011-1149, SE:S011-3863 → SE:S011-0869; SE:S011-1346 → SE:S011-1076; SE:S014-0171 → SE:S011-0081; SE:S023-0148…0152 → SE:S011-0075…0079); канонические узлы: aliases, объединённые vn_ids/source_ids/locators/quote, dimensions_as_printed = варианты по источникам (build_spatial.py, DUP)",self_check.py: SELF-CHECK OK (superseded_by указывает на существующий узел; hierarchy_errors = 0); FIX_DIFF.md (0 ячеек без основания),"Узлы-дубли не удалены, а помечены superseded_by — ради стабильности id (D-14); уникальных узлов 644 − 12 = 632. Размеры не усреднены. GEO-0695.feature_type (fault → fold/depression) — поток GEOLOGY_COORDS; пересчёт числа узлов в PROJECT_STATE_RU.md — координатор."
COVERAGE_DUPLICATES-013,FIXED,"chronology_conflicts.csv CC-17: vn_ids_b + EV-VN-S023-0273, EV-VN-S023-0274; locators + Рис.18 (p.43); assessment + довод об одинаковой зональной статистике Рис.18 (179,612/100,002/304,108) для зон 88 «3П» и «19П» (build_chron.py)","Рендер SRC-023 p.43 (Рис.17, Рис.18) — значения совпадают; FIX_DIFF.md (0 ячеек без основания)",Примечания и общий ключ зоны в MON-0471/0472/0473 — поток MONITORING_LIFECYCLE.
COVERAGE_DUPLICATES-015,FIXED,spatial_hierarchy.csv: новый узел SL:SRC002:1 («Линия 1» слайда 15 SRC-002; parent DIST:SOLIKAMSK; site_scope SKRU1_OR_SKRU2_UNATTRIBUTED; vn EV-VN-S002-0032/0037/0067) с доводами «за/против» тождества и способом разрешения; SL:1 notes — взаимная ссылка «тождество НЕ установлено» (build_spatial.py),Находка PLAUSIBLE перепроверена: записи тождества/различия линий нет ни в одном каталоге MINING — подтверждено. self_check.py: SELF-CHECK OK; FIX_DIFF.md (0 ячеек без основания),"Узлы не слиты (как требует находка). Строка MCF-25 в monitoring_conflicts.csv и взаимные ссылки MON-0003/MON-0027 — поток MONITORING_LIFECYCLE. Пометка «Соликамск, рудник не разделён» выражена через parent DIST:SOLIKAMSK и область UNATTRIBUTED, а не через also_within."
DOCS_LEAKAGE-010,FIXED,"common.py (rstatus/rscope/rel_r: evidence_type TEACHING_EXAMPLE ⇒ status ANALOGUE, scope GENERAL_METHOD, skru1_relevance NOT_A_SITE_VALUE, без привязки к узлу); 36 строк: backfill_event_catalog.csv BF-0020, 0063, 0065, 0115, 0116, 0118, 0119, 0123, 0125, 0126, 0152, 0155, 0159, 0161, 0162, 0165, 0169; mining_geometry_catalog.csv MGEO-0001, 0115, 0116, 0118, 0119, 0185, 0231, 0262…0268, 0378, 0389, 0392, 0560; mining_chronology_catalog.csv CHR-0367",self_check.py: SELF-CHECK OK (FACT+TEACHING_EXAMPLE = 0; все 36 учебных строк ANALOGUE/GENERAL_METHOD); FIX_DIFF.md (0 ячеек без основания),"Проверка каталогов в tests/world (нет FACT+TEACHING, нет TEACHING со scope SKRU1) — координатор; строки CDE-* и GEO-* geology_evidence — поток GEOLOGY_COORDS."
DOCS_LEAKAGE-019,FIXED,"mining_geometry_catalog.csv: row_id GEO-nnnn → MGEO-nnnn во всех 563 строках (номер сохранён); geometry_row_id_rename_receipt.csv (old_row_id, new_row_id, row_kind, vn_ids); _build/id_registry_geometry.csv; build_geom.py (префикс MGEO)","self_check.py: SELF-CHECK OK (все id геометрии MGEO-, уникальны); fix_diff.py сопоставляет строки через receipt","Тест глобальной уникальности id первых колонок каталогов — координатор. Ссылки других потоков на GEO-id геометрии (напр., QA correction_impact.csv) перевести по receipt."
ATTRIBUTION-001,FIXED,"spatial_hierarchy.csv SE:S018-0032: site_scope и scope SKRU1 → VKM_REGIONAL; mine_attribution → «не установлена: Соликамский участок (поля СКРУ-1 и СКРУ-2, SRC-014 p.8); контуры рудников на рис.1 не показаны»; entity_type_as_source без «(SKRU-1)»; notes (common.py SCOPE_RECODE EV-VN-S018-0032; build_spatial.py AUTO_OVR)",self_check.py: SELF-CHECK OK; FIX_DIFF.md (0 ячеек без основания),Уровень узла уже district. GEO-0764 и CDE-0287 — поток GEOLOGY_COORDS; CDE-0290 не менялся.
ATTRIBUTION-005,FIXED,"mining_chronology_catalog.csv CHR-0178: scope SKRU1 → SKRU2; mine_attribution_scope → «целик СКРУ-1–СКРУ-2; провал — со стороны СКРУ-2 (SRC-012 pp.33, 58)»; relevance MINING_VKM_CONTEXT; skru1_relevance → SKRU1_SKRU2_PILLAR_AREA (сторона СКРУ-2); spatial_entity_ids + MF:SKRU2; confidence HIGH → MEDIUM; event_subtype_note; notes (ошибочная заметка экстрактора заменена); chronology_conflicts.csv CC-05 → RESOLVED_SKRU2_SIDE, value_a/value_b/assessment, affects_skru1 YES (common.py SCOPE_RECODE EV-VN-S012-0600; build_chron.py); review_fixes.csv: RF-039…042, RF-063","self_check.py: SELF-CHECK OK; FIX_DIFF.md (0 ячеек без основания); текстовый слой SRC-012 pp.31–33, 58, 113","Отступление: scope SKRU2, а не SKRU1_SKRU2, как предлагала находка, — по D-17 устаревшая область SKRU1_SKRU2 запрещена, данные стороны СКРУ-2 у целика = SKRU2. Связь с целиком сохранена в spatial_entity_ids и skru1_relevance. GEO-0688 — поток GEOLOGY_COORDS."
ATTRIBUTION-006,FIXED,"common.py SCOPE_RECODE (45 записей SKRU1_SKRU2 перекодированы по тексту; сборка останавливается на любой неперекодированной); (б) spatial_hierarchy.csv SE:S025-0699 → SOLIKAMSK_GROUP; CHR-0381, CHR-0089 → SOLIKAMSK_GROUP; (в) MGEO-0178, 0179, 0238, 0357, 0358, 0530, 0531 и CHR-0361 → SKRU1 с пометкой «СКРУ-1 (также СКРУ-2)»; CHR-0255 → SKRU1_OR_SKRU2_UNATTRIBUTED; (г) CHR-0051 → VKM_REGIONAL (+ OTHER/INFORMATION), GEO:KLESTOVSKY_DOME scope → VKM_REGIONAL, 12 участков детальной разведки → VKM_REGIONAL",self_check.py: SELF-CHECK OK (0 ячеек SKRU1_SKRU2; все области ∈ Scope PUBLIC-схемы); FIX_DIFF.md (0 ячеек без основания),"Отступления: (б) SOLIKAMSK_GROUP вместо VKM_REGIONAL — значение введено решением D-17 после находки. (в) CHR-0255 → SKRU1_OR_SKRU2_UNATTRIBUTED, а не SKRU1: кампания SRC-002 над застроенной территорией СКРУ-1 и СКРУ-2 без разделения линий (как CMP-012, TRANSFER-023). Строки MON-*, MR-MECH-0782/0783, BHG-S025-0686, CDE-*, GEO-* (geology), HYD-068/091, SGP-003 — потоки MONITORING_LIFECYCLE, MECH_RHEO, BOREHOLES, GEOLOGY_COORDS, HYDRO_THERMAL_GEOPHYS; тест каталога «SKRU1_SKRU2 без ссылки на целик» — координатор (область SKRU1_SKRU2 в выходах MINING больше не встречается)."
