vn_id,source_id,locator,stage_as_extracted,stage_id,mapping,status,scope,confidence,time_scale_as_extracted,notes
EV-VN-S002-0002,VKM-SRC-002,p2 [слайд 2 (схема работ кафедры)],geomechanical modelling workflow (oil/gas reservoir oriented),I16,manual override (reviewed),FACT,NON_VKM,HIGH,field development,"Workflow is for hydrocarbon fields (not potash) but mirrors the lab->log->model->subsidence chain of the project; inset map: 'Прогнозные изолинии оседаний морского дна при отработке запасов нефти месторождения им. Ю. Корчагина' (Caspian), legend 5-95 мм."
EV-VN-S003-0056,VKM-SRC-003,"p17 [§1.1, стр.17-18 (этапы обработки)]",InSAR processing chain (DInSAR pair),I13,explicit (cited in stage row),FACT,GENERAL_METHOD,HIGH,per pair; interval = revisit multiple,
EV-VN-S003-0084,VKM-SRC-003,p25 [§1.2.3],"IPTA processing stage 1-2 (preparation, candidate selection)",I13,keyword rule on stage text,FACT,GENERAL_METHOD,HIGH,,
EV-VN-S003-0123,VKM-SRC-003,"p35 [§2.2 метод Std, шаги 1-2 (продолжение на стр.36)]",Std processing chain (steps 1-2),I13,keyword rule on stage text,FACT,VKM_REGIONAL,HIGH,per scene,
EV-VN-S003-0124,VKM-SRC-003,"p36 [§2.2 метод Std, шаги 3-13]",Std processing chain (steps 3-13),I13,keyword rule on stage text,FACT,VKM_REGIONAL,HIGH,per 11/22/33-day pair,
EV-VN-S003-0148,VKM-SRC-003,"p31 [§2.1, §3.1, Рис. 3.1]",closure/flooding and post-flooding subsidence with sinkholes,P20,explicit (cited in stage row),FACT,BKPRU1,HIGH,years to decades after flooding,"BKPRU-1 is OTHER_VKM_SITE for SKRU-1 purposes (flooded-mine regime, not transferable as SKRU-1 normal regime)."
EV-VN-S003-0179,VKM-SRC-003,p44 [§3.2],surface response monitoring over flooded/undermined territory (post-accident),I13,explicit (cited in stage row),FACT,OTHER_VKM_SITE,HIGH,11-33 days to seasons/years,
EV-VN-S003-0255,VKM-SRC-003,p69 [§3.5 p.69],"surface response monitoring -> hazard decision (resettlement, fencing)",I18,explicit (cited in stage row),FACT,OTHER_VKM_SITE,HIGH,season to years,
EV-VN-S003-0506,VKM-SRC-003,p86 [§4.2.1],"model calibration using lab tests + in-situ measurements + surface geodesy (and, per §4.2.6, InSAR)",I16,explicit (cited in stage row),FACT,GENERAL_METHOD,HIGH,after observation campaigns,Information-flow caution for the project: calibration data and evaluation data must be separated in time (no leakage).
EV-VN-S004-0082,VKM-SRC-004,"p2 [pp.2,7,9]",post-flooding long-term evolution and surface response (closure/flooding stage),P20,keyword rule on stage text,FACT,BKPRU1,HIGH,years to decades,Analogue for a flooded-mine lifecycle stage; NOT SKRU-1.
EV-VN-S005-0045,VKM-SRC-005,p5 [весь текст],long-term evolution after extraction (goaf collapse → surface trough → WPS damage),P16,manual override (reviewed),FACT,OTHER_POTASH_SITE,HIGH,годы-десятилетие,
EV-VN-S006-0111,VKM-SRC-006,p4 [Введение с. 4; §1.1; §3.2–3.3],surface response observation by remote sensing (monitoring),I13,keyword rule on stage text,FACT,GENERAL_METHOD,HIGH,revisit days (Sentinel 2–12 d) to multi-year repeat surveys (5–10 yr for landscape Markov analysis),
EV-VN-S007-0031,VKM-SRC-007,p8 [Результаты (накопление оседаний до аварии)],precursor surface response before collapse (urban analogue),P18,manual override (reviewed),FACT,NON_VKM,MEDIUM,months,Analogy for sinkhole precursors only; mechanism unrelated to potash mining.
EV-VN-S009-0008,VKM-SRC-009,p2 [Введение (временной ход оседаний)],surface response / long-term evolution (Starobin analogue),P18,keyword rule on stage text,ANALOGUE,OTHER_POTASH_SITE,MEDIUM,0.5–5 yr onset; peak ~5 yr; decay afterwards (duration unstated),Internal tension: 'starts immediately' vs 'appears at surface 0.5–5 yr after'. Unsourced (no reference list in the paper). Starobin uses longwall ('лава') — different mining system from VKM room-and-pillar; time function not transferable without justification.
EV-VN-S011-0021,VKM-SRC-011,p4 [Введение; Предисловие],formation -> epigenetic change -> destruction (karst) ('онтогенез ВКМС'),P01,explicit (cited in stage row),MODEL_CHOICE,VKM_REGIONAL,HIGH,geological (Permian to present),
EV-VN-S011-0237,VKM-SRC-011,p13 [§1.2],exploration (поисковое бурение → предварительная разведка → детальная разведка) + oil/special wells,I02,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,decades (not dated here),
EV-VN-S011-0760,VKM-SRC-011,p36 [текст с.70-71],surface response — delayed fracture opening and sinkhole formation at trough edge,P18,keyword rule on stage text,FACT,BKPRU1,HIGH,years,
EV-VN-S011-0960,VKM-SRC-011,p42 [§2.1–2.2],geological documentation of salt stratum (exploration core + underground workings),I03,manual override (reviewed),FACT,VKM_REGIONAL,HIGH,decades (1950s–2000s),
EV-VN-S011-1476,VKM-SRC-011,p72 [стр. 132-143 (§2.2-2.5 synthesis)],post-depositional deformation and fluid-mineralization history of the salt sequence,P02,explicit (cited in stage row),DERIVATION,VKM_REGIONAL,MEDIUM,geological to mining (days: gas release),
EV-VN-S011-1507,VKM-SRC-011,p75 [с.149; Рис. 2.89],formation/diagenesis-tectonic: evolution of 'ushko' replacement bands,P02,explicit (cited in stage row),FACT,VKM_REGIONAL,MEDIUM,geological,
EV-VN-S011-1673,VKM-SRC-011,p95 [с.172-188 (§2.8)],underground exploration / research workings and underground exploitation-exploration drilling,P09,explicit (cited in stage row),FACT,BKPRU4,MEDIUM,continuous during mine life; samples analysed months–years later,
EV-VN-S011-1707,VKM-SRC-011,"p100 [Гл. 3, §3.1, p.198]",formation (geological ontogenesis),P01,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,geological (Kungurian to present),
EV-VN-S011-2033,VKM-SRC-011,"p111 [§3.5, p.219-221]",hypergenesis / long-term natural evolution (salt karst),P04,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,geological to present (µm/yr rates),
EV-VN-S011-2034,VKM-SRC-011,"p117 [§3.8, p.232-233; §3.5 p.224-226]",diagenesis–catagenesis (fluid expulsion) and tectono-karst epigenesis,P02,explicit (cited in stage row),FACT,VKM_REGIONAL,MEDIUM,Permian–Triassic and later (geological),
EV-VN-S011-2657,VKM-SRC-011,p130 [стр. 259],surface response / subsidence monitoring and its geological interpretation,P18,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,decades (profile 12: 1989–2010+),
EV-VN-S011-2658,VKM-SRC-011,p128 [стр. 254-255],detailed exploration -> mining-geological assessment of a VKM block,I07,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,pre-mining,
