finding_id,outcome,files_and_rows_changed,how_verified,notes
ATTRIBUTION-006,FIXED,"monitoring_observation_catalog.csv: MON-0003, MON-0004, MON-0005, MON-0006, MON-0053, MON-0102 scope SKRU1_SKRU2 → SKRU1_OR_SKRU2_UNATTRIBUTED; MON-0002, MON-0084 VKM_REGIONAL → SKRU1_OR_SKRU2_UNATTRIBUTED (единообразие); monitoring_campaigns_timeline.csv CMP-012 scope; visual_rechecks.csv VCHK-ML-03 scope; builder: norm_vocab.SCOPE_RECODE","validate_stream.py: 0 ячеек SKRU1_SKRU2; рендер SRC-002 p.15 (заголовок «СКРУ-1 и СКРУ-2 (Соликамск)», линии без рудника)","часть потока — пункт (а); вместо предложенного UNSTATED использована метка D-17 SKRU1_OR_SKRU2_UNATTRIBUTED (точнее и принята в схеме); пункты (б)–(г) — строки потоков MECH_RHEO, BOREHOLES, GEOLOGY_COORDS, MINING, HYDRO_THERMAL_GEOPHYS"
ATTRIBUTION-012,FIXED,"monitoring_observation_catalog.csv: MON-0034 разделена (A: линия ПНИПУ №3 у целика СКРУ-2–СКРУ-3, II класс, SKRU2; B: MON-0034-B линии Уралкалия у целика СКРУ-1–СКРУ-2, IV класс, SKRU1_SKRU2_PILLAR); MON-0062 scope → SKRU2, в site_attribution_strict разведены линии 1/7/10 и 8; MON-0064 scope → SOLIKAMSK_GROUP, линии 1 и 2 разведены","текст SRC-012 p.48 (линия №23 = линия №3 ПНИПУ), p.50 (наблюдения со стороны СКРУ-2 по линиям 10, 1, 7, 8), p.57 §2.5 п.1; review_fixes old-value checks",узел IMP:SKRU2-SKRU3 (spatial_hierarchy) — поток MINING
ATTRIBUTION-017,FIXED,"monitoring_observation_catalog.csv: MON-0036 → SKRU2 (реперы 13–30 — сторона СКРУ-2), NEIGHBOUR_ONLY; разделены по сторонам целика MON-0027/-B, MON-0028/-B, MON-0033/-B, MON-0040/-B (части в целике — SKRU1_SKRU2_PILLAR, части стороны СКРУ-2 — SKRU2, числа разнесены по сторонам); MON-0014, MON-0063 (без численных значений) — SKRU1_SKRU2_PILLAR с явным указанием «реперы 9–30 — сторона СКРУ-2»; visual_rechecks.csv VCHK-ML-07 (новая), VCHK-ML-04; monitoring_campaigns_timeline.csv CMP-003/CMP-004 notes; lifecycle_stages.csv P18, I12; information_lifecycle_matrix.csv DC17","рендер SRC-012 p.51 (150 и 300 dpi, пиксельное чтение огибающей), p.56, p.103, p.107; validate_stream.py: YES_SKRU1 только при scope SKRU1, нет многозначных scope в каталоге","при перепроверке найдено: в зоне целика линии №7 оседания к 2018–2020 гг. доходят до ≈0,4–0,5 м у внутренней границы целика (запись: «pillar zone <~0.1 m» — верно лишь у реп. 0–1); значение исправлено в MON-0028 и задокументировано в VCHK-ML-07; строки MON-0014 и MON-0063 не содержат численных значений, поэтому не разделены (одна строка на линию, область SKRU1_SKRU2_PILLAR с явной оговоркой о реперах 9–30)"
ATTRIBUTION-018,FIXED,"monitoring_observation_catalog.csv: MON-0433 — только столбец СКРУ-1 табл. 2.5; новые MON-0433-B (СКРУ-2, SKRU2) и MON-0433-C (СКРУ-3, SKRU3)","текстовый слой SRC-014 p.50 (табл. 2.5, столбцы СКРУ-1 | СКРУ-2 | СКРУ-3); review_fixes old-value checks",
CHRONOLOGY-011,FIXED,"information_lifecycle_matrix.csv: DC14 skru1_status (интервалы выемки/закладки с началом и концом; в модели ВКР — только начало), DC14 leakage_mechanism, DC16 physical_event_time (10–20/≤2 лет — СКПРУ-2 §3.18; СКРУ-1 — по таблице зон), DC01 availability_to_forecast (для старых рудников детальная разведка позже ввода); vn_ids DC01/DC14/DC16; lifecycle_stages.csv P14; lifecycle_graph_edges.csv E025 (P11→P14); отчёт п.6, P14, подпись ребра mermaid","рендер SRC-023 p.43 (рис. 17: exel_Date_otrab / exel_Year_zaklad — интервалы), текст p.43–44; OCR SRC-037 p.66 (§3.18 «НА РУДНИКЕ СКПРУ-2»); текст SRC-011 p.147 (Соликамский участок «1961 г.», ввод СКРУ-1 1930)","пункт (3) (PLAUSIBLE) внесён как условие для старых рудников, без общего правила"
CHRONOLOGY-012,FIXED,"monitoring_campaigns_timeline.csv: CMP-036 end 1992-09-22 → пусто (+ пояснение: подписание в печать — событие публикации); CMP-035 разделена по редакциям: CMP-035 (ред. 2008, до 30.03.2017), CMP-035-B (ред. 2014, введ. 30.03.2017), CMP-035-C (ред. 2022); новые CMP-039 (ред. 2004, ВНИИГ), CMP-040 (ред. 2023 по SRC-021, CC-07 не разрешён)","записи EV-VN-S037-0002/-0007/-1250, S025-1139, S011-0382, S033-0029, S031-0029/-0030, S019-0017, S012-0691, S034-0054, S021-0017/-0018; build_lifecycle.py проверяет vn_ids","конец действия редакций указан только там, где напечатана дата ввода следующей редакции"
CHRONOLOGY-019,FIXED,"monitoring_conflicts.csv: новая MCF-29 (конец сезона InSAR-2020: 11.11.2020 vs 01.11.2020, OPEN; консервативно 11.11.2020); monitoring_campaigns_timeline.csv CMP-017 cadence_epochs — обе даты","текстовый слой SRC-003 p.44 (пара 29.09–01.11.2020), p.47 («с 28.04.2020 г. по 11.11.2020 г.», «187 дней»), p.48",CHR-0321 — поток MINING; арифметика «28.04 + 187 сут = 01.11» помечена как проверка рецензента (DERIVATION)
CHRONOLOGY-022,FIXED,"information_lifecycle_matrix.csv: новая колонка forecaster_role (EXTERNAL по умолчанию; OPERATOR — только при явном объявлении); benchmark_rule переписаны по ролям (D-03, D-16) в DC01, DC05, DC07, DC14, DC16, DC17 и в строках с той же ошибкой DC02, DC04, DC06, DC09, DC10, DC11, DC12, DC13, DC15, DC20, DC21, DC29, DC32 (19 строк); notes",сверка с D-03/D-16 (PHASE1_DESIGN_DECISIONS_RU.md) и VALIDATION_POLICY_RU.md §5; FIX_DIFF.md,фиксация роли прогнозиста в VALIDATION_POLICY §5 — координатор
CHRONOLOGY-025,FIXED,"information_lifecycle_matrix.csv: новые колонки latency_status (DERIVATION ×29, UNKNOWN ×3: DC05, DC16, DC32) и latency_method («разность напечатанных дат / обобщение», вычислено потоком); notes: «латентности — как напечатаны» заменено",validate_stream.py (latency_status ∈ 7 статусов); docstring data_info_lifecycle.py,"единое правило фазы о вычитании дат (SCIENTIFIC_RULES; согласование с потоком MINING, CC-13) — координатор; если вычитание будет запрещено, интервалы можно удалить, даты остаются FACT"
COVERAGE_DUPLICATES-008,FIXED,"information_lifecycle_matrix.csv: source_ids DC01 (+VKM-SRC-024), DC02 (+VKM-SRC-033), DC21 (+VKM-SRC-010), DC30 (+VKM-SRC-012), DC31 (+VKM-SRC-014); правило сборщика build_lifecycle.union_sources применено ко всем таблицам жизненного цикла (матрица, стадии, конфликты, кампании)",validate_stream.py: источник каждого цитируемого vn_id входит в source_ids/source_id — 0 нарушений во всех 10 таблицах,"строки MR-*, PC-*, OO-* — потоки MECH_RHEO и PHYSICS_CAUSAL"
