process_id,process,domain,group,causal_role,causal_path_to_subsidence,required_variables,required_parameters,governing_equations,local_evidence,external_evidence_needed,site_relevance,scale_spatial,scale_temporal,scale,uncertainty,identifiability,expected_importance,expected_importance_level,normal_scenario_role,candidate_future_tool,planned_execution_status,readiness,data_gaps,status,scope,confidence,source_ids,locator,vn_ids,n_local_evidence,n_skru1_scoped_evidence,best_evidence_scope,equation_vn_ids,math_model_ids_FORMULAS_draft,prev_release_refs,key_vn_id,key_quote_check,notes
PC-01,Гравитационная нагрузка (собственный вес толщи),mechanics,INIT,движущая сила: вес надработанной толщи передаётся на целики и выработанное пространство,вес толщи γH → нагрузка на МКЦ Q=γH(a+b)/b → степень нагружения C → ползучесть/деформация целиков → конвергенция камер → опускание толщи → оседание поверхности,"ρ(x,y,z); g; σv(z)","плотность/удельный вес по литологиям (соль, сильвинит, карналлит, мергель; надсолевые ТКТ/СМТ/ПЦТ/Q); g",div σ + ρg = 0 (TEXTBOOK_STANDARD); Q=γH(a+b)/b [EV-VN-S037-0881; EV-VN-S031-0005],"нормативные γ соляных пород 0,020–0,022 МН/м3 (Указания, через Лебедеву табл.1.1); средний γ налегающих пород 2,5 т/м3 принят в формуле (СКРУ-1, ENGINEERING_ASSUMPTION); ρ=2200 кг/м3 как авторское среднее (Бельтюков); измеренное σv за опорной зоной ≈8,5 МПа ≈ γH=7,7 МПа (БКПРУ-2, 350 м)","плотности надсолевых стратонов (ТКТ, СМТ, ПЦТ, Q) по керну/ГГК-П СКРУ-1; GAP-001 не закрыт",NORMAL: да (первопричина нагрузки); ACCIDENT: да,месторождение → целик; вертикальный разрез 0–500 м,постоянно (статическая нагрузка),DESIGN,"плотности надсолевых пород только как принятые/модельные значения (2,2 vs 2,5 т/м3) — диапазон, не точка","высокая по σv (проверяется измерениями σv≈γH), низкая по отдельным стратонам",HIGH: без неё нет нагрузки на целики; но неопределённость σv мала относительно неопределённости реологии,HIGH,FIRST_ORDER_DRIVER,OGS; FLAC3D; PLAXIS; MATLAB (аналитический σv(z)),COMPUTED_3D,READY_FOR_LOCAL,"GAP-001: плотности надсолевых стратонов отсутствуют (только ENGINEERING 2,5 т/м3 и модельное 2200 кг/м3)",FACT,VKM_REGIONAL,HIGH,VKM-SRC-012;VKM-SRC-014;VKM-SRC-029;VKM-SRC-037;VKM-SRC-031,"VKM-SRC-012 p.26 (Табл. 1.1 [69]); VKM-SRC-014 p.118 (формула (4.1)); VKM-SRC-029 p.91 (§3.1); VKM-SRC-037 p.166 (формулы (8.123), (8.124)); VKM-SRC-031 p.1 (§Методы и подходы); VKM-SRC-029 p.128 (§5.1.1, Рис. 5.2 (станции № 1, 2))",EV-VN-S012-0065;EV-VN-S014-0848;EV-VN-S029-0161;EV-VN-S037-0881;EV-VN-S031-0005;EV-VN-S029-0226,6,1,SKRU1,EV-VN-S037-0881;EV-VN-S031-0005,MM-PILLAR-001;MM-PILLAR-010,TX-I01;TX-M01;GAP-001;CF-015;CF-017,EV-VN-S012-0065,EXACT,"READY_FOR_LOCAL только в режиме диапазонов плотности; нормативные γ — NORMATIVE, не измерения на СКРУ-1"
PC-02,Начальное вертикальное напряжение σv(z) (литостатика),mechanics,INIT,начальное условие поля напряжений до горных работ,"σv0=∫ρg dz → исходная нагрузка, от которой отсчитываются приращения при выемке → степень нагружения целиков","σv(x,y,z,t0)",ρ(z) по стратонам; отметки горизонтов; рельеф,σv=∫0^H ρ g dz (TEXTBOOK); проверка σv≈γH по измерениям [EV-VN-S029-0226; EV-VN-S029-0115],"гидродомкрат+АЭ (эффект Кайзера): σv≈γH в нетронутом массиве (БКПРУ-2, 350 м, 8,5 МПа при γH=7,7 МПа); модель Бельтюкова σ1=8,0 МПа на 370 м (ENGINEERING)",нет прямых измерений σv на СКРУ-1; требуется только плотность (см. PC-01),NORMAL: да,массив; глубина 250–400 м (горизонты отработки),t0 (до выемки),FIELD,"малая (±плотность); измерения не на СКРУ-1 (БКПРУ-2, СКРУ-3)",высокая,HIGH: определяет абсолютный уровень нагрузки и C,HIGH,FIRST_ORDER_DRIVER,OGS (initial stress); MATLAB,INITIAL_CONDITION,READY_FOR_LOCAL,плотности надсолевых стратонов (GAP-001),DERIVATION,OTHER_VKM_SITE,HIGH,VKM-SRC-029;VKM-SRC-012,"VKM-SRC-029 p.128 (§5.1.1, Рис. 5.2 (станции № 1, 2)); VKM-SRC-029 p.69 (§2.2.1, Рис. 2.8а, refs [73, 82, 83]); VKM-SRC-029 p.91 (§3.1, ref [69]); VKM-SRC-029 p.132 (§5.1.2); VKM-SRC-012 p.26 (Табл. 1.1 [69])",EV-VN-S029-0226;EV-VN-S029-0115;EV-VN-S029-0160;EV-VN-S029-0242;EV-VN-S012-0065,5,0,SKRU3,EV-VN-S029-0226;EV-VN-S029-0115,,TX-I02,EV-VN-S029-0226,FUZZY_85,статус DERIVATION: σv для СКРУ-1 выводится из плотностей и глубины; измерения σv≈γH — БКПРУ-2/СКРУ-3 (не СКРУ-1)
PC-03,"Начальное горизонтальное напряжение, коэффициент бокового распора λ (K0)",mechanics,INIT,"начальное условие; влияет на устойчивость кровли (боковой распор), ВЗТ и форму зон разрушения",λ → σx в слоях кровли (σx=λγH(...)) → прогиб/расслоение кровли → рост высоты камеры/целика → рост C → ускорение ползучести; λ → распределение зон Kt>1 в ВЗТ,"σH, σh, λ=σh/σv","λ как набор гипотез: 0,45 | 0,6 | 0,71 | 1,0 (гидростатика); 1,2–1,5 (цит., не ВКМ)",σx=λγH(1+(a/b)(b−y)/b) [EV-VN-S037-0910]; σh=λσv,"λ=0,71 (среднее ВКМ, гидроразрыв/электрометрия/Кайзер, цит. Лебедевой); λ=0,6 (БКПРУ-2, 350 м, гидродомкрат+АЭ); λ=0,45 (нормативно для ВКМ в расчёте кровли); λ=1 (MODEL_CHOICE: гидростатика в соли — ВНИИГ 3D-расчёты, модель Лебедевой); 1,2–1,5 γH приписано массиву СКРУ-1 у Филатовой, но цитировано из не-ВКМ источника [23]; Бельтюков: концентрации на дефектах в нетронутой соли релаксированы","прямые измерения напряжений на СКРУ-1 отсутствуют; нужен первичный источник по λ=0,71 (сайты, методы)",NORMAL: да,массив; пласт/кровля камеры,t0,MASSIF,DISCRETE_SET конкурирующих гипотез; не усреднять,"низкая по оседаниям поверхности (слабое влияние), выше — по конвергенции кровли","MEDIUM: для оседаний поверхности вторичен (основная нагрузка вертикальная), для кровли и ВЗТ — существенен",MEDIUM,SECOND_ORDER,OGS; FLAC3D; MATLAB (ансамбль по λ),INITIAL_CONDITION,EVIDENCE_WEAK,"GAP-006 (BOUNDED_ENSEMBLE_DIMENSION); нет измерений на СКРУ-1; λ=1,2–1,5 — вторичное цитирование не-ВКМ данных",UNKNOWN,VKM_REGIONAL,MEDIUM,VKM-SRC-012;VKM-SRC-029;VKM-SRC-037;VKM-SRC-023,"VKM-SRC-012 p.27 (§1.4.1, [8], [2], [1]); VKM-SRC-029 p.44 (§1.3.1, pp.44-45, рис. 1.23); VKM-SRC-029 p.128 (§5.1.1, Рис. 5.2 (станции № 1, 2)); VKM-SRC-029 p.91 (§3.1, ref [69]); VKM-SRC-037 p.99 (§6.7, с. 196); VKM-SRC-012 p.27 (§1.4.1); VKM-SRC-037 p.168 (формула (8.130)); VKM-SRC-023 p.35 (rendered p.35; §2.3); VKM-SRC-029 p.72 (§2.2.2, refs [89-91], [38])",EV-VN-S012-0071;EV-VN-S029-0055;EV-VN-S029-0226;EV-VN-S029-0160;EV-VN-S037-0617;EV-VN-S012-0073;EV-VN-S037-0910;EV-VN-S023-0163;EV-VN-S029-0124,9,1,SKRU1_SKRU2,EV-VN-S037-0910,MM-ROOF-021;MM-STRESS-001,TX-I03;GAP-006;CF-011;CF-026,EV-VN-S037-0910,NOT_FOUND,"конфликт см. physics_conflicts.csv PCF-01; статус UNKNOWN: значение для СКРУ-1 не установлено, хранится DISCRETE_SET"
PC-04,"Тектоническое горизонтальное сжатие (региональный режим, ориентация σH)",mechanics,INIT,возможная добавка к горизонтальным напряжениям в жёстких (несоляных) слоях; фактор разломных зон,тектоническое сжатие с востока (Урал) → складчатость/надвиги (геологическое время) → неоднородности и разломы → локализация деформаций; в соли девиатор релаксирован ползучестью,"σH, азимут σH",σH/σv по глубине; азимуты,инверсия вывалов (Галин) [VKM-SRC-030 eq.5] — DERIVATION автора,"асимметрия складок → тангенциальное сжатие с востока (интерпретация ВНИИГ); по вывалам в нефтяных скважинах Соликамской впадины на 1,9–2,4 км: σv 50–60 МПа, σmax 25–40, σmin 20–25 МПа, азимут σmax 225–300° (DERIVATION, подсолевые породы); фундаментный разлом возможно активен",нет данных о тектонической компоненте на глубинах 0–400 м над СКРУ-1; нужны гидроразрыв/Кайзер в надсолевой толще,NORMAL: слабо/неизвестно; ACCIDENT: фактор разломных зон,район/впадина; км-масштаб,геологическое время; t0,FIELD,"глубины измерений (1,9–2,4 км) несопоставимы с горизонтом отработки; переносить нельзя",низкая,"UNKNOWN: влияние на надсолевую толщу над СКРУ-1 не оценено; в соли, вероятно, релаксировано",UNKNOWN,UNKNOWN_ROLE,OGS (граничные напряжения); FLAC3D,RESEARCH_REQUIRED,EVIDENCE_WEAK,σH в надсолевой толще; ориентация σH на глубинах 0–400 м,UNKNOWN,VKM_REGIONAL,LOW,VKM-SRC-037;VKM-SRC-014;VKM-SRC-030;VKM-SRC-012,"VKM-SRC-037 p.6 (§1.1.3); VKM-SRC-014 p.20 (§1.3); VKM-SRC-030 p.4 (Табл. 1); VKM-SRC-030 p.5 (Табл. 2); VKM-SRC-030 p.5 (Табл. 2); VKM-SRC-030 p.5 (Табл. 2); VKM-SRC-012 p.31 (§1.4.2, [58]); VKM-SRC-037 p.4 (§1.1.1, положения 1–3 новой тектонической концепции ВНИИГ (с)",EV-VN-S037-0059;EV-VN-S014-0217;EV-VN-S030-0038;EV-VN-S030-0052;EV-VN-S030-0053;EV-VN-S030-0055;EV-VN-S012-0141;EV-VN-S037-0024,8,1,SKRU1_SKRU2,,,GAP-006,EV-VN-S037-0059,EXACT,"значения VKM-SRC-030 — подсолевые 1,9–2,4 км; для СКРУ-1 не переносить (ANALOGUE по глубине)"
PC-05,"Топографическое возмущение напряжений и рельеф (долина Камы, уступ)",mechanics,INIT,верхнее граничное условие геометрии; фактор разгрузки склонов и гидродинамики,"рельеф/уступ долины Камы → неравномерная мощность налегающей толщи H(x,y) → неравномерная нагрузка на целики; склоновое отседание → трещиноватость → области питания подземных вод","z_s(x,y)",ЦМР (DEM) участка; мощность Q,"σv зависит от H(x,y)=z_s−z_seam (DERIVATION)","уступ долины Камы вдоль С–З границы поля СКРУ-1 (слой рельефа предприятия, Филатова); склоновое отседание и высокая трещиноватость бортов долины (Кудряшов); макс. отметка +273 м; SRTM использован в ВКР",ЦМР высокого разрешения по СКРУ-1 (в корпусе нет значений),"NORMAL: да (через H(x,y)); влияние на напряжения мало",шахтное поле; км,постоянно,FIELD,ЦМР в корпусе отсутствует,высокая при наличии ЦМР,"LOW: рельеф пологий, влияет через глубину H; важен для InSAR (топографическая фаза) и гидрогеологии",LOW,CONTEXT_OR_NEGLIGIBLE,QGIS/GDAL (ЦМР); OGS (геометрия верхней границы),BOUNDARY_CONDITION,GEOMETRY_MISSING,ЦМР; отметки устьев скважин (частично в BOREHOLES),FACT,SKRU1,MEDIUM,VKM-SRC-023;VKM-SRC-011,"VKM-SRC-023 p.48 (Рис.25а (image27.png)); VKM-SRC-011 p.38 (текст с.74); VKM-SRC-023 p.26 (rendered p.26; §2.1 (rendered p.25-26)); VKM-SRC-023 p.52 (Табл.1.1 rows 16-19 (all.md), rendered p.52)",EV-VN-S023-0318;EV-VN-S011-0702;EV-VN-S023-0075;EV-VN-S023-0327,4,2,SKRU1,,,TX-G01;TX-C03,EV-VN-S011-0702,EXACT,SRTM — внешний продукт; в корпусе только упоминание
PC-06,Линейная изотропная упругость слоистой толщи,mechanics,ELAST,мгновенный отклик; распределение нагрузки; жёсткость надработанной толщи на изгиб,"E,ν слоёв → мгновенные деформации + перераспределение напряжений при выемке → изгиб толщи → ширина/форма мульды","ε, σ, u","E, ν по литологиям (лаб., нормативные, по Vp-каротажу); масштабный переход лаб→массив",σ=C:ε (закон Гука); E_d=ρVp²(1+μ)(1−2μ)/(1−μ) [EV-VN-S025-0167]; статико-динамические корреляции Лебедевой,"нормативные E/ν/γ (мергель 600 МПа/0,3; каменная соль 1500/0,3; карналлит 500/0,4; сильвинит 800/0,2); лаб. E 1–38 ГПа (ср. 13,8); профили E и UCS по Vp-каротажу для разрезов СКРУ-1–СКРУ-2 (корреляции получены для соли, применены и к несоляным породам — конфликт EV-VN-S012-0492); упругая постановка Лебедевой","модули надсолевых пород (ТКТ, СМТ, мергели, глины) — GAP-013 OPEN",NORMAL: да,слой/массив,мгновенно,LAB,разброс E на порядок (нормативные МПа vs лабораторные ГПа — разные величины: модуль деформации vs упругости); лаб→массив,средняя: упругость надсолевой толщи влияет на ширину мульды; мала по амплитуде долговременных оседаний,HIGH: определяет передачу перемещений на поверхность и форму мульды,HIGH,FIRST_ORDER_MODULATOR,OGS; FLAC3D; PLAXIS; ANSYS,COMPUTED_3D,PARAMETERS_MISSING,"GAP-003 (массивный модуль), GAP-013 (надсолевая толща), GAP-002 (ν)",FACT,VKM_REGIONAL,MEDIUM,VKM-SRC-012;VKM-SRC-025,"VKM-SRC-012 p.26 (Табл. 1.1 [69]); VKM-SRC-012 p.26 (§1.4.1, [8]); VKM-SRC-025 p.28 (формула (2.2), §2.2); VKM-SRC-012 p.86 (§3.5, Рис. 3.20); VKM-SRC-012 p.87 (§3.5); VKM-SRC-012 p.90 (Рис. 3.21–3.24); VKM-SRC-012 p.94 (§4.1); VKM-SRC-025 p.121 (§4.5 pp.121-122 cites [37])",EV-VN-S012-0065;EV-VN-S012-0063;EV-VN-S025-0167;EV-VN-S012-0478;EV-VN-S012-0481;EV-VN-S012-0492;EV-VN-S012-0500;EV-VN-S025-0665,8,4,SKRU1_SKRU2,EV-VN-S025-0167,MM-ELAST-005,TX-M02;TX-M03;GAP-002;GAP-003;GAP-013;CF-007;CF-016,EV-VN-S012-0065,EXACT,нормативные E (МПа) и лабораторные E (ГПа) — разные определения; не смешивать; конфликт ν сильвинита PCF-04
PC-07,Нелинейная упругость (зависимость модулей от уровня напряжений),mechanics,ELAST,уточнение мгновенного отклика соли и приконтурных зон,нелинейная σ–ε диаграмма соли → разная жёсткость целиков при разной C → распределение нагрузки между целиками,"ε, σ","кусочно-линейная диаграмма (E1, E2, E3 и точки перелома); модуль разгрузки",трилинейный закон σ–ε соли [EV-VN-S029-0155]; модуль разгрузки [EV-VN-S025-0276],"трилинейная диаграмма соляных пород (E1=2,5 ГПа до ≈10 МПа) — модельный выбор Бельтюкова для скважинной задачи; модуль разгрузки (Барях и др.)",первичные лабораторные кривые σ–ε сильвинита КрII/АБ СКРУ-1 при циклическом нагружении,NORMAL: второстепенно,образец/целик,мгновенно,CALIBRATED_EFFECTIVE_MODEL,"модельная аппроксимация, не общая закономерность",низкая по поверхностным данным,LOW: перекрывается эффектами ползучести и пластичности,LOW,CONTEXT_OR_NEGLIGIBLE,OGS (MFront); FLAC3D,RESEARCH_REQUIRED,EVIDENCE_WEAK,параметры нелинейной упругости по литологиям,MODEL_CHOICE,VKM_REGIONAL,LOW,VKM-SRC-029;VKM-SRC-025,"VKM-SRC-029 p.90 (Рис. 3.1); VKM-SRC-025 p.52 (формула (2.9)); VKM-SRC-029 p.99 (§3.2.2, Рис. 3.8 в,г)",EV-VN-S029-0155;EV-VN-S025-0276;EV-VN-S029-0173,3,0,VKM_REGIONAL,EV-VN-S029-0155;EV-VN-S025-0276,MM-STR-009;MM-LAB-005,,EV-VN-S029-0155,FUZZY_81,"источник — модель для интерпретации метода Кайзера, не калибровка массива"
PC-08,"Латеральная неоднородность свойств (складки, зоны замещения, фации пласта В)",mechanics,ELAST,пространственная изменчивость отклика; неравномерность мульды,складчатость/замещения сильвинита каменной солью/смена сильвинит↔карналлит → изменение прочности и податливости целиков → неравномерная конвергенция → неравномерное оседание,"E(x,y,z), σсж(x,y,z)","поля свойств (регрессия прочности по Zкр, M, Н.О.); контуры аномалий",σт.ср=b0+b1·Zкр+b2·M+b3·Н.О. [EV-VN-S025-0688]; кригинг/стох. симуляция Vp [EV-VN-S012-0470] (INTERPOLATION),"прочность соли плавно меняется с складчатыми структурами (регрессия по 3 шахтным полям, SKRU1_SKRU2); пласт В — сильвинит на севере (поле СКРУ-1), карналлит в 1 СВП; замещения нарушают глинисто-ангидритовые прослои; зона пониженных свойств по сейсморазведке (коэф. 1,4, аналог Тюбегатан)","карты аномальных зон СКРУ-1 (слои предприятия есть у Филатовой, значения не в корпусе)",NORMAL: да,панель–шахтное поле,постоянно,LAB,интерполяция свойств между скважинами — INTERPOLATION; коэффициенты снижения — аналог,средняя (при плотном InSAR/нивелировании),"MEDIUM: даёт пространственную изменчивость, но геометрия отработки вероятно доминирует",MEDIUM,SECOND_ORDER,GemPy/Micromine (геомодель); MATLAB (геостатистика); OGS,COMPUTED_3D,GEOMETRY_MISSING,3D-поля свойств (Phase 2 интерполяция); контуры зон замещения СКРУ-1,FACT,SKRU1_SKRU2,MEDIUM,VKM-SRC-025;VKM-SRC-012;VKM-SRC-023;VKM-SRC-005;VKM-SRC-011,"VKM-SRC-025 p.129 (§4.6 p.129); VKM-SRC-025 p.126 (§4.6 формула (4.13)); VKM-SRC-012 p.33 (§1.4.2, [42]); VKM-SRC-023 p.39 (Выводы по гл.2, rendered p.39); VKM-SRC-012 p.84 (§3.5); VKM-SRC-005 p.2 (§Постановка задачи; Рис.1 легенда); VKM-SRC-011 p.53 (текст стр. 105)",EV-VN-S025-0703;EV-VN-S025-0688;EV-VN-S012-0155;EV-VN-S023-0198;EV-VN-S012-0470;EV-VN-S005-0011;EV-VN-S011-1055,7,5,SKRU1,EV-VN-S025-0688;EV-VN-S012-0470,MM-PETRO-005,TX-G13,EV-VN-S025-0703,EXACT,регрессия по лабораторным образцам — LAB; перенос на массив требует Transfer
PC-09,"Анизотропия (слоистость, глинистые прослои; трансверсальная изотропия)",mechanics,ELAST,различие жёсткости/прочности вдоль и поперёк напластования; слоистая кровля,"слоистость → E∥≠E⊥, σдл⊥/σдл∥=1,2–1,5 → анизотропная деформация кровли и целиков → изгиб/расслоение",C_ijkl (трансверсально-изотропный),"E∥, E⊥, ν, G; коэффициенты анизотропии прочности",трансверсально-изотропная упругость (TEXTBOOK); коэффициенты анизотропии Ka [EV-VN-S025-0596],"σдл⊥/σдл∥ и E∥/E⊥ 1,2–1,5 для каменной соли и сильвинита; для массивных текстур анизотропия Vp мала (1,01–1,08); карналлит Ka по σсж 1,18–1,23, по E 1,07–1,29; массив — слоистая среда с пластичными прослоями; ЭМ-анизотропия; проницаемость поперёк слоистости ничтожна",массивные (не лабораторные) показатели анизотропии,"NORMAL: да (кровля, междупластье)",слой/образец,постоянно,LAB,LAB; малая выборка,низкая по поверхностным данным,MEDIUM: существенна для кровли/междупластья; на масштабе шахты может заменяться явными контактами (PC-27),MEDIUM,SECOND_ORDER,"OGS (MFront, TI-упругость); FLAC3D (ubiquitous joints)",RESEARCH_REQUIRED,EVIDENCE_WEAK,массивные коэффициенты анизотропии; выбор: эффективная TI-среда vs явные прослои,FACT,VKM_REGIONAL,MEDIUM,VKM-SRC-025;VKM-SRC-041;VKM-SRC-014,VKM-SRC-025 p.111 (§4.3 p.111 cites [24]); VKM-SRC-025 p.111 (§4.3 p.111); VKM-SRC-025 p.112 (§4.3 p.112 text); VKM-SRC-025 p.112 (Табл. 4.4); VKM-SRC-025 p.111 (§4.3 p.111); VKM-SRC-041 p.2 (Введение); VKM-SRC-014 p.24 (§1.5),EV-VN-S025-0590;EV-VN-S025-0595;EV-VN-S025-0596;EV-VN-S025-0597;EV-VN-S025-0588;EV-VN-S041-0006;EV-VN-S014-0309,7,0,VKM_REGIONAL,EV-VN-S025-0596,,TX-M09,EV-VN-S025-0590,EXACT,выбор представления (TI vs явные интерфейсы) — MODEL_CHOICE Phase 2
PC-10,Масштабный эффект и структурное ослабление массива (лаб → массив),mechanics,ELAST,переход свойств от образца к массиву; главный источник неопределённости амплитуды оседаний,"лабораторные E, σсж, параметры ползучести × Kстр → массивные эффективные свойства → скорость и величина конвергенции → оседание",—,Kстр по E и прочности; размер стабилизации прочности; снижение прочности после стабилизации (~10 %),Kстр = свойство массива/свойство образца [EV-VN-S012-0526],"Лебедева: лабораторные жёсткость/прочность переоценивают поведение массива за десятилетия, нужен Kстр; E снижали для воспроизведения оседаний (калибровка по целевым данным); у соляных пород UCS растёт с размером образца до 50–80 мм, затем снижается ~10 % (обратный хрупким породам эффект)",первичные данные по масштабному эффекту ползучести; обратный анализ по независимым (не тестовым) данным,NORMAL: да,образец → целик → массив,десятилетия (деградация),CALIBRATED_EFFECTIVE_MODEL,нет независимого значения Kстр; калибровка по оседаниям создаёт риск утечки (target leakage),низкая: коррелирует с параметрами ползучести (компенсация),HIGH: управляет амплитудой и темпом оседаний; не идентифицируется отдельно от реологии,HIGH,FIRST_ORDER_MODULATOR,MATLAB (анализ идентифицируемости); OGS (ансамбль),RESEARCH_REQUIRED,PARAMETERS_MISSING,GAP-003 OPEN; GAP-009 OPEN,UNKNOWN,SKRU1_SKRU2,LOW,VKM-SRC-012;VKM-SRC-025,"VKM-SRC-012 p.99 (§4.2); VKM-SRC-012 p.99 (§4.2); VKM-SRC-012 p.99 (§4.2); VKM-SRC-025 p.74 (p.74, Рис. 3.5); VKM-SRC-025 p.77 (p.77, Рис. 3.7); VKM-SRC-025 p.78 (p.78); VKM-SRC-025 p.32 (§2.3)",EV-VN-S012-0524;EV-VN-S012-0526;EV-VN-S012-0525;EV-VN-S025-0373;EV-VN-S025-0402;EV-VN-S025-0407;EV-VN-S025-0194,7,1,SKRU1_SKRU2,EV-VN-S012-0526,MM-SCALE-001,TX-M08;GAP-003;GAP-009;CF-004,EV-VN-S012-0524,EXACT,калибровка E по наблюдённым оседаниям (Лебедева) = использование целевой переменной; в бенчмарке допустима только в walk-forward режиме
